09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｅグロｰリｰブリッジ, 54,石橋守,, 71,*  4,*  0, 6,  9.5,①①①, 1, 3, シンメイフジ,---,武豊  ,, 44, -27,  -2, 1,  1.6, ④④, 1, 8,Ａツルガオカランナｰ, 82,武豊  ,, 74,*  9,* -1, 1,  1.6,⑤④③, 1,13,Ｎクラウンプリンセス, 77,太宰啓,, 91,  13,  10, 7, 21.1, ⑥⑥
 2, 8,Ｉトウカイファミリｰ, 48,武豊  , 0.3, 67,*  3,* -1, 5,  8.4,⑥⑤③, 2, 9, トシザマキ,---,浜中俊, 0.0, 46, -33,*  5, 2,  4.4, ⑧⑧, 2, 3,Ｂレオソリスト, 80,和田竜, 0.2, 73,   7,*  0, 4,  7.1,③⑥④, 2,16,Ｌマイネルレｰニア, 80,佐藤哲, 0.0, 88,* 20,  -3, 4,  8.5, ①①
 3,15,Ｋスルｰジエアｰ, 41,田中健, 0.4, 67,   1,*  2,10, 47.5,⑫⑩⑧, 3, 1, スギノブロッサム,---,安藤光, 0.4, 38, -23,  -9, 8, 87.4, ②③, 3, 2,Ｅウインペンタゴン, 73,浜中俊, 0.4, 71,*  9,  -4, 3,  6.3,④③②, 3, 6,Ｅナスノストロｰク, 86,赤木高, 0.1, 89,  10,* 13,14, 81.2, ⑧⑧
 4, 2,Ｄミステリアスオｰラ, 60,浜中俊, 0.7, 66,   3,  -2, 3,  6.1,④④②, 4, 2, サリエル,---,福永祐, 0.7, 34, -29,  -8, 3,  4.7, ⑤⑤, 4, 1,Ｃベストロング, 77,福永祐, 0.5, 70,*  9,  -6, 2,  5.9,①①①, 4, 5,Ｋサンダルフォン, 81,酒井学, 0.1, 91,   7,* 19, 8, 23.7, ⑪⑪
 5,11,Ｆインバラトゥｰラ, 53,飯田祐, 1.0, 64,   2,  -2,14,170.0,⑦⑧⑨, 5, 4, スウィングダンス,---,角田晃, 0.9, 34, -28, -10, 5, 22.2, ⑥⑥, 5, 4,Ｆナリタチャレンジ, 72,赤木高, 0.6, 70,   7,  -2, 6, 26.8,⑥⑦⑦, 5, 2,Ｆタガノティアｰズ, 86,藤岡康, 0.3, 88,  11,   9, 3,  7.2, ⑦⑦
 6, 4,Ａカバｰドブリッジ, 66,松山弘, 1.2, 61,   2,  -6, 2,  4.9,⑧⑨⑥, 6, 5, スナｰクスペイン,---,太宰啓, 0.9, 33, -36,  -4, 4, 18.2, ⑨⑨, 6, 6,Ｈウイニングショット, 72,上村洋, 0.8, 70,   6,* -1, 5, 20.8,⑨⑩⑨, 6,10,Ｄクリノビスケット, 88,高橋亮, 0.5, 85,  11,   4,10, 29.3, ⑤⑤
 7,16,Ｃブルｰパフュｰム, 61,和田竜, 1.6, 60,   1,  -6, 9, 37.8,⑪⑫⑪, 9, 6, マルタカキララ,---,和田竜, 1.2, 26,*-20, -24, 6, 34.9, ①①, 7, 7,Ｇマｰベラスパレｰド, 72,小坂忠, 1.2, 67,   7,  -5, 9, 76.3,⑧⑧⑩, 7,14,Ｏナイアガラ, 76,浜中俊, 0.6, 84,* 16,  -3,12, 54.5, ③③
 8,10, アルビナス,---,佐藤哲, 1.8, 55,   0,  -9, 7, 15.1,⑬⑪⑫, 7, 7, スリｰボレｰ,---,小牧太, 1.2, 26,*-22, -21, 9,100.3, ③②, 8, 5,Ｉサンライズコア, 70,石橋守, 1.6, 67,   8, -11, 7, 32.9,⑩⑨⑧, 8, 1,Ｍニルヴァｰナ, 78,渡辺薫, 0.6, 85,* 16,  -3, 9, 26.2, ②②
 9, 7,Ｂブリリアントレイ, 62,鮫島良, 1.9, 57,   0,  -7, 1,  3.1,⑮⑬⑭, 8, 8, ダンツエルフ,---,松山弘, 1.8, 18, -29, -23, 7, 68.3, ⑦⑦, 9, 9,Ｄシゲルカイノセ, 73,田中健, 1.7, 63,   8, -15, 8, 45.0,⑦⑤⑥, 9,12,Ｂキャプテンベガ, 89,角田晃, 0.7, 86,   8,   9, 2,  3.6, ⑩⑩
10, 9,Ｈジャコハッチャン, 51,国分恭, 1.9, 56,  -1,  -6,13,151.7,⑭⑭⑬,,,,,,,,,,,,,10,10,Ｊエムエスシャｰプ, 56,西田雄, 2.5, 58,*  9, -23,10, 81.1,②②⑤,10, 3,Ａエリモファイナル, 92,石橋守, 0.9, 81,   4,  12, 5,  8.8, ⑭⑬
11,12, エストレｰラ,---,小牧太, 2.0, 55,   2, -13, 8, 18.2,⑨⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｊトウカイルナ, 82,上村洋, 1.0, 82,   3,  12,13, 66.6, ⑬⑭
