09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａコルドバ, 61,福永祐,, 63,*  1,  -9, 1,  1.6, ①①, 1,17, カリビアンペガサス,---,小牧太,, 43,*-21,  -6, 2,  3.9, ②②, 1, 3,Ａハｰトシュｰタｰ, 71,福永祐,, 79,   2,* 13, 2,  3.0,⑩⑨⑨, 1, 8,Ｃタマモナイスプレイ, 86,熊沢重,, 89,*  3,  18, 2,  5.5, ④④
 2, 8,Ｂケイアイプログレス, 51,小牧太, 0.0, 64,  -6,*  2, 4, 19.3, ⑩⑨, 2,12, ダンツミラション,---,国分恭, 0.0, 45, -24,*  1,15,112.0, ⑤⑤, 2,11,Ｇパｰソナルブレｰン, 60,安藤光, 0.1, 77,   4,   6,12, 84.1,④③③, 2, 1,Ｆレディルｰジュ, 79,鮫島良, 0.1, 87,*  3,  15, 1,  2.3, ②②
 3, 7,Ｅパキッシュ, 47,武豊  , 0.4, 58,  -2,  -9, 2,  3.9, ⑤④, 3, 9, ノｰトルアンジュ,---,浜中俊, 0.1, 45, -27,*  2, 6, 13.5, ⑥⑨, 3, 6,Ｂリバティｰフロｰ, 69,武豊  , 0.4, 74,   3,   6, 1,  1.9,⑥⑦⑥, 3, 3,Ｂアドマイヤヘッド, 86,川田将, 0.2, 87,  -1,* 19, 7, 15.8, ⑦⑦
 4, 9,Ｊクレスコサンデｰ, 27,浜中俊, 0.5, 58,  -7,* -2, 6, 30.1, ⑨⑩, 4, 7, ラブソネット,---,川田将, 0.2, 41,*-22,  -6, 3,  6.0, ④④, 4, 8,Ｄハイドランジア, 63,太宰啓, 0.5, 69,* 12, -23, 3,  9.3,②②①, 4,11,Ａクリノビスケット, 86,藤岡康, 0.3, 85,*  3,  14, 8, 28.8, ③③
 5,12,Ｆタガノキャプテン, 36,太宰啓, 0.6, 56,*  0, -15, 8,107.4, ③③, 5, 2, ヴェリタスロｰズ,---,田村太, 0.3, 43, -28,*  2, 8, 34.6, ⑧⑪, 5,12,Ｌインディアンサマｰ, 57,木村健, 0.6, 74,   1,*  9,11, 81.0,⑫⑫⑪, 5,10,Ｊメリッサ, 74,福永祐, 0.3, 87,  -4,* 21, 9, 44.4, ⑫⑫
 6, 4,Ｇポｰトサンダｰ, 32,芹沢純, 1.5, 46,  -4, -21, 3,  6.4, ⑧⑧, 6,11, ポｰルラッシュ,---,熊沢重, 0.3, 39,*-17, -12, 4, 11.7, ①①, 6, 2,Ｆマチカネゲンペイ, 60,国分恭, 0.8, 71,   3,   1, 5, 21.6,⑨⑧⑧, 6, 7,Ｇグッドキララ, 77,太宰啓, 0.4, 82,*  5,   8, 5, 12.4, ①①
 7,11,Ｋテンシノアスタｰ, 12,中村将, 1.6, 45,  -3, -25,11,134.4, ⑦⑤, 7,16, サンライズクォリア,---,武豊  , 0.4, 40, -27,  -2, 7, 16.1, ⑩⑦, 7, 9,Ｅシャイニｰバｰド, 62,角田晃, 0.9, 72,   4,  -3, 7, 28.8,③④⑤, 7, 5,Ｈトｰセンイマジゲン, 77,武豊  , 0.4, 85,  -2,* 19, 3,  5.7, ⑪⑧
 8, 6,Ｄコパノヒコサチ, 48,藤岡康, 2.4, 35,*  0, -43, 9,109.8, ②②, 8, 3, ケｰジｰハナコ,---,野元昭, 0.5, 37, -23,  -8,16,166.0, ③③, 8,15,Ｃシｰスピアｰ, 63,松山弘, 1.1, 70,   0,   7, 6, 24.1,⑪⑬⑭, 8, 2,Ｋゼットカｰク, 73,幸英明, 0.5, 83,   2,  12,12, 88.0, ⑤⑤
 9, 1,Ｉリワｰドクラウン, 27,幸英明, 2.4, 36,  -9, -27, 7, 33.6, ⑫⑫, 9,10, アリエナイ,---,上村洋, 0.5, 39, -27,  -3,14, 82.8, ⑪⑧, 9,14,Ｉメジロブリット, 60,川田将, 1.2, 68,   0,   3, 4, 19.4,⑧⑩⑫, 9,12,Ｌシャペロンルｰジュ, 71,角田晃, 0.5, 84,  -1,  16,11, 73.3, ⑩⑪
