09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｇエｰシンセｰフティ, 56,和田竜,, 69,  10,  -5, 5, 16.5,④②②, 1,13, テイエムハエゲナ,---,佐久間,, 39,  -5, -21, 5,  8.4, ⑥④, 1, 7,Ｂロｰザレｰヌ, 61,国分恭,, 64,* -4,*  8, 3,  5.6,①①①, 1, 8,Ｂアンノルｰチェ, 79,和田竜,, 78,   9,*  2, 3,  6.7,③④③
 2, 4,Ｃカイテキゴｰゴｰ, 63,国分恭, 0.0, 69,   4,*  5, 4,  7.8,⑨⑧⑥, 2,12, カシノロケット,---,大下智, 0.1, 41,*  0, -28,10, 38.2, ②③, 2,10,Ｃワンダｰアサｰルト, 59,野元昭, 0.6, 60,  -5,   4, 7, 13.7,⑤④⑤, 2, 6,Ａロｰドロックスタｰ, 85,福永祐, 0.2, 75,* 10,  -3, 2,  2.9,②②②
 3, 2,Ｂパｰフェクトバイオ, 65,小牧太, 0.4, 66,* 10, -10, 1,  1.7,③④③, 3,15, スズノブレイヴ,---,中村将, 0.4, 34,  -6, -27, 1,  3.9, ⑦⑥, 3, 4,Ｉトウカイセレブ, 51,金折知, 0.7, 59,  -5,   4, 4,  8.8,④③③, 3,10,Ｃアグネスサクラ, 78,武豊  , 0.2, 75,   7,*  1, 1,  1.8,⑥⑥⑥
 4,10,Ａトウショウデザイア, 66,中村将, 0.4, 64,* 11, -11, 2,  4.1,①①①, 4,14, マルシゲコマンド,---,鮫島良, 0.5, 33,  -7, -26, 4,  7.4, ⑨⑦, 4, 9, エアインシャラｰ,---,福永祐, 1.0, 57,* -4,  -1, 2,  4.0,②②④, 4, 9,Ｋロｰズプレステｰジ, 67,小牧太, 0.4, 74,   6,*  1, 9, 58.8,⑨⑨⑨
 5, 7,Ｆナリタテイオｰ, 58,渡辺薫, 1.6, 58,   7, -14, 6, 49.1,⑦⑤⑤, 5,17, カシノピストン,---,金折知, 0.6, 31, -17, -18,16,124.5, ⑫⑨, 5, 8,Ｅトモダチ, 57,生野賢, 1.2, 56,  -6,   1, 8, 30.3,⑧⑦⑧, 5, 7,Ｇスパニッシュソウル, 76,橋本美, 0.5, 73,   6,*  1, 8, 43.9,⑪⑪⑩
 6, 8,Ｈツルマルダイヤ, 45,小林慎, 2.6, 50,   1, -14,10,126.7,⑩⑩⑧, 6,11, スｰパｰショット,---,生野賢, 0.8, 30, -17, -19,12, 65.1, ⑬⑫, 6, 1,Ｇマジックソルジャｰ, 53,松山弘, 1.4, 55,  -8,   2,10,141.0,⑪⑪⑩, 6, 4,Ｈワキノパワｰ, 74,赤木高, 0.7, 70,   7,  -4,10,102.3,⑤⑦⑦
 7, 6,Ｉスカイボｰイング, 45,幸英明, 2.8, 48,   5, -21, 9,108.3,⑥⑦⑦, 7, 4, テイエムヨカゲナ,---,田嶋翔, 0.9, 31,*  1, -39, 6, 11.8, ①①, 7, 6,Ｆスズカアリュｰル, 57,佐藤哲, 1.4, 53,  -6,   0, 5,  9.3,⑩⑩⑥, 7, 3,Ｉサイレンスゴｰルド, 70,渡辺薫, 0.7, 72,   5,  -2,11,131.9,⑩⑩⑪
 8, 5,Ｊフロルアンディｰナ, 44,松山弘, 3.2, 46,   2, -21, 8, 79.1,⑧⑨⑩, 8, 3, ホｰミングビｰト,---,橋本美, 0.9, 27, -14, -25,17,186.9, ⑩⑩, 8, 3,Ｄメイショウヨシムネ, 58,渡辺薫, 1.5, 55,  -5,  -2, 6, 11.4,③⑤②, 8,11,Ｅノボリデュｰク, 77,幸英明, 0.7, 70,   9,  -7, 5, 30.0,④③④
 9, 3,Ｄアルビナス, 60,佐藤哲, 3.5, 42,* 10, -36, 3,  7.2,②③④, 9, 2, コウエイブｰケ,---,福永祐, 1.1, 26,* -3, -38, 7, 15.7, ④②, 9, 5,Ｊサインオブブラフ, 31,小坂忠, 1.6, 53,  -6,  -1,11,293.8,⑦⑨⑦, 9, 1,Ｄダイアモンドヘッド, 77,角田晃, 0.8, 69,   7,  -7, 7, 43.4,⑦⑤⑤
10, 1,Ｅサンライズゲイリｰ, 60,生野賢, 6.0, 30,   5, -48, 7, 50.4,⑤⑥⑨,10, 6, オペラサカエ,---,野元昭, 1.1, 27, -17, -23,13, 78.9, ⑪⑪,10, 2,Ａシュンリキ, 62,和田竜, 1.6, 54,  -5,  -3, 1,  2.6,⑥⑥⑨,10, 5,Ｊカシノマイケル, 68,熊沢重, 0.8, 69,   6,  -4, 4, 21.6,⑧⑧⑧
,,,,,,,,,,,,11, 5, テイエムヒンガエド,---,酒井学, 1.2, 11, -24, -18,11, 45.3, ⑭⑬,11,11,Ｈミスズチャンプ, 53,太宰啓, 3.5, 41,  -5, -18, 9,115.0,⑨⑧⑪,11, 2,Ｆジャングルストｰン, 77,鮫島良, 1.1, 65,* 11, -19, 6, 31.8,①①①
,,,,,,,,,,,,12,10, ウチケンドリｰム,---,太宰啓, 1.3, 22,  -6, -38, 9, 24.8, ⑤⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 8, ヴォｰタン,---,角田晃, 1.6, 19,  -8, -39, 3,  7.0, ⑧⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 7, ネオスペチアｰレ,---,武豊  , 1.8,-14, -50,* -3, 2,  4.1, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
