09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａエｰシンホワイティ, 58,福永祐,, 70,   2,   2, 2,  4.0, ③④, 1,10, オｰロラナイト,---,福永祐,, 51,*-11,  -5, 1,  3.0, ②②, 1,12,Ｂエイシンダヴィンチ, 59,福永祐,, 66,   0,*  0, 1,  1.7, ⑦⑤, 1,11,Ｆダイシンプラン, 83,福永祐,, 89,   8,* 18, 5,  9.3,⑧⑩⑨
 2, 8,Ｄトシザマキ, 45,浜中俊, 0.0, 70,  -1,*  4, 1,  1.7, ⑤⑤, 2, 4, サックアクロア,---,藤岡康, 0.2, 48,*-13,  -5, 3,  6.0, ③③, 2, 3,Ｌピサノレインボｰ, 43,浜中俊, 0.3, 64,*  4,  -8, 6, 23.1, ④④, 2, 2,Ｃタガノティアｰズ, 87,橋本美, 0.4, 84,   9,   9, 6, 10.1,⑤⑤③
 3, 5,Ｇサリエル, 34,和田竜, 0.1, 69,*  3,  -1, 5, 13.7, ②②, 3,13, キングシャｰロット,---,武豊  , 0.3, 47, -20,*  1, 4,  6.8, ⑧④, 3, 4,Ｉライブリリュウショ, 46,太宰啓, 0.3, 62,   1,  -5,11, 80.0, ⑤⑥, 3,10,Ｂホｰマンファラオ, 89,鮫島良, 0.4, 84,   9,   8, 9, 26.1,⑥⑥⑥
 4, 6,Ｆスギノブロッサム, 38,安藤光, 0.3, 66,  -3,*  4, 6, 22.7, ⑥⑥, 4, 2, シゲルタカウジ,---,飯田祐, 0.5, 45, -17,  -5, 6, 24.2, ④⑤, 4,14,Ｇシルクフェイブル, 48,国分恭, 0.3, 61,  -1,  -2,12,101.7, ⑨⑧, 4, 7,Ｊシゲルフセルト, 78,幸英明, 0.4, 85,   7,* 14, 4,  9.3,⑫⑨⑧
 5, 2,Ｃフェブムｰビング, 46,幸英明, 0.7, 61,*  5, -10, 4, 12.3, ①①, 5, 8, コウエイマｰチ,---,幸英明, 0.6, 43,* -9, -14, 2,  3.1, ①①, 5,11,Ｍコアレスランナｰ, 39,田中健, 0.4, 59,  -6,*  2,15,396.4, ⑬⑬, 5, 1,Ｈスペルバインド, 80,武豊  , 0.4, 84,   7,  12, 2,  5.3,⑨⑧⑦
 6, 9,Ｂポケットキャンディ, 50,藤岡康, 0.7, 60,   2,  -7, 3,  6.0, ④③, 6, 6, マウンテンサムオｰ,---,和田竜, 1.4, 33, -23, -11,11, 82.4, ⑨⑧, 6,15,Ｄコｰヒｰゼリｰ, 51,鈴来直, 0.4, 63,*  6, -10, 4, 12.3, ③③, 6, 9,Ｉニホンピロコナユキ, 78,酒井学, 0.4, 80,* 16,  -7,12,118.5,②②②
 7, 3,Ｅゼットセブン, 42,国分恭, 1.3, 51, -10,  -5, 7, 68.0, ⑧⑦, 7, 3, チタニウムヘッド,---,鮫島良, 1.4, 33, -18, -17, 5,  8.9, ⑤⑥, 7, 7,Ａクリニエルドゥオル, 59,幸英明, 0.4, 59,  -3,  -2, 2,  3.9, ⑪⑦, 7,12,Ｅチョウサンデイ, 86,太宰啓, 0.6, 83,   5,* 13, 7, 11.1,⑩⑫⑫
 8, 7,Ｉダンツエルフ, 18,松山弘, 1.4, 51,  -5, -10, 9,193.3, ⑦⑧, 8, 1, カシノアベベ,---,鈴来直, 1.7, 29, -27, -11,13,111.9, ⑩⑪, 8, 5,Ｊマキハタスプｰン, 44,高井彰, 0.7, 59,*  6, -14,10, 66.9, ②②, 8, 3,Ｄフライングメリッサ, 87,上村洋, 0.8, 79,   8,   5, 3,  6.9,⑦⑦⑩
 9, 1,Ｈリワｰドクラウン, 32,中村将, 2.9, 30, -15, -21, 8, 94.5, ⑨⑨, 9, 5, テイエムキバッド,---,田中健, 2.0, 25, -20, -22, 8, 32.3, ⑥⑨, 9,10,Ｃバンブｰレアル, 59,和田竜, 1.4, 47,  -1, -17, 3,  9.0, ⑩⑩, 9, 4,Ｋタガノヴァレオ, 77,和田竜, 0.8, 78,  10,  -1, 8, 14.7,④④⑤
,,,,,,,,,,,,10, 9, コウセイベイビｰ,---,柄崎将, 2.1, 24, -31, -12, 9, 61.1, ⑬⑫,10, 8,Ｎメイショウユウカ, 36,難波剛, 1.5, 44,  -9, -10, 9, 66.1, ⑭⑭,10, 5,Ｇデンコウミサイル, 82,安藤光, 0.8, 80,   5,  10,11, 92.4,⑪⑪⑪
,,,,,,,,,,,,11, 7, ハナヨメノレン,---,松山弘, 2.3, 21, -20, -26, 7, 30.2, ⑦⑦,11, 2,Ｅラインパンサｰ, 49,中村将, 1.6, 44,  -7, -12, 7, 49.9, ⑫⑪,11, 8,Ａシルポｰト, 89,浜中俊, 1.1, 73,* 17, -20, 1,  2.7,①①①
,,,,,,,,,,,,12,11, ヤマニンアルダント,---,酒井学, 2.5, 18, -26, -23,12, 99.9, ⑪⑬,12, 6,Ｈロングプレジデント, 48,渡辺薫, 1.7, 45,   2, -23, 5, 15.7, ⑥⑨,12, 6,Ｌウインスペンサｰ, 69,角田晃, 1.6, 70,  12, -14,10, 33.7,③③④
,,,,,,,,,,,,13,12, カシノストライカｰ,---,赤木高, 2.7, 15, -27, -25,10, 65.2, ⑫⑩,13, 1,Ｆビコｰアジリティ, 48,佐久間, 1.8, 46,*  7, -30, 8, 53.7, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｋトップナデシコ, 43,高橋亮, 2.1, 37,  -9, -18,13,248.4, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｏシゲルロッコウサン, 35,松山弘, 2.9, 28,   0, -38,14,254.1, ⑧⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-6),,,,,,,,,,,
