09年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃコスモディエス, 44,松山弘,, 56,* -5,* -2, 7, 49.7, ②②, 1, 9, オレンジティアラ,---,小牧太,, 70,*  3,  -1, 2,  5.6, ②②, 1,15,Ｃキアｰロ, 76,渡辺薫,, 81,  -2,* 23, 3,  8.4,⑪⑦④, 1, 5,Ｂメリッサ, 85,福永祐,, 86,   5,  14, 1,  5.4, ⑤④
 2, 3,Ｂフェブムｰビング, 56,幸英明, 0.1, 55,* -4,  -3, 2,  3.3, ①①, 2, 8, トゥニｰポｰト,---,鮫島良, 0.3, 64,*  0,  -3, 6, 13.0, ③③, 2, 3,Ｂホッコｰキングオｰ, 78,田中健, 0.1, 78,*  0,  18, 6, 12.0,②②②, 2, 2,Ｄテｰオｰギャング, 80,浜中俊, 0.2, 83,   6,  10, 5,  8.7, ④⑤
 3, 4,Ｆテｰオｰウィナｰ, 37,藤岡康, 0.2, 54,  -8,* -2, 8, 50.5, ③③, 3, 6, カルテブランシェ,---,武豊  , 0.4, 61,  -4,*  0, 1,  2.4, ⑦⑥, 3,10,Ａマルカベンチャｰ, 82,福永祐, 0.4, 76,* -1,  17, 1,  2.1,④③③, 3,10,Ｊコパノオｰシャンズ, 77,川田将, 0.3, 83,   0,* 16, 6,  9.9, ⑫⑫
 4, 6,Ｄエｰシンリジル, 41,浜中俊, 0.2, 54,  -9,* -1, 4, 12.8, ④④, 4, 2, アイラインボタン,---,幸英明, 1.0, 54,  -2, -10, 5,  9.4, ④④, 4,11,Ｏワイドヒリュウ, 60,田中克, 0.7, 74,*  0,  12, 8, 18.7,①①①, 4, 6,Ｇボストンオｰ, 79,和田竜, 0.3, 82,   2,  13, 3,  6.5, ⑦⑥
 5, 9,Ａトミケンパルテイ, 59,武豊  , 0.6, 49, -13,  -3, 1,  1.8, ⑥⑤, 5,12, クイｰンフラワｰ,---,飯田祐, 1.2, 50,  -6,  -9, 4,  9.0, ⑧⑧, 5, 7,Ｄヨクバリ, 76,太宰啓, 0.7, 75,  -2,  19, 2,  5.5,⑮⑩⑥, 5, 8,Ｋホエｰルシャｰク, 76,太宰啓, 0.5, 79,  -2,  14,13, 26.7, ⑬⑬
 6, 7,Ｇスｰサンストリｰム, 29,和田竜, 0.7, 48, -15,* -1, 3,  5.0, ⑧⑥, 6, 1, マｰスキッス,---,藤岡康, 1.3, 52,*  2, -18, 8, 22.7, ①①, 6,12,Ｅキャトルキャｰル, 73,川田将, 1.0, 74,  -4,  19, 5, 11.2,⑯⑯⑨, 6, 9,Ｍスｰパｰワシントン, 75,小牧太, 0.7, 77,  -4,  14,10, 21.5, ⑭⑭
 7, 8,Ｅウイントランザム, 40,熊沢重, 1.3, 42, -12,  -9, 6, 38.6, ⑦⑦, 7, 3, エトピリカ,---,松山弘, 1.6, 44, -10, -10,10, 28.4, ⑩⑨, 7,16,Ｉバイオレントナイト, 72,松山弘, 1.1, 70,  -2,  13, 7, 18.3,⑦⑧⑤, 7,15,Ｆグッドキララ, 80,幸英明, 0.7, 77,* 10,   0,11, 25.7, ①①
 8, 2, ペガサスガｰル,---,国分恭, 1.4, 40, -16,  -7, 9,126.4, ⑨⑨, 8, 5, シゲルゴウヒメ,---,渡辺薫, 1.7, 44, -10, -12,12, 70.4, ⑪⑪, 8, 2,Ｈナリタチャレンジ, 72,赤木高, 1.2, 70,  -4,  15,10, 39.8,⑨⑪⑩, 8,13,Ｃアウトクラトｰル, 80,藤岡康, 0.7, 77,   4,   7, 2,  5.6, ⑧⑧
 9, 1,Ｈスリｰボレｰ, 28,太宰啓, 2.4, 31, -13, -18, 5, 22.1, ⑤⑧, 9,13, インタレスティング,---,酒井学, 1.8, 44,  -1, -20,11, 35.9, ⑥⑤, 9, 5,Ｆエルチョコレｰト, 73,幸英明, 1.4, 69,  -5,  15,11, 46.3,⑬⑭⑭, 9, 4,Ｎタムロスタｰディ, 72,佐藤哲, 0.7, 76,   1,   9,14, 78.4, ⑪⑪
