09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆラブイズモネ, 58,幸英明,, 51, -16,*  3, 8, 20.2, ⑰⑪, 1, 9, ダッシャｰゴｰゴｰ,---,川田将,, 60,* -1,  -1, 1,  1.6, ②②, 1, 8,Ｂマｰブルアロｰ, 66,浜中俊,, 70,   4,*  4, 1,  3.1,⑤⑤⑤, 1, 2,Ｂマルブツリｰド, 91,浜中俊,, 82,   8,  12, 3,  3.6,③③③
 2,11,Ｒテイエムテキｰラ, 48,松山弘, 0.2, 54,*  4, -19, 6, 10.2, ①①, 2, 2, エムオｰゴｰルド,---,福永祐, 0.1, 60,* -1,  -2, 2,  5.4, ①①, 2, 1,Ｆジョｰシンドバッド, 62,武豊  , 0.1, 69,   4,   3, 3,  5.2,④④②, 2, 8,Ｊコウジンアルス, 81,太宰啓, 0.6, 77,* 10,   4, 4, 10.1,①①①
 3,10,Ｍニシノアンクレット, 53,田中健, 0.4, 46, -19,*  0,11, 29.7, ⑱⑭, 3,11, マイネルラディウス,---,和田竜, 0.6, 52, -15,*  2, 5, 12.2, ⑦⑦, 3,15,Ｄマイネルカルツェ, 63,松山弘, 0.2, 68,   4,   2, 7, 13.9,⑦⑥④, 3, 1,Ｃタガノサイクロン, 89,川田将, 0.7, 78,   4,* 14, 2,  3.5,⑩⑪⑪
 4, 1,Ｊアスタｰロｰズ, 55,角田晃, 0.4, 51,*  0, -17, 1,  4.0, ②③, 4, 8, グルｰヴィｰコマチ,---,幸英明, 1.0, 49, -12,  -3, 3,  8.5, ⑤⑤, 4,11,Ｅカセドラルパレス, 63,太宰啓, 0.6, 66,   3,   1, 5,  8.5,⑩⑦⑦, 4, 6,Ｉエイシンラｰジヒル, 82,和田竜, 0.7, 78,   7,  10, 9, 32.5,⑥⑤⑥
 5, 6,Ｂマジカルレッド, 62,福永祐, 0.6, 45,  -5, -14, 2,  4.5, ⑨⑦, 5, 5, ワイキキブリｰズ,---,松山弘, 1.4, 42, -24,*  0, 4, 11.5, ⑨⑨, 5, 7,Ｉシｰガルプリンセス, 56,小林慎, 0.9, 63,*  6,  -7, 9, 60.7,①①①, 5, 3,Ａメイショウサライ, 93,武豊  , 0.7, 79,   5,  12, 1,  3.3,⑨⑨⑨
 6,17,Ｉプリティファイナル, 56,浜中俊, 0.8, 44,  -3, -19, 9, 24.2, ⑦⑥, 6, 7, オｰミスプラウト,---,太宰啓, 1.5, 44,  -6, -11,10, 92.6, ④④, 6,14,Ａテイケイメルベイユ, 67,和田竜, 1.2, 61,*  5,  -9, 4,  6.8,②②③, 6,11,Ｄラッキｰブレイク, 88,幸英明, 0.8, 76,   7,   9, 8, 21.7,⑦⑥⑤
 7,13,Ｄマイスイｰトホｰム, 60,武豊  , 0.8, 41, -12, -11, 5,  9.6, ⑮⑨, 7, 4, カシノイワイザケ,---,鈴来直, 2.1, 37, -15, -11, 9, 56.7, ⑥⑥, 7,16,Ｃエヴェット, 65,渡辺薫, 1.6, 59,*  5, -11, 6, 13.3,③③⑥, 7, 4,Ｋホワイトメロディｰ, 76,福永祐, 0.8, 76,* 10,   3, 5, 15.5,②②②
 8, 4,Ａアイエスプラスワン, 65,和田竜, 0.9, 42,  -3, -21, 3,  6.9, ⑥⑤, 8, 1, ロｰズバレｰ,---,浜中俊, 2.4, 36,  -3, -21, 6, 13.2, ③③, 8, 5,Ｇキャラバンシチｰ, 59,生野賢, 2.4, 54,  -1,  -7,11,103.2,⑫⑫⑩, 8, 5,Ｇワキノエクセル, 84,生野賢, 0.9, 76,   4,  12,10, 68.1,⑪⑩⑩
 9, 8,Ｅリッカコウユウ, 58,国分恭, 0.9, 43,*  0, -23,10, 27.6, ③④, 9, 6, ハｰトフェルト,---,国分恭, 2.5, 32, -21, -11, 7, 35.3, ⑧⑧, 9,13, ラインチェイサｰ,---,福永祐, 2.6, 52,   1, -13, 2,  4.2,⑨⑩⑨, 9,10,Ｈウインカｰディナル, 83,鮫島克, 0.9, 76,   5,  10,11, 78.2,⑧⑧⑦
