09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃパリスドｰル, 37,太宰啓,, 52,*  0, -15, 1,  1.8, ②①, 1, 7, ファイティングピサ,---,武豊  ,, 63,* -2,* -1, 1,  1.9, ②②, 1,10,Ｇサアドウゾ, 56,松山弘,, 70,  -2,*  6, 5, 17.7, ⑥⑥, 1, 5,Ｅマイネトゥインクル, 77,幸英明,, 81,   7,* 10, 3,  6.0,⑤⑤⑥
 2, 3,Ａコウエイマｰチ, 43,幸英明, 0.5, 45,* -5, -16, 2,  3.4, ④③, 2,11, ジュエルオブナイル,---,川田将, 0.6, 56, -12,*  1, 3,  5.7, ⑦⑦, 2,12,Ｆネオカｰニバル, 60,高橋亮, 0.4, 65,*  3,  -4, 8, 23.9, ①①, 2, 3,Ｄパッションレッド, 78,福永祐, 0.0, 81,   5,* 11, 4,  9.9,⑦⑦③
 3, 5,Ｅスズノブレイヴ, 33,中村将, 0.7, 42, -15, -10, 4, 11.3, ⑦⑥, 3,10, タムロガッツ,---,佐藤哲, 0.8, 52,  -6,  -7, 2,  4.7, ⑤③, 3, 3,Ｂピサノレインボｰ, 63,浜中俊, 0.5, 64,*  0,  -3, 2,  4.0, ④④, 3, 7,Ｆロｰドアルファｰド, 75,川田将, 0.2, 77,   6,   4, 6, 24.4,③③②
 4,12,Ｂカシノロケット, 41,大下智, 1.0, 39,* -4, -24, 3,  8.5, ③④, 4,12, スタｰリｰクルｰズ,---,渡辺薫, 0.9, 54, -16,*  3,10, 69.9, ⑪⑩, 4,11,Ｌデンタルマロン, 52,太宰啓, 0.5, 64,*  1,  -3,14,105.3, ⑤⑤, 4, 6,Ｇシゲルエスペレ, 72,太宰啓, 0.5, 76,   3,   8, 7, 28.7,⑨⑨⑧
 5, 6,Ｆマルシゲコマンド, 32,鮫島良, 1.1, 38, -10, -19, 5, 21.0, ⑤⑤, 5, 4, フェブスカイ,---,幸英明, 0.9, 52,* -2, -12, 6, 19.8, ①①, 5, 4,Ｊテイエムダイアナ, 54,幸英明, 0.6, 63,  -6,   2, 9, 25.4, ⑧⑦, 5, 1,Ｈロｰズプレステｰジ, 70,小牧太, 0.7, 74,   4,   4, 5, 12.1,⑧⑧⑨
 6,15,Ｌカシノグロｰブ, 10,小坂忠, 1.2, 36, -25,* -6,13,219.6, ⑬⑬, 6,14, コウエイスマイル,---,国分恭, 0.9, 51,* -5, -10, 8, 50.7, ③④, 6,14,Ｈコアレスランナｰ, 56,田中健, 0.6, 63, -16,* 11,10, 28.4, ⑱⑮, 6, 2,Ａドリｰムキュｰブ, 85,藤岡康, 0.7, 71,*  9,  -7, 2,  3.1,①①①
 7,10, クリノキンバリｰ,---,高橋亮, 1.5, 33, -10, -23, 7, 42.7, ⑥⑦, 7, 2, エｰシンドットコム,---,福永祐, 1.2, 49,  -6, -12, 5, 17.0, ④⑤, 7, 2,Ｃシルクユニヴァｰス, 63,生野賢, 0.6, 62,*  1,  -4, 3,  7.2, ③③, 7, 8,Ｃバｰジンフォレスト, 79,佐藤哲, 0.8, 69,   6,  -1, 9, 74.5,⑥⑥⑦
 8,16,Ｉヴォｰタン, 16,角田晃, 1.6, 31, -24, -12,11,167.9, ⑫⑪, 8, 5, イサミダンス,---,松山弘, 1.2, 48, -12,  -7, 4, 11.3, ⑥⑥, 8,13,Ａイナズマガイア, 74,中村将, 0.9, 59,*  2,  -9, 1,  2.4, ②②, 8, 4,Ｂフォゲッタブル, 81,武豊  , 1.6, 62,   6, -14, 1,  2.1,④④④
 9,18, ヨシノモモ,---,飯田祐, 1.8, 29, -21, -17,14,236.2, ⑪⑫, 9, 1, デンコウオクトパス,---,小牧太, 1.4, 46, -17,  -4, 7, 21.1, ⑩⑪, 9,16,Ｉリザウンドエコウ, 55,小坂忠, 0.9, 58,  -8,  -1, 6, 21.2, ⑪⑨, 9, 9,Ｉダイアモンドヘッド, 69,角田晃, 2.3, 56,*  8, -28, 8, 55.2,②②⑤
