09年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂサリエル, 67,福永祐,, 77,* 11,* -2, 2,  3.6, ②③, 1, 5, ベネラ,---,熊沢重,, 62,*  6,* -6, 2,  3.8, ②②, 1, 5,Ｂパｰフェクトバイオ, 68,小牧太,, 72,*  4,*  7, 2,  3.9,①①①, 1, 1,Ｆラッキｰバニヤン, 74,福永祐,, 78,   7,   5, 1,  3.0, ③④
 2, 2,Ｄラブグランデｰ, 52,渡辺薫, 0.1, 78,* 13,* -4, 7, 39.5, ①②, 2, 8, スイｰトエスケｰプ,---,福永祐, 0.8, 52,   3, -12, 1,  1.6, ④⑤, 2,11,Ｃトウショウデザイア, 67,中村将, 0.1, 70,*  4,*  7, 5, 12.6,③②②, 2,14,Ｅビｰチアイドル, 76,鮫島良, 0.0, 79,   7,   5, 2,  4.8, ⑤③
 3, 6,Ｈヴェリタスロｰズ, 42,和田竜, 0.4, 71,  10,  -6, 4,  8.3, ④⑤, 3, 1, ジョウショｰムテキ,---,渡辺薫, 1.4, 48,*  5, -19, 4, 12.3, ①①, 3, 6,Ｉシャア, 62,太宰啓, 1.2, 64,*  3,  -1, 6, 15.1,⑤③③, 3, 3,Ｍカシノマイケル, 68,松山弘, 0.1, 77,   2,*  9,11, 64.8, ⑨⑧
 4,13,Ｊマイネキラ, 31,幸英明, 1.1, 60,   6, -11, 6, 17.3, ⑦⑦, 4,10, グランデワイルド,---,酒井学, 1.5, 43,   0, -16, 5, 21.2, ⑤③, 4, 4,Ｅレッドファング, 66,福永祐, 1.3, 63,   1,   0, 1,  2.2,④⑤⑥, 4, 5,Ｃシティボス, 79,太宰啓, 0.2, 75,  -2,* 11, 7, 11.5, ⑫⑬
 5,11,Ｃクリスマドンナ, 52,松山弘, 1.2, 56,   0,  -7, 5,  9.9, ⑪⑨, 5, 2, トｰブプリンス,---,中村将, 1.6, 38, -15,  -8, 9, 50.3, ⑥⑥, 5,16,Ｈラプタｰストｰム, 63,角田晃, 1.4, 64,   1,  -1, 4,  9.9,⑨⑥④, 5, 4,Ｄメイショウバレｰヌ, 77,佐藤哲, 0.2, 74,   4,   5, 9, 31.4, ⑥⑦
 6, 1,Ｇエリモクイｰン, 45,小牧太, 1.6, 55,  10, -21, 3,  8.0, ③①, 6,11, ボストンサプライズ,---,赤木高, 1.8, 37, -15,  -9, 8, 46.5, ⑧⑦, 6, 7,Ａカイテキゴｰゴｰ, 70,国分恭, 1.7, 61,  -1,   1, 3,  6.8,⑩⑩⑦, 6, 8,Ｇヒカルジョディｰ, 71,和田竜, 0.3, 74,   3,   5, 6, 10.3, ⑦⑥
 7,14,Ａトシザマキ, 68,上村洋, 1.7, 53,   9, -21, 1,  2.1, ⑥⑥, 7, 3, エイユｰトルネｰド,---,和田竜, 1.8, 39, -20,* -6, 6, 22.5, ⑩⑨, 7, 1,Ｄキングマイハｰト, 66,鮫島良, 2.0, 59,  -1,  -2, 8, 19.1,⑦⑨⑨, 7, 7,Ｈエイシンイッキ, 71,幸英明, 0.3, 74,  -1,*  9,12,108.4, ⑪⑩
 8,12,Ｅクイｰンフラワｰ, 50,飯田祐, 2.1, 45,   4, -23, 9, 49.9, ⑧⑧, 8, 6, シゲルイエヤス,---,国分恭, 2.7, 31,   2, -29, 3,  8.2, ③④, 8,12,Ｆサイキックシチｰ, 65,松山弘, 2.2, 56,   0,  -6, 7, 18.0,⑧⑧⑧, 8, 2,Ａクリスティイモン, 81,飯田祐, 0.3, 74,* 11,  -3, 5,  9.5, ①①
 9, 8,Ｉキセキノウタ, 34,熊沢重, 2.4, 41,  -1, -21,10,119.2, ⑫⑪, 9, 4, ゼットフジ,---,松山弘, 2.8, 28, -16, -18, 7, 39.8, ⑦⑧, 9, 8,Ｋセフティファンキｰ, 55,石橋守, 2.3, 60,  -4,   1,11,124.5,⑬⑪⑪, 9, 6,Ｉエｰティｰホｰオｰ, 71,田嶋翔, 0.4, 73,   2,   5,13,131.1, ⑩⑨
10, 5,Ｍハナヨメノレン, 21,生野賢, 2.4, 41,   0, -23,11,154.6, ⑩⑩,10, 9, アイファｰヒルマン,---,金折知, 3.7,  7, -20, -24,10,216.6, ⑪⑪,10, 3,Ｊアスカノラムセス, 55,田中健, 2.6, 56,  -7,*  4,13,223.4,⑭⑭⑬,10,10,Ｂニホンピロシェリｰ, 80,酒井学, 0.4, 73,  -2,*  8, 3,  6.3, ⑭⑫
11, 3,Ｌスリｰボレｰ, 29,太宰啓, 2.8, 39,   9, -35,12,255.1, ⑤④,11, 7, クリノリメンバｰ,---,鈴来直, 3.7,  8, -18, -25,11,233.5, ⑨⑩,11,10,Ｇシｰガルプリンセス, 64,小林慎, 2.9, 51,   2, -15, 9, 58.3,②④⑤,11,13,Ｎプラチナムペスカ, 68,角田晃, 0.5, 72,* 10,  -5,10, 34.6, ②②
12,10,Ｆマｰスキッス, 50,角田晃, 3.5, 29,   3, -40, 8, 45.6, ⑨⑫,,,,,,,,,,,,,12,15,Ｌシルクプリヴェイル, 51,酒井学, 3.9, 46,   1, -21,10,110.4,⑥⑦⑩,12,12,Ｊリッタｰヴォルト, 71,小牧太, 0.7, 69,   7,  -4, 4,  8.0, ④⑤
13, 7,Ｋシゲルオカメノカタ, 30,赤木高, 3.6,  5, -25, -13,13,558.4, ⑬⑬,,,,,,,,,,,,,13, 2,Ｎシゲルウマミヤマ, 49,幸英明, 3.9, 45,  -5, -10,15,505.9,⑫⑫⑫,13,11,Ｋミスズアロハ, 70,中村将, 1.0, 65,  -3,   1,14,147.0, ⑬⑭
14, 4,Ｎプロスペクタス, 12,佐藤哲, 6.9,-45, -33, -48,14,622.5, ⑭⑭,,,,,,,,,,,,,14, 9,Ｍベアオンワｰド, 50,熊沢重, 5.3, 40, -17,  -2,12,219.2,⑮⑮⑮,14, 9,Ｌゴｰルドステイブル, 70,熊沢重, 3.8, 28,   4, -42, 8, 21.9, ⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏバトルバットマン, 32,和田竜, 6.6, 28,  -6, -33,14,312.4,⑪⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:360円 複勝:09=160円 02=900円 06=300円 枠連:4,590円",,,,,,,,,,,,単勝:380円 複勝:05=120円 08=110円 01=220円 枠連:280円,,,,,,,,,,,,"単勝:390円 複勝:05=180円 11=360円 06=390円 枠連:1,080円",,,,,,,,,,,,"単勝:300円 複勝:01=160円 14=190円 03=1,060円 枠連:750円",,,,,,,,,,,
"馬連:5,690円 ワイド:02-09=1,420円 06-09=490円 02-06=1,660円",,,,,,,,,,,,馬連:270円 ワイド:05-08=150円 01-05=400円 01-08=350円,,,,,,,,,,,,"馬連:2,090円 ワイド:05-11=620円 05-06=810円 06-11=1,520円",,,,,,,,,,,,"馬連:890円 ワイド:01-14=430円 01-03=3,260円 03-14=4,620円",,,,,,,,,,,
"馬単:7,720円 3連複:8,050円 3連単:49,660円",,,,,,,,,,,,"馬単:830円 3連複:790円 3連単:3,920円",,,,,,,,,,,,"馬単:3,470円 3連複:6,890円 3連単:34,050円",,,,,,,,,,,,"馬単:1,490円 3連複:17,680円 3連単:68,880円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,秋吉台特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄガンダｰラ, 63,和田竜,, 69,*  2,*  1, 5, 13.9,①①①, 1,14,Ｌニシノアンクレット, 47,松山弘,, 70,*  7,* -5, 1,  3.7, ③③, 1,10,Ｊロックオブサリサ, 67,小牧太,, 78,   6,*  6, 1,  2.2, ⑦⑤, 1,11,Ｊファディクト, 62,田中健,, 73,*  8,   3, 8, 44.8, ①①
 2, 5,Ｃゴｰルデンゴｰル, 66,幸英明, 0.3, 66,*  0,* -1, 1,  2.3,⑭④③, 2, 6,Ｄフェリスホイｰル, 57,福永祐, 0.3, 64,   3,* -4, 4,  7.3, ⑦⑤, 2, 8,Ｑカヴァリエ, 55,福永祐, 0.1, 75,   3,*  7, 2,  4.4, ⑩⑨, 2, 5,Ａシゲルカサギヤマ, 74,幸英明, 0.0, 70,  -1,*  9, 3,  4.6, ⑦④
