09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂダンツミラション, 46,国分恭,, 49,  -4,*-12, 3,  3.9, ⑦⑥, 1, 4, メイショウウズシオ,---,飯田祐,, 57, -19,*  8, 2,  3.1, ⑤④, 1, 7,Ｉカリズマクレスト, 57,田中健,, 67,*  3,*  3, 5, 11.5,③③⑤, 1, 2,Ｈマイプリティワン, 81,小牧太,, 83,   6,* 17, 4,  7.5,⑦⑩⑩
 2, 2,Ｃウイントランザム, 45,松山弘, 0.1, 48,  -2, -16, 8, 26.2, ④③, 2, 7, アグネスクルｰガ,---,和田竜, 0.2, 54, -15,   2, 1,  2.1, ③②, 2, 3,Ｄヤマイチコマンド, 63,佐久間, 0.0, 67,*  4,   1, 4,  6.6,①①①, 2, 4,Ｅパｰプルイｰグル, 84,安藤光, 0.0, 80,   7,* 14, 9, 28.8,⑨⑥④
 3, 5,Ｋレッドアンバｰ, 29,幸英明, 0.1, 50,*  1, -19, 1,  3.5, ②②, 3, 6, テイエムファイヤｰ,---,田嶋翔, 0.3, 52,*-14,  -1, 6, 15.0, ①①, 3,11,Ｈメイショウヨシムネ, 58,渡辺薫, 0.1, 68,*  3,*  3, 9, 28.9,④⑥④, 3,13,Ｋコウジンアルス, 80,太宰啓, 0.2, 80,*  9,   9, 5,  8.5,①①①
 4,11,Ｇエｰシンハダル, 34,和田竜, 0.1, 48,  -3,*-15, 4,  6.1, ⑤④, 4, 2, アツコ,---,小牧太, 0.9, 47, -27,*  4, 4,  8.3, ⑧⑧, 4, 5,Ｇツルマルノホシ, 58,国分恭, 0.1, 66,*  4,   1, 3,  5.0,②②②, 4,12,Ｄテイエムザエックス, 85,鮫島良, 0.2, 80,*  8,  10, 1,  2.9,⑤⑤⑤
 5, 1,Ｅアリエナイ, 39,上村洋, 0.3, 45,  -5,*-15, 6, 17.0, ⑥⑦, 5, 5, ラビングリｰシャ,---,小坂忠, 1.3, 40, -24,  -3, 9, 96.1, ⑥⑥, 5, 8,Ｅセレスダイヤモンド, 62,小牧太, 0.4, 65,   2,   1, 8, 17.5,⑦⑤③, 5, 5,Ｃハｰドシｰキング, 85,石橋守, 0.3, 83,   6,  14, 3,  7.2,⑪⑨⑧
 6, 3,Ａサダムトウコン, 51,太宰啓, 0.6, 44,*  3, -27, 2,  3.6, ①①, 6, 8, テイエムテツワン,---,幸英明, 1.9, 31, -16, -19, 5, 14.8, ④⑤, 6,13,Ｆハナゴロモ, 58,大下智, 0.5, 64,   0,*  3, 7, 16.9,⑧⑨⑦, 6, 1,Ｇタガノエスペランサ, 83,橋本美, 0.4, 81,   7,  13, 8, 27.7,⑥⑧⑥
 7, 7,Ｌアイラインロｰズ, 26,野元昭, 0.6, 40,  -7, -17, 7, 22.6, ⑨⑨, 7, 3, コスモエスカリエ,---,鮫島良, 2.0, 30, -27, -10, 8, 53.0, ⑦⑦, 7,15, グランプリヒトスジ,---,鮫島良, 1.7, 56,  -1,  -5, 2,  4.5,⑫⑬⑫, 7, 6,Ｊロリンザｰユｰザｰ, 81,上村洋, 0.7, 77,*  8,   7,10, 29.7,③③③
 8,10,Ｄデンコウオクトパス, 44,小牧太, 0.8, 39,  -5, -21, 5, 11.9, ⑧⑧, 8, 9, バンブｰエリザベス,---,野元昭, 2.3, 27,*-13, -26, 3,  6.9, ②③, 8,14,Ｌエリモメトロポリス, 51,中村将, 2.0, 52,   1, -10,15,233.5,⑨⑪⑧, 8, 3,Ｉシルクストリｰト, 81,赤木高, 0.9, 75,   7,   7,12, 55.5,⑧⑦⑦
 9, 6,Ｊアキノロｰレル, 29,鮫島良, 0.9, 39,*  0, -28, 9, 39.6, ③⑤, 9, 1, マスタｰウィル,---,松山弘, 3.7,  9, -36, -23, 7, 50.7, ⑨⑨, 9, 9,Ｂヤマニンスクワｰル, 64,和田竜, 2.3, 52,*  3, -16, 1,  3.2,⑤④⑥, 9,10,Ｆゼンノトレヴィ, 84,幸英明, 1.0, 72,*  9,   2, 6, 12.3,②②②
