09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｃインタレスティング, 44,酒井学,, 56,*  4,*-17, 6, 18.2, ①②, 1, 8, セイインディア,---,渡辺薫,, 44, -14,* -9, 5, 11.6, ④⑤, 1,10,Ａロｰズリパブリック, 63,武豊  ,, 66,*  0,*  1, 1,  2.0,①②③, 1, 7,Ｋマルイチクエスト, 48,幸英明,, 78,* 13,  -6, 8, 36.4,①①①
 2, 3,Ｄスズノブレイヴ, 42,中村将, 0.3, 48,  -2,*-16, 3,  6.4, ⑤③, 2, 2, トｰコｰブロンコ,---,小牧太, 0.0, 44, -17,* -7, 1,  1.8, ⑤④, 2, 5,Ｂシュンリキ, 63,和田竜, 0.2, 64,*  0,* -2, 2,  5.0,②①①, 2, 1,Ｈアキノカウンタｰ, 69,鮫島良, 0.3, 77,   6,*  4, 7, 34.3,③④④
 3,11,Ｂコウエイマｰチ, 45,幸英明, 0.3, 48,  -4,*-14, 2,  2.9, ⑦⑥, 3, 4, ヤマニンガｰゴイル,---,松山弘, 0.2, 41, -13, -13, 3,  6.9, ③①, 3, 1,Ｆトレノソルｰテ, 58,大下智, 0.9, 57,  -3,* -6, 8, 38.0,⑪⑥②, 3, 2,Ａスピリタス, 88,小牧太, 0.4, 77,   7,*  5, 1,  1.5,⑦⑥⑥
 4, 2,Ｆマルシゲコマンド, 36,鮫島良, 0.6, 47,*  1, -22, 8, 30.8, ②①, 4, 7, ナムラクレヴァ,---,国分恭, 0.3, 39,*-12, -16, 2,  4.4, ②②, 4,17,Ｋサンライズウィル, 45,川田将, 1.1, 55,* -1, -12, 9, 46.8,③④⑤, 4, 8,Ｄシャイニｰボｰイ, 77,武豊  , 0.4, 74,   9,  -2, 4, 11.8,②②②
 5,12,Ｅカシノピストン, 41,太宰啓, 0.8, 39, -10,*-14, 7, 19.1, ⑬⑫, 5, 1, テイエムバゴオｰ,---,鮫島克, 0.4, 38, -18, -10, 4,  7.0, ⑥⑥, 5,18, タイキユイマｰル,---,福永祐, 1.4, 52,* -1, -15, 6, 23.3,⑤⑤⑥, 5,10,Ｂロｰドアルファｰド, 79,川田将, 0.8, 70,   7,  -6, 5, 11.9,④③③
 6, 4,Ｉキリシマウイング, 30,松山弘, 0.8, 41,  -5, -19, 9, 44.7, ⑧⑦, 6, 9, テイエムチャンプル,---,山口勲, 2.8,  9, -44, -17, 8, 59.2, ⑧⑧, 6, 3,Ｌウインアヴェニュｰ, 43,国分恭, 1.6, 52,  -3, -12,11, 91.6,⑦⑨⑦, 6,11,Ｃグッドバニヤン, 78,和田竜, 1.1, 69,   8,  -8, 3,  8.3,⑤⑤⑤
 7,13,Ａテイエムキバッド, 53,田中健, 1.0, 41,* -1, -26, 1,  2.9, ④⑤, 7, 5, トウケイトニｰ,---,熊沢重, 2.9,  7, -44, -18, 6, 36.3, ⑦⑦, 7, 4,Ｄナリタテイオｰ, 59,渡辺薫, 1.6, 53,  -3, -14, 7, 31.4,⑧⑩⑧, 7, 9,Ｇワキノパワｰ, 70,赤木高, 1.3, 67,   7,  -8, 9, 94.4,⑥⑧⑧
 8,15,Ｈクリノキンバリｰ, 33,高橋亮, 1.1, 40,  -1, -25,10, 68.5, ⑥⑧, 8, 3, イッツオンリｰラブ,---,幸英明, 3.2,  6,*-10, -52, 7, 42.1, ①③, 8, 7,Ｅニホンピロリｰベル, 59,酒井学, 1.7, 49,  -3, -17, 5, 14.5,⑨⑦⑨, 8, 5,Ｅメイショウナイト, 76,高橋亮, 1.4, 65,   3,  -6, 6, 22.6,⑩⑩⑩
 9,14,Ｋミッキｰボンボン, 28,藤岡康, 1.3, 34,  -6, -25, 4,  7.9, ⑪⑨, 9,10, カシノファルコン,---,大下智, 3.5, -3, -45, -25, 9,147.2, ⑨⑨, 9, 8,Ｐシゲルマヤサン, 38,鮫島克, 1.8, 49,  -6, -13,10, 61.8,⑫⑫⑩, 9, 4,Ｆサバｰス, 75,福永祐, 1.7, 62,   5, -13, 2,  6.7,⑧⑦⑦
10,10,Ｐカシノセバスチャン, 22,国分恭, 1.5, 33,* -1, -32,16,240.0, ③④,,,,,,,,,,,,,10,12,Ｇアウサンガテ, 58,佐藤哲, 1.9, 45,* -1, -21, 3,  5.9,④③④,10, 6,Ｉサイレンスゴｰルド, 68,渡辺薫, 1.8, 62,   6, -15,10,103.8,⑨⑨⑨
11, 1,Ｍスｰパｰショット, 28,生野賢, 1.5, 33, -15, -18,14,230.0, ⑯⑬,,,,,,,,,,,,,11, 9,Ｃワンダｰプリンス, 59,田中健, 1.9, 49,  -7, -11,16,468.8,⑭⑮⑭,11, 3,Ｊクイックシュｰタｰ, 64,鮫島克, 1.9, 61,  -2,  -1,11,130.2,⑪⑪⑪
12,18,Ｇカシノグロｰブ, 36,小坂忠, 1.6, 31,  -5, -30,11,112.1, ⑨⑩,,,,,,,,,,,,,12,11,Ｈラインチェイサｰ, 54,熊沢重, 2.0, 45,  -4, -19, 4,  7.6,⑩⑪⑫,,,,,,,,,,,,
13, 7,Ｑネオスペチアｰレ,-15,和田竜, 1.6, 30, -10, -24, 5, 16.4, ⑫⑭,,,,,,,,,,,,,13,14,Ｏガｰデンクォｰツ, 40,太宰啓, 2.2, 45,  -9, -12,13,303.7,⑮⑯⑪,,,,,,,,,,,,
14, 9,Ｌヴォｰタン, 28,角田晃, 2.5, 22, -11, -35,13,181.4, ⑭⑮,,,,,,,,,,,,,14,13,Ｍスカイボｰイング, 41,真島正, 2.4, 43,  -7, -17,18,589.4,⑬⑭⑬,,,,,,,,,,,,
15, 6,Ｎアイラインハヤブサ, 27,高野容, 2.6, 19,  -6, -41,15,233.8, ⑩⑪,,,,,,,,,,,,,15,16,Ｉメイショウテノｰル, 53,高橋亮, 2.6, 43,  -5, -21,12,205.8,⑯⑬⑮,,,,,,,,,,,,
16, 8, リバｰレッド,---,山口勲, 2.9,  6, -15, -36,12,180.0, ⑰⑰,,,,,,,,,,,,,16,15,Ｎシルバｰロマンス, 40,幸英明, 2.7, 41, -10, -16,17,470.2,⑰⑰⑰,,,,,,,,,,,,
17,17,Ｏカシノストライカｰ, 26,赤木高, 3.7,-17, -33, -30,18,364.0, ⑱⑱,,,,,,,,,,,,,17, 2,Ｑバサラキング, 35,佐久間, 4.1, 31,  -4, -47,15,449.1,⑥⑧⑯,,,,,,,,,,,,
18, 5,Ｊヨシノモモ, 29,野元昭, 4.0, -6, -12, -52,17,301.7, ⑮⑯,,,,,,,,,,,,,18, 6,Ｊアスタｰジャッジ, 52,赤木高, 9.8,-30, -25, -77,14,393.0,⑱⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:1),,,,,,,,,,,
