09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ西日本賞北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂフェブムｰビング, 60,幸英明,, 60,*  4,  -4, 2,  4.7, ①①, 1, 6, メイショウヘミング,---,武豊  ,, 70,* -2,*  5, 1,  1.4, ①①, 1, 5,Ｅビバエルフ, 64,川田将,, 64,  -2,*  2, 2,  5.0, ⑨⑩, 1, 9,Ｅサンダルフォン, 84,酒井学,, 91,  11,* 15, 8, 15.8, ⑨⑤
 2, 2,Ｉロｰズバレｰ, 41,大下智, 0.4, 55,  -3,  -4,11,150.7, ⑤④, 2, 4, ピカピカテッタ,---,野元昭, 0.2, 67,  -5,*  5, 4, 10.7, ②②, 2, 2,Ｃサイキョウアサカゼ, 64,浜中俊, 0.2, 61,  -4,*  2, 3,  5.6, ⑪⑨, 2,13,Ｃレディルｰジュ, 85,鮫島良, 0.2, 90,  13,  11, 2,  5.0, ⑦⑦
 3,11,Ｄタムロガッツ, 52,佐藤哲, 0.5, 55,*  1,  -7, 3,  5.2, ②②, 3,10, マイネルガヴロシュ,---,幸英明, 1.1, 55,  -5,  -7, 2,  7.4, ③③, 3,14,Ｆマキハタスプｰン, 59,高井彰, 0.3, 66,* 12, -17, 8, 43.6, ②①, 3, 4,Ｏカノヤザクラ, 77,小牧太, 0.3, 88,  12,  10, 1,  3.4, ⑥④
 4,14,Ａエムオｰゴｰルド, 64,福永祐, 0.5, 55,   0,  -7, 1,  1.9, ④③, 4, 3, テイエムバイタル,---,小牧太, 1.6, 47, -10,  -8, 7, 32.9, ⑦⑥, 4,10,Ｌブルｰレイ, 43,藤岡康, 0.5, 58,   3, -11,10, 54.9, ⑤⑤, 4,14,Ａウイントリガｰ, 91,和田竜, 0.4, 85,   6,* 15,12, 43.7, ⑬⑬
 5, 1,Ｇポｰトサンダｰ, 43,和田竜, 0.7, 52, -10,* -2, 5, 15.3, ⑧⑦, 5, 1, ホｰプホｰマン,---,飯田祐, 2.3, 38, -10, -17, 5, 11.6, ⑥⑤, 5, 4,Ｄリディック, 64,小牧太, 0.5, 56,  -3,  -4, 6, 11.1, ⑩⑪, 5, 6,Ｂメリッサ, 90,武豊  , 0.5, 83,   4,* 15, 3,  6.7, ⑯⑮
 6, 6,Ｆワイキキブリｰズ, 44,松山弘, 0.8, 47, -14,* -1, 6, 18.8, ⑩⑩, 6, 2, ミニｰバロｰズ,---,角田晃, 2.4, 39,  -6, -22, 6, 32.4, ④④, 6,15,Ｉシャイニｰコｰト, 50,渡辺薫, 0.6, 60,*  7, -16, 5,  8.4, ④③, 6,15,Ｄコスモベル, 84,佐藤哲, 0.7, 81,  10,   8, 4,  7.1, ⑩⑨
 7, 9,Ｊチタニウムヘッド, 32,鮫島良, 1.0, 48, -14,  -3, 7, 24.2, ⑪⑫, 7, 5, リズミカルステップ,---,浜中俊, 3.2, 28,  -7, -31, 3,  8.7, ⑤⑦, 7,13,Ａピサノレインボｰ, 65,武豊  , 0.7, 54,   2, -12, 1,  3.0, ⑦⑦, 7, 3,Ｌクｰルシャロｰン, 80,川田将, 0.7, 80,   4,  13, 9, 23.8, ⑭⑭
 8, 3,Ｌカシノアベベ, 27,鈴来直, 1.1, 47, -14,  -3,14,317.6, ⑫⑨, 8, 7, ナリタシルクロｰド,---,和田竜, 3.9, 20, -29, -20, 8, 37.3, ⑧⑧, 8,16,Ｇハｰトマン, 57,幸英明, 0.8, 55,   2, -13, 7, 11.4, ⑧⑧, 8, 5,Ｎシャウトライン, 78,浜中俊, 0.7, 84,* 15,   2, 7, 15.7, ③②
 9, 8,Ｅオｰミスプラウト, 46,太宰啓, 1.2, 47,  -3, -11,10,115.2, ⑥⑤, 9, 8, ベルスマｰレ,---,渡辺薫, 4.2,  4, -42, -10, 9, 83.3, ⑩⑩, 9,12,Ｈロングワイズ, 51,安藤光, 1.0, 48, -12,  -3,12,104.8, ⑮⑫, 9,10,Ｊマルカフェニックス, 81,福永祐, 0.8, 80,   7,   9, 5, 11.1, ⑪⑪
10, 7,Ｎドラゴンイチロｰ, 20,飯田祐, 1.4, 43, -18,  -4, 9, 91.7, ⑬⑬,10, 9, アサヒコレクタｰ,---,安藤光, 5.5,-11, -32, -38,10,182.7, ⑨⑨,10,11,Ｍパｰプルミツバチ, 43,和田竜, 1.1, 48,  -6,  -9,15,167.4, ⑫⑬,10, 7,Ｑコウエイハｰト, 54,松山弘, 0.8, 84,* 18,  -2,11, 36.1, ②①
11,10,Ｃエｰシンリジル, 55,浜中俊, 1.5, 44,  -8, -11, 4, 10.1, ⑦⑧,,,,,,,,,,,,,11, 8,Ｎカシノレオン, 41,熊沢重, 1.2, 51,   6, -22,16,244.9, ③④,11, 8,Ｇゼットカｰク, 82,熊沢重, 0.9, 81,* 15,   0,13, 47.7, ④③
12,12,Ｈペガサスガｰル, 42,安藤光, 1.7, 42,   0, -17,12,272.1, ③⑥,,,,,,,,,,,,,12, 6, シルクジェミニ,---,角田晃, 1.3, 49, -22,*  4, 9, 48.9, ⑰⑰,12, 2,Ｉヘイロｰフジ, 81,飯田祐, 1.1, 77,  11,   1,15, 64.7, ⑧⑩
13,13,Ｋラブハミング, 28,国分恭, 1.9, 38, -12, -12, 8, 78.8, ⑨⑪,,,,,,,,,,,,,13, 1,Ｊシゲルコマガタケ, 48,松山弘, 1.6, 41,  -9, -13,13,131.7, ⑬⑭,13,16,Ｍラッキｰバニヤン, 79,上村洋, 1.3, 74,   8,   1, 6, 15.5, ⑫⑫
14, 4,Ｍトップトウショウ, 24,田中健, 3.2, 24, -26, -15,13,310.5, ⑭⑭,,,,,,,,,,,,,14, 3,Ｂネオカｰニバル, 64,高橋亮, 1.6, 50,* 13, -33, 4,  7.4, ①②,14,12,Ｆコウユｰキズナ, 83,藤岡康, 1.3, 73,   4,   5,10, 31.1, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,15,17, パｰプルパッセｰジ,---,太宰啓, 1.8, 43, -21,  -4,18,251.6, ⑯⑯,15,11,Ｐマチカネハヤテ, 76,田中克, 1.6, 72,  14,  -8,16, 68.5, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,16,18,Ｋシルクシグナル, 47,高野容, 1.9, 40,   4, -30,11, 74.3, ⑥⑥,16, 1,Ｈメイショウトッパｰ, 82,角田晃, 2.0, 68,* 17, -16,14, 57.1, ①⑧
,,,,,,,,,,,,,,,,,,,,,,,,17, 9,Ｏヴェルディｰク, 22,石橋守, 2.3, 34, -10, -21,17,248.7, ⑭⑮,,,,,,,,,,,,
