09年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,ﾏﾚｰｼｱｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂジュエルオブナイル, 55,川田将,, 73,* -7,* 12, 1,  1.5, ①①, 1, 5, メイショウデイム,---,福永祐,, 57,*-12,   2, 2,  2.7, ①①, 1,16,Ｃデンタルマロン, 64,太宰啓,, 67,  -6,*  7, 7, 13.8, ⑪⑨, 1, 3,Ｆマルカベスト, 79,福永祐,, 78,  -3,  13, 1,  2.8, ⑧⑦
 2, 5,Ａスギノブロッサム, 65,田中健, 0.5, 66, -11,* 10, 2,  3.5, ④③, 2, 3, バンダムクラウス,---,佐藤哲, 0.3, 51, -16,   2, 3,  7.8, ④②, 2,17,Ｉマルセイユシチｰ, 55,小牧太, 0.0, 67,*  0,   0,10, 18.8, ④②, 2, 4,Ｂビンチェロ, 81,小牧太, 0.2, 75,  -7,* 15, 3,  6.3, ⑩⑩
 3, 4,Ｅベルエｰル, 44,小牧太, 0.8, 62,* -8,   3, 4, 21.9, ②②, 3, 8, フォｰスフルバイオ,---,浜中俊, 0.7, 49, -27,*  7,10, 74.6, ⑩⑩, 3, 8,Ｅフラワｰウィンド, 60,松山弘, 0.2, 64,  -6,*  3, 1,  4.2, ⑧⑦, 3, 7,Ｇエイシンパンサｰ, 78,川田将, 0.2, 75,   3,   5, 2,  5.4, ④④
 4, 7,Ｃニチドウルチル, 48,田嶋翔, 0.9, 60, -14,   7, 3,  7.0, ⑦⑤, 4, 1, シゲルモトナリ,---,赤木高, 0.8, 45, -23,   1, 8, 37.0, ⑨⑧, 4,10,Ｋピサノヴァロン, 51,浜中俊, 0.3, 63,  -3,  -1, 8, 13.9, ⑤⑥, 4, 5,Ｅミリオンウェｰブ, 80,角田晃, 0.3, 74,  -8,* 14, 4,  9.4, ⑭⑫
 5, 9,Ｄエトピリカ, 44,松山弘, 0.9, 60,  -9,   3, 6, 50.4, ③④, 5, 7, マコトヴォイジャｰ,---,川田将, 0.8, 45, -18,  -4, 1,  2.0, ⑥⑥, 5,12,Ａイナズマガイア, 72,高野容, 0.5, 61,  -2,  -3, 2,  4.6, ⑥④, 5,14,Ｊシティボス, 76,赤木高, 0.3, 75, -12,* 19, 6, 13.8, ⑮⑮
 6, 2,Ｇカネコメキラリ, 40,幸英明, 1.1, 59, -16,   7, 5, 31.4, ⑧⑦, 6, 9, ホンマキセキ,---,金折知, 1.0, 43, -15,  -9, 6, 25.0, ③④, 6,18,Ｂタマモコロナ, 66,鈴来直, 0.5, 60,  -4,  -2, 3,  7.2, ⑦⑧, 6, 6,Ｃエｰシンビｰエル, 81,浜中俊, 0.4, 72,  -7,  12, 8, 15.1, ⑪⑭
 7, 3,Ｆラビングリｰシャ, 41,国分恭, 1.9, 47, -12,  -8, 8, 62.4, ⑤⑥, 7, 6, シャイニｰベスト,---,田嶋翔, 1.4, 38, -18, -11, 7, 28.7, ⑤⑤, 7, 6,Ｆミステリアスガイ, 58,中村将, 0.5, 60,  -7,   0, 4,  7.2, ⑨⑩, 7, 9,Ａメモリｰパフィア, 94,酒井学, 0.5, 71,*  7,  -2, 9, 15.3, ①①
 8, 1,Ｉカシノポピｰ, 32,安藤光, 2.0, 47, -21,   1,10,207.4, ⑨⑨, 8, 2, ミッキｰデジタル,---,小牧太, 1.4, 38,*-14, -15, 4, 13.5, ②③, 8, 2,Ｌアルビナス, 51,石橋守, 0.5, 60, -11,*  4, 5,  9.2, ⑭⑬, 8,13,Ｍエｰシンビｰセルズ, 73,上村洋, 0.5, 71,   1,   3, 7, 14.9, ⑥⑤
 9, 8,Ｈアイラインロｰズ, 39,野元昭, 2.1, 44, -12, -10, 9,122.0, ⑥⑧, 9,10, マイネリトルラバｰ,---,幸英明, 2.0, 31, -17, -19, 5, 17.6, ⑦⑨, 9, 7,Ｊカシノスフィンクス, 53,大下智, 0.7, 57,  -8,  -1,12,104.9, ⑫⑪, 9,15,Ｄヴェンティ, 81,佐藤哲, 0.8, 65,*  5,  -5,10, 42.6, ③③
10, 6, カシノビヨンセ,---,赤木高, 3.9, 21, -31, -15, 7, 53.9, ⑩⑩,10, 4, ダンツウォッチ,---,藤岡康, 2.1, 28, -22, -17, 9, 73.3, ⑧⑦,10, 4,Ｈキングコｰリンオｰ, 56,川田将, 0.9, 56,* -1, -10, 6, 12.6, ③⑤,10,10,Ｎタケイチゼット, 72,田中健, 0.8, 67,  -6,   5,11, 60.9, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,11, 9,Ｍマルブツヴァｰス, 51,国分恭, 0.9, 55,  -7,  -5,13,112.8, ⑩⑫,11, 2,Ｋカシノマイケル, 76,藤岡康, 0.8, 67,  -8,   8,13, 65.7, ⑬⑪
,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｎテイエムナイスガイ, 50,赤木高, 1.2, 50, -16,   0,14,118.7, ⑮⑮,12, 8,Ｉセレブラｰル, 77,幸英明, 1.0, 64,   0,  -2,14, 68.0, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｄコｰヒｰゼリｰ, 61,藤岡康, 1.5, 47,*  1, -21, 9, 16.0, ①③,13,11,Ｌメイショウバレｰヌ, 73,国分恭, 1.1, 63,   3,  -6,12, 64.3, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｇヴォｰグ, 58,幸英明, 1.6, 46,*  1, -22,11, 25.8, ②①,14, 1,Ｏメッサｰシュミット, 50,渡辺薫, 1.4, 60,  -8,   0,15,161.0, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｑコアレスクラウン, 33,黒岩悠, 1.8, 43, -17,  -6,18,353.1, ⑯⑯,15,12,Ｈクリスティイモン, 78,太宰啓, 1.5, 57,*  7, -16, 5, 12.3, ②②
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｐシゲルカブトヤマ, 38,酒井学, 2.0, 40, -10, -17,15,173.0, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｏブライティアソワレ, 44,佐藤哲, 2.2, 37, -24,  -5,17,243.7, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 5, ホクテンキャピタル,---,角田晃, 4.5,  9, -42, -18,16,222.6, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,
単勝:150円 複勝:10=110円 05=110円 04=200円 枠連:210円,,,,,,,,,,,,"単勝:270円 複勝:05=140円 03=210円 08=1,070円 枠連:990円",,,,,,,,,,,,"単勝:1,380円 複勝:16=400円 17=490円 08=160円 枠連:1,140円",,,,,,,,,,,,単勝:280円 複勝:03=130円 04=160円 07=170円 枠連:520円,,,,,,,,,,,
馬連:210円 ワイド:05-10=130円 04-10=330円 04-05=430円,,,,,,,,,,,,"馬連:970円 ワイド:03-05=380円 05-08=2,060円 03-08=4,590円",,,,,,,,,,,,"馬連:8,240円 ワイド:16-17=2,260円 08-16=690円 08-17=1,190円",,,,,,,,,,,,馬連:870円 ワイド:03-04=320円 03-07=380円 04-07=560円,,,,,,,,,,,
"馬単:330円 3連複:610円 3連単:1,450円",,,,,,,,,,,,"馬単:1,440円 3連複:12,630円 3連単:41,410円",,,,,,,,,,,,"馬単:18,080円 3連複:10,680円 3連単:97,310円",,,,,,,,,,,,"馬単:1,290円 3連複:1,360円 3連単:5,310円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
