09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-18,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃフェブスカイ, 52,幸英明,, 65, -11,*  9, 1,  2.8, ③③, 1, 3, タガノジョｰカｰ,---,国分恭,, 47, -19,*  0, 6, 20.7, ⑤⑥, 1, 4,Ｄウェザｰサイド, 65,鮫島良,, 75,  -2,* 13, 4,  5.8,⑪⑩⑤, 1,15,Ａマストビｰトゥルｰ, 90,松山弘,, 94,* 20,   6, 3,  4.9,⑤④③
 2, 5,Ｆフライトハｰン, 49,飯田祐, 0.4, 59, -13,*  5, 6, 10.4, ⑤⑤, 2, 9, メルヴェイユドｰル,---,幸英明, 0.1, 47, -19,* -1, 2,  3.4, ⑥④, 2,15,Ｃタケカジョウオｰ, 66,浜中俊, 0.2, 71,*  4,  -1, 2,  4.4,①①①, 2, 1,Ｅバトルバニヤン, 85,藤岡康, 0.2, 92,  17,   9, 4,  9.3,⑥⑥④
 3, 6,Ｂケｰジｰハナコ, 54,野元昭, 0.8, 54,* -7,  -5, 4,  7.9, ①①, 3,10, ベルベットカフェ,---,浜中俊, 0.3, 44,*-17,  -7, 1,  2.9, ②②, 3,11,Ａボウイナイフ, 68,酒井学, 0.3, 69,*  2,   2, 6, 10.9,②③③, 3, 3,Ｆニルヴァｰナ, 85,熊沢重, 0.3, 89,* 20,   2, 9, 18.3,③③①
 4, 8,Ｅスタｰリｰクルｰズ, 49,渡辺薫, 0.8, 56, -15,   3, 5,  8.3, ⑨⑩, 4, 1, メイショウサラサ,---,高橋亮, 0.4, 42, -18,  -7, 3,  3.5, ④⑤, 4, 3,Ｆメイショウサｰバル, 64,松山弘, 0.6, 65,*  3,  -5, 5, 10.5,④②②, 4,14,Ｌテイエムアンコｰル, 82,浜中俊, 0.3, 94,  13,* 16, 1,  4.5,⑭⑭⑩
 5, 7,Ｄダンツエルフ, 51,松山弘, 0.9, 53,* -9,  -5, 7, 39.6, ②②, 5, 7, テイエムアコガレ,---,田嶋翔, 0.6, 40, -24,  -2,11, 91.6, ⑨⑩, 5, 8,Ｂカノヤグッドラック, 67,田中健, 0.7, 68,  -4,*  7, 3,  4.6,⑯⑭⑪, 5, 2,Ｎインセンティブガイ, 75,角田晃, 0.4, 91,  19,   3,14, 79.1,④⑤⑤
 6,10,Ｈテｰオｰケンシン, 34,藤岡康, 1.0, 51, -14,  -1, 3,  5.1, ⑩⑧, 6, 6, ゴブリンダンサｰ,---,田中健, 0.7, 40,*-15, -13,10, 86.2, ①①, 6,16,Ｅゴｰルデンゴｰル, 64,幸英明, 0.9, 66,  -3,*  5, 1,  3.2,⑮⑯⑩, 6, 9,Ｃラフィナｰル, 87,和田竜, 0.6, 88,  16,   6, 6, 12.8,⑫⑧⑦
 7,12,Ｉカシノイワイザケ, 32,鈴来直, 1.3, 47, -13,  -7,11,275.5, ⑥④, 7, 2, コｰリンブラッサム,---,松山弘, 0.8, 37, -21,  -9, 5, 14.9, ⑦⑦, 7, 9,Ｌシｰガｰディアン, 41,熊沢重, 1.3, 58,  -2,  -5,12,175.4,⑩⑪⑨, 7, 6,Ｉアップドラフト, 84,鮫島良, 0.7, 87,  17,   1, 5, 12.1,⑦⑦⑧
 8, 4,Ｇキセキノウタ, 40,赤岡修, 1.3, 47, -14,  -5, 8, 84.8, ⑧⑦, 8, 8, グッドティアラ,---,太宰啓, 1.0, 34, -22, -11, 9, 53.1, ⑧⑧, 8,14,Ｇデルバｰル, 58,大下智, 1.4, 57,   0, -11, 8, 31.2,③⑥⑦, 8, 7,Ｂナスノストロｰク, 89,赤木高, 0.8, 86,  13,   7, 8, 13.6,⑪⑪⑨
 9, 2,Ｊマッシヴファイタｰ, 26,熊沢重, 1.8, 40, -19,  -7, 9,191.6, ⑫⑪, 9, 5, ダイヤモンドピｰル,---,和田竜, 1.2, 33, -27,  -7, 8, 22.8, ⑪⑪, 9, 1,Ｈサルヴェイション, 56,太宰啓, 1.5, 56,   1, -12, 7, 27.8,⑦⑤④, 9,10,Ｋチョウサンデイ, 83,太宰啓, 0.8, 87,  10,* 13, 7, 13.2,⑮⑮⑮
