09年 8月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｋフェバリットアワｰ, 29,横山典,, 59,*  1,* -5, 3,  5.8,①①①, 1, 6,Ｃスリｰコンビナｰト, 62,秋山真,, 60,  -3,*  3, 4, 10.4, ⑧⑤, 1,10,Ｄロｰンウルフ, 73,丸田恭,, 73,*  4,*  7, 3,  6.1,⑤④③, 1,12,Ｂロッソトウショウ, 80,古川吉,, 82,   9,* 10, 2,  3.9,⑪⑪⑥
 2, 5,Ａペガサスヒルズ, 64,安藤勝, 0.4, 55,*  1,  -8, 1,  1.7,②②②, 2, 1,Ｂクイｰンマルサ, 68,池添謙, 0.2, 66,* 12,  -8, 2,  4.0, ①①, 2,13,Ａシルクダイナスティ, 76,藤田伸, 0.0, 72,   3,*  9, 1,  3.3,⑧⑧⑤, 2, 1,Ｌゴｰルデンプライズ, 72,丸田恭, 0.1, 78,  12,   4, 4, 12.7,③③④
 3, 8,Ｃアドマイヤプレミア, 56,岩田康, 1.1, 55,   0,  -8, 2,  4.4,⑦⑧⑦, 3, 8,Ａタガノシュペリエル, 75,岩田康, 0.5, 56,   0,  -4, 1,  1.7, ⑥④, 3, 3,Ｂダイレクトパス, 75,岩田康, 0.4, 71,   1,*  9, 4,  7.1,⑩⑩⑧, 3, 5,Ｋピｰスエンブレム, 73,岩田康, 0.1, 78,  10,*  6, 1,  1.8,⑦⑦③
 4, 6,Ｅコングラチュレｰト, 56,秋山真, 1.2, 51,   0, -12, 6, 22.1,③⑤③, 4,11,Ｄクリノシｰグリｰン, 59,中谷雄, 0.7, 54,  -1,  -4, 8, 65.4, ⑦⑦, 4, 4,Ｈアドバンスピｰル, 67,三浦皇, 0.6, 66,*  5,   0, 5,  9.9,②②②, 4, 2,Ｃドリｰムプレイ, 78,中舘英, 0.2, 77,* 13,   0, 3, 10.6,①①①
 5, 2,Ｂスズカジェネラル, 59,小林徹, 1.4, 51,   0, -13, 5, 21.4,⑨⑦④, 5, 9,Ｋクロススピｰド, 44,菊沢隆, 0.9, 58,*  9, -14, 9, 86.8, ②②, 5,12,Ｅキｰネプチュｰン, 72,安藤勝, 0.9, 65,   3,   1, 2,  3.4,⑨⑦⑥, 5, 9,Ｇフキラウソング, 75,三浦皇, 0.3, 75,* 13,   0, 7, 17.6,②②②
 6, 9,Ｉニシノスロｰン, 46,松田大, 1.4, 52,   0, -14, 9, 80.2,⑤④⑥, 6, 7,Ｊサマｰヒロイン, 44,宮崎北, 1.0, 48,  -4,  -6, 5, 16.1, ⑨⑧, 6, 8,Ｊセイカカリンバ, 62,津村明, 1.2, 62,*  5,  -5, 6, 10.3,①①①, 6, 3,Ｊマリアｰジュ, 73,藤田伸, 0.5, 76,  10,   3, 5, 13.2,⑥⑥⑦
 7,11,Ｇケイアイブル, 53,丸山元, 1.7, 48,  -4, -10, 8, 41.1,⑧⑩⑩, 7,10,Ｆフェアリｰルｰジュ, 56,荻野琢, 1.0, 55,   7, -13, 6, 24.0, ③③, 7, 7,Ｋディアディアｰ, 59,松田大, 1.3, 66,   1,   1,12,212.1,⑪⑪⑩, 7, 4,Ｆシュウザンアイ, 76,小野寺, 0.6, 76,   7,*  7,11,104.4,⑫⑫⑫
 8, 4,Ｄジンダリｰ, 56,藤岡佑, 1.8, 46,   0, -18, 4, 12.0,④③⑤, 8, 4,Ｈデルマアヌビス, 51,竹之下, 1.1, 48, -10,  -2,10, 90.1, ⑪⑨, 8,11,Ｉアンプレヴｰ, 62,池添謙, 1.4, 62,*  4,  -5, 7, 16.5,⑥⑤⑦, 8, 8,Ｈトｰセンレジェンド, 73,横山典, 0.9, 73,   9,   2, 6, 17.5,⑩⑩⑪
 9, 7,Ｈロサオブゲルニカ, 47,丸田恭, 2.7, 43, -10,  -8, 7, 23.0,⑪⑪⑪, 9, 2,Ｉコメットシャワｰ, 46,小野寺, 1.5, 43, -11,  -6,12,325.4, ⑩⑪, 9, 9,Ｇボｰカリスト, 67,小林徹, 1.4, 64,   0,   2,13,285.3,⑬⑬⑬, 9, 7,Ａニットウサラン, 80,宮崎北, 1.0, 72,   9,   1, 8, 34.2,⑨⑨⑩
10, 1,Ｊコスモクロッシング, 41,津村明, 3.2, 37,  -1, -27,10, 82.2,⑩⑨⑧,10,12,Ｇエムオｰイｰグル, 54,丸田恭, 1.5, 50,   7, -17, 7, 29.9, ④⑥,10, 1,Ｃニシノシャア, 73,荻野琢, 2.3, 57,   3, -11, 8, 28.6,④⑥⑪,10,10,Ｄリキアイコンドル, 77,丸山元, 1.6, 67,  12,  -9,10, 69.5,④④⑤
