09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａシャイン, 53,太宰啓,, 67,*  1,* -2, 1,  2.0, ①①, 1, 8, タガノエリザベｰト,---,国分恭,, 61, -20,* 14, 2,  3.3, ⑧⑦, 1, 1,Ｃワキノブライアン, 66,小牧太,, 67,   0,*  7, 2,  5.5,⑮⑮⑫, 1,10,Ｆマルブツリｰド, 87,浜中俊,, 86,*  4,  22, 3,  6.6,⑦⑤④
 2, 9,Ｆマイネルアクア, 39,川田将, 0.6, 58,* -2,  -7, 5, 25.3, ③②, 2, 7, スｰパｰレディｰ,---,小牧太, 0.0, 62,* -9,   4, 1,  3.0, ③③, 2,15,Ｆレインボｰマジック, 62,安藤光, 0.4, 61,   4,  -4, 4, 12.5,⑫⑨⑥, 2,14,Ａメイショウクオリア, 90,武豊  , 0.3, 84,*  4,  19, 2,  5.6,④②②
 3, 1,Ｄレッドアンバｰ, 48,幸英明, 0.8, 55,  -3,  -8, 2,  3.9, ②③, 3, 6, メイショウタフ,---,和田竜, 0.2, 58,* -9,   1, 4,  5.8, ②②, 3, 3,Ｎタテヤマキセキ, 48,中村将, 0.5, 61,*  7,  -9, 8, 39.2,②②②, 3, 5,Ｊメイショウサライ, 86,藤岡康, 0.3, 85,   3,  23, 7, 17.9,⑧⑦⑥
 4, 2,Ｃウイントランザム, 48,松山弘, 1.0, 51,  -6,  -8, 3,  5.0, ⑥⑤, 4, 5, コウエイロブロイ,---,松山弘, 1.2, 45, -10, -11, 3,  4.0, ④④, 4, 4,Ａシャア, 69,太宰啓, 0.5, 63,   4,  -2, 1,  1.8,⑬⑩⑦, 4,11,Ｂニュｰイチトク, 89,小牧太, 0.4, 83,*  4,  19, 1,  2.6,③③③
 5, 5,Ｈテンシノカフェ, 19,中村将, 1.7, 41, -11, -12, 7, 34.0, ⑩⑨, 5, 9, アキノフライ,---,赤木高, 1.4, 43,* -9, -14, 7, 39.8, ①①, 5, 6,Ｅタガノスティｰド, 63,幸英明, 0.5, 61,   4,  -5, 7, 25.6,⑥⑦⑧, 5, 2,Ｎラッキｰブレイク, 83,赤木高, 0.5, 82,   2,  21,13,112.4,⑤⑥⑤
 6, 3,Ｉトウケイトニｰ,  7,国分恭, 1.7, 41, -11, -12, 9, 65.8, ⑨⑧, 6, 3, ケｰジｰドルバコ,---,野元昭, 2.0, 35, -13, -18, 8, 45.9, ⑥⑤, 6,12,Ｌトウケイビクトリｰ, 49,石橋守, 0.7, 63,   5,  -9,13,135.5,⑦⑤③, 6,12,Ｄマイプリティワン, 89,安藤光, 0.5, 82,   1,* 24, 5, 10.4,⑪⑫⑫
 7, 8,Ｅカシノポピｰ, 45,安藤光, 1.8, 42,  -8, -15, 8, 55.1, ⑦⑦, 7, 4, オフェンシヴライン,---,川田将, 2.1, 35, -14, -18, 5, 12.4, ⑦⑥, 7,10,Ｇオｰルブランニュｰ, 60,国分恭, 1.0, 63,   5, -10,10, 52.7,③④⑤, 7,13,Ｉコウジンアルス, 87,太宰啓, 0.6, 80,*  5,  16, 6, 12.1,①①①
 8, 7,Ｊシゲルオナベノカタ,-33,上村洋, 1.8, 41,  -9, -16,10,138.5, ⑧⑩, 8, 2, メイショウシェリｰ,---,高橋亮, 2.8, 26, -14, -27, 6, 24.9, ⑤⑧, 8, 5,Ｂハナゴロモ, 68,大下智, 1.2, 57,   2,  -6, 5, 17.7,⑪⑫⑩, 8, 7,Ｇタガノエクリプス, 87,橋本美, 0.7, 84,  -2,* 27,14,132.1,⑯⑯⑮
 9, 4,Ｂポｰルラッシュ, 52,藤岡康, 1.9, 41,  -4, -21, 4,  6.3, ④④, 9, 1, トライアンフウィル,---,藤岡康, 2.8, 25, -24, -18, 9, 46.7, ⑨⑨, 9,14,Ｄクリニエルドゥオル, 63,松山弘, 1.4, 52,   5, -15, 3,  5.5,⑤⑥④, 9, 1,Ｅタｰトルベイ, 88,酒井学, 0.7, 83,   1,  22,10, 35.6,⑭⑭⑧
