09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂスワット, 64,藤田伸,, 63,* -6,*  5, 1,  2.3, ③③, 1, 7,Ａトリプルスレット, 69,四位洋,, 70,   0,   3, 1,  1.7, ③③, 1,10,Ｂジュモｰ, 78,岩田康,, 85,   3,* 22, 2,  3.7,⑨⑤③, 1, 5,Ｈナニハトモアレ, 74,安藤勝,, 78,* 10,   7, 3,  6.9,②①①
 2,10,Ｅマイネルレガｰロ, 57,松岡正, 0.0, 62,  -9,*  7, 4,  9.7, ⑤④, 2, 9,Ｃアグネスロｰジイ, 65,横山典, 0.1, 68,*  5,  -4, 2,  6.0, ②②, 2,11,Ｃクｰノキセキ, 77,藤田伸, 0.2, 81,*  7,  14, 4,  6.3,②②②, 2, 7,Ｂベルモントガリバｰ, 79,藤田伸, 0.2, 79,   5,* 15, 2,  3.3,⑩⑩④
 3, 3,Ａセントアンズ, 65,横山典, 0.0, 64,* -3,   3, 3,  4.9, ①①, 3, 1,Ｄカワキタラブポップ, 63,津村明, 0.2, 67,  -5,*  5, 4, 13.2, ⑥④, 3,12,Ａフェイドレスシｰン, 79,三浦皇, 1.3, 75,   3,  13, 1,  2.7,⑦⑧⑤, 3, 8,Ｇルナキッズ, 75,荻野琢, 0.9, 76,   6,   7, 6, 25.2,⑧⑧⑧
 4, 2,Ｃクｰルジャズ, 60,武豊  , 0.7, 56,  -8,   1, 2,  2.4, ④⑤, 4,12,Ｈシルキｰルンバ, 57,松田大, 0.5, 64,  -4,   0,10, 51.9, ⑤⑥, 4, 5,Ｄアｰスマリン, 73,芹沢純, 1.4, 71,   5,   7, 3,  4.1,③③④, 4, 2,Ｅスマｰトキャスタｰ, 75,丸田恭, 1.1, 73,   8,   3, 8, 26.4,⑥⑥⑥
 5,12,Ｇスズカジェネラル, 48,小林徹, 1.1, 52, -11,  -1, 5, 31.5, ⑥⑥, 5, 4,Ｋファストストリｰム, 53,中舘英, 0.5, 65,*  8, -11, 8, 29.7, ①①, 5, 9,Ｈコヅル, 68,武豊  , 1.5, 72,*  8,   1, 5, 13.2,①①①, 5, 3, ファイアｰアップ,---,佐々木, 1.4, 70,* 10,  -5,10, 86.3,①②②
 6, 4,Ｆドロップ, 54,菊沢隆, 1.3, 49, -25,*  6, 7, 53.9, ⑨⑨, 6, 3,Ｅフクノライジン, 62,藤田伸, 0.6, 62,  -7,   1, 5, 14.7, ⑨⑦, 6, 2,Ｉエリザベスムｰン, 64,松岡正, 2.1, 70,  -1,  12, 7, 33.4,⑫⑪⑩, 6, 1,Ｆシュヴァイツァｰ, 75,松岡正, 1.6, 69,   4,   4, 5, 12.6,⑪⑪⑨
 7, 5,Ｄフリｰクヒロイン, 59,上野翔, 1.3, 50,* -5,  -8, 6, 41.2, ②②, 7, 6,Ｆラブユニバｰス, 61,田中勝, 0.9, 60, -10,   2,11, 63.5, ⑫⑧, 7,13,Ｆデルマネフティス, 71,横山典, 2.2, 70,  -3,  14, 6, 20.4,⑬⑫⑫, 7,11,Ｃナカヤマスウェプト, 77,丸山元, 1.7, 69,   7,   0, 7, 25.8,⑨⑦⑩
 8, 7, ヤマノシンデレラ,---,丸田恭, 1.4, 47, -16,  -2, 8,156.4, ⑧⑦, 8,10,Ｂレッドエンサイン, 66,岩田康, 1.1, 55, -13,   2, 3,  8.7, ⑭⑭, 8, 6,Ｇハッピｰドロップ, 69,荻野琢, 2.4, 68,   3,   2,12,143.5,⑤⑥⑨, 8, 4,Ｌコパノシンオｰ, 60,津村明, 1.7, 69,   5,   4,13,372.7,⑫⑬⑪
 9, 8,Ｈノアシｰズ, 30,丸山元, 1.6, 46, -14,  -4,12,416.0, ⑦⑧, 9, 8,Ｌグレイスファミリｰ, 51,吉田稔, 1.1, 56, -14,   3, 7, 22.6, ⑮⑯, 9, 8,Ｌヴェスティｰト, 51,吉田稔, 2.9, 62,   4,  -5, 8, 45.6,④④⑥, 9, 9,Ｊヤマタケディガｰ, 71,三浦皇, 2.3, 63,   4,  -2,11, 90.0,⑬⑫⑫
10, 9,Ｉコスモトウゴウ, 29,五十嵐, 2.5, 35, -24,  -6,11,319.3, ⑩⑩,10,14,Ｇメイショウハイホｰ, 57,荻野琢, 1.1, 55,  -9,  -2,12, 78.6, ⑩⑮,10, 4,Ｊチョコフィオｰレ, 61,松田大, 3.2, 65,   3,  -4,13,347.3,⑥⑦⑦,10,12,Ａブラッシュアップ, 82,藤岡佑, 2.3, 63,* 10, -11, 1,  2.4,③③③
