09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａキラウエア, 52,小牧太,, 66,   1,*  3, 1,  2.8, ⑦④, 1, 7, ラナンキュラス,---,四位洋,, 74,  -3,* 14, 1,  1.7, ⑧⑦, 1, 5,Ａトｰセンスタｰン, 81,岩田康,, 72,  10,* -3, 2,  2.6,⑧⑧⑦, 1, 6,Ｌキャプテントゥｰレ, 87,川田将,, 97,   4,  24, 1,  2.4,③④④
 2,11,Ｆエｰシンリジル, 46,浜中俊, 0.4, 64,*  6,  -9, 6, 11.3, ②②, 2, 9, ベストクルｰズ,---,安藤勝, 0.0, 74,   0,* 10, 5, 13.3, ⑦⑥, 2, 9,Ｈワンダｰアサｰルト, 63,野元昭, 0.6, 66,   9, -10, 9,176.5,⑦⑦⑥, 2,11,Ｐブレイクランアウト, 72,藤田伸, 0.0, 99,   3,* 28, 4, 11.6,⑨⑨⑨
 3, 6,Ｄタマモコントラバス, 48,松山弘, 0.6, 60,*  6, -11, 7, 15.4, ①①, 3, 2, アドマイヤサｰフ,---,岩田康, 0.6, 68,   5,  -5, 3,  6.6, ④⑤, 3, 1,Ｇエｰシンセｰフティ, 67,赤木高, 0.7, 66,* 12, -15, 6, 18.7,①①①, 3, 8,Ｉトｰホウアラン, 87,鮫島良, 0.3, 95,   4,  22, 6, 16.1,⑧⑧⑧
 4,13,Ｂワイキキブリｰズ, 50,川島信, 0.7, 58,  -1,  -2, 3,  8.1, ⑨⑧, 4, 6, ハｰトフルボディ,---,武豊  , 1.1, 62,   6, -13, 2,  5.0, ⑤③, 4, 7,Ｅツルマルストｰム, 71,福永祐, 0.9, 65,  10, -14, 4, 13.8,④④③, 4,15,Ｇテイエムアンコｰル, 88,福永祐, 0.3, 97,   1,* 26,11, 28.2,⑩⑪⑫
 5,12,Ｈサンライズクォリア, 39,武豊  , 0.7, 60,  -2,*  0, 2,  4.1, ⑪⑪, 5,12, トｰワテレサ,---,藤岡康, 1.4, 60,   6, -16, 6, 24.9, ③④, 5, 6,Ｂピエナエイム, 79,川田将, 0.9, 64,  10, -14, 1,  2.2,⑥⑤④, 5,16,Ｄサンライズベガ, 90,池添謙, 0.4, 91,*  7,  13, 2,  6.4,④③③
 6, 4,Ｌスペシャルイモン, 28,福永祐, 0.8, 60,   3,  -8, 5, 10.6, ④③, 6, 3, ブルｰムウインド,---,藤田伸, 1.7, 54,  -8,  -1, 7, 45.2, ⑪⑩, 6, 8,Ｆペパｰミントラヴ, 70,藤岡康, 1.0, 64,   9, -13, 5, 15.3,⑤⑥⑤, 6, 9,Ｃベッラレイア, 91,岩田康, 0.4, 95,   0,* 28, 3,  8.0,⑫⑭⑮
 7, 1,Ｉコウユｰヒｰロｰ, 38,国分恭, 1.0, 59,   0,  -6,13,132.5, ⑥⑤, 7, 5, エｰシンフレンド,---,福永祐, 2.0, 51,  -3, -12, 8, 66.4, ⑥⑧, 7, 3,Ｄウインステルス, 75,和田竜, 1.2, 63,* 11, -17, 3,  5.6,③③②, 7, 3,Ｅアルコセニョｰラ, 88,四位洋, 0.5, 97,   1,* 27,13, 32.8,⑮⑮⑭
 8, 8,Ｋオフェンシヴライン, 34,川田将, 1.0, 57,  -4,*  0, 9, 27.6, ⑫⑬, 8, 8, パリスブルｰ,---,幸英明, 2.2, 50,  -5, -11, 9, 71.8, ⑩⑨, 8, 4,Ｃナムラソワン, 77,松山弘, 1.6, 57,   8, -17, 7, 54.5,⑨⑨⑧, 8,10,Ｈクラウンプリンセス, 88,太宰啓, 0.6, 89,   4,  16, 7, 17.6,⑦⑦⑥
 9, 3,Ｍタガノグラｰツ, 23,岩田康, 1.1, 56,  -2,  -5,10, 33.0, ⑩⑨, 9,10, フェルナンブルｰ,---,太宰啓, 2.5, 46,  -7, -13,10,129.3, ⑨⑪, 9, 2,Ｉラストダンス, 59,国分恭, 7.3, 35,   9, -66, 8,150.1,②②⑨, 9, 2,Ｋモンテクリスエス, 87,安藤勝, 0.7, 91,   2,  19,10, 23.3,⑪⑩⑩
10, 9,Ｊアンダルシア, 36,幸英明, 2.3, 47,  -4, -12,12, 86.0, ⑬⑫,10, 4, アヤナルベルス,---,熊沢重, 3.0, 42,* 11, -44, 4,  7.3, ②②,,,,,,,,,,,,,10,13,Ｆデストラメンテ, 88,浜中俊, 0.7, 88,   4,  14,14, 44.8,⑥⑥⑤
11,10,Ｅドラゴンイチロｰ, 48,和田竜, 3.3, 39,  -1, -24, 8, 17.3, ⑧⑩,11, 1, ノアライン,---,田中健, 4.0, 32,* 12, -58,11,183.5, ①①,,,,,,,,,,,,,11, 7,Ｎエｰティｰボス, 85,幸英明, 0.9, 86,   4,  12,16,131.4,⑤⑤⑦
12, 7,Ｇドンイｰスタｰ, 44,藤岡佑, 3.5, 37,   1, -29, 4,  8.8, ⑤⑦,12,11, ファイヤｰビｰトル,---,池添謙, 8.2,-41, -37, -48,12,191.3, ⑫⑫,,,,,,,,,,,,,12, 1,Ｍエリモハリアｰ, 86,佐藤哲, 0.9, 89,   0,  22,15,113.5,⑯⑯⑯
13, 2,Ｃオｰミスプラウト, 49,太宰啓, 3.8, 37,   3, -34,11, 41.8, ③⑥,,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｊシルバｰブレイズ, 87,小牧太, 1.0, 89,   2,  18,12, 31.3,⑬⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｂマルカシェンク, 93,柴山雄, 1.0, 88,   1,  16, 8, 18.4,⑭⑫⑪
