09年 9月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇメルヴェイユドｰル, 46,幸英明,, 66,  -4,   3, 2,  3.5, ⑨⑧, 1, 9, ダノンハラショｰ,---,安藤勝,, 48,*-25,*  1, 3,  6.4, ③②, 1, 9,Ａトモロポケット, 80,藤田伸,, 78,  -2,* 10, 1,  1.5,①②②, 1,16,Ｌアルティマトゥｰレ, 80,松岡正,, 91,* 10,  12, 5, 10.6, ③③
 2,11,Ｆスタｰリｰクルｰズ, 52,渡辺薫, 0.0, 67,  -7,*  7, 8, 32.8, ⑪⑪, 2, 8, マイネホコモモラ,---,国分恭, 0.2, 44, -28,*  1, 5, 14.4, ⑥⑤, 2, 4,Ｂフェルヴィｰド, 73,岩田康, 0.7, 69,  -3,   4, 2,  4.3,④④④, 2, 8,Ａスリｰプレスナイト, 92,上村洋, 0.4, 86,   7,  10, 1,  2.8, ⑥⑥
 3, 3,Ｄコウユｰユメダンス, 58,福永祐, 0.1, 64,  -5,   1, 4,  7.7, ⑧⑨, 3, 7, スマｰトアｰサイト,---,福永祐, 0.3, 42,*-25,  -3, 4,  6.9, ②①, 3, 6,Ｄホｰクウィンザｰ, 64,国分恭, 0.7, 72,  -5,*  8, 4, 13.5,⑨⑥⑦, 3,15,Ｅコスモベル, 85,佐藤哲, 0.5, 83,* 11,   4,11, 57.0, ②②
 4,13,Ｂニチドウルチル, 62,太宰啓, 0.4, 59,* -1,  -8, 5, 10.2, ⑤④, 4, 4, グリュｰネワルト,---,藤岡佑, 0.6, 41, -29,   0, 1,  1.8, ④⑧, 4, 7,Ｅテイエムチｰタｰ, 64,和田竜, 1.2, 63,  -2,  -5, 5, 20.0,②③③, 4, 6,Ｄカノヤザクラ, 87,小牧太, 0.5, 86,   3,  12, 2,  3.4, ⑩⑧
 5, 9,Ａカルテブランシェ, 62,岩田康, 0.4, 59,*  1,  -9, 1,  2.6, ②②, 5, 6, ポリッシュアップ,---,岩田康, 0.7, 36, -28,  -6, 2,  3.9, ⑤④, 5, 1,Ｆビクトリｰレディｰ, 59,岩崎祐, 1.4, 63,  -5,  -1, 8, 76.3,⑧⑦⑧, 5,12,Ｉマルカフェニックス, 81,福永祐, 0.6, 84,   2,  12, 8, 22.3, ⑪⑪
 6, 2,Ｋコｰリンブラッサム, 37,松山弘, 0.5, 59,  -7,  -2,11,105.6, ⑩⑩, 6, 5, トｰワランマル,---,石橋守, 1.2, 30, -28, -14, 7, 47.6, ①③, 6, 3,Ｇメイショウメモリア, 58,松山弘, 1.6, 60,  -4,  -7, 7, 61.3,⑤⑤⑤, 6, 4,Ｆスズカコｰズウェイ, 85,後藤浩, 0.7, 83,   8,   6, 7, 16.0, ⑤⑤
 7, 4,Ｉベルベットカフェ, 42,浜中俊, 0.5, 59,  -2,  -8, 6, 15.7, ④⑤, 7, 2, ランドタカラ,---,松岡正, 1.7, 25, -29, -18, 8, 47.8, ⑦⑥, 7, 2,Ｈアスカノラムセス, 57,田中健, 1.7, 59,  -5,  -7, 6, 54.6,⑥⑧⑥, 7, 7,Ｃサンダルフォン, 90,四位洋, 0.7, 84,  -1,* 13, 3,  8.6, ⑬⑬
 8,12,Ｈオｰプンシャッセ, 42,武幸四, 0.5, 62, -12,*  6, 9, 33.4, ⑬⑬, 8, 3, パｰプルナイト,---,田村太, 1.8, 23, -29, -19, 9,149.2, ⑧⑦, 8, 8,Ｃメイショウグラｰド, 68,幸英明, 2.1, 50,*  3, -31, 3,  6.1,③①①, 8, 9,Ｋアポロドルチェ, 80,勝浦正, 0.7, 85,  -3,* 16, 9, 29.3, ⑮⑮
 9, 6,Ｊラブソネット, 40,川田将, 0.5, 60,  -3,  -6, 3,  6.8, ⑦⑦, 9, 1, モｰレツ,---,松山弘, 2.2, 19, -33, -20, 6, 32.2, ⑨⑨, 9, 5,Ｉディアチェンジ, 44,太宰啓, 2.6, 48,  -6, -16, 9, 81.4,⑦⑨⑨, 9,10,Ｎヘイロｰフジ, 79,飯田祐, 0.8, 81,   0,  12,13,130.4, ⑫⑭
10, 5,Ｃベルエｰル, 59,小牧太, 0.7, 57,  -2, -11, 7, 20.9, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,10, 3,Ｇソルジャｰズソング, 84,安藤勝, 0.9, 80,   2,   8, 6, 15.9, ⑨⑩
