09年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａホッコｰマスタング, 66,田辺裕,, 51,* -3, -15, 1,  3.0, ①①, 1, 5, アイアムイチバン,---,田中勝,, 55, -12,*  7, 2,  4.2,③③④, 1, 2,Ａスカｰレットダイヤ, 74,松岡正,, 70,   7,* -9, 2,  4.6,⑤⑤⑥, 1,11,Ｊティアップハｰレｰ, 72,蛯名正,, 84,   6,* 14, 4,  6.6, ③③
 2, 1,Ｄユウキサンオｰラ, 44,郷原洋, 0.6, 43,  -6, -19,10, 33.9, ④④, 2,11, エイシンゼウス,---,蛯名正, 0.5, 51,*-10,   0, 1,  1.6,②②①, 2,13,Ｉグルｰオン, 66,柴山雄, 0.1, 69,   6,* -9,11, 39.6,⑧⑥⑤, 2, 8,Ａプレンティラヴ, 79,木幡初, 0.1, 83,*  8,  12, 5, 11.0, ①①
 3,12,Ｂドロップ, 54,菊沢隆, 0.7, 38, -16,*-11, 4,  8.4, ⑫⑫, 3, 4, リアルアヴェニュｰ,---,内田博, 0.5, 53, -12,   3, 3,  5.5,⑦④③, 3, 9,Ｂナナツダチ, 73,勝浦正, 0.1, 68,   4,* -6, 4,  7.3,⑨⑩⑩, 3, 1,Ｃレッドヴァンクｰル, 77,北村宏, 0.5, 79,   4,  12, 1,  2.9, ⑤⑤
 4, 6,Ｇボｰンコレクタｰ, 43,内田博, 0.7, 38, -16,*-11, 3,  5.5, ⑪⑪, 4, 1, ブラックバニヤン,---,松岡正, 1.5, 44, -13,  -4,10, 68.1,⑤⑥⑤, 4,11,Ｄスペック, 72,田中勝, 0.3, 66,   6, -10, 5,  8.3,⑩⑨⑦, 4,10,Ｂモアザンスマｰト, 78,江田照, 0.6, 78,*  8,   7, 6, 12.8, ②②
 5, 9,Ｌディアコトミ, 36,中舘英, 0.7, 43,* -3, -24,11, 38.9, ②②, 5, 9, テンノウセイ,---,北村宏, 2.1, 40, -12,  -8, 4, 19.5,⑨⑧⑦, 5,12,Ｋシデンカイ, 63,丸山元, 0.5, 64,   3,* -9,13,181.6,⑫⑫⑫, 5, 2,Ｋダノンブライアン, 70,松岡正, 0.7, 77,   2,* 13, 8, 23.2, ⑦⑦
 6,14,Ｏエンダｰズシャドウ, 24,松岡正, 0.8, 38, -13, -17, 8, 22.8, ⑩⑩, 6, 6, スノｰピｰパッド,---,吉田豊, 2.5, 37, -14, -10, 8, 48.5,⑥⑨⑨, 6, 3,Ｃコスモフリｰダム, 72,石橋脩, 0.5, 64,   8, -19, 9, 32.3,②④③, 6, 9,Ｄタンティモｰル, 77,内田博, 0.8, 78,   1,  12, 3,  6.1, ⑨⑨
 7, 3,Ｎビンテｰジワイン, 30,大野拓, 0.9, 37,  -7, -23,12, 85.3, ⑤⑤, 7, 8, ニシノソリスト,---,伊藤工, 3.3, 33, -17, -10, 6, 26.1,⑩⑪⑪, 7,10,Ｊエアパグナス, 65,北村宏, 0.6, 61,   6, -15, 8, 22.8,⑦⑦⑧, 7, 7,Ｅチャｰムウィｰク, 76,柴山雄, 0.9, 76,   4,   8, 7, 16.4, ⑥⑥
 8, 5,Ｅゼアグｰト, 43,北村宏, 1.0, 33, -13, -19,13, 88.1, ⑧⑥, 8, 7, ボｰンスプレマシｰ,---,小林淳, 3.3, 33, -14, -15, 5, 23.0,⑪⑩⑧, 8, 5,Ｈロｰレルエルヴェル, 66,田辺裕, 0.8, 61,   4, -13,10, 34.3,⑬⑪⑪, 8, 3,Ｇラオムフェｰレ, 75,的場勇, 1.2, 74,   2,   8,10,111.1, ⑧⑧
 9,15,Ｃレイディオドリｰム, 47,大庭和, 1.2, 34, -24,*-10, 9, 33.0, ⑬⑬, 9,10, デルマネルヴァ,---,田辺裕, 4.2, 27, -13, -26,11,230.0,⑧⑦⑥, 9, 8,Ｇサクラルｰラｰ, 68,柴田善, 0.8, 59,* 10, -27, 7, 19.1,④③②, 9, 6,Ｆロｰランバｰク, 75,勝浦正, 1.3, 73,   2,   8, 9, 96.7, ⑩⑩
