09年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,大阪ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａタマモコントラバス, 68,松山弘,, 74,*  9,*  1, 4,  7.5, ②②, 1, 3, グレナディｰン,---,武豊  ,, 61,  -6,  -1, 1,  1.6, ③③, 1, 9,Ｄマルラニビスティｰ, 77,岩田康,, 81,*  1,  12, 6, 12.9,③②②, 1, 7,Ａセレスハント, 89,藤岡佑,, 86,* 15,*  7, 7, 12.0, ④④
 2, 4,Ｃナイトオブザオペラ, 61,藤田伸, 0.1, 75,* 10,*  0, 3,  5.6, ①①, 2, 1, トｰホウシンバル,---,和田竜, 0.1, 61,  -9,   1, 2,  5.0, ⑤⑤, 2, 8,Ｂカネトシスラｰヴァ, 78,佐藤哲, 0.0, 81,   0,* 14, 2,  3.4,④④④, 2,12,Ｆスｰサンライダｰ, 86,和田竜, 0.2, 85,* 17,   2, 4,  9.1, ①①
 3, 3,Ｄカルテブランシェ, 61,武豊  , 1.4, 63,   6,  -8, 2,  4.6, ⑤④, 3, 2, ビップピュアレディ,---,国分恭, 0.2, 60,  -9,   0, 6, 19.0, ⑥⑥, 3, 4,Ｋエメラルドミスト, 66,川島信, 0.2, 81,   0,* 14, 8, 36.9,⑨⑦⑤, 3, 9,Ｋコンティネント, 79,福永祐, 0.5, 81,  12,*  5, 8, 14.2, ⑪⑦
 4, 1,Ｅスウィｰプイン, 50,小林慎, 2.0, 53,  -2,  -6, 8, 64.3, ⑧⑧, 4, 9, テイエムミュｰズ,---,太宰啓, 0.2, 59,  -8,  -2, 7, 53.4, ⑦⑦, 4, 1,Ｉラルｰチェ, 71,福永祐, 0.3, 80,  -1,  10, 1,  2.7,⑤⑤⑥, 4,15,Ｄピｰチドラフト, 87,川田将, 0.8, 78,  13,   1, 3,  8.8, ⑤⑥
 5,15,Ｊヤマイチハジメ, 43,田嶋翔, 2.1, 55,   5, -13, 6, 53.3, ⑥⑤, 5, 8, ショウナンナックル,---,福永祐, 0.3, 59,* -3,  -7, 5, 13.8, ②②, 5, 5,Ｇピサノルビｰ, 73,武豊  , 0.4, 78,  -2,  12, 7, 16.1,⑦⑧⑦, 5,16,Ｃファイナルスコアｰ, 88,藤田伸, 0.8, 79,  14,   1, 6, 10.5, ⑥⑤
 6, 5,Ｆメイプルリボｰン, 47,佐久間, 2.4, 54,   4, -13,11,295.0, ⑦⑥, 6, 7, ランブリングロｰズ,---,藤岡佑, 0.4, 57, -17,*  5, 3,  7.6, ⑩⑩, 6,11,Ｆシシャモフレンド, 73,国分恭, 0.5, 79,  -2,  12, 9, 60.6,⑩⑩⑧, 6, 4,Ｇスマｰトブレｰド, 83,小牧太, 0.8, 78,  13,   2, 5,  9.6, ⑧⑨
 7, 8,Ｂケイアイブリザｰド, 66,岩田康, 2.5, 54,*  9, -20, 1,  1.6, ③③, 7, 5, ヒカリウイ,---,田中克, 0.5, 56, -11,  -2, 8, 85.7, ⑧⑧, 7, 7,Ｅアヤナベル, 74,浜中俊, 0.5, 76,   0,   6,10,102.1,②③③, 7, 8,Ｅシルクビッグタイム, 86,岩田康, 0.9, 76,   8,*  6, 2,  4.6, ⑫⑬
 8,10,Ｍリバｰツバサ, 33,黒岩悠, 3.0, 45,  -7,  -9,16,698.5, ⑪⑪, 8, 6, ヤマカツセイレｰン,---,池添謙, 0.9, 51,  -6, -12, 9, 86.5, ④④, 8, 2,Ｊメイクデュｰス, 69,幸英明, 0.6, 73,*  2,   1, 5,  9.0,①①①, 8,10,Ｎゲットクｰル, 72,鮫島良, 1.4, 72,   5,*  7,14,112.8, ⑯⑯
 9,13,Ｇホンマキセキ, 44,金折知, 3.3, 42,  -9, -10, 5, 51.6, ⑬⑫, 9, 4, ナムラタイフｰン,---,藤岡康, 1.0, 49,* -2, -18, 4, 10.4, ①①, 9, 6,Ｃスイｰトマトルｰフ, 77,川田将, 0.7, 75,  -1,   6, 4,  7.6,⑥⑥⑨, 9, 1,Ｍダイイチミラクル, 77,国分恭, 1.5, 74,  10,  -1,12, 87.4, ⑨⑩
10,11,Ｋメイショウオルフェ, 38,幸英明, 3.3, 42,  -5, -14,10,289.2, ⑨⑩,10,10, セイピｰシｰズ,---,渡辺薫, 1.0, 49, -12,  -8,10,179.2, ⑨⑨,10, 3,Ｈナムララピス, 71,渡辺薫, 1.1, 75,  -5,  11,11,237.8,⑪⑪⑪,10, 5,Ｌチャレンジシチｰ, 78,酒井学, 1.8, 70,  10,  -4,15,135.8, ⑩⑪
11,12,Ｈライジングタイド, 44,藤岡佑, 3.5, 43,   5, -26, 7, 55.4, ④⑦,,,,,,,,,,,,,11,10,Ａリｰガルアミュｰズ, 80,松山弘, 1.2, 68,  -2,   0, 3,  6.7,⑧⑨⑩,11, 3,Ｐショウナンカッサイ, 67,浜中俊, 1.9, 71,* 15, -10, 9, 45.9, ③③
12,14,Ｌテイエムテツワン, 37,小牧太, 3.9, 37, -11, -14, 9,167.0, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｊウォｰタｰマｰク, 81,藤岡康, 2.1, 68,  13,  -9,13, 96.6, ⑦⑧
13, 9,Ｏハｰトフェルト, 27,渡辺薫, 4.3, 36,  -4, -22,15,548.4, ⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｈアルシラｰト, 83,四位洋, 2.6, 64,  10, -10,10, 70.7, ⑭⑫
14,16,Ｎコスモエスカリエ, 28,国分恭, 4.3, 36,  -8, -21,12,363.6, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｂオリジナルフェイト, 89,武豊  , 2.6, 63,   7,  -7, 1,  2.7, ⑮⑮
15, 2,Ｐアサヒコレクタｰ,-18,石橋守, 4.3, 39, -24,  -5,13,407.1, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｉリボンノキシ, 82,池添謙, 3.0, 62,* 16, -20,11, 76.2, ②②
16, 7,Ｉカシノバｰゼリア, 43,秋山真, 5.9,  6, -25, -18,14,460.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｏマンテンハット, 69,生野賢, 5.7, 39,   7, -34,16,206.4, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:2),,,,,,,,,,,
単勝:750円 複勝:06=330円 04=260円 03=280円 枠連:860円,,,,,,,,,,,,単勝:160円 複勝:03=110円 01=150円 02=280円 枠連:430円,,,,,,,,,,,,"単勝:1,290円 複勝:09=360円 08=200円 04=550円 枠連:2,230円",,,,,,,,,,,,"単勝:1,200円 複勝:07=400円 12=320円 09=370円 枠連:1,490円",,,,,,,,,,,
"馬連:1,760円 ワイド:04-06=460円 03-06=400円 03-04=390円",,,,,,,,,,,,馬連:420円 ワイド:01-03=200円 02-03=470円 01-02=790円,,,,,,,,,,,,"馬連:2,310円 ワイド:08-09=880円 04-09=2,910円 04-08=1,780円",,,,,,,,,,,,"馬連:3,850円 ワイド:07-12=1,140円 07-09=2,140円 09-12=1,330円",,,,,,,,,,,
"馬単:3,730円 3連複:2,200円 3連単:13,940円",,,,,,,,,,,,"馬単:640円 3連複:1,320円 3連単:4,010円",,,,,,,,,,,,"馬単:4,800円 3連複:16,050円 3連単:84,630円",,,,,,,,,,,,"馬単:8,850円 3連複:14,090円 3連単:100,740円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,箕面特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂビｰビｰスカット, 64,岩田康,, 63,  -6,*  3, 3,  4.5, ⑦⑥, 1, 4,Ｃゴッドダンシング, 67,浜中俊,, 71,  13,*-16, 4,  6.0, ⑤④, 1, 2,Ｃウインキングストン, 80,武豊  ,, 79,   1,  11, 2,  3.7, ⑪⑪, 1,11,Ｅグレイトロｰタリｰ, 67,川島信,, 70,* 11,* -7, 2,  4.5,③③①
 2, 1,Ｊマイネホコモモラ, 46,国分恭, 0.0, 64,* -1,  -4, 4, 11.3, ①①, 2, 7,Ｂランズエッジ, 70,川田将, 0.0, 72,  13,*-16, 5,  6.9, ⑥⑤, 2, 7,Ｂストリｰトスタイル, 81,福永祐, 0.0, 81,   2,  11, 1,  2.7, ⑨⑨, 2, 4,Ｆハｰマジェスティ, 65,小林慎, 0.2, 71,  10,* -5, 5,  8.5,⑪⑨⑦
 3, 6,Ａフォｰスフルバイオ, 68,浜中俊, 0.4, 60,  -7,* -1, 1,  1.9, ⑧⑦, 3, 6,Ａハギノウタヒメ, 72,安藤勝, 0.2, 71,   9,*-10, 2,  4.2, ⑪⑩, 3,15,Ｈヴィｰヴァサルｰテ, 70,岩田康, 0.1, 77,   4,   5, 7, 26.7, ⑦⑦, 3, 3,Ｃキンショｰオトヒメ, 70,浜中俊, 0.7, 69,  10,  -9, 6,  8.5,④⑥③
 4, 2,Ｃマイネルガヴロシュ, 55,幸英明, 1.0, 53,  -8,  -7, 6, 26.0, ⑨⑧, 4,15,Ｅヒカリアライブ, 62,福永祐, 0.8, 64,  12, -24, 1,  2.9, ⑨⑦, 4, 3,Ｆニホンピロタルト, 71,和田竜, 0.3, 75,   9,  -3, 6, 22.3, ④④, 4, 7,Ｈダンツクリスエス, 61,太宰啓, 0.7, 68,* 11, -12, 8, 46.5,②②⑤
 5, 4,Ｉテイエムバゴオｰ, 47,小牧太, 1.0, 54, -10,  -4, 9, 53.6, ⑪⑪, 5, 8,Ｏサマｰメサイア, 47,和田竜, 0.9, 62,  10, -25,10, 72.1, ⑧⑥, 5, 1,Ｊデイブレイクスベル, 69,太宰啓, 0.3, 77,  -3,  13,11, 94.6, ⑮⑬, 5, 5,Ｊマコトボムケッチ, 58,秋山真, 1.0, 65,* 11, -15, 7, 18.1,⑫⑤④
 6, 8,Ｅホクトスズラン, 50,藤田伸, 1.2, 51,  -8,  -9, 2,  4.3, ⑩⑩, 6, 9,Ｉリッカカントリｰ, 56,小牧太, 1.1, 62,   5,*-14,15,195.3, ⑰⑯, 6,13,Ａクレスコワンダｰ, 85,浜中俊, 0.3, 78,  -5,* 15, 3,  4.4, ⑯⑯, 6,12,Ｂアクセルカフェ, 74,松山弘, 1.1, 62,* 11, -17, 3,  5.2,⑤④②
 7,12,Ｈマイネリトルラバｰ, 47,川島信, 1.2, 50,* -3, -17,10,183.3, ②②, 7,17,Ｆビクトリｰレディｰ, 62,岩崎祐, 1.2, 59,   7, -22, 6, 28.5, ⑯⑭, 7,18,Ｉテキｰラ, 70,岩崎祐, 0.3, 78,  -3,* 14, 4, 10.6, ⑰⑮, 7,10,Ａフラッグラッシュ, 78,鮫島良, 1.5, 64,  10, -16, 4,  5.6,⑦⑧⑥
 8,10,Ｆモンキｰマジック, 50,武豊  , 1.4, 47,* -4, -19, 5, 20.2, ⑥⑤, 8, 3,Ｒサクラスイｰトピｰ,-13,松山弘, 1.5, 56,   9, -30,12,104.4, ⑩⑪, 8,10,Ｄサクラシャイニｰ, 72,小牧太, 0.4, 76,  -3,  12, 9, 34.1, ⑬⑭, 8, 9,Ｉブルｰラピス, 58,国分恭, 2.3, 63,   8, -19,12,108.7,⑨⑪⑨
