09年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2400m 3 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,神戸新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｉジョディｰズライン, 47,藤岡佑,, 65,* -7,   2, 5, 15.9, ④③, 1,10, トｰセンファントム,---,内田博,, 57,*-19,   4, 3,  5.5, ③③, 1,13,Ｂタニノジュレップ, 73,岩田康,, 78,* 11,   2, 2,  3.2, ③②, 1, 4,Ｂイコピコ, 81,四位洋,, 92,  11,* 15, 7, 24.0,⑨⑨⑨
 2, 3,Ｄペガサスガｰル, 60,石橋守, 0.4, 62, -11,   2,11,163.8, ⑦⑤, 2, 5, エｰシンウェズン,---,福永祐, 0.1, 57, -20,   6, 2,  3.7, ④④, 2, 5,Ａマイプラｰナ, 74,小牧太, 0.1, 74,   6,   4, 1,  2.5, ⑤⑥, 2,13,Ｌリｰチザクラウン, 74,武豊  , 0.3, 84,* 14,  -1, 3,  3.9,①①①
 3, 2,Ｆエトピリカ, 60,松山弘, 0.5, 58,* -2,  -8, 7, 26.3, ①①, 3, 1, サトノサクラ,---,藤岡佑, 0.4, 54, -21,   4, 4,  7.8, ⑧⑥, 3, 1,Ｃエプソムアイリス, 72,松山弘, 0.3, 71,   5,   5, 8, 27.2, ⑧⑧, 3,11,Ｋセイウンワンダｰ, 76,福永祐, 0.4, 86,* 14,   0, 5, 17.1,⑥⑤④
 4, 9,Ｅスイｰトエスケｰプ, 60,福永祐, 0.5, 61, -17,*  6, 1,  2.6, ⑬⑬, 4,15, ステｰジプレゼンス,---,安藤勝, 0.4, 56, -23,   7, 1,  2.9, ⑪⑩, 4, 3,Ｇピュアマリｰン, 64,石橋守, 0.5, 69,  -4,* 12, 9, 36.4, ⑮⑮, 4, 5,Ｉアンライバルド, 76,岩田康, 0.7, 82,  11,   2, 1,  2.5,⑦⑧⑧
 5, 6,Ｃヴェリタスロｰズ, 66,渡辺薫, 0.6, 59, -14,   2, 2,  3.4, ⑨⑨, 5, 7, ブイコナン,---,小牧太, 0.4, 50,*-17,  -5,10, 45.7, ①①, 5, 4,Ｄシゲルスペランツァ, 70,浜中俊, 0.5, 71,   5,   3, 3,  8.6, ⑨⑨, 5, 3,Ｄトップカミング, 80,幸英明, 0.8, 83,  13,  -1, 9, 66.2,④⑥⑥
 6, 5,Ａトゥニｰポｰト, 68,武豊  , 0.9, 56, -21,*  5, 4,  7.7, ⑭⑭, 6, 6, オｰシャンキャスト,---,岩田康, 0.4, 55, -25,* 10, 5, 10.8, ⑩⑪, 6,16,Ｆエンジェルフェザｰ, 67,幸英明, 0.5, 70,   6,   1, 7, 22.2, ⑦⑦, 6, 1,Ｇトモロポケット, 78,川田将, 0.9, 82,* 14,  -7,10, 83.6,②②③
 7,14,Ｂアグネスクルｰガ, 67,和田竜, 1.1, 51, -13,  -6, 3,  4.8, ⑩⑩, 7,12, ピットボス,---,四位洋, 0.5, 57, -27,* 13, 9, 42.5, ⑮⑭, 7, 2,Ｋクイｰンアリュｰル, 60,武幸四, 0.7, 70,   2,   3, 5, 10.2, ⑪⑩, 7,14,Ａシェｰンヴァルト, 84,秋山真, 0.9, 83,  10,*  7, 8, 34.6,⑬⑫⑫
 8, 7,Ｏクリノキンバリｰ, 38,高橋亮, 1.1, 51,* -3, -15,12,213.4, ②②, 8, 9, ビッグウィｰク,---,武豊  , 0.7, 45,*-17,  -7, 6, 15.3, ②②, 8,14,Ｐキクノディアナ, 47,川田将, 0.9, 65,   1,   3,12,167.8, ⑫⑫, 8,12,Ｈレッドシャガｰラ, 78,藤岡康, 1.0, 79,* 14, -10,11, 99.4,③③②
 9, 4,Ｍキタサンメｰル, 43,野元昭, 1.3, 49, -17,  -4, 6, 20.3, ⑫⑪, 9,14, カクテルロｰズ,---,飯田祐, 0.8, 50, -25,   6,12, 85.1, ⑬⑫, 9,15,Ｎコウユｰルｰジュ, 51,赤木高, 0.9, 70,* 13,  -9,10,119.6, ①①, 9, 2,Ｅアプレザンレｰヴ, 79,内田博, 1.3, 77,  12, -10, 4,  9.3,⑤④⑤
10,10,Ｇテイエムアコガレ, 58,田嶋翔, 1.4, 47, -11, -11, 9, 56.4, ⑥⑦,10, 8, プリティカポレイ,---,幸英明, 0.8, 52, -27,   7, 8, 39.0, ⑫⑬,10, 7,Ｅインプリシット, 69,福永祐, 1.0, 67,   8,  -5, 4,  9.4, ⑥⑤,10, 7,Ｃトライアンフマｰチ, 81,武幸四, 1.3, 80,  10,  -2, 6, 19.4,⑫⑪⑩
11,11,Ｈクｰルジャズ, 56,小林徹, 1.5, 45,* -6, -18, 8, 32.9, ③④,11, 4, アイビｰフォｰルド,---,秋山真, 1.0, 45, -20,  -7, 7, 21.7, ⑤⑤,11, 8,Ｊリッカコウユウ, 61,内田博, 1.5, 65,* 10, -11, 6, 14.2, ②③,11, 8,Ｆアントニオバロｰズ, 79,角田晃, 2.0, 72,  12, -20, 2,  3.8,⑧⑦⑦
12,16,Ｐサンマルエンゼル, 16,秋山真, 1.6, 47, -24,  -2,16,391.1, ⑯⑯,12,13, ハンタｰワディ,---,佐藤哲, 1.3, 38, -21, -10,11, 47.4, ⑥⑧,12,12,Ｍマルタｰズアディラ, 52,藤岡佑, 1.6, 57,  -6,   3,13,199.3, ⑯⑯,12,10,Ｍバアゼルリバｰ, 74,安藤勝, 2.4, 69,   9, -14,12,126.4,⑪⑬⑬
12, 1,Ｊカシノポピｰ, 46,大下智, 1.6, 46, -22,  -3,13,222.1, ⑮⑮,13, 2, アイウォントユｰ,---,石橋守, 1.4, 45, -30,   3,15,202.8, ⑭⑮,13, 6,Ｉブライティアカペラ, 61,長谷川, 1.7, 62,   4,  -7,16,268.9, ⑩⑪,13, 6,Ｊトップゾｰン, 76,藤岡佑, 2.6, 68,  10, -18,13,179.3,⑩⑩⑪
14,12,Ｌミニｰバロｰズ, 43,角田晃, 1.7, 43, -10, -16,14,236.5, ⑤⑥,14,11, トシギャングスタｰ,---,浜中俊, 2.0, 31, -21, -19,13,145.7, ⑦⑦,14,10,Ｏホクザンヴィアンド, 49,橋本美, 1.8, 58,   0,  -3,14,212.5, ⑬⑬,14, 9,Ｎワシャモノタリン, 69,小牧太, 4.1, 59,   7, -34,14,231.1,⑭⑭⑭
14,13,Ｎオｰナｰズアイ, 41,金折知, 1.7, 43, -14, -12,15,355.1, ⑧⑫,15, 3, ニホンピロピリオド,---,酒井学, 2.2, 26, -24, -18,14,152.0, ⑨⑨,15, 9,Ｈエｰシンワンダｰズ, 63,藤岡康, 1.9, 59,   8, -13,11,136.1, ④④,,,,,,,,,,,,
