09年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａアドマイヤサｰフ, 70,岩田康,, 75,*  6,* -1, 1,  1.5, ①①, 1, 7, ブラックゼット,---,池添謙,, 62, -16,*  7, 6,  9.0, ④④, 1, 7,Ｇテンシノマズル, 68,中村将,, 80,*  1,  10, 5, 15.6,①①①, 1,16,Ｈワンダｰアキュｰト, 90,和田竜,, 88,  11,* 14, 3,  5.7,⑤⑥③
 2, 3,Ｃテイエムファイヤｰ, 48,田嶋翔, 0.8, 62,  -1,  -5, 6, 30.0, ④⑤, 2, 4, ティルス,---,岩田康, 0.0, 58,*-15,   4, 2,  4.5, ②②, 2, 9,Ｉフェルヴィｰド, 67,岩田康, 0.2, 78,*  0,  11, 4,  7.1,③③③, 2,11,Ｂダｰクメッセｰジ, 93,佐藤哲, 0.5, 85,  10,* 13, 8, 23.2,⑨⑩⑪
 3, 5,Ｈマッシヴジェネラル, 42,藤岡康, 0.8, 62,  -1,  -5, 8, 56.9, ⑤④, 3, 6, メイショウカンパク,---,武幸四, 0.5, 59, -18,   4,10, 37.9, ⑦⑥, 3, 3,Ｃダンシングラプタｰ, 73,小牧太, 0.3, 79,  -2,* 12, 2,  3.2,⑥⑥⑥, 3, 1,Ｐゴｰルデンチケット, 67,武豊  , 0.5, 84,* 13,   7, 4,  9.3,②②②
 4, 4,Ｅキセキノウタ, 46,松山弘, 0.9, 59,  -4,* -3, 5, 23.3, ⑥⑥, 4,10, ダイヤモンドムｰン,---,福永祐, 0.5, 56, -18,   3, 1,  3.2, ⑨⑧, 4, 8,Ｂマイウエイ, 74,福永祐, 0.4, 81,  -3,* 15, 1,  2.7,⑧⑨⑨, 4, 8,Ｊエプソムアｰロン, 89,角田晃, 0.6, 87,  10,* 13, 9, 28.3,⑮⑭⑩
 5, 8,Ｉゴブリンダンサｰ, 41,田中健, 1.1, 60,   2, -11, 9,198.9, ②③, 5, 3, ドミネｰタｰ,---,浜中俊, 0.9, 53, -20,   3, 9, 32.4, ⑩⑩, 5, 2,Ｄタガノバッチグｰ, 71,田中健, 0.5, 77,  -3,  11, 8, 58.0,⑤⑦⑦, 5, 9,Ａワンダｰスピｰド, 95,小牧太, 0.6, 86,  11,  12, 1,  2.5,⑥⑨⑨
 6,10,Ｂケイエスケイト, 56,幸英明, 1.3, 58,*  4, -16, 2,  4.0, ③②, 6, 8, ゴｰンハリウッド,---,小牧太, 0.9, 51, -18,  -1, 7, 27.4, ⑧⑦, 6,10,Ｅエｰシンマイトップ, 70,国分恭, 0.5, 73,* -1,   4, 6, 22.2,②②②, 6, 7,Ｅクリｰルパッション, 91,津村明, 0.8, 82,  11,   9, 5,  9.3,⑧⑧⑧
 7, 7,Ｄテイエムバイタル, 48,小牧太, 1.6, 49, -12,  -5, 4, 13.7, ⑪⑪, 7, 5, シャイニｰサンデｰ,---,武豊  , 1.0, 46,*-15,  -9, 5,  8.1, ⑤⑤, 7, 1,Ｆスズカクリアｰ, 68,松山弘, 0.7, 74,  -2,   6, 9, 81.9,⑦⑤⑤, 7,14,Ｌクリｰン, 88,福永祐, 0.8, 83,  11,   8,12, 89.3,⑦⑦⑤
 8,11,Ｆシゲルタカウジ, 44,飯田祐, 1.6, 50,  -9,  -7, 7, 51.4, ⑨⑩, 8, 1, タツオｰカン,---,安藤勝, 1.3, 43, -16, -12, 4,  7.4, ③③, 8, 6,Ａエナｰジバイオ, 78,武豊  , 0.7, 74,  -3,   8, 3,  4.0,⑩⑧⑧, 8,12,Ｄシルククルセイダｰ, 91,安藤勝, 0.8, 81,  11,   7,10, 34.8,⑭④⑦
 9, 2,Ｇアヤナルベルス, 43,小林徹, 1.7, 49,  -8, -10, 3,  7.1, ⑩⑨, 9, 2, シゲルタダカツ,---,太宰啓, 1.7, 36,*-14, -22,11, 99.6, ①①, 9, 5,Ｈニシノシャア, 68,古川吉, 0.8, 73,*  0,   2, 7, 29.7,④④④, 9,13,Ｇアドマイヤダンク, 90,岩田康, 1.0, 80,* 12,   4, 7, 19.7,③③④
