09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,錦秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄクナンガン, 51,松岡正,, 62,  -6,*  5, 3,  7.7, ⑧⑧, 1,14, ディアアレトゥｰサ,---,内田博,, 66,  -7,*  7, 2,  4.0, ⑩⑦, 1,10,Ａシャイニングアワｰ, 81,武豊  ,, 76,*  6,   9, 2,  3.1, ②②, 1,10,Ｃアンダｰカウンタｰ, 86,蛯名正,, 86,   8,* 16, 2,  4.2, ⑥⑥
 2,14,Ｋミスタｰルイス, 43,内田博, 0.7, 59,* -1,  -6, 7, 22.6, ③③, 2,15, フェイルノｰト,---,スミヨ, 0.0, 67, -10,* 12, 5, 10.9, ⑬⑩, 2, 9,Ｂユノゾフィｰ, 77,横山典, 0.1, 75,  -3,* 20, 1,  2.0, ⑭⑫, 2, 6,Ａロラパルｰザ, 92,吉田豊, 0.2, 85,   7,* 17, 1,  2.5, ⑪⑨
 3, 8,Ｉマイネルリファイン, 45,川田将, 1.1, 54,  -5,  -4, 6, 20.9, ⑦⑦, 3, 3, マイネルロｰドス,---,松岡正, 0.0, 65,* -3,  -1, 8, 25.0, ①①, 3, 3,Ｅシャドウデイル, 73,藤田伸, 1.1, 66,*  5,   0, 4, 12.9, ③③, 3,15,Ｌミスタｰモナルコス, 82,スミヨ, 0.2, 85,   7,* 17, 7, 21.7, ⑬⑪
 4, 4,Ｂエムオｰハンズ, 59,三浦皇, 1.1, 53,  -4,  -7, 2,  6.2, ⑤④, 4, 2, アドバンステイオｰ,---,蛯名正, 0.2, 64,  -7,   4, 3,  6.3, ⑥⑥, 4, 8,Ｍソｰクアップザサン, 63,伊藤工, 1.4, 64,  -3,   8, 9, 46.3, ⑫⑬, 4, 1,Ｊサンマルセイコｰ, 84,伊藤工, 0.3, 83,   6,* 18,12, 60.1, ⑭⑬
 5, 1,Ｇトウカイセイバｰ, 47,武士沢, 1.4, 50,  -9,* -2, 8, 27.8, ⑬⑫, 5, 1, セレスマジェスティ,---,勝浦正, 0.4, 62,  -9,   4, 6, 15.9, ⑦⑧, 5, 1,Ｆアイノカゼ, 72,大庭和, 1.4, 62,   1,   4,11, 66.4, ⑨⑨, 5,13,Ｆワｰキングウｰマン, 85,田中勝, 0.4, 83,   8,  14, 5, 11.6, ⑨⑦
 6, 3,Ｈジツリキザッツワン, 46,柴山雄, 1.6, 49,  -7,  -6,11,143.8, ⑫⑨, 6, 4, ガンマｰバｰスト,---,横山典, 0.6, 56,* -5,  -6, 4,  7.5, ②②, 6,13,Ｄヤマニントップギア, 75,北村宏, 1.5, 63,   3,   0, 3, 10.8, ⑧⑥, 6, 7,Ｋジャンバティスト, 83,丸田恭, 0.4, 84,   8,  15, 3,  7.5, ⑧⑩
 7,12,Ａショウナンアッパレ, 62,後藤浩, 2.2, 45,* -1, -20, 1,  1.6, ①①, 7, 7, クサナギノツルギ,---,岩田康, 0.8, 56,  -6,  -6, 1,  2.9, ⑤⑤, 7, 6,Ｃアルフェラッツ, 75,柴山雄, 1.5, 64,  -7,* 13, 6, 18.6, ⑯⑯, 7, 2,Ｄケイアイテンジン, 85,松岡正, 0.8, 79,* 10,   7, 4,  7.5, ②②
 8, 7,Ｃベストツヨシ, 52,伊藤工, 2.3, 42,  -9, -10,10, 86.2, ⑨⑪, 8,11, アプロｰチミｰ,---,川田将, 0.9, 55,  -6,  -9, 9, 37.4, ④④, 8, 4,Ｐシンメトリｰアｰト, 55,戸崎圭, 1.5, 63,   3,   1,12, 74.1, ⑦⑧, 8,11,Ｇダイイチミラクル, 85,戸崎圭, 1.0, 77,*  9,   6,11, 38.7, ③③
 9, 9,Ｌハセノヒマワリ, 43,大江原, 3.1, 37,  -7, -19,14,315.9, ⑩⑩, 9,13, コスモカンタｰビレ,---,戸崎圭, 0.9, 58, -15,*  7, 7, 16.1, ⑯⑯, 9, 7,Ｇパックノオトウト, 68,勝浦正, 1.6, 62,   1,   1,13, 88.6, ⑥⑦, 9,14,Ｈランダムシｰド, 84,柴田善, 1.3, 77,*  9,   4, 6, 19.0, ⑤④
10, 5,Ｊオｰゴンルビｰ, 44,丸田恭, 3.2, 38,* -1, -28,12,144.1, ②②,10, 5, ショウナンアオバ,---,柴田善, 1.0, 56, -13,   3,12, 79.6, ⑮⑭,10, 2,Ｊシルクバクシン, 65,小林淳, 1.6, 63,  -2,   6,16,241.2, ⑪⑪,10, 8,Ｍショウナンアクト, 82,岩田康, 1.6, 74,   8,   2, 8, 26.5, ④⑤
11,13,Ｎクリムソンロｰズ, 26,吉田豊, 3.6, 33,  -9, -21, 9, 48.5, ⑪⑬,11, 9, ホッカイマナウス,---,北村宏, 1.1, 52, -10,  -3,14,109.2, ⑪⑪,11, 5,Ｋデルマレグルス, 65,中谷雄, 1.8, 62,   0,   2,15,226.5, ⑩⑩,11,12,Ｉブイチャレンジ, 84,武士沢, 1.7, 73,   6,   6, 9, 29.5, ⑮⑭
12, 6,Ｆフルｰツシチｰ, 48,戸崎圭, 3.7, 33,  -4, -30, 5, 19.5, ⑥⑤,12,17, キョウエイナゲット,---,田中勝, 1.1, 54, -10,  -4,11, 53.4, ⑫⑬,12,12,Ｈアイオロスシチｰ, 68,内田博, 1.9, 62,  -5,   7, 5, 16.9, ⑮⑮,12,16,Ｎヒシポラリス, 80,鈴来直, 1.9, 72,   7,   1,15,283.4, ⑫⑫
