09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄウイントランザム, 53,内田博,, 62,*  3,* -1, 2,  3.9, ③②, 1,14, ダイワアセット,---,後藤浩,, 55, -35,* 18, 3,  7.1,⑮⑬⑪, 1,12,Ｅシュンカジョウ, 73,内田博,, 73,*  5,   6, 2,  4.2, ④②, 1,15,Ｆロｰルオブザダイス, 86,ルメｰ,, 87,*  4,* 25, 3,  7.1,③③③
 2,12,Ｈノｰザンペガサス, 46,吉田豊, 0.2, 58,*  4,* -5, 3,  9.6, ①①, 2, 6, タイキマヴェリック,---,蛯名正, 0.1, 51, -33,  13, 7, 25.6,⑪⑦⑥, 2,13,Ａロｰブドヴルｰル, 78,勝浦正, 0.1, 71,*  4,   7, 3,  5.1, ⑤④, 2, 4,Ｇオメガファルコン, 85,横山典, 0.0, 86,*  5,  23, 5, 10.6,①①①
 3, 8,Ｃタマビッグボス, 55,松岡正, 0.3, 57,*  2,* -4, 1,  1.6, ⑥③, 3, 2, ランペルｰル,---,内田博, 0.1, 49,*-32,  10, 2,  3.5,④⑤④, 3,10,Ｆニコニコママ, 72,伊藤工, 0.1, 71,   3,   7, 8, 20.6, ⑥⑥, 3, 8,Ｂシビルウォｰ, 88,吉田豊, 0.2, 87,   3,* 27, 2,  3.4,⑮⑯⑮
 4, 3,Ｇウエスタンウェイブ, 49,伊藤工, 0.9, 52,   1,  -7, 4, 15.7, ⑤⑤, 4, 4, コクリコ,---,三浦皇, 0.2, 51, -35,  14, 4, 10.3,⑤⑥⑧, 4,14,Ｂメジロスプレンダｰ, 75,草野太, 0.2, 71,   3,   7, 6, 10.2, ⑦⑦, 4, 5,Ａサクラロミオ, 92,秋山真, 0.2, 87,   3,* 26, 1,  2.5,⑪⑬⑭
 5, 5,Ｂマイネルウィット, 56,ルメｰ, 1.9, 44,   0, -13, 5, 21.9, ⑦⑦, 5, 5, シルクウェッジ,---,秋山真, 0.3, 52, -36,* 17, 8, 42.2,⑩⑨⑬, 5, 5,Ｊダイワバｰガンディ, 62,後藤浩, 0.4, 69,   3,   7, 5,  8.1, ⑧⑧, 5,12,Ｋグランプリサクセス, 82,後藤浩, 0.4, 85,*  4,  23,11, 61.1,⑨⑦⑨
 6, 4,Ｋラヴァリｰボヌス, 10,蛯名正, 2.1, 45,  -1, -13,11,128.1, ⑩⑩, 6,15, ピサノドラクロワ,---,横山典, 0.5, 49, -39,* 18, 1,  2.1,⑯⑰⑱, 6, 6,Ｄインディストラｰダ, 74,北村宏, 0.5, 68,  -4,* 13, 1,  3.9, ⑫⑬, 6, 7,Ｊヒラボクオウショｰ, 83,池添謙, 0.4, 83,*  5,  19,10, 35.7,②②②
 7, 9,Ｆトラストイチゲキ, 50,柴山雄, 2.2, 44,  -3, -11,12,197.3, ⑪⑪, 7,17, グラスヴィクタｰ,---,勝浦正, 0.5, 50, -38,* 15,10, 59.5,⑰⑭⑭, 7, 7,Ｈミスティフォレスト, 66,ルメｰ, 0.5, 67,   3,   4, 4,  6.1, ②⑤, 7, 1,Ｌグランドバイオ, 81,勝浦正, 0.4, 84,*  4,  22, 7, 32.0,④⑤⑦
 8,10,Ｌシンボリアミアン,-10,田中勝, 2.4, 42,  -4, -12, 8, 44.8, ⑫⑫, 8,10, マイネルダウザｰ,---,角田晃, 0.6, 41,*-31,   0,12,114.5,②②②, 8, 1,Ｎジｰガｰウイング, 55,田中勝, 0.6, 67,*  5,   0,13,239.5, ①①, 8,13,Ｃケアレスウィスパｰ, 88,スミヨ, 0.8, 82,*  4,  20, 4, 10.6,⑫⑩⑩
 9, 1,Ａイチエイクリッパｰ, 59,三浦皇, 2.5, 41,   0, -19, 6, 24.1, ④⑥, 9, 8, メジロカｰタｰ,---,吉田豊, 0.7, 40,*-32,   2, 9, 49.0,③③⑤, 9,11,Ｋカヤドｰモトヒメ, 62,吉田豊, 0.8, 66,   0,   6,10, 45.5, ⑨⑨, 9, 9,Ｐブライアンズエッセ, 78,吉田隼, 0.9, 82,   3,  20,12, 66.9,⑯⑭⑪
