09年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａナムラアトラクト, 74,小林徹,, 69,*  1,*  2, 1,  1.1, ①①, 1, 2, バクシンポイント,---,秋山真,, 53,  -8,* -3, 1,  2.9, ⑤④, 1, 4,Ｂウォｰクラウン, 77,スミヨ,, 80,   9,*  6, 1,  3.0,⑨⑨⑧, 1, 2,Ｈメイショウドンタク, 80,武豊  ,, 84,  10,*  6, 4,  8.2,④④③
 2, 9,Ｂクラシックアｰト, 58,福永祐, 1.9, 52,  -2, -11, 2, 15.3, ③③, 2, 5, カシノハクリュウ,---,国分恭, 0.0, 55,* -5,  -6, 4,  9.7, ①①, 2,13,Ｉマイネルロｰゼン, 71,幸英明, 0.1, 78,* 11,  -3, 9, 24.5,④④③, 2, 6,Ｃケンブリッジレｰザ, 83,川田将, 0.1, 85,  10,*  6, 5,  8.4,⑤⑥⑤
 3, 7,Ｃハナショウブ, 56,石橋守, 2.0, 52,* -1, -14, 7, 64.6, ②②, 3,12, トウケイウッドマン,---,赤木高, 0.6, 49, -16,*  0,12,115.4, ⑭⑭, 3, 2,Ｋテイエムハリアｰ, 71,国分恭, 0.2, 77,  10,  -1,17,207.3,⑦⑥⑤, 3, 3,Ｉエｰシンダｰドマン, 77,和田竜, 0.2, 84,  10,*  6,10, 46.0,⑧⑨⑩
 4, 3,Ｊグッドティアラ, 35,幸英明, 2.1, 50,  -4, -10,10, 76.6, ⑧⑧, 4, 1, バンダムロｰレル,---,熊沢重, 1.0, 47,  -9, -10, 5, 10.3, ⑨⑦, 4,12,Ｊメイショウジンム, 71,ルメｰ, 0.2, 80,   9,*  4, 5, 10.3,⑧⑩⑨, 4, 7,Ｊニュｰビギニング, 77,スミヨ, 0.3, 83,   9,*  6, 8, 14.0,⑫⑩⑨
 5, 8,Ｄタガノシビル, 56,赤木高, 2.1, 49,  -9,* -3, 3, 19.1, ⑪⑪, 5,15, ギンマク,---,武豊  , 1.0, 46,  -9, -10, 2,  3.2, ⑧⑨, 5,11,Ｐマヤノカピオラニ, 64,田中健, 0.3, 76,* 12,  -7,13, 77.7,②②②, 5, 1,Ａメトロシュタイン, 84,福永祐, 0.5, 80,* 11,  -5, 6,  9.4,①①①
 6,10,Ｆメイショウシェリｰ, 51,高橋亮, 2.1, 50,  -6,  -7, 6, 39.4, ⑨⑨, 6,14, ビｰチパｰティｰ,---,松山弘, 1.1, 44, -12,  -8, 3,  6.5, ⑫⑬, 6, 1,Ｃガンダｰラ, 76,和田竜, 0.4, 75,* 13, -10, 3,  7.4,①①①, 6, 4,Ｄカネトシソレイユ, 81,小牧太, 0.5, 81,  10,   2, 7, 13.3,⑦⑧⑧
 7, 4,Ｈキセキノウタ, 45,田中健, 2.2, 50,  -3, -13, 5, 30.9, ⑤④, 7,13, シゲルケンシン,---,佐藤友, 1.1, 44, -12,  -8,10, 41.8, ⑬⑫, 7,10,Ｑナリタジャングル, 61,福永祐, 0.4, 76,  10,  -5, 4,  9.0,③③④, 7, 5,Ｋトップクリフォｰド, 74,幸英明, 0.6, 79,* 11,  -6, 9, 28.9,②②②
 8,11,Ｇキタサンメｰル, 51,野元昭, 2.4, 49,  -3, -13, 8, 69.8, ⑥⑥, 8, 6, ケイエスシンアカリ,---,幸英明, 1.2, 43,* -5, -17,11, 65.8, ②②, 8, 7,Ｏアドマイヤレッド, 65,岩田康, 0.7, 71,   9,  -7,11, 37.5,⑤⑤⑥, 8,12,Ｂドットコム, 84,安藤勝, 0.9, 77,   9,  -2, 2,  4.6,⑪⑪⑦
 9, 5,Ｋエンムスビヒメ, 35,小坂忠, 2.5, 47,  -6, -10,11,147.4, ⑩⑩, 9,10, グランフィｰルド,---,和田竜, 1.3, 43,  -7, -14, 7, 23.4, ④⑤, 9,17,Ａブライダルベｰル, 79,藤岡佑, 0.9, 73,   7,  -2, 6, 12.0,⑭⑪⑫, 9,11,Ｆナリタキングパワｰ, 80,岩田康, 1.0, 75,* 11, -10, 3,  6.2,③③④
10, 2,Ｉトゥルｰゴｰルド, 37,松山弘, 2.6, 46,  -3, -17, 4, 27.2, ④⑤,10, 3, ロングコロナ,---,岩田康, 1.3, 42, -10, -12, 9, 25.1, ⑪⑪,10, 8,Ｎフェリキタｰス, 67,赤木高, 1.0, 71,   5,*  2,16,196.9,⑩⑯⑰,10, 9,Ｅザサンデｰフサイチ, 80,ルメｰ, 1.8, 69,  10, -20, 1,  3.2,⑥⑤⑥
11, 1,Ｅニシノグラビア, 55,浜中俊, 2.8, 45,  -4, -16, 9, 74.4, ⑦⑦,11, 9, スｰパｰストｰン,---,酒井学, 1.6, 40, -10, -16, 8, 24.2, ⑩⑧,11, 5,Ｍマｰブルファイブ, 67,松山弘, 1.2, 69,   6,  -5,14, 91.4,⑫⑭⑬,11, 8,Ｌソニックルｰラｰ, 72,浜中俊, 1.9, 69,   9, -17,12,313.8,⑨⑦⑪
,,,,,,,,,,,,12, 4, フジノボｰガン,---,川島信, 1.7, 39, -28,*  2,13,159.1, ⑮⑮,12,15,Ｌシルクエステｰト, 69,秋山真, 1.2, 70,   6,  -5,15,107.6,⑪⑬⑪,12,10,Ｇデンコウミサイル, 80,武幸四, 2.4, 66,   9, -23,11, 82.3,⑩⑫⑫
,,,,,,,,,,,,13, 8, ホワイトミｰナ,---,ルメｰ, 1.8, 36,* -6, -21, 6, 16.6, ③③,13, 3,Ｅエメラルドミスト, 72,川島信, 1.4, 66,   5,  -5,12, 40.0,⑰⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,14, 7, クリノタッチンハネ,---,北村浩, 2.0, 36,  -7, -21,15,349.2, ⑥⑥,14, 6,Ｄダディｰズウォｰズ, 74,川田将, 1.7, 65,   6, -12, 2,  4.6,⑯⑫⑮,,,,,,,,,,,,
,,,,,,,,,,,,15,11, マルサンチャンス,---,田中健, 2.1, 36, -10, -20,14,166.9, ⑦⑩,15,16,Ｈハマノエルマｰ, 72,熊沢重, 1.9, 60,   5, -13, 8, 18.8,⑮⑰⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｆスズカマグナム, 72,武豊  , 2.0, 59,   7, -21, 7, 15.8,⑬⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｇダｰクジャケット, 72,浜中俊, 3.0, 52,   9, -40,10, 34.8,⑥⑦⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
