09年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾞﾝｶｽﾀｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａスリｰボストン, 78,武豊  ,, 68,* -2,*  5, 1,  1.1, ②②, 1, 4, シュテルンタｰラｰ,---,秋山真,, 68, -15,* 10, 3,  5.4, ⑥⑥, 1,11,Ｃバアゼルリバｰ, 80,安藤勝,, 81,  11,*  9, 2,  4.5,⑥⑥③, 1,16,Ａフサイチピｰジェイ, 91,安藤勝,, 85,* 18,   4, 1,  2.2,①①①
 2, 5,Ｂマイネルレガｰロ, 61,ルメｰ, 0.4, 63,  -4,*  4, 2, 12.6, ⑤③, 2, 6, ミキノバンジョｰ,---,熊沢重, 0.1, 64,* -7,   1, 2,  3.9, ①①, 2, 6,Ｂキクノアポロ, 80,岩田康, 0.1, 81,  11,*  7, 3,  5.8,④③②, 2,15,Ｆグランプリサクセス, 87,小牧太, 0.5, 85,  13,  10, 5, 14.3,⑩⑧⑥
 3, 3,Ｃグランデワイルド, 56,藤岡佑, 0.8, 62,* -1,  -2, 3, 17.8, ①①, 3, 3, キョウワプレジャｰ,---,池添謙, 0.3, 62,* -8,  -1, 5,  6.3, ②②, 3, 9,Ｈトップジャイアンツ, 76,藤田伸, 0.8, 76,* 12,  -1, 7, 18.3,②②①, 3, 9,Ｃケアレスウィスパｰ, 88,金折知, 0.5, 86,  12,* 12, 7, 21.7,⑨⑩⑦
 4, 4,Ｅスペシャルイモン, 54,松山弘, 1.5, 54, -11,   1, 4, 21.5, ⑧⑧, 4, 5, スマｰトムｰビｰ,---,福永祐, 0.8, 56, -10,  -4, 8, 21.9, ④④, 4, 5,Ａアドマイヤインディ, 81,福永祐, 1.0, 77,  10,   3, 1,  2.1,⑦⑧④, 4,14,Ｐプロヴィナｰジュ, 76,ルメｰ, 0.7, 80,* 15,   3, 4,  7.8,②③③
 5, 9,Ｄリッカスウィｰプ, 56,小牧太, 1.9, 51,  -6,  -7, 5, 21.9, ⑥⑥, 5, 9, オｰトティアモ,---,北村宏, 1.0, 54, -20,   2,12,100.2, ⑩⑩, 5, 2,Ｇグレイトロｰタリｰ, 77,川島信, 1.1, 74,  11,  -1, 5, 12.2,⑤⑤⑥, 5, 4,Ｂフォｰティファイド, 89,武豊  , 0.9, 83,  13,   6, 2,  4.5,⑦⑦④
 6, 8,Ｈシゲカツワンダフル, 38,国分恭, 2.2, 50,  -3, -13, 9,219.7, ③④, 6,13, サバンナ,---,角田晃, 1.2, 51,* -9, -11,11, 97.5, ③③, 6, 7,Ｅビｰドラスティック, 78,小坂忠, 1.3, 76,   9,   4,10, 61.1,⑪⑪⑦, 6, 6,Ｉツルマルビビッド, 84,和田竜, 1.1, 81,  11,   7,13,104.7,⑫⑪⑨
 7, 7,Ｆパワｰクラウン, 46,野元昭, 2.2, 48,  -8,  -8,11,278.3, ⑦⑦, 7, 8, メイショウナナボシ,---,武幸四, 1.2, 57, -30,* 10, 6, 13.5, ⑬⑬, 7, 1,Ｉショウケイ, 76,浜中俊, 1.6, 73,  10,  -3, 9, 46.0,⑧⑦⑨, 7, 8,Ｄエタｰナルスマイル, 87,藤岡佑, 1.1, 82,   9,* 13,11, 83.1,⑮⑯⑯
 8, 1,Ｌニホンピロピリオド, 26,酒井学, 2.5, 47, -13,  -6, 6,106.7, ⑩⑨, 8,11, ミヤジアンジェラ,---,和田竜, 1.3, 52, -15,  -5, 9, 38.7, ⑦⑧, 8, 8,Ｆホクトスワン, 78,藤岡佑, 2.4, 67,   9,  -8, 8, 25.8,⑩⑨⑪, 8, 3,Ｍセフティｰロｰレル, 83,松山弘, 1.1, 81,  10,   9,15,226.4,⑪⑫⑩
 9,11,Ｉセイラヴリイ, 36,池添謙, 3.5, 37, -17, -11,10,231.5, ⑫⑪, 9, 1, ビバトゥモロｰ,---,藤岡康, 1.5, 50, -23,   0,13,203.7, ⑫⑪, 9, 3,Ｄコスモアブソルｰト, 78,和田竜, 2.8, 65,  10, -12,11, 88.5,⑨⑩⑩, 9,13,Ｅタｰトルベイ, 87,秋山真, 1.2, 80,  10,   9,12, 89.3,⑭⑬⑫
10,10,Ｇペプチドストｰム, 38,和田竜, 3.7, 35, -15, -15, 8,219.1, ⑪⑫,10, 7, ピットスポルム,---,岩田康, 1.7, 43, -12, -15, 1,  3.8, ⑤⑤,10, 4,Ｊロックザキャスバ, 74,スミヨ, 3.1, 62,  11, -18, 4,  9.2,③④⑧,10,10,Ｈブライアンズエッセ, 86,横山典, 1.3, 80,   9,  10,10, 46.8,⑯⑮⑮
11, 2,Ｋマキハタヒロイック, 28,石橋守, 4.0, 33, -13, -20,12,400.2, ⑨⑩,11, 2, メタギャラクシｰ,---,田中博, 1.9, 42, -20, -10, 7, 21.1, ⑨⑨,11,10,Ｋスズカルビｰ, 70,熊沢重, 3.8, 59,* 12, -27, 6, 18.3,①①⑤,11,11,Ｌメイショウアサガオ, 83,北村宏, 1.3, 79,  10,   9, 6, 20.7,⑬⑭⑭
12,12,Ｊシゲルツキヤマドノ, 31,熊沢重, 4.0, 34,  -2, -29, 7,153.8, ④⑤,12,12, シゲルヨシヒロ,---,古川吉, 2.0, 40, -15, -16,10, 74.8, ⑧⑦,,,,,,,,,,,,,12, 5,Ｇソラメンテウナベス, 86,池添謙, 1.3, 78,  14,   0, 8, 37.8,③④⑤
,,,,,,,,,,,,13,10, アンピトリｰテ,---,国分恭, 2.3, 36, -22, -13, 4,  6.2, ⑪⑫,,,,,,,,,,,,,13, 1,Ｋマイエンブレム, 84,スミヨ, 1.9, 74,* 17, -11, 3,  5.9,④②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｎストラディヴァリオ, 82,熊沢重, 2.2, 75,  12,  -3,16,262.1,⑧⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏテンザンコノハナ, 81,田中克, 2.3, 74,  13,  -6,14,152.3,⑥⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｊメイショウゲンスイ, 84,四位洋, 3.5, 64,  13, -16, 9, 43.9,⑤⑤⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-5),,,,,,,,,,,
単勝:110円 複勝:06=100円 05=120円 03=190円 枠連:310円,,,,,,,,,,,,単勝:540円 複勝:04=180円 06=170円 03=170円 枠連:430円,,,,,,,,,,,,"単勝:450円 複勝:11=200円 06=240円 09=480円 枠連:1,120円",,,,,,,,,,,,"単勝:220円 複勝:16=120円 15=330円 09=370円 枠連:1,740円",,,,,,,,,,,
馬連:270円 ワイド:05-06=150円 03-06=210円 03-05=410円,,,,,,,,,,,,"馬連:1,070円 ワイド:04-06=440円 03-04=570円 03-06=570円",,,,,,,,,,,,"馬連:1,160円 ワイド:06-11=590円 09-11=1,280円 06-09=1,220円",,,,,,,,,,,,"馬連:1,720円 ワイド:15-16=590円 09-16=620円 09-15=2,060円",,,,,,,,,,,
"馬単:320円 3連複:550円 3連単:1,120円",,,,,,,,,,,,"馬単:2,010円 3連複:2,000円 3連単:10,410円",,,,,,,,,,,,"馬単:2,630円 3連複:5,870円 3連単:24,210円",,,,,,,,,,,,"馬単:2,570円 3連複:6,540円 3連単:21,080円",,,,,,,,,,,
