09年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａセイリオス, 67,デムｰ,, 64,*  3,*  8, 1,  2.6, ④③, 1, 8, ケｰジｰキングオｰ,---,蛯名正,, 61,  -8,*  7, 2,  4.9, ⑦⑦, 1, 4,Ｄキングレオポルド, 67,福永祐,, 77,  -4,* 15, 2,  6.9, ③③, 1, 5,Ａウオッカ,102,ルメｰ,, 99,  22,*  7, 1,  3.6,④④⑤
 2,15,Ｏマイネルオベリスク, 31,丹内祐, 0.7, 59,*  5,  -1,14,202.9, ②②, 2,12, リアルフリｰダム,---,横山典, 0.1, 60,  -6,   5, 1,  2.3, ④④, 2, 2,Ｌヒシカツジェｰムス, 48,蛯名正, 0.2, 76,  -6,* 16, 5,  9.7, ⑦⑦, 2,10,Ｃオウケンブルｰスリ, 94,内田博, 0.0,102,  19,* 17, 2,  4.7,⑯⑯⑱
 3, 8,Ｂダテノスイミｰ, 64,内田博, 1.1, 59,   0,   5, 2,  3.7, ⑧⑧, 3,10, アポロノサムライ,---,勝浦正, 0.1, 60,  -8,*  7, 4,  7.2, ⑨⑧, 3,10,Ａセイウンジャガｰズ, 69,松岡正, 0.2, 76,  -6,* 16, 1,  1.9, ⑨⑧, 3, 6,Ｅレッドディザイア, 93,四位洋, 0.2, 99,  20,*  8, 6,  9.6,⑩⑪⑪
 4,14,Ｇカフェラビリンス, 54,松岡正, 1.1, 56,  -1,   5, 3,  4.6, ⑩⑩, 4, 4, マスタｰソムリエ,---,北村宏, 0.2, 58,  -9,*  8, 9, 40.0, ⑫⑨, 4, 5,Ｆヒットメｰカｰ, 63,スミヨ, 0.2, 76,  -5,* 15, 3,  7.8, ⑤⑥, 4,16, コンデュイット,---,ムｰア, 0.4, 98,  22,   4, 3,  4.9,⑭⑬⑩
 5,13,Ｆウエスタンウェイブ, 55,伊藤工, 1.2, 56,  -3,*  8, 7, 18.7, ⑫⑫, 5, 5, チャｰミングキラｰ,---,三浦皇, 0.6, 56,  -7,   1,10, 44.1, ⑤⑤, 5, 7,Ｅタニノエポレット, 67,ルメｰ, 0.4, 72,  -7,* 15, 6, 14.7, ⑧⑨, 5, 3,Ｄエアシェイディ, 93,後藤浩, 0.6, 96,  20,   4,11, 44.8,⑬⑮⑬
 6,16,Ｅメイショウセキトバ, 56,横山典, 1.2, 54,*  6,  -7, 6, 15.6, ①①, 6, 2, レオアラシ,---,的場勇, 0.8, 53,  -7,  -2, 5,  7.7, ③③, 6, 1,Ｊダノンシュナップス, 57,内田博, 0.7, 70,  -8,  12, 4,  8.4, ⑪⑩, 6, 4,Ｈエイシンデピュティ, 90,戸崎圭, 0.7, 94,* 23,  -6, 9, 39.0,③③②
 7, 2,Ｄジョウテンデジタル, 61,柴田善, 1.6, 55,  -4,   5, 8, 27.2, ⑬⑬, 7, 1, ロｰドオメガ,---,内田博, 0.8, 56, -10,   4, 6, 20.5, ⑪⑩, 7, 8,Ｋセイウンオウサム, 53,デムｰ, 0.8, 65,*  1,  -3, 9, 53.4, ②②, 7, 7, ジャストアズウェル,---,ルパル, 0.8, 94,  20,   1,12, 47.1,⑪⑫⑭
 8, 3,Ｃフレンチビスティｰ, 61,勝浦正, 1.6, 54,   2,  -2, 4, 12.0, ⑤⑤, 8, 9, スリｰキャプテン,---,柴山雄, 1.0, 52,* -6,  -5,12,152.3, ②②, 8, 6,Ｉドリｰムザネクスト, 59,後藤浩, 1.2, 62,*  1,  -9,12,155.8, ①①, 8, 8,Ｇマイネルキッツ, 90,松岡正, 0.8, 95,  19,   6, 7, 32.1,⑰⑱⑰
 9, 4,Ｋトラストイチゲキ, 49,柴山雄, 1.7, 53,  -1,   1,15,266.6, ⑨⑨, 9, 6, パワｰショウ,---,吉田豊, 2.2, 44,* -5, -16, 8, 27.4, ①①, 9,12,Ｃトロンプルイユ, 69,横山典, 1.8, 54,  -2, -13,10, 61.2, ④④, 9, 9,Ｍリｰチザクラウン, 82,武豊  , 1.0, 90,* 23, -12, 5,  8.6,①①①
10, 6,Ｍマルコファンタジｰ, 41,戸崎圭, 1.8, 54,  -2,   2,11,154.9, ⑪⑪,10,11, ケンシン,---,岩田康, 2.6, 41,  -7, -15, 3,  6.3, ⑥⑥,10, 9,Ｇチェンジオブシｰン, 62,柴山雄, 1.9, 55,  -3, -11,11,118.0, ⑥⑤,10, 2,Ｊネヴァブション, 87,北村宏, 1.3, 88,  22,  -9,18,145.3,⑤⑥⑨
11,12,Ｊラド, 50,武豊  , 2.0, 51,   1,  -4, 5, 13.6, ⑦⑦,11, 7, クレバｰリボン,---,丸山元, 3.4, 36, -12, -17,11, 73.4, ⑧⑫,11,11,Ｈデパｰル, 61,伊藤直, 2.1, 53,  -8,  -8, 8, 20.2, ⑫⑪,11,12, シンティロ,---,モッセ, 1.4, 89,  22, -11,15,115.3,⑦⑦⑦
12,10,Ｈマイネルウィット, 54,ルメｰ, 2.7, 42,   1, -12,10, 59.7, ⑥⑥,12, 3, ファｰベルハフト,---,デムｰ, 4.6, 27, -11, -28, 7, 24.8, ⑩⑪,12, 3,Ｂフィｰルドスピカ, 69,武豊  , 2.7, 45, -11, -13, 7, 15.7, ⑩⑫,12,17,Ｉコスモバルク, 87,五十嵐, 2.0, 83,  20, -15,17,123.9,⑱⑰⑯
13, 1,Ｐハナコチャン, 30,丸山元, 3.1, 45,  -7,  -1,12,161.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,13,18,Ｂスクリｰンヒｰロｰ, 96,デムｰ, 2.1, 82,  22, -23, 4,  7.5,⑨⑨⑥
14, 9,Ｎクリノケイブパｰル, 34,大庭和, 3.5, 37,  -4, -10,16,404.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｌインティライミ, 83,スミヨ, 2.2, 82,  22, -23,16,123.9,⑧⑧⑧
15, 5,Ｌマイネルウィル, 45,武士沢, 3.9, 35,  -7, -11,13,180.8, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,14,15, インタｰパテイショ,---,コｰエ, 2.2, 82,  20, -19,14, 89.5,⑮⑭⑮
16, 7,Ｉハイタッチクイｰン, 53,田面木, 4.2, 35,   2, -25, 9, 55.1, ③④,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｋアサクサキングス, 86,岩田康, 3.1, 75,* 23, -39,10, 43.9,②②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11, マｰシュサイド,---,カステ, 3.2, 75,  20, -35, 8, 33.0,⑫⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,Ｆヤマニンキングリｰ, 91,柴山雄, 4.2, 70,* 23, -55,13, 71.2,⑥⑤④
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,
"単勝:260円 複勝:11=120円 15=3,280円 08=140円 枠連:1,360円",,,,,,,,,,,,単勝:490円 複勝:08=150円 12=120円 10=170円 枠連:460円,,,,,,,,,,,,"単勝:690円 複勝:04=160円 02=230円 10=110円 枠連:4,070円",,,,,,,,,,,,単勝:360円 複勝:05=140円 10=160円 06=260円 枠連:460円,,,,,,,,,,,
"馬連:35,270円 ワイド:11-15=9,180円 08-11=220円 08-15=11,710円",,,,,,,,,,,,馬連:650円 ワイド:08-12=290円 08-10=520円 10-12=350円,,,,,,,,,,,,"馬連:3,150円 ワイド:02-04=810円 04-10=240円 02-10=350円",,,,,,,,,,,,"馬連:1,020円 ワイド:05-10=360円 05-06=600円 06-10=770円",,,,,,,,,,,
"馬単:43,650円 3連複:36,580円 3連単:261,450円",,,,,,,,,,,,"馬単:1,760円 3連複:1,330円 3連単:8,130円",,,,,,,,,,,,"馬単:7,120円 3連複:1,840円 3連単:20,200円",,,,,,,,,,,,"馬単:2,020円 3連複:2,460円 3連単:11,690円",,,,,,,,,,,
