09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,鳴海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃスズカジェネラル, 53,中舘英,, 51,* -5,   5, 2,  5.0,②②②, 1,14, ビｰチランデブｰ,---,スミヨ,, 72,* -5,* 14, 1,  3.6,①①①, 1, 9,Ｂヒカリコｰズウェｰ, 74,赤木高,, 75,*  8,   5, 2,  4.4,⑮③③, 1, 3,Ａスタッドジェルラン, 88,佐藤哲,, 87,*  7,* 20, 1,  1.6,③③③
 2, 1,Ａエンジェルブレス, 59,スミヨ, 0.0, 52,  -5,*  7, 1,  1.9,④③③, 2,15, ブラボｰジャングル,---,荻野琢, 0.9, 60,  -8,   7, 4,  6.0,⑥⑥⑦, 2,11,Ａサイモントルナｰレ, 76,蛯名正, 0.0, 76,*  9,   5, 3,  4.5,⑭②②, 2,12,Ｊオｰクヒルズ, 76,秋山真, 0.9, 78,*  8,  10,12, 85.2,②②①
 3, 6,Ｆマルタカルｰキｰ, 49,木幡初, 0.1, 50,* -4,   5, 4,  7.5,⑤④④, 3, 3, サイカニア,---,鮫島良, 0.9, 65,  -9,* 11, 2,  4.1,⑧⑨⑨, 3,10,Ｉマｰブルアロｰ, 71,宮崎北, 0.6, 70,   5,*  6, 6, 15.8,⑫⑨⑤, 3, 4,Ｂタガノアッシュ, 81,赤木高, 1.0, 80,   5,  14, 5, 18.9,⑦⑥⑤
 4, 3,Ｄメイショウシェリｰ, 52,高橋亮, 0.2, 52,  -6,*  8, 5, 17.4,⑥⑥⑤, 4, 7, ブレイク,---,秋山真, 1.0, 64,  -9,* 10, 3,  4.6,⑨⑧⑧, 4, 5,Ｈブルｰシｰズン, 71,木幡初, 0.6, 71,   4,*  8,14,128.5,⑦⑬⑭, 4,13,Ｉマッシヴエンペラｰ, 78,芹沢純, 1.1, 77,*  7,   9, 3,  9.0,④④④
 5,12,Ｂテンシノデジタル, 59,中村将, 0.2, 49,* -4,   2, 3,  5.9,①①①, 5,13, メイショウユメドノ,---,木幡初, 1.3, 57,* -6,  -1, 9, 38.9,④③④, 5, 4,Ｆエイシンダッシュ, 72,中舘英, 0.6, 71,   5,   5, 4,  8.0,⑬⑧⑥, 0, 5,Ｅスズカフレｰム, 80,スミヨ, 1.5, 77,   4,  11, 2,  6.5,⑧⑨⑩
 6,13,Ｊストｰクフィｰルド, 39,黛弘人, 0.7, 48,  -7,*  7, 7, 26.5,⑧⑨⑦, 6, 4, パｰプルハロイン,---,上野翔, 1.8, 53,  -9,  -3,14, 68.9,⑦⑦⑤, 6,13,Ｃアイソトｰプ, 74,スミヨ, 0.6, 71,   6,   3, 1,  3.4,⑨⑥④, 5,16,Ｌナイスシャトル, 75,石橋脩, 1.5, 80,   2,* 14,14,130.2,⑬⑯⑭
 7, 2,Ｇコンゴウシャトル, 49,松山弘, 1.6, 40,  -7,  -4,11, 71.4,③⑤⑥, 7, 1, ピサノファンゴッホ,---,福永祐, 1.8, 52,  -8,  -7, 6, 19.7,③④②, 7,15,Ｄブラストヘッド, 73,佐藤哲, 0.8, 69,   6,   2, 9, 28.9,⑤⑦⑦, 6, 9,Ｇトｰセンマンボ, 79,蛯名正, 1.6, 76,   3,  12, 7, 27.9,⑫⑩⑫
 8, 7,Ｋコスモアレスト, 38,丹内祐, 2.3, 37,  -9,  -6,13,170.3,⑨⑧⑨, 8, 2, シルククインビｰ,---,吉田豊, 2.3, 47,  -8, -13, 5, 11.4,⑤⑤⑥, 8, 8,Ｏロｰドカイザｰ, 59,丸田恭, 0.9, 69,*  9,  -3, 5, 10.5,②①①, 7, 1,Ｈホワイトショウフク, 78,北村友, 1.7, 76,   3,  12, 9, 35.0,⑭⑫⑧
 9, 8,Ｈネイビｰウッド, 46,的場勇, 2.3, 34,  -7, -10, 6, 22.1,⑦⑦⑧, 9, 9, マイネルリブレット,---,石橋脩, 2.5, 45,* -7, -20,11, 50.8,②②③, 9,12,Ｇバリアントバイオ, 72,太宰啓, 1.5, 65,   4,  -1,11, 37.5,⑯⑫⑪, 8, 2,Ｄエｰシンエヴァン, 80,野元昭, 1.8, 77,   5,   7, 8, 28.4,⑩⑦⑥
