09年12月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆオメガブルｰグラス, 52,武豊  ,, 56, -11,* 10, 2,  3.4, ⑩⑩, 1, 8, トウカイトキメキ,---,内田博,, 61, -17,  15, 3,  5.2, ④④, 1,11,Ｍマイネルクラリティ, 68,三浦皇,, 79,   3,  10, 3,  7.4, ⑨⑨, 1, 3,Ｂトップカミング, 87,蛯名正,, 91,  11,* 17, 1,  3.4,⑦⑦⑩
 2, 8,Ｃネイルダウン, 61,川田将, 0.1, 55,  -1,   0, 3,  6.3, ④③, 2, 6, エリモエポナ,---,池添謙, 0.1, 58,*-13,   8, 2,  3.5, ①①, 2, 8,Ｅロｰドエキスパｰト, 76,デムｰ, 0.0, 79,   2,* 13, 7, 16.6, ⑩⑫, 2, 5,Ｉヤマニンウイスカｰ, 81,和田竜, 0.2, 89,  10,* 15, 2,  4.2,⑩⑩⑫
 3, 7,Ａタツパｰシヴ, 67,安藤勝, 0.1, 54,*  0,  -1, 1,  2.1, ②②, 3,11, シルククラリティ,---,小牧太, 0.2, 59, -20,* 17, 9, 35.1, ⑧⑥, 3, 7,Ｌレインフォｰレスト, 68,藤岡康, 0.1, 77,   6,   4,10, 29.5, ⑤⑤, 3,10,Ａジャミｰル, 89,安藤勝, 0.2, 89,* 12,  11, 3,  4.5,⑨⑨⑦
 4, 2,Ｂアスタｰタイクｰン, 65,太宰啓, 0.1, 55,  -7,*  6, 4,  8.2, ⑨⑦, 4, 7, カノヤキントキ,---,幸英明, 1.0, 52,*-13,   1, 1,  2.9, ②②, 4,14,Ｊサバｰス, 69,松岡正, 0.1, 79,   1,* 13, 9, 27.2, ⑬⑪, 4,18,Ｄタイセイファイタｰ, 84,小牧太, 0.4, 85,* 12,   5, 6, 15.4,④④③
 5, 6,Ｄマリヲ, 59,吉田稔, 0.1, 56,*  0,  -1, 6, 18.4, ①①, 5, 4, ゼンノベラｰノ,---,吉田稔, 1.2, 52, -26,  15, 7, 28.3, ⑨⑨, 5,10,Ｂメイショウシオギリ, 77,蛯名正, 0.2, 75,*  7,   0, 4,  8.3, ③③, 5,17,Ｑバアゼルリバｰ, 72,内田博, 0.5, 86,  10,  11,10, 37.6,⑮⑮⑬
 6, 1,Ｉサダムトウコン, 45,和田竜, 0.2, 55,  -2,   0, 7, 21.8, ③④, 6,12, アンドアイラブハｰ,---,川田将, 1.4, 49, -18,   4, 4,  5.4, ⑤⑤, 6, 2,Ｃディｰプスピリット, 77,岩田康, 0.3, 76,   2,   9, 1,  2.4, ⑫⑩, 6,16,Ｋトップクリフォｰド, 80,武豊  , 0.6, 83,  10,   6, 7, 24.7,⑫⑪⑨
 7, 9,Ｅメイショウキルタｰ, 52,福永祐, 0.7, 49,  -6,  -1, 5, 15.9, ⑦⑥, 7, 3, ポｰトクラシック,---,和田竜, 1.4, 49, -20,   6,11, 41.8, ⑥⑧, 7, 1,Ｆマヤノベンケイ, 74,福永祐, 0.3, 76,   4,   6, 5, 14.9, ⑦⑧, 7, 8,Ｌセタガヤフラッグ, 79,池添謙, 0.6, 84,* 12,   4,11, 39.0,⑥⑥④
 8,10,Ｇマキハタビリケン, 48,橋本美, 0.8, 50,  -3,  -5,10,126.7, ⑤⑤, 8,10, トップオブカハラ,---,熊沢重, 1.4, 49, -14,  -2, 6, 24.4, ③③, 8, 4,Ａブルｰモｰリシャス, 78,上村洋, 0.4, 75,   5,   3, 2,  5.3, ⑧⑦, 8, 2,Ｈメトロシュタイン, 81,福永祐, 0.7, 83,* 12,   4, 5, 13.9,⑤⑤⑥
 9, 5,Ｋバリチェロ, 24,浜中俊, 0.8, 49,  -8,   0, 8, 62.4, ⑧⑨, 9, 1, シュガｰレスボｰイ,---,福永祐, 1.8, 46, -20,   3, 5, 16.5, ⑦⑦, 9,15,Ｎノｰブルストｰン, 66,武豊  , 0.5, 74,  -1,  11,13, 46.9, ⑮⑭, 9, 6,Ｃケンブリッジレｰザ, 85,川田将, 0.7, 83,  10,   5, 4,  8.6,⑧⑧⑧
