09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂミエノグレｰス, 64,武豊  ,, 62,   2,*  6, 1,  2.0, ⑦⑧, 1, 1, タイムチェイサｰ,---,蛯名正,, 55,*-25,  11, 2,  4.2,②②②, 1,11,Ｋアリゼオ, 64,ルメｰ,, 74,*  0,   8, 1,  3.1,④②②, 1, 9,Ｂドリｰムジャｰニｰ, 95,池添謙,,109,  24,* 16, 2,  4.0,⑮⑭⑩
 2, 6,Ａオクルス, 65,田中勝, 0.1, 63,*  9,   0, 2,  3.7, ①①, 2, 5, クレバｰロッシｰ,---,田中勝, 0.2, 56, -27,* 15,12, 71.9,⑦⑨⑧, 2, 7,Ｈミカエルビスティｰ, 69,勝浦正, 0.3, 74,  -4,* 14, 3,  6.4,⑩⑨⑦, 2, 2,Ａブエナビスタ,101,横山典, 0.1,104,  26,*  6, 1,  3.4,⑥④④
 3, 4,Ｅゴｰルインマｰク, 58,内田博, 0.3, 58,  -1,*  6, 3,  7.8, ⑩⑨, 3, 7, フロｰリストライフ,---,横山典, 0.2, 53,*-26,* 13, 7, 20.3,⑥⑤⑤, 3,13,Ｇセイウンジャガｰズ, 72,蛯名正, 0.4, 73,  -4,* 11, 8, 15.5,⑦⑧⑥, 3, 6,Ｃエアシェイディ, 94,後藤浩, 0.8,100,  23,*  8,11, 32.0,⑯⑮⑬
 4, 2,Ｃタケショウカヅチ, 60,吉田隼, 0.6, 57,   5,  -1, 4,  7.9, ④④, 4,18, ブレイクアセオリｰ,---,三浦皇, 0.2, 53,*-25,  10, 3,  7.0,③③③, 4, 5,Ａヤングアットハｰト, 76,藤田伸, 0.4, 71,  -3,   7, 5,  9.1,⑤④⑤, 4,16,Ｆフォゲッタブル, 92,ルメｰ, 0.8,100,  24,   2, 4,  9.6,⑭⑬⑦
 5, 1,Ｉファルブジェナ, 48,北村宏, 0.6, 54,  -1,*  4, 6, 27.9, ⑧⑦, 5,10, ジャトゥチンタ,---,柴田善, 0.3, 50,*-24,   6,14,138.3,①①①, 5,14,Ｉサイレントメロディ, 66,横山典, 0.7, 69,  -6,* 11, 7, 14.1,⑫⑪⑫, 5, 4,Ｄマイネルキッツ, 93,三浦皇, 1.2, 96,  24,  -6,12, 33.2,⑩⑧⑥
 6,12,Ｌノボシャンパｰニュ, 41,浜中俊, 1.0, 54,   5,  -5,12,150.2, ⑤⑤, 6,13, ハリウッドスタｰ,---,池添謙, 0.4, 54, -27,* 13, 4,  7.8,⑨⑩⑨, 6, 1,Ｂアｰバンウィナｰ, 74,柴田善, 0.8, 69,  -6,  10, 6, 12.0,⑪⑩⑪, 6,14,Ｊセイウンワンダｰ, 89,藤田伸, 1.6, 93,  24,  -9,10, 21.0,⑬⑫⑤
 7,13,Ｇフジマサオｰシャン, 53,クラス, 1.1, 50,  -1,  -1, 8, 44.4, ⑪⑩, 7, 4, ブルｰラインハルト,---,内田博, 0.9, 45,*-26,   2,13, 72.4,④④④, 7, 3,Ｆドレスアフェアｰ, 72,武豊  , 0.8, 69,  -5,  10, 4,  8.6,⑯⑬⑨, 7, 7,Ｇマツリダゴッホ, 92,蛯名正, 1.9, 91,  26, -19, 3,  9.4,⑫⑤②
 8, 9,Ｊエムオｰクラウン, 44,蛯名正, 1.4, 48,  -4,   1, 7, 34.1, ⑭⑫, 8, 2, レッドガルｰダ,---,武豊  , 1.1, 44, -29,   6, 1,  3.0,⑪⑫⑫, 8,15,Ｃアｰスガルド, 74,デムｰ, 0.9, 68,  -5,   8, 9, 22.8,⑨⑫⑬, 8,11,Ｋイコピコ, 89,内田博, 2.6, 86,  26, -27, 9, 17.2,⑧⑦⑨
 9,16,Ｄジェラルドエビス, 58,ルメｰ, 1.5, 48,   5,  -9, 5, 12.8, ⑥⑥, 9, 6, スｰブルソｰ,---,デムｰ, 1.1, 53, -33,* 17, 5,  9.4,⑱⑱⑱, 9, 9,Ｅビｰチランデブｰ, 72,内田博, 1.2, 63,  -3,  -3, 2,  4.5,⑥⑥⑧, 9,13,Ｎシャドウゲイト, 82,田中勝, 2.7, 85,* 27, -33,16,123.4,④③①
