10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,斑鳩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂエリモレインボｰ, 61,石橋守,, 62,*  4,  -3, 1,  2.9, ③③, 1, 8, メテオロロジスト,---,ルメｰ,, 70,* -3,* 13, 1,  1.5,①①①, 1,12,Ｃプリンセスペスカ, 74,角田晃,, 73,* -3,   9, 5, 12.5, ②②, 1, 3,Ｄランチボックス, 81,岩田康,, 85,   4,  12, 5, 11.3, ⑥⑥
 2, 7,Ｄトｰブプリンス, 56,幸英明, 0.2, 58,   0,*  0, 7, 15.2, ⑦⑦, 2, 2, グリッタｰウイング,---,四位洋, 0.8, 64,* -4,   8, 2,  4.8,⑦④②, 2,14,Ｏアｰトオブダンサｰ, 63,佐久間, 0.1, 70,  -5,  10,12, 58.4, ④④, 2,10,Ａボｰダレスワｰルド, 82,ルメｰ, 0.0, 86,   0,* 16, 1,  2.5, ⑩⑪
 3,10,Ｐハｰトロック, 10,岩田康, 0.5, 56,*  4,  -7, 3,  5.3, ②②, 3, 1, ナムラアレグロ,---,安部幸, 1.5, 60,  -6,   4, 6, 29.5,④⑥⑥, 3, 8,Ａオデットシチｰ, 75,川島信, 0.1, 69,* -4,   9, 4,  8.0, ③③, 3,16,Ｃマイネルエルフ, 82,津村明, 0.2, 83,   2,  11, 4,  9.1, ⑨⑦
 4,11,Ｎアンジェリｰクダダ, 34,池添謙, 0.6, 53,  -8,*  5,11, 67.9, ⑫⑩, 4, 5, ナムラクンリン,---,鮫島良, 1.7, 60,  -6,   3, 9, 85.3,⑥⑦⑦, 4,15,Ｋメイショウフェｰヴ, 68,難波剛, 0.4, 68,  -6,   9,13, 74.4, ⑥⑧, 4,11,Ｇセイウンワキタツ, 79,鮫島良, 0.3, 84,  -1,* 15,16,240.4, ⑫⑫
 5, 5,Ｇリュンヌ, 50,渡辺薫, 0.8, 55,*  6, -11, 4, 11.4, ①①, 5, 7, タイトルホルダｰ,---,岩田康, 2.1, 56,  -5,  -3, 3,  7.1,②⑤④, 5, 3,Ｉアグネスミヌエット, 69,岩田康, 0.5, 69, -11,* 15, 8, 36.8, ⑭⑭, 5, 1,Ｉヤマカツマリリン, 78,田嶋翔, 0.4, 78,*  6,   3, 7, 27.5, ①①
 6, 6,Ｅアドマイヤマスタｰ, 54,安藤勝, 0.9, 50,   1,  -8, 2,  3.5, ⑤⑤, 6, 4, テイエムスリリング,---,藤岡佑, 3.0, 50,  -6,  -8, 7, 35.7,⑧⑧⑧, 6, 7,Ｂヤサシイキモチ, 75,幸英明, 0.6, 66,  -6,   7, 1,  3.2, ⑦⑥, 6, 6,Ｂサワヤカラスカル, 82,浜中俊, 0.4, 82,   0,  11, 3,  5.0, ⑪⑩
 7,13,Ａラブシェｰマ, 66,鮫島良, 1.0, 52,   2,  -9, 6, 13.6, ⑥⑥, 7, 3, コックスバザｰル,---,川田将, 3.1, 49,  -5, -11, 4,  9.4,③②③, 7,10,Ｆキャナレット, 71,浜中俊, 0.6, 68,  -9,* 12,11, 48.9, ⑪⑪, 7,13,Ｈセトノアンテウス, 78,安藤勝, 0.5, 78,*  6,   2, 2,  4.3, ②②
 8, 1,Ｃシャイニｰベスト, 57,田嶋翔, 1.1, 51,   3, -10, 8, 29.8, ④④, 8, 9, ビカムアヒｰロｰ,---,幸英明, 3.2, 50,  -8,  -5, 5, 23.0,⑨⑨⑨, 8, 6,Ｅジョｰゲルダ, 74,ルメｰ, 0.6, 67,  -8,  11, 3,  5.3, ⑨⑩, 8, 7,Ｋマイネエスポワｰル, 75,安部幸, 0.6, 81,  -4,* 15, 6, 15.4, ⑭⑭
 9, 2,Ｈボｰンストｰン, 50,和田竜, 1.1, 48,  -5,  -4,13,103.6, ⑧⑧, 9, 6, シンボリニｰス,---,浜中俊, 3.6, 46,  -5, -16, 8, 55.3,⑤③⑤, 9, 5,Ｈレインボｰマリｰン, 69,渡辺薫, 0.8, 66, -10,  11, 9, 42.9, ⑬⑬, 9, 4,Ｆメガトレンド, 79,小牧太, 0.6, 82,  -6,* 18, 9, 43.0, ⑮⑮
