10年 2月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,琵琶湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄエｰシンリジル, 61,岩田康,, 67,*  3,*  3, 4,  6.0, ②②, 1, 5, ホクセツキングオｰ,---,岩田康,, 64,*  2,  -2, 1,  2.7, ②②, 1, 2,Ａストｰムツイスタｰ, 74,岩田康,, 78,*  7,   7, 1,  1.5, ①①, 1, 3,Ｄマイネルシュトルム, 80,デムｰ,, 88,* 15,*  1, 1,  2.1,③③②
 2,15,Ａハｰトフルボディ, 64,福永祐, 0.3, 64,   1,*  2, 2,  4.6, ④⑤, 2,11, アルｰリングライフ,---,幸英明, 0.4, 60, -10,*  5, 3,  5.4, ⑨⑨, 2,10,Ｆチャｰムドリｰム, 66,デムｰ, 1.0, 69, -13,* 16, 6, 15.9, ⑮⑮, 2,11,Ｇトップサンダｰ, 78,和田竜, 0.0, 88,* 14,*  1, 5, 12.2,②②①
 3,12,Ｃプリティスタｰ, 62,池添謙, 0.5, 62,*  4,  -2, 1,  2.4, ①①, 3,16, シゲルソウウン,---,田嶋翔, 0.5, 59,  -9,   3, 7, 30.0, ⑧⑦, 3, 5,Ｂコパノマユチャン, 69,藤岡佑, 1.0, 69,  -3,   7, 5, 14.3, ⑩⑦, 3, 7,Ｂシングライクバｰド, 81,福永祐, 0.7, 83,  11,*  1, 3,  5.5,④⑦⑦
 4,11,Ｅタガノシビル, 59,川田将, 0.6, 61,  -2,*  2, 5, 14.7, ⑥⑦, 4,14, サマｰソング,---,福永祐, 0.6, 58,  -8,   1, 8, 32.1, ⑦⑥, 4, 6,Ｊワンモアグリッタｰ, 59,渡辺薫, 1.4, 66,*  5,  -5, 4, 13.2, ②②, 4, 6,Ｈエナｰジバイオ, 77,武豊  , 0.9, 80,  12,  -5, 4,  9.8,⑩⑥⑥
 5, 2,Ｂウォｰタｰリズム, 63,武豊  , 0.9, 59,   1,  -3, 3,  4.7, ③③, 5, 2, ルペルカリア,---,藤岡佑, 0.7, 57,  -8,   0, 4,  8.7, ⑥⑧, 5,15,Ｍフリｰソウル, 50,鷹野宏, 1.6, 63,   0,  -2,13,100.1, ⑥⑥, 5, 8,Ｃマヤノゴクウ, 81,池添謙, 1.0, 80,  10,  -4, 7, 35.7,⑥⑨⑨
 6, 4,Ｉムｰンダスト, 52,ルメｰ, 0.9, 59,   0,  -2, 6, 18.7, ⑤④, 6,10, エリモダンディズム,---,池添謙, 1.1, 54,*  1, -11, 5, 18.5, ③③, 6,13,Ｃオレンジシュプｰル, 67,四位洋, 1.7, 62,  -2,   0, 3, 12.7, ⑧⑧, 6,12,Ｆブルｰスタｰキング, 79,岩田康, 1.1, 78,  12,  -9, 2,  4.0,⑨④④
 7, 8,Ｆハナショウブ, 56,石橋守, 1.0, 58,  -6,*  2, 7, 22.4, ⑨⑧, 7,12, リュウフォｰスワン,---,熊沢重, 1.3, 54,*  0, -12,11, 63.0, ④④, 7, 8,Ｄニチドウダイヤ, 67,田嶋翔, 1.8, 62,   4,  -7, 2, 11.4, ③③, 7,10,Ｉハｰトシュｰタｰ, 76,浜中俊, 1.3, 76,  12, -12, 6, 26.2,⑦⑤⑤
 8, 6,Ｇメイプルリボｰン, 53,佐久間, 1.1, 57,  -7,*  3,10,121.5, ⑩⑩, 8, 7, トｰセンファルコン,---,川田将, 1.5, 50, -19,*  4, 9, 32.4, ⑫⑫, 8, 7,Ｉメジロアリス, 62,岩部純, 1.8, 62,  -2,   0, 7, 19.0, ⑦⑨, 8, 5,Ａキンショｰオトヒメ, 81,酒井学, 1.4, 73,  11,  -9, 9, 39.1,⑤⑧⑧
 9, 3,Ｌカネトシショコラ, 44,川原正, 1.6, 52, -11,*  2,11,204.3, ⑬⑫, 9, 8, セフティｰロｰズ,---,小林徹, 1.9, 47, -22,*  4,13,106.7, ⑬⑬, 9,14,Ｈシルキｰキュｰト, 62,熊沢重, 2.2, 59,   3, -11,10, 52.7, ④④, 9, 4,Ｊロザリオ, 73,小牧太, 1.6, 75,   9,  -5, 8, 38.8,⑧⑪⑪
10,10,Ｎクリノユメヲ, 41,高野容, 2.1, 50,  -6,  -5,15,402.6, ⑪⑪,10, 3, ハギノフィオｰレ,---,大下智, 2.5, 42, -25,   2,15,194.0, ⑮⑭,10, 9,Ｏテイエムユメノコ, 43,小牧太, 2.2, 58, -15,*  8,11, 59.4, ⑯⑯,10, 1,Ｅボｰテセレスト, 80,小林徹, 1.6, 76,  11,  -9,10, 46.0,⑪⑩⑩
11, 1,Ｈコウエイマｰチ, 52,幸英明, 2.3, 45,  -2, -13, 8, 32.5, ⑦⑥,10,15, スｰパｰブクリ,---,酒井学, 2.5, 42, -26,   3,16,216.8, ⑭⑮,10,12,Ｇアンディｰフロイデ, 65,川田将, 2.2, 58,  -5,  -2, 8, 21.5, ⑪⑩,11, 2,Ｋパワｰエｰス, 71,熊沢重, 1.8, 73,   8,  -6,12,184.5,⑫⑫⑫
12, 9,Ｍライオネス, 44,大下智, 2.4, 45, -14,  -2,13,344.8, ⑮⑬,12, 9, シルクレガリア,---,浜中俊, 2.6, 41, -16,  -9, 6, 27.2, ⑪⑪,12,16,Ｅチキリムｰディｰ, 66,幸英明, 2.3, 57,  -5,  -2, 9, 38.0, ⑬⑬,12, 9,Ｌフラワｰタキシｰド, 60,幸英明, 2.3, 68,* 13, -31,11,139.1,①①③
