10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄティンクルチャｰミ, 56,岩田康,, 63,  -8,*  9, 2,  5.8, ⑮⑩, 1,10, マイネショコラｰデ,---,和田竜,, 59,*-13,*  1, 1,  2.5, ②②, 1, 6,Ｄカシノストライカｰ, 55,高野容,, 62,*  1,  -1, 6, 39.1, ②②, 1,10,Ｃマイネルクラリティ, 82,ウィリ,, 89,* 18,*  0, 3,  7.5, ④④
 2,10,Ｉビｰンケｰド, 50,川須栄, 0.1, 62,*  0,*  0,14, 74.8, ⑤③, 2, 2, ビッグスマイル,---,岩田康, 0.4, 55, -15,  -1, 2,  2.9, ④④, 2,10, フィｰルドシャイン,---,幸英明, 0.1, 61,  -3,*  2, 1,  2.1, ⑥⑥, 2, 9,Ｈタイガｰストｰン, 80,浜中俊, 0.0, 89,  14,*  6,14, 40.1, ⑩⑪
 3, 4,Ａキクノアルバ, 61,国分恭, 0.7, 57,*  1,  -7, 1,  1.9, ③②, 3, 3, ナンゴクチョウチョ,---,小牧太, 1.0, 45, -15,  -9, 7, 21.1, ③③, 3, 5,Ａキクノフェｰデ, 67,和田竜, 0.2, 60,  -2,   0, 2,  3.7, ⑤⑤, 3,17,Ｍスペルバインド, 79,鮫島良, 0.4, 85,  12,*  3,11, 22.5, ⑬⑮
 4,15,Ｂコヴェンティナ, 59,幸英明, 0.7, 56,  -4,  -2, 6, 13.1, ⑪⑦, 4, 6, コスモラミティエ,---,幸英明, 1.1, 44, -19,  -7, 6, 13.8, ⑥⑤, 4,15,Ｅハッピｰスカッシュ, 53,岩田康, 0.4, 59,  -4,   0, 4,  7.7, ⑧⑧, 4, 4,Ｊカレイジャスミン, 80,石橋守, 0.5, 82,* 18,  -9,15, 66.6, ②②
 5, 6,Ｍシゲルコイヒメ, 46,高倉稜, 0.8, 56,*  2,  -8,12, 71.3, ①①, 5, 7, エイシンピンキｰ,---,福永祐, 1.2, 45, -26,  -2, 3,  6.3, ⑦⑥, 5, 9,Ｉカノヤキントキ, 41,鷹野宏, 0.7, 56,  -1,  -5, 9, 63.2, ④④, 5,15,Ｎダンツホウテイ, 79,太宰啓, 0.5, 82,  15,  -4, 9, 18.8, ⑪⑧
 6, 9,Ｆアグネスラプチャ, 54,鮫島良, 0.9, 56,  -2,  -4, 5, 11.5, ⑧⑧, 6, 8, サミットストｰン,---,ウィリ, 1.3, 40,*-10, -19, 4, 10.3, ①①, 6, 3,Ｂトウショウパルス, 60,中村将, 0.7, 57,*  3,  -9, 3,  6.1, ①①, 6, 6,Ａロｰドアリエス, 89,岩田康, 0.6, 82,  17,  -7, 1,  2.8, ⑤⑤
 7, 1,Ｈアキノロｰレル, 51,ウィリ, 1.1, 53,  -1,  -8, 8, 34.1, ②⑤, 7, 9, シゲルサンジ,---,太宰啓, 2.0, 34, -33,  -6, 9, 60.9, ⑧⑧, 7, 2,Ｇシルクアイガｰ, 47,田中克, 1.3, 51,   0, -12, 7, 39.7, ③③, 7, 1,Ｐダブルウェッジ, 78,国分恭, 0.7, 80,* 18, -10, 5, 11.9, ③③
 8, 2,Ｅメイショウテレジア, 55,佐藤哲, 1.1, 52,  -8,  -2, 7, 18.8, ⑬⑬, 8, 1, アサヒチェリｰ,---,国分恭, 2.2, 34, -40,*  0, 8, 44.2, ⑩⑨, 8, 7,Ｆスティｰヴイモン, 49,太宰啓, 1.4, 48, -13,*  1,11,100.2, ⑪⑫, 8, 2,Ｂオリオンザドンペリ, 82,佐藤哲, 0.7, 79,  14,  -3,13, 39.0, ⑭⑬
 9, 7,Ｇメイショウダイアン, 53,飯田祐, 1.4, 50,  -5,  -6, 4, 10.0, ⑩⑫, 9, 4, サクラマシェリ,---,藤岡康, 3.4, 14, -25, -30, 5, 11.3, ⑤⑦, 9, 1,Ｃパｰプルダイヤ, 57,小坂忠, 1.7, 46,  -5, -11, 5, 13.9, ⑦⑦, 9, 7,Ｇマチカネカミカゼ, 81,川田将, 0.7, 81,  14,  -4, 6, 14.3, ⑨⑩
10, 5,Ｃマキハタピンナップ, 59,安藤光, 1.4, 49,  -4,  -8, 3,  9.7, ⑦⑪,10, 5, アイファｰマｰルシ,---,高倉稜, 6.9,-33, -41, -60,10,118.8, ⑨⑩,10,13, ゲットクラウン,---,ウィリ, 2.9, 34,  -7, -20, 8, 44.8, ⑩⑩,10, 8,Ｏドリｰムスカイラブ, 79,幸英明, 0.9, 78,  15, -10,17, 79.8, ⑥⑦
11, 3,Ｊベルモントリコ, 49,和田竜, 1.5, 52,  -1, -10, 9, 48.1, ④⑥,,,,,,,,,,,,,11, 8,Ｊセトノレンブランサ, 28,藤岡康, 3.3, 31, -13, -17,10,100.0, ⑫⑪,11, 5,Ｉマッシヴエンペラｰ, 80,小牧太, 0.9, 78,  15,  -9,10, 18.8, ⑧⑨
12,13,Ｋクリノビｰトイット, 48,田中克, 1.7, 47,  -9,  -5,13, 73.3, ⑭⑮,,,,,,,,,,,,,12, 4, エンパイアシチｰ,---,高倉稜, 4.1, 24,  -7, -31,14,183.4, ⑨⑨,12,11,Ｅミッキｰパンプキン, 82,福永祐, 0.9, 80,  14,  -6, 2,  7.4, ⑰⑫
13, 8,Ｏジョｰパフュｰム, 31,藤岡康, 2.1, 46,  -6, -11,15,225.6, ⑫⑭,,,,,,,,,,,,,13,12, スｰパｰヒロイン,---,国分恭, 5.6,  3, -24, -28,12,134.5, ⑬⑬,13,13,Ｆスｰパｰワシントン, 82,北村友, 1.0, 77,  11,  -5,16, 74.2, ⑯⑰
14,16,Ｎクリｰンダイアナ, 43,太宰啓, 2.4, 41,*  0, -21,10, 49.5, ⑥④,,,,,,,,,,,,,14,14, ノｰヒットノｰラン,---,高井彰,25.9,25.9---, ---, ---,13,148.9, ⑭⑭,14,16,Ｋセトノアンテウス, 80,藤岡康, 1.1, 76,  14,  -9,12, 32.2, ⑫⑭
