10年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈプリティペガサス, 52,浜中俊,, 58,   2,*-10, 7, 20.8,⑦⑤③, 1, 2, アヴェンチュラ,---,福永祐,, 65,  -7,*  5, 2,  3.7, ⑦⑥, 1,16,Ａサンゴシック, 72,幸英明,, 78,* 15,  -7, 1,  3.8, ③③, 1, 9,Ａブライティアパルス, 89,藤岡康,, 88,* 16,   5, 3,  6.4,②②②
 2, 8,Ｄブルｰモｰメント, 60,福永祐, 0.0, 56,*  4, -13, 1,  2.8,②②②, 2, 7, エイシンオスマン,---,岩田康, 0.6, 57,* -4,  -9, 3,  4.3, ②②, 2,10,Ｌハッピｰプレゼント, 61,川田将, 0.1, 78,* 16, -10, 5, 11.5, ②②, 2,13,Ｋセラフィックロンプ, 81,宮崎北, 0.0, 88,* 17,   3,14, 37.9,①①①
 3, 3,Ｉオｰパスクイｰン, 50,北村友, 0.1, 56,*  4, -14, 4,  7.6,①①①, 3,11, シュプリｰムギフト,---,内田博, 0.8, 56,  -5,  -8, 1,  2.0, ⑤⑤, 3, 8,Ｃアスタｰロｰズ, 70,国分恭, 0.2, 74,  10,  -4, 2,  4.0, ⑩⑩, 3, 3,Ｅテイエムオｰロラ, 85,国分恭, 0.3, 85,  14,   3, 4,  7.9,④④③
 4, 2,Ｇラクスクライン, 52,川島信, 0.4, 54,   1,* -9,10, 49.2,⑫⑯⑨, 4, 1, ラバｰフロｰ,---,酒井学, 1.2, 51,  -7,  -9, 4, 15.4, ⑥⑦, 4, 6,Ｅラガｰシｰキング, 68,岩崎祐, 0.2, 70,   1,*  5, 7, 13.5, ⑭⑬, 4,14,Ｂニシノブルｰムｰン, 87,北村宏, 0.4, 86,  13,*  7, 1,  4.4,⑩⑩⑨
 5,13,Ｌハイプレイズ, 49,国分恭, 0.5, 54,   2, -14,12, 80.0,⑩⑦⑤, 5, 5, シゲルシャチョウ,---,川島信, 1.4, 48,  -5, -17, 7, 40.0, ③④, 5, 9,Ｊニホンピログッデン, 62,酒井学, 0.3, 73,  13,  -8, 8, 24.8, ⑥⑥, 5,16,Ｄヒカルアマランサス, 86,内田博, 0.5, 85,  15,   2, 2,  4.8,⑥⑥⑥
 6,14,Ｃラガｰラブリン, 60,岩田康, 0.6, 56,   0,* -9, 6, 20.2,⑮⑮⑭, 6, 6, タイセイソルジャｰ,---,小牧太, 1.5, 48, -11,  -8, 8, 43.8, ⑪⑪, 6,13,Ｋマコトバンクウ, 61,ウィリ, 0.3, 70,   5,   0,13, 77.9, ⑫⑪, 6,12,Ｎムｰドインディゴ, 77,ウィリ, 0.6, 84,  12,*  7,10, 30.3,⑪⑪⑫
 7, 6,Ｆテイエムスプリング, 52,田中学, 0.7, 53,  -1,* -9,15,173.3,⑬⑬⑯, 7,10, タガノキズナ,---,北村宏, 1.6, 45, -10, -15, 5, 17.8, ⑨⑨, 7,12,Ｈデイズオブメモリｰ, 64,田中健, 0.3, 69,   0,*  5, 6, 11.6, ⑮⑭, 7,11,Ｉチェレブリタ, 82,村田一, 0.6, 84,  13,   5,12, 33.3,⑯⑬⑧
 8,16,Ｋナリタレジｰナ, 50,幸英明, 0.7, 52,  -1, -11,16,205.6,⑯⑭⑫, 8, 8, マイネマグノリア,---,和田竜, 2.2, 39,  -5, -30, 9, 82.6, ④③, 8, 4,Ｉリッピアピンク, 63,北村宏, 0.4, 67,  -2,*  5,10, 27.3, ⑬⑮, 8, 4,Ｆアｰスシンボル, 84,高倉稜, 0.6, 84,  12,*  7,13, 35.7,⑬⑮⑬
 9,15,Ａシルククインビｰ, 63,北村宏, 0.9, 48,   1, -16, 5, 15.4,⑥⑥⑧, 9, 4, レベルスピリット,---,ウィリ, 2.5, 36,  -9, -27,10,100.7, ⑧⑧, 9, 7,Ｏフォレストルｰラｰ, 54,渡辺薫, 0.5, 70,  10,  -8,15,180.5, ⑨⑨, 9, 7,Ｐマイネトゥインクル, 75,酒井学, 0.7, 83,  10,*  9,11, 32.6,⑭⑭⑮
10,11,Ｅキモンピンキｰ, 56,高倉稜, 1.0, 50,   2, -18, 9, 25.6,④④⑥,10, 3, ダンスインザスカイ,---,幸英明, 2.5, 36, -11, -25,12,157.1, ⑩⑩,10, 5,Ｆマルセイユシチｰ, 68,佐藤哲, 0.7, 66,  10, -11,12, 36.5, ⑧⑧,10, 5,Ｈコロンバスサｰクル, 83,田中勝, 0.8, 81,  13,   0, 7, 13.2,⑧⑦⑩
11, 1,Ｂドリｰムレディ, 62,内田博, 1.4, 48,   0, -19, 2,  3.4,⑨⑫⑪,11,12, ドリｰムスパ,---,浜中俊, 2.8, 32,* -3, -42, 6, 19.3, ①①,11, 2,Ｂマスタｰチアフル, 71,飯田祐, 0.8, 67,  13, -15, 3,  6.5, ⑤⑤,11,10,Ｃリトルアマポｰラ, 87,福永祐, 1.2, 78,  13,  -4, 6, 12.9,⑨⑨⑪
12,10,Ｍステラアルピｰナ, 45,藤岡康, 1.7, 46,*  3, -27, 3,  6.6,③③④,12, 9, ゼロセン,---,太宰啓, 7.9,-33, -22, -85,11,155.0, ⑫⑫,12,15,Ｄテラノチェリｰ, 69,福永祐, 1.0, 65,  14, -19, 4,  7.2, ⑦⑦,12,15,Ｏサンレイジャスパｰ, 77,難波剛, 1.3, 76,  10,   0,15, 84.6,⑮⑯⑯
13, 5,Ｏメイショウナゴン, 37,難波剛, 1.7, 45,   1, -22,14,147.6,⑤⑧⑦,,,,,,,,,,,,,13,11,Ｇラガｰゴｰルデン, 65,上野翔, 1.5, 56,   4, -14,11, 30.5, ⑪⑫,13, 8,Ｇブラボｰデイジｰ, 84,北村友, 1.7, 71,  13, -14, 5,  8.4,⑦⑧⑦
14,12,Ｊサンマルバンベｰル, 50,岩崎祐, 2.1, 44,   2, -25, 8, 22.0,⑪⑨⑩,,,,,,,,,,,,,14, 1,Ｍチャｰムペンダント, 59,太宰啓, 1.5, 57,  12, -24, 9, 25.3, ④④,14, 1,Ｍマイネレｰツェル, 81,和田竜, 2.4, 67,  12, -18, 9, 28.6,⑫⑫⑭
15, 7,Ｎプリンセスネｰジュ, 44,渡辺薫, 2.5, 42,   0, -28,11, 52.7,⑭⑪⑬,,,,,,,,,,,,,15,14,Ｎパンコｰルデイズ, 57,村田一, 2.4, 49,* 19, -42,16,199.1, ①①,15, 2,Ｊレジネッタ, 81,岩田康, 2.5, 65,  15, -26, 8, 14.4,⑤⑤⑤
16, 9,Ｐニホンピロスティラ, 30,酒井学, 4.4, 35,   1, -44,13,134.0,⑧⑩⑮,,,,,,,,,,,,,16, 3,Ｐメイショウタクミ, 44,石橋守, 3.0, 41, -11, -20,14,147.8, ⑯⑯,16, 6,Ｌチャｰムナデシコ, 81,幸英明, 2.6, 63,  14, -30,16,122.4,③③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,
"単勝:2,080円 複勝:04=460円 08=150円 03=260円 枠連:800円",,,,,,,,,,,,単勝:370円 複勝:02=130円 07=130円 11=110円 枠連:730円,,,,,,,,,,,,単勝:380円 複勝:16=180円 10=330円 08=170円 枠連:940円,,,,,,,,,,,,"単勝:640円 複勝:09=240円 13=820円 03=290円 枠連:1,140円",,,,,,,,,,,
"馬連:2,380円 ワイド:04-08=950円 03-04=1,550円 03-08=600円",,,,,,,,,,,,馬連:730円 ワイド:02-07=240円 02-11=180円 07-11=200円,,,,,,,,,,,,"馬連:2,380円 ワイド:10-16=980円 08-16=380円 08-10=1,220円",,,,,,,,,,,,"馬連:8,410円 ワイド:09-13=2,470円 03-09=720円 03-13=3,080円",,,,,,,,,,,
"馬単:6,540円 3連複:5,600円 3連単:49,470円",,,,,,,,,,,,"馬単:1,410円 3連複:400円 3連単:2,920円",,,,,,,,,,,,"馬単:3,900円 3連複:4,610円 3連単:26,650円",,,,,,,,,,,,"馬単:14,320円 3連複:15,580円 3連単:91,010円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 8R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
