10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｏヴェラブランカ, 35,岩田康,, 72,   7,* -2, 3,  5.4,⑦⑤④, 1, 2, ホｰマンフリップ,---,福永祐,, 62,  -6,*  1, 1,  1.8, ④③, 1, 8,Ｂロイヤルネックレス, 74,和田竜,, 71,  12,*-11, 2,  4.3,④④③, 1,14,Ｂティアップワイルド, 89,池添謙,, 82,*  6,  13, 2,  3.5, ④③
 2, 3,Ａルペルカリア, 68,福永祐, 1.2, 63,   5,  -7, 1,  2.5,⑫⑪⑧, 2, 4, ドリｰムボルト,---,池添謙, 0.1, 61,* -4,  -5, 3,  8.9, ①①, 2, 1,Ｃスイｰトマトルｰフ, 73,川田将, 0.5, 66,* 13, -21, 3,  4.9,①①①, 2,15,Ｄマルカベンチャｰ, 85,幸英明, 0.0, 84,  -1,* 22, 3,  5.3, ⑮⑭
 3,11,Ｈナムラクンリン, 54,藤岡康, 1.2, 65,   1,*  0,13, 82.2,⑯⑮⑬, 3, 8, チアフルアイズ,---,川田将, 0.9, 53,* -4, -13, 7, 24.5, ②②, 3, 5,Ｈセイピｰシｰズ, 58,安藤光, 0.6, 65,   9,*-11, 5, 29.2,⑧⑧⑦, 3, 3,Ｊマイエンブレム, 79,松田大, 0.3, 83,   3,  13,10, 48.6, ⑧⑧
 4,10,Ｍシルクエロｰジュ, 45,安部幸, 1.3, 66,   8, -12,15,140.2,⑤⑦⑤, 4,11, クロｰバｰリｰフ,---,岩田康, 0.9, 53, -10,  -6, 2,  5.1, ⑧⑨, 4, 4,Ｅシシャモフレンド, 66,国分恭, 0.8, 63,  12, -21, 7, 35.8,③③④, 4, 4,Ｃタガノクリスエス, 86,松山弘, 0.5, 79,   5,  10, 4, 13.4, ⑥⑥
 5, 8, ピンクアリエス,---,川田将, 1.8, 61,   1,* -5, 8, 31.7,⑭⑬⑭, 5, 1, スリｰデビッド,---,国分恭, 0.9, 52, -10,  -6, 8, 27.9, ⑨⑧, 5, 6,Ｄオカゲサマデ, 67,安部幸, 1.8, 54,  11, -32, 4, 14.0,⑦⑦⑥, 5, 6,Ａダノンカモン, 93,岩田康, 0.5, 80,   5,   9, 1,  2.4, ⑤⑤
 6,14,Ｅマヤラブソング, 58,酒井学, 1.9, 61,*  9, -21, 6, 12.8,④②②, 6, 3, セキサンキセキ,---,浜中俊, 0.9, 52,  -6, -11,11, 45.3, ⑤⑤, 6, 7,Ｆケイエスラック, 64,ウィリ, 1.8, 54,  11, -32, 6, 31.8,⑥⑤⑤, 6,16,Ｎグランプリヒｰロｰ, 75,安部幸, 0.6, 80,   3,  11,12, 60.8, ⑦⑦
 7,12,Ｃミステリｰクイｰン, 59,浜中俊, 2.0, 58,*  8, -21, 9, 34.6,⑨③③, 7, 7, マイネマオ,---,和田竜, 1.2, 48,  -9, -12, 4, 10.3, ⑦⑥, 7, 2,Ａイタリアンレッド, 80,浜中俊, 2.3, 50,* 13, -45, 1,  1.6,②②②, 7, 7,Ｋカフェレジェンド, 79,浜中俊, 0.7, 77,*  6,   7, 7, 27.4, ③②
 8, 9,Ｄリエｰトフィｰネ, 59,和田竜, 2.1, 59,   5, -14, 4,  8.9,⑧⑨⑪, 8, 6, タガノグレイグｰス,---,松田大, 1.4, 48, -13,  -7,14,198.5, ⑩⑪, 8, 3,Ｇメイショウサｰバル, 60,高橋亮, 4.3, 39,   8, -61, 8, 62.0,⑤⑥⑧, 8, 5,Ｅスリｰアリスト, 84,鮫島良, 0.8, 78,  -3,* 17, 8, 32.3, ⑯⑯
 9,15,Ｂピュアストｰン, 61,高倉稜, 2.6, 52,*  9, -28, 2,  5.1,②①①, 9,13, カイアナイト,---,佐藤哲, 1.4, 47, -16,  -4, 9, 28.4, ⑫⑫,,,,,,,,,,,,, 9,10,Ｇルティラｰレ, 82,福永祐, 0.8, 77,   0,  14,13, 72.3, ⑬⑪
