10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃラブエｰヤン, 58,川田将,, 59,*  1,  -1, 5, 13.3, ③③, 1,12, エｰシンブラン,---,高倉稜,, 51, -23,*  2, 5, 22.3, ⑧⑧, 1,13,Ｂフラッグラッシュ, 74,鮫島良,, 75,  -1,* 13, 4,  9.0,⑬⑭⑬, 1,13,Ｊタマモナイスプレイ, 82,渡辺薫,, 85,* 25, -19, 7, 14.7, ②②
 2, 7,Ａピアノボレロ, 68,福永祐, 0.3, 56,   1,  -2, 1,  2.2, ⑥④, 2, 7, ウルル,---,浜中俊, 0.1, 47,*-13, -10, 1,  1.6, ②②, 2, 6,Ｄメイショウロッコｰ, 73,川田将, 0.1, 73,   1,   8, 2,  7.0,⑧⑩⑨, 2,14,Ｌオセアニアボス, 81,川田将, 0.2, 83,  23, -19, 2,  4.9, ⑤④
 3, 4,Ｂビｰンケｰド, 61,川須栄, 0.3, 56,  -2,*  0, 3,  5.9, ⑧⑥, 3,13, ニイハオジュウクン,---,松田大, 0.3, 46, -16,  -8, 4, 21.2, ④④, 3, 1,Ｈディアトウシロウ, 68,和田竜, 0.1, 75,   1,* 11,12, 88.4,⑫⑪⑪, 3,12,Ｃマイネルクラリティ, 88,熊沢重, 0.2, 83,  18,*-10, 3,  8.3, ⑬⑫
 4,16,Ｉホクザンアロマ, 48,野元昭, 0.4, 55,*  2,  -5,14,183.8, ②②, 4, 2, キャンベル,---,高橋亮, 0.6, 42, -20,  -8,12, 98.5, ⑥⑥, 4, 8,Ａダノンエクスプレス, 78,岩田康, 0.3, 73,*  4,   3, 1,  2.0,④③③, 4, 5,Ｂファリダット, 88,福永祐, 0.4, 81,  21, -17, 1,  4.2, ⑨⑧
 5,13,Ｆメグチャン, 53,浜中俊, 0.5, 55,  -3,   0, 8, 18.2, ⑩⑧, 5,10, コウエイキング,---,川島信, 0.7, 41, -24,  -6,10, 43.8, ⑦⑦, 5, 4,Ｃシｰクレバｰ, 74,白浜雄, 0.4, 71,  -1,* 10, 6, 14.5,⑭⑫⑫, 5, 1,Ｏマルカシェンク, 76,北村友, 0.4, 81,  14,* -6,11, 24.1, ⑰⑰
 6,12,Ｊギンマク, 46,松田大, 0.6, 55,   0,  -5, 6, 15.7, ④⑤, 6, 1, ユメハナ,---,松山弘, 0.7, 40, -21, -10, 3, 12.0, ⑤⑤, 6, 9,Ｆファイナルパンチ, 73,渡辺薫, 0.4, 72,   1,   6, 8, 27.7,⑨⑨⑦, 6,16,Ｉマイネルスケルツィ, 84,和田竜, 0.5, 79,  21, -20, 6, 12.1, ⑥⑥
 7, 8,Ｋテイエムオリオン, 40,田中健, 0.7, 54,  -1,  -4,12,122.7, ⑦⑦, 7, 8, ケｰジｰヨシツネ,---,和田竜, 0.8, 39, -16, -15, 2,  3.6, ③③, 7,12,Ｅナリタチャレンジ, 73,福永祐, 0.4, 68,*  4,   0, 5, 10.0,①①①, 7, 6,Ｒエムエスワｰルド, 71,松田大, 0.5, 80,  18, -14,17,136.3, ⑪⑨
 8, 5,Ｈセフティｰロｰズ, 48,村田一, 0.7, 51, -10,*  4,16,205.3, ⑭⑭, 8, 4, タビト,---,鮫島良, 0.9, 39, -27,  -6, 9, 40.7, ⑨⑨, 8, 3,Ｇシゲルアサマヤマ, 72,北村友, 0.7, 69,   3,   1, 3,  7.7,⑪⑧④, 8, 8,Ｆテイエムアタック, 84,太宰啓, 0.6, 78,  16, -13, 8, 15.1, ⑮⑬
 9, 1,Ｄコヴェンティナ, 58,和田竜, 1.1, 49,  -7,  -2, 4,  9.3, ⑫⑫, 9, 3, フェロｰチェ,---,小牧太, 1.2, 37, -32,  -4,11, 66.7, ⑩⑩, 9, 5,Ｊレオビンテｰジ, 66,浜中俊, 1.0, 68,  -2,   6,11, 66.2,⑩⑬⑭, 9,11,Ｍヤマニンエマイユ, 81,田中健, 0.7, 76,  18, -17,13, 44.3, ⑩⑩
10, 3,Ｍキｰアピｰル, 32,太宰啓, 1.2, 48,  -8,  -2,10, 62.1, ⑬⑬,10, 6, エｰシンタオヘリン,---,北村友, 1.4, 32,*-10, -27, 7, 29.4, ①①,10,11,Ｉホッコｰセルベッサ, 68,川島信, 1.4, 63,   2,  -4, 9, 31.6,⑥⑦⑥,10,15,Ｅサンライズマックス, 85,小牧太, 0.8, 77,  16, -14,10, 18.1, ⑯⑮
