10年 7月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｒロｰザペルラ, 19,川須栄,, 68,* 15,  -3, 9, 21.4, ①①, 1, 3, メモリアルイヤｰ,---,野元昭,, 71,*  5,* -7, 1,  1.9, ①①, 1, 3,Ｄスタｰダムオｰラ, 62,浜中俊,, 68,*  9,  -1, 2,  3.7,②②②, 1, 5,Ｅサクラテンペスト, 74,福永祐,, 76,*-18,  26, 2,  4.2,②②②
 2, 3,Ｄスナｰクトマホｰク, 53,太宰啓, 0.0, 67,  10,*  3, 8, 19.8, ④⑤, 2,12, テイエムオジャンセ,---,高井彰, 2.0, 37,  -9, -18,15,109.0, ⑦⑥, 2, 8,Ａシエラネヴァダ, 69,福永祐, 0.2, 67,* 11,  -7, 1,  2.0,①①①, 2, 9,Ｃドリｰムゼニス, 77,岩田康, 0.0, 77,*-18,  27, 4,  5.0,①①①
 3,12,Ａユメノカケハシ, 58,岩田康, 0.5, 59,   8,  -3, 1,  2.7, ⑥⑥, 3, 5, コウエイライト,---,小坂忠, 2.0, 37,  -7, -21, 3,  7.1, ⑤⑤, 3,15,Ｃリヴィアロｰズ, 63,川田将, 0.2, 70,   7,*  3, 3,  4.7,⑬⑥④, 3, 1,Ｈヤマニンウイスカｰ, 73,和田竜, 0.1, 78, -20,* 31, 3,  4.2,⑤⑦⑤
 4, 9,Ｆヒデノキセキ, 53,松田大, 0.5, 58,   7,  -2, 7, 17.7, ⑧⑩, 4,18, テイエムオイチ,---,佐久間, 2.3, 43,*  5, -35,11, 39.8, ②②, 4, 2,Ｂマグニフィセント, 63,藤岡康, 0.3, 70,   6,*  8, 5, 13.1,⑫⑧⑤, 4, 8,Ｆトゥリオンファｰレ, 74,川田将, 0.1, 76,*-18,  27, 1,  3.9,④③③
 5,15,Ｂタマモピアス, 53,福永祐, 0.5, 59,   9,  -4, 3,  6.7, ⑤④, 5, 6, マサシ,---,高倉稜, 2.3, 33, -19, -14, 7, 19.2, ⑫⑪, 5, 6,Ｉテイエムブユウデン, 54,和田竜, 0.3, 69,* 10,  -2, 7, 64.6,③③③, 5, 4,Ｄハｰリカ, 77,松田大, 0.2, 76, -19,  28, 7, 19.6,③④④
 6, 2,Ｇルナピスタ, 52,幸英明, 0.5, 57,   4,   1, 6, 12.9, ⑪⑨, 6,17, キリシマガｰル,---,渡辺薫, 2.6, 32,  -3, -33,14,102.9, ④④, 6, 5,Ｈマｰティントゥルｰ, 54,鷹野宏, 1.5, 56,   1,  -2,11,161.6,⑧⑬⑫, 6, 6,Ｉキンショｰオトヒメ, 73,酒井学, 0.4, 74, -22,* 30, 8, 24.6,⑨⑨⑨
 7, 5,Ｃメイショウオルフェ, 53,難波剛, 0.7, 52,   1,   1,10, 24.5, ⑫⑬, 7,15, カシノアクセル,---,鮫島良, 2.8, 27, -13, -25, 2,  6.1, ⑪⑦, 7,10,Ｏエｰティｰボストン, 44,渡辺薫, 1.5, 57,   3,  -5,14,342.4,⑨⑪⑨, 7, 2,Ｂカノヤトップレディ, 77,小牧太, 0.4, 74, -21,  28, 5,  7.2,⑧⑧⑧
 8, 1,Ｊアイラインロｰズ, 51,野元昭, 0.7, 53,   4,  -2,13, 90.6, ⑩⑧, 8,13, テイエムヤチャボｰ,---,太宰啓, 3.1, 10, -26, -17,17,123.4, ⑮⑭, 8, 4,Ｋシンゼンボｰイ, 52,飯田祐, 1.7, 56,   3,  -8, 9, 84.1,⑩⑩⑧, 8, 3,Ａトムウィンズ, 78,浜中俊, 0.9, 64, -19,  17, 6, 11.9,⑥⑤⑥
 9,17,Ｉキングタキシｰド, 51,熊沢重, 0.8, 53,   6,  -6,12, 63.7, ⑨⑦, 9, 4, ジンプウ,---,鈴来直, 3.3, 10, -24, -21, 9, 33.4, ⑬⑮, 9,13,Ｆランドゴｰカイ, 55,幸英明, 1.7, 55,   6, -13, 6, 55.7,⑪⑦⑦, 9, 7,Ｇミコノス, 73,上野翔, 1.5, 57, -19,   9, 9, 80.5,⑦⑥⑦
10,13,Ｌコｰリングオブラブ, 47,川田将, 0.9, 50,   1,  -2,15,115.2, ⑬⑫,10, 9, ダンツグリｰ,---,北村友, 3.6,  6, -23, -26, 5, 15.8, ⑭⑬,10,12,Ｊマルタカユビキタス, 52,小坂忠, 1.9, 50,   8, -24,12,238.4,④④⑥,,,,,,,,,,,,
11, 6,Ｍドントキリシマ, 46,鮫島良, 1.0, 48,  -4,*  2,16,180.4, ⑭⑭,11, 1, カシノババロア,---,大下智, 3.7, 16, -11, -40,10, 39.3, ⑧⑧,11, 1,Ｅサｰベルダンス, 58,岩田康, 2.2, 52,   2, -12, 4,  9.7,⑭⑫⑩,,,,,,,,,,,,
12, 8,Ｋステラアルピｰナ, 48,藤岡康, 1.0, 54,* 13, -15, 4,  6.8, ②②,12, 8, レリア,---,中村将, 3.7, 18,  -2, -47, 4, 14.8, ③③,12,14,Ｌアダマス, 49,高倉稜, 3.3, 39,   4, -32, 8, 64.9,⑥⑨⑬,,,,,,,,,,,,
13, 7,Ｏカレンマｰガレット, 37,北村友, 1.0, 48,  -6,*  3,11, 36.1, ⑮⑮,13, 7, カシノラム,---,川須栄, 4.0, 12,  -8, -46, 8, 32.6, ⑥⑨,13, 7,Ｎマウンテンサムオｰ, 45,川須栄, 3.4, 39,   0, -25,13,248.5,⑦⑭⑭,,,,,,,,,,,,
14,14,Ｈシップｰナカヤマ, 51,高倉稜, 1.1, 52,* 12, -15, 5, 10.9, ③③,14,10, リッシンカッポレ,---,赤木高, 4.0,-17, -49,* -7,16,120.1, ⑯⑯,14, 9,Ｍカシノアベベ, 48,加藤士, 4.1, 34,   7, -50,15,377.9,⑤⑤⑪,,,,,,,,,,,,
15,18,Ｅスｰパｰレディｰ, 53,小牧太, 1.2, 48,   6, -11, 2,  6.6, ⑦⑪,15,11, スズノウルフ,---,熊沢重, 4.3,  3, -12, -46,13, 59.0, ⑩⑩,15,11,Ｐライクロフト, 38,真島正, 7.0, 12, -21, -27,10, 86.3,⑮⑮⑮,,,,,,,,,,,,
16,11,Ｐミスズアムｰル, 28,安藤光, 1.2, 45,  -8,*  4,18,357.8, ⑯⑯,16, 2, カシノテンザン,---,酒井学, 5.1, -6, -12, -56,12, 54.3, ⑨⑫,,,,,,,,,,,,,,,,,,,,,,,,
