10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,釜山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａセキサンキセキ, 50,和田竜,, 50,  -9,* -5, 2,  3.6, ⑤③, 1, 1, テイエムタｰゲット,---,田嶋翔,, 65,* 14, -17, 4,  6.9, ①①, 1, 8,Ｍラヴアンドサンクス, 49,酒井学,, 61,*  7,  -7, 3,  5.2, ②②, 1, 1,Ｂナリタクリスタル, 83,幸英明,, 76,  11,* -4, 1,  2.1,⑦⑨⑦
 2,10,Ｃコウエイキング, 42,川島信, 0.4, 45,* -6, -13, 3,  4.5, ②②, 2,12, エｰティｰガンダム,---,幸英明, 0.4, 57,   9, -17, 6, 11.1, ⑤⑤, 2,18,Ａライブリフライト, 66,佐藤哲, 0.0, 60,  -2,   3, 5, 13.6, ⑥⑤, 2, 7,Ｄジェントルフォｰク, 82,川田将, 0.1, 76,  12,  -7, 8, 30.7,⑩⑦⑧
 3, 5,Ｈアサヒチェリｰ, 35,高倉稜, 0.4, 43, -13,* -7, 6, 17.1, ⑧⑧, 3,11, ハピシン,---,酒井学, 0.4, 60,* 13, -21, 5,  9.0, ③②, 3, 9,Ｄスズカサクセス, 58,太宰啓, 0.1, 59,  -5,   4, 9, 21.5, ⑩⑧, 3, 3,Ｇマルティンスタｰク, 79,川島信, 0.1, 74,  18, -18, 6, 23.5,③③④
 4, 1,Ｄキャンベル, 42,高橋亮, 0.5, 44,* -5, -16, 5,  7.2, ①①, 4, 8, ジョｰポジティブ,---,和田竜, 0.6, 51,  -5,* -7, 9, 20.6, ⑧⑦, 4, 5,Ｈメイショウダイアン, 51,飯田祐, 0.3, 58,   2,  -5, 6, 16.1, ④③, 4,10,Ｈノットアロｰン, 78,北村友, 0.2, 72,  18, -21, 7, 25.8,④④③
 5, 6,Ｅユメハナ, 40,小坂忠, 0.7, 40,  -8, -16, 4,  5.1, ③④, 5, 5, ラベンダｰカラｰ,---,藤岡康, 0.6, 55,   9, -19, 3,  5.2, ④③, 5,16,Ｊキガチャン, 50,和田竜, 0.4, 56,  -9,   4,11, 23.2, ⑬⑪, 5, 9,Ｉニュｰビギニング, 76,藤岡康, 0.2, 73,  11,  -7, 9, 31.9,⑧⑩⑩
 6, 3,Ｂナンゴクチョウチョ, 45,国分恭, 0.8, 39, -13, -11, 1,  3.4, ⑦⑦, 6,10, ジョウショｰコトミ,---,高倉稜, 0.7, 51,   5, -17, 2,  5.0, ⑥⑥, 6, 4,Ｋノヴェルデザイン, 50,国分恭, 0.4, 56,  -9,   4,10, 23.1, ⑫⑬, 6, 8,Ｃゴｰルデンガッツ, 83,岩田康, 0.3, 73,  11,  -9, 3,  6.7,⑨⑧⑥
 7, 9,Ｉフレンドハｰバｰ, 29,幸英明, 1.0, 36,  -9, -19, 7, 24.5, ⑥⑥, 7, 2, ベッラミｰア,---,国分恭, 1.0, 52, -20,*  3, 1,  3.2, ⑪⑩, 7,12,Ｇシエラデルタ, 51,岩田康, 0.5, 54, -23,* 16, 7, 16.9, ⑰⑯, 7, 2,Ｅマイネルアトレ, 81,国分恭, 0.4, 72,  13, -13, 5,  8.0,⑤⑤⑤
 8, 2,Ｊシゲルソウダンヤク, 20,北村友, 1.0, 36,  -9, -18, 8, 65.8, ④⑤, 8, 6, メイショウツルギ,---,飯田祐, 1.6, 40,  -2, -23,10, 66.5, ⑦⑧, 8, 1,Ｂシゲルハンベイ, 61,田嶋翔, 0.5, 53,  -6,   0, 1,  3.5, ⑨⑫, 8, 6,Ａスペルバインド, 84,鮫島良, 0.4, 71,  12, -11, 2,  5.3,⑥⑥⑨
 9, 7,Ｇフェロｰチェ, 38,赤木高, 1.0, 34, -17, -10, 9, 80.8, ⑨⑨, 9, 3, クリノマキバオｰ,---,石橋守, 2.2, 35,  -9, -24,12,108.5, ⑨⑨, 9,13,Ｐサンレイラヴ, 42,難波剛, 0.5, 54,  -8,   1,15,145.4, ⑪⑩, 9, 4,Ｊシャランジュ, 70,高倉稜, 0.8, 66,* 21, -34,10, 45.1,①①①
