10年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａダイヤヘルメス, 54,丸田恭,, 50,* -8,* -1, 2,  3.6, ②②, 1, 6,Ｄブリｰジｰデイズ, 63,丸田恭,, 68,   1,*  5, 3,  5.8,⑤⑤④, 1, 3,Ｅヒラボクスペシャル, 73,安藤勝,, 71,*  1,  10, 3,  7.8,④③②, 1,12,Ａメダリアビｰト, 77,丸山元,, 79,   1,* 23, 1,  2.8,⑤⑤④
 2, 4,Ｆサウンドマンボ, 43,小林徹, 0.0, 52,* -5,* -1, 3,  4.6, ①①, 2, 4,Ｆペガサスダンディｰ, 57,池添謙, 0.0, 68,   2,*  5, 7, 14.1,④③②, 2, 1,Ｉダルニム, 69,横山典, 0.0, 71,*  1,  10, 7, 17.6,①①①, 2,10,Ｈオｰスミレジスタ, 68,和田竜, 0.1, 78,*  3,* 18, 4,  7.1,①①①
 3, 6,Ｅサミットストｰン, 43,西村太, 0.5, 44, -13,* -2, 5,  8.3, ⑥⑦, 3,11,Ａボストンプラチナ, 65,木幡初, 0.7, 63,   2,   1, 4,  6.9,⑥⑥⑤, 3, 7,Ｂジュモｰ, 76,藤田伸, 0.1, 75,  -1,* 14, 1,  1.9,⑩⑨⑧, 3, 5,Ｃマイネルアベニｰル, 75,大野拓, 1.0, 68,   0,  16, 5,  7.2,⑦⑥⑤
 4, 8,Ｇアベマリア, 38,池添謙, 0.6, 44,  -8,  -5, 6, 14.0, ④④, 4,10,Ｃタｰジマハル, 63,柴山雄, 0.7, 61,*  3,  -2, 6,  9.9,②②③, 4,13,Ｇロｰザレｰヌ, 70,藤岡佑, 0.4, 73,  -1,* 13, 6, 14.7,⑫⑪⑪, 4, 6,Ｌウォンビｰロング, 57,横山典, 1.1, 68,   2,  12, 6, 10.2,④③③
 5, 7,Ｂメイショウテンカイ, 50,上村洋, 0.7, 45,  -8,  -6, 4,  5.5, ③③, 5, 5,Ｅテイクザファントム, 62,丸山元, 0.9, 61,   1,  -2, 5,  7.0,⑦⑦⑥, 5, 2,Ｈオメガリトルスタｰ, 69,丸山元, 0.7, 69,   1,   7,10, 71.2,③⑤④, 5, 2,Ｊラッキｰフラワｰ, 59,木幡初, 1.4, 67,*  3,  10,12,250.4,②②②
 6, 2,Ｄコスモマスク, 48,丹内祐, 0.9, 42, -14,  -4, 1,  3.5, ⑦⑥, 6, 7,Ｉグランフィｰルド, 55,大野拓, 0.9, 60,*  5,  -5,10,130.1,①①①, 6, 5,Ｃクリムゾンブｰケ, 74,丸田恭, 0.8, 68,  -1,   8, 4,  8.2,⑦⑩⑨, 6, 4,Ｄビｰチランデブｰ, 74,武幸四, 1.7, 71,  -1,  13, 7, 10.2,⑥⑨⑦
 7, 3,Ｈカムイフォレスト, 37,和田竜, 1.0, 41, -10,  -8, 7, 17.3, ⑤⑤, 7, 2,Ｇレッドガルｰダ, 57,横山典, 1.7, 56,   0,  -4, 1,  3.1,⑧⑨⑨, 7,10,Ｌデルマプロティナ, 65,竹之下, 0.8, 68,  -1,   7,11,119.4,⑧⑦⑦, 7,11,Ｇスマｰトスペンサｰ, 71,安藤勝, 1.9, 63,  -1,  11, 3,  7.1,⑨⑩⑧
 8, 1,Ｃネコチｰタｰ, 48,大野拓, 1.1, 38, -16,  -4, 9, 51.9, ⑧⑧, 8, 1,Ｊタマモハイグレｰド, 50,丹内祐, 1.8, 57,  -1,  -4,11,206.9,⑨⑧⑧, 8, 6,Ｆトウカイレジｰナ, 72,古川吉, 1.1, 65,*  1,   1, 2,  6.5,⑤④③, 8, 8,Ｋレオキュｰト, 58,佐々木, 1.9, 66,  -3,  14,11,216.8,⑫⑫⑨
 9, 9,Ｉクハディラン, 36,荻野琢, 2.3, 26, -17, -15, 8, 46.5, ⑨⑨, 9, 9,Ｋメジロレイチェル, 49,黛弘人, 2.4, 52,  -1,  -9, 9,112.1,⑪⑩⑩, 9,11,Ａスノｰマジック, 77,荻野琢, 1.2, 66,  -1,   5, 5, 12.2,⑬⑫⑫, 9,13,Ｅツカサゲンキ, 73,長谷川, 2.4, 60,  -2,   8, 9, 38.4,⑩⑪⑩
,,,,,,,,,,,,10, 3,Ｈナンヨｰドリｰム, 56,四位洋, 2.7, 49,  -5,  -6, 8, 33.4,⑩⑪⑪,10, 4,Ｋユキノクイｰン, 68,四位洋, 1.7, 60,   1,  -2, 8, 20.4,⑥⑥⑥,10, 1,Ｉカポデテュティカピ, 67,丸田恭, 2.7, 58,   1,  -1,10, 79.5,③④⑥
