10年 7月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃエリモミヤビ, 43,佐藤哲,, 46,  -5,* -3, 6, 11.9, ⑦⑦, 1, 7, バラｰドソング,---,福永祐,, 47, -22,*  1, 2,  3.0, ⑦⑦, 1, 3,Ｊエｰシンクラウニン, 67,酒井学,, 70,   4,* 13,12, 78.0,⑪⑪⑨, 1, 3,Ｋデグラｰティア, 75,浜中俊,, 87,   4,* 18, 2,  4.8, ③②
 2, 9,Ａヒュｰストニア, 45,福永祐, 0.0, 50,*  4,  -8, 1,  3.4, ①①, 2,12, エピデンドラム,---,浜中俊, 0.0, 46, -16,* -4, 7, 30.7, ⑥⑥, 2, 7,Ｃダンツブラボｰ, 72,松山弘, 0.0, 67,*  7,   6, 6,  8.3,②②①, 2, 4,Ａスカイノダン, 81,川田将, 0.2, 85,   2,* 18, 1,  1.9, ⑤⑤
 3, 1,Ｅアスカノバッハ, 41,川島信, 0.2, 42,  -7,* -4, 9, 29.3, ⑨⑨, 3, 4, ガｰルズストｰリｰ,---,国分恭, 0.2, 44, -15,  -8, 5, 24.9, ⑤⑤, 3, 9,Ａオウケンマジック, 76,高倉稜, 0.1, 66,   6,   7, 2,  4.6,⑤④③, 3, 5,Ｅコパノオｰシャンズ, 78,鮫島良, 0.2, 86,  -2,* 22, 7, 23.7, ⑩⑥
 4, 5,Ｂブｰケパルフェ, 44,北村友, 0.8, 40,  -1, -13, 2,  4.3, ③④, 4, 3, シグナルストｰン,---,岩田康, 0.5, 40,*-12, -15, 3,  8.9, ①①, 4, 4,Ｂメイショウロッコｰ, 72,川田将, 0.5, 64,   4,   8, 3,  4.9,⑬⑩⑦, 4,13,Ｈスｰパｰワシントン, 76,石橋守, 0.9, 75,  -5,  15,10, 51.6, ⑪⑧
 5,11,Ｆダイシンワイルド, 40,川田将, 0.9, 40,*  1, -14, 7, 12.3, ④⑤, 5, 1, タムロプリンセス,---,幸英明, 0.6, 39, -16, -12, 1,  1.9, ④④, 5, 5,Ｉタマモウィナｰ, 68,小林久, 0.5, 63,*  8,   1, 8, 33.2,①①②, 5,15,Ｄイセノスバル, 79,熊沢重, 0.9, 75,*  7,   3, 4,  9.5, ②③
 6, 8,Ｄプレストリガｰ, 43,太宰啓, 1.0, 37,  -3, -12, 4,  7.7, ⑧⑥, 6,14, プントバンコ,---,北村友, 0.6, 38,*-14, -15, 8, 36.3, ③③, 6,11,Ｍトｰブプリンス, 55,幸英明, 0.6, 64,   3,*  9, 9, 40.6,⑫⑫⑫, 6, 2,Ｏベイリングボｰイ, 70,渡辺薫, 1.1, 74,  -8,  15,11, 88.2, ⑭⑬
 7, 7,Ｇドリｰムスパ, 39,高倉稜, 1.0, 36,  -2, -14, 3,  5.5, ⑤⑧, 7,10, ガトｰディマンシュ,---,熊沢重, 0.9, 36, -25,  -6, 6, 27.2, ⑧⑧, 7,10,Ｄシゲルケンシン, 72,小牧太, 0.7, 61,   6,   5, 1,  4.4,⑧⑦⑥, 7, 8,Ｃゲイル, 79,太宰啓, 1.1, 72,  -5,  12,15,127.3, ⑫⑭
 8,13,Ｋマウシャｰレ, 24,熊沢重, 1.2, 39,*  2, -18,12,130.2, ②②, 8, 8, エｰシンギムレット,---,川田将, 1.2, 31,*-12, -24, 4, 13.3, ②②, 8, 6,Ｇメイスンファｰスト, 71,高橋智, 0.9, 60,   7,   0,10, 59.2,③③④, 8,16,Ｇオｰルタイムベスト, 77,幸英明, 1.1, 73,   4,   3, 3,  9.1, ④④
 9,12,Ｉスプリングディナン, 30,鷹野宏, 1.5, 30, -21,* -5,13,130.7, ⑫⑫, 9,11, テイエムオジャル,---,高井彰, 2.1, 20, -35, -13,13,242.1, ⑪⑪, 9, 2,Ｋアキノラブ, 64,鮫島良, 1.2, 60,   5,   1,13,153.5,⑦⑧⑤, 9, 6,Ｉゼットカｰク, 76,松山弘, 1.1, 72,   1,   6, 8, 30.9, ⑥⑦
