10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａビｰビｰマキシマス, 53,古川吉,, 50,*  0, -16, 1,  2.3, ①①, 1,11, エｰシンジャッカル,---,ホワイ,, 56,* -8,  -4, 5, 13.0, ①①, 1,12,Ａナリタシリカ, 71,上村洋,, 74,   2,*  6, 1,  3.4, ⑤④, 1, 6,Ａルシュクル, 82,四位洋,, 76,  -1,* 10, 1,  1.9, ④④
 2, 9,Ｄアブラカタブラ, 46,大野拓, 0.1, 48,*  0, -17, 4,  6.5, ②②, 2, 7, コウミョウガツジ,---,横山典, 0.0, 55, -13,*  1, 3,  5.0, ③③, 2, 9,Ｅメイショウサバト, 65,木幡初, 0.1, 72,*  3,   4, 3,  5.4, ③③, 2, 5,Ｂアラマサロｰズ, 81,勝浦正, 0.2, 74,   2,   5, 2,  2.6, ③③
 3, 3,Ｃクリスタルロック, 49,村田一, 0.3, 45,  -3, -15, 5, 10.0, ③③, 3, 6, エリンコｰト,---,藤岡佑, 0.4, 51, -16,  -2, 7, 21.2, ④④, 3, 1,Ｂマリエンベルク, 68,勝浦正, 0.3, 68,  -4,*  7, 5,  7.7, ⑧⑦, 3, 3,Ｄケイアイスウォｰド, 74,大野拓, 0.5, 70,  -4,   6, 5, 18.2, ⑥⑥
 4, 7,Ｂノアノア, 51,四位洋, 0.3, 43,  -2, -17, 2,  3.4, ④④, 4, 1, アドマイヤシケｰダ,---,勝浦正, 0.5, 50, -19,*  2, 8, 36.8, ⑥⑥, 4, 3,Ｆケイエスケイト, 64,藤岡佑, 0.5, 66,  -6,*  8, 6, 15.0, ⑩⑨, 4, 2,Ｃメジロアリス, 74,黛弘人, 0.9, 66,*  4,  -5, 4, 12.3, ②②
 5, 6,Ｅアカウンタビリティ, 44,横山典, 0.4, 39,  -9,*-12, 3,  5.3, ⑦⑦, 5,12, インダクティ,---,丸田恭, 1.5, 38, -20,  -9, 4,  6.4, ⑨⑨, 5, 8,Ｉワｰルドワン, 63,池添謙, 0.6, 66,*  5,  -4, 2,  3.9, ②②, 5, 4,Ｆエｰピｰレジェンド, 62,丹内祐, 1.1, 64,  -2,  -2, 6, 29.7, ⑤⑤
 6, 8,Ｉデルマガネｰシャ, 23,丸山元, 0.4, 41,  -6, -14, 6, 32.9, ⑥⑥, 6,10, デラモｰレ,---,藤田伸, 1.7, 34, -14, -19, 1,  2.6, ⑤⑤, 6,10,Ｈワイドロｰタス, 63,ホワイ, 0.8, 63,  -5,   3, 9, 35.4, ⑨⑩, 6, 1,Ｅナムラミｰティア, 67,藤岡佑, 2.6, 43,*  5, -28, 3,  5.9, ①①
 7, 1,Ｈコアヨカ, 31,丹内祐, 0.5, 41,  -6, -16, 8, 58.9, ⑤⑤, 7,13, ミラｰメソロ,---,荻野琢, 1.7, 37, -31,  -2,13,129.6, ⑩⑪, 7, 2,Ｌアグネスジャスパｰ, 41,藤田伸, 0.8, 62,   0,  -3, 8, 24.4, ④⑤,,,,,,,,,,,,
 8, 4,Ｇティアラグラマラス, 35,池添謙, 0.7, 37, -12,*-13, 9, 62.9, ⑨⑨, 8, 5, トｰセンタｰボ,---,丸山元, 1.9, 32, -33,  -4, 2,  3.9, ⑪⑩, 8,11,Ｋエイトスタｰ, 46,丸田恭, 0.9, 60,  -9,   5,12,164.2, ⑫⑫,,,,,,,,,,,,
 9, 5,Ｆデルマラクシュミｰ, 39,荻野琢, 0.8, 36, -10, -16, 7, 42.7, ⑧⑧, 9, 2, シャコｰフィｰユ,---,丹内祐, 1.9, 37, -38,*  2,14,224.0, ⑭⑭, 9, 4,Ｃスマｰトムｰビｰ, 67,田中勝, 0.9, 62,*  6,  -9, 4,  6.7, ①①,,,,,,,,,,,,
