10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｊオｰナｰズアイ, 47,飯田祐,, 64,   0,*  3,17,126.2, ⑦⑥, 1, 3, タイセイマグナム,---,国分恭,, 54,* -7,* -3, 6, 14.7, ①①, 1, 7,Ｇオカゲサマデ, 65,幸英明,, 76,*  3,   7, 3,  3.9,①①①, 1,11,Ｉセレスハント, 84,福永祐,, 81,*  6,  19, 3,  7.3,②②②
 2,11,Ｂセレスワンラヴ, 55,和田竜, 0.1, 65,   5,  -4, 1,  3.3, ⑤④, 2, 9, ネバｰプリンス,---,田中克, 0.8, 44, -15,* -5, 4,  7.0, ④③, 2, 8,Ｂマイネアロマ, 69,和田竜, 0.1, 76,*  3,   7, 1,  2.8,②②②, 2, 3,Ｄメンデル, 87,藤岡康, 0.0, 84,   2,* 24, 6, 12.6,⑩⑨⑨
 3, 3,Ｇオｰスミアザレア, 51,北村友, 0.3, 64,* 10, -12, 4, 10.7, ①①, 3, 7, フレッチャロッサ,---,北村友, 1.3, 41, -15,  -9, 2,  3.3, ③④, 3, 9,Ａシシャモフレンド, 71,国分恭, 0.4, 74,   0,*  9, 4,  5.0,⑧⑧⑦, 3,14,Ｎチャｰムナデシコ, 80,北村友, 0.0, 83,   4,  21,10, 17.2,⑤⑤④
 4, 8,Ｎガイｰヌ, 44,岩田康, 0.5, 56,  -5,*  0,11, 41.8, ⑫⑨, 4, 4, マルサンライナｰ,---,幸英明, 1.6, 37,* -8, -16, 3,  6.2, ②②, 4, 2,Ｄダノンプリマドンナ, 67,川田将, 0.6, 71,   1,   3, 2,  3.7,④④④, 4, 5,Ｃクリｰン, 87,国分恭, 0.2, 82,   2,  22, 8, 12.8,⑨⑩⑩
 5,12,Ａタマモピアス, 59,藤岡康, 0.5, 57,   2,  -6, 2,  4.3, ⑥⑦, 5, 1, アイアンセラヴィ,---,小牧太, 1.9, 31, -29,  -5, 1,  2.7, ⑨⑧, 5, 6,Ｅドナフュｰジョン, 66,高倉稜, 0.6, 71,   0,   6, 5, 19.0,⑦⑦⑥, 5,13,Ｊメイショウシャフト, 84,難波剛, 0.4, 79,*  5,  16,13,101.2,③③③
 6, 6,Ｉドリｰムファミｰユ, 47,佐藤哲, 0.6, 56,   5, -11, 3,  5.9, ③③, 6, 8, ロッキｰラクｰン,---,安藤光, 1.9, 32, -18, -12,10,100.5, ⑤⑤, 6, 4,Ｃサンダｰセブン, 67,高橋智, 0.7, 71,  -2,*  9, 6, 24.4,⑨⑨⑨, 6, 8,Ｂアドマイヤマジン, 88,川田将, 0.5, 81,   1,  22, 5,  8.1,⑪⑬⑬
 7,13,Ｈマイネキラ, 49,幸英明, 0.8, 52,  -2,  -7, 6, 12.1, ⑪⑧, 7,10, マイネルガネｰシャ,---,和田竜, 2.0, 32, -21, -12, 5,  7.2, ⑥⑥, 7, 1,Ｈオウハ, 61,北村友, 0.8, 69,   0,   3, 9, 48.2,⑥⑥⑧, 7,10,Ｍコウジンアルス, 80,太宰啓, 0.6, 76,*  6,  13, 9, 17.0,①①①
 8, 9,Ｏポリッシュアップ, 44,赤木高, 0.9, 48, -13,*  3,18,126.7, ⑱⑱, 8, 2, シゲルコモン,---,飯田祐, 2.9, 21, -27, -16, 7, 43.0, ⑦⑦, 8, 5,Ｉハロｰスカｰレット, 52,浜中俊, 0.9, 67,   2,  -1, 7, 33.1,③③③, 8, 2,Ｈタｰトルベイ, 85,松山弘, 0.6, 81,   0,* 23,11, 27.0,⑭⑭⑭
 9, 5,Ｅロｰブドゥレｰヌ, 53,上野翔, 1.1, 47,  -7,  -5,15,105.4, ⑭⑭, 9, 5, センタｰスキャン,---,太宰啓, 3.0, 21, -27, -16, 9, 71.4, ⑧⑨, 9, 3,Ｆレナプリンセス, 66,川須栄, 1.0, 64,   1,  -4, 8, 38.4,⑤⑤⑤, 9, 1,Ｌマイプリティワン, 82,小牧太, 0.7, 77,   2,  18, 2,  4.6,⑧⑧⑦
10,10,Ｋアグレッシブロｰズ, 45,小牧太, 1.1, 46,  -6,  -7,12, 59.7, ⑬⑫,10, 6, カシノカイオウ,---,川須栄,10.3,-65, -92, -42, 8, 63.3, ⑩⑩,,,,,,,,,,,,,10, 4,Ａマルブツリｰド, 89,浜中俊, 0.8, 77,   3,  16, 1,  4.5,⑦⑥⑥
11,18,Ｃエルキャンディｰ, 55,高倉稜, 1.2, 50,*  7, -21, 8, 19.1, ②②,,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｇトｰホウアタック, 85,和田竜, 0.8, 79,   3,  16, 7, 12.7,⑥⑦⑧
12, 7,Ｌヒロコファンタジｰ, 45,渡辺薫, 1.3, 49,   5, -19, 7, 14.3, ④⑤,,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｆタガノエクリプス, 86,渡辺薫, 0.9, 78,   1,  18,14,127.1,⑬⑫⑫
13, 2,Ｑサンマルフラワｰ, 41,浜中俊, 1.4, 42, -12,  -5,13, 59.9, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｅポｰトラヴ, 87,幸英明, 1.7, 70,   1,  11,12, 32.1,⑫⑪⑪
14, 4,Ｍアインファルケ, 44,鷹野宏, 1.4, 42, -10,  -7, 9, 30.8, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｋニュｰイチトク, 83,佐藤哲, 1.8, 70,   4,   6, 4,  8.1,④④⑤
15,14,Ｐスズカパルサｰ, 43,川田将, 1.6, 42,  -1, -18,14, 78.0, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,Ｒポンドガｰル, 41,福永祐, 1.7, 42,   0, -19,10, 31.8, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
