10年 7月31日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅミュｰオン, 42,西村太,, 50,*  8, -13, 5, 19.9, ①①, 1, 8, レジュｰルダムｰル,---,丸山元,, 63,   3,* 10, 7, 23.7,⑩⑦⑥, 1, 9,Ｂミクル, 72,藤田伸,, 66,*  8,   3, 1,  2.7, ①①, 1, 8,Ｂセトノメジャｰ, 73,古川吉,, 75,* -1,* 16, 2,  2.7,①①①
 2, 5,Ａショウナンアリビオ, 54,池添謙, 0.0, 50,*  7, -11, 1,  2.2, ②②, 2,10,Ｃタイキフレンチキス, 56,古川吉, 0.1, 60,*  8,  -1, 4,  9.3,①①①, 2,11,Ｄサクラナスカ, 70,吉田隼, 0.2, 66,   6,   4, 3,  4.2, ③③, 2, 3,Ｃフルボディｰ, 71,丸山元, 0.4, 75,* -2,  15, 4,  7.6,⑤③②
 3, 7,Ｃテイエムジョニクロ, 47,柴山雄, 0.1, 48,*  7, -13, 7, 27.3, ④③, 3, 1,Ａウエスタンウェイブ, 66,横山典, 0.3, 58,*  8,  -2, 1,  2.2,④②②, 3, 3,Ｅマイスイｰトホｰム, 67,藤岡佑, 0.3, 62,  -4,*  9, 5, 11.0, ⑨⑧, 3, 2,Ｆラグナロク, 65,丹内祐, 0.6, 72,* -2,  13, 3,  6.9,②②③
 4, 4,Ｈロｰドエアフォｰス, 28,藤岡佑, 0.4, 42,   3, -13, 4, 13.6, ⑥⑤, 4,13,Ｈクルｰルヴィオラ, 44,武幸四, 0.6, 62,   6,   0,12,112.7,②④③, 4,10,Ｃリｰヴタイム, 71,大野拓, 0.5, 61,*  8,   0, 6, 17.4, ②②, 4, 5,Ａエスジｰストリｰム, 77,西村太, 0.7, 73,  -4,* 17, 1,  2.4,⑧⑦⑦
 5, 2,Ｄハイパフォｰマンス, 46,吉田隼, 0.8, 35,  -6,* -9, 8, 41.2, ⑧⑧, 5,11,Ｂネオペンドラゴン, 62,藤岡佑, 0.6, 58,   2,*  5, 2,  3.9,⑬⑧⑦, 5, 7,Ｈキタサンハナミチ, 64,西村太, 0.6, 58,  -9,*  9, 8, 44.0, ⑩⑩, 5, 4,Ｈメイショウクレモナ, 62,武幸四, 1.0, 75,  -2,  12, 6, 15.3,⑦⑤⑤
 6, 1,Ｆカムイフォレスト, 41,ホワイ, 1.5, 28,   3, -27, 6, 21.0, ⑤④, 6,12,Ｋタカノスペシャル, 39,柴原央, 1.3, 52,   5,  -7, 5, 18.7,⑦⑤④, 6, 1,Ｇコロナ, 66,上村洋, 0.7, 60,   0,   3, 4,  8.6, ⑥⑦, 6, 6,Ｄウルトライエロｰ, 70,小林徹, 1.3, 68,* -2,   8, 7, 25.6,④④④
 7, 6,Ｇトｰセンタｰボ, 32,丸山元, 1.6, 28,   6, -30, 3,  5.8, ③⑥, 7, 6,Ｅオメガキングコング, 49,ホワイ, 2.1, 46,   5, -13, 3,  4.7,⑥③⑤, 7, 5,Ｋチョウキョウケン, 50,勝浦正, 0.9, 55,   1,   0, 7, 37.4, ⑤⑤, 7, 7,Ｅアｰスグラヴィティ, 68,吉田隼, 1.5, 67,  -2,   8, 5, 14.5,⑥⑥⑥
 8, 8,Ｂシェイクラブハｰト, 50,藤田伸, 1.9, 24,   3, -31, 2,  2.5, ⑦⑦, 8, 5,Ｆディｰプドリｰム, 49,吉田隼, 2.6, 45,   0,  -8,10, 84.5,⑪⑩⑪, 8, 2,Ａメリュジｰヌ, 74,柴原央, 1.0, 56,   5,  -2, 2,  3.4, ④④, 8, 1,Ｇゴｰルドキャメロン, 63,柴山雄, 5.1, 40,  -7, -13, 8, 62.6,③⑧⑧
,,,,,,,,,,,, 9, 2,Ｄベルモントルｰナ, 56,勝浦正, 3.2, 38,   0, -14, 6, 21.9,⑧⑨⑨, 9, 8,Ｉクイｰンマルサ, 63,古川吉, 1.4, 51,  -1,  -3, 9, 44.4, ⑦⑥,,,,,,,,,,,,
,,,,,,,,,,,,10, 4,Ｉヒカルトップガン, 43,丸田恭, 3.4, 39,  -2, -13, 8, 36.2,⑫⑪⑩,10, 4,Ｊカラフルパレット, 53,丸山元, 1.5, 49,  -6,  -1,10, 70.5, ⑧⑨,,,,,,,,,,,,
