10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-29,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,17,Ａテイエムキュｰバ, 65,田嶋翔,, 56,* -5,* -2, 1,  1.2, ①①, 1, 7, ドレッドノｰト,---,佐藤哲,, 65,* -1,   0, 1,  2.2, ①①, 1,11,Ｂスズカサクセス, 59,太宰啓,, 60,   1,   1, 3,  6.1, ⑤⑤, 1, 1,Ｄリッカロイヤル, 76,安藤光,, 77,   6,* 13, 6, 12.5,⑥⑦④
 2,13,Ｆマサシ, 33,高倉稜, 1.1, 41, -19,* -4, 3, 16.1, ⑩⑦, 2, 2, アマノレインジャｰ,---,国分恭, 1.0, 52,* -2, -12, 3,  6.2, ②②, 2, 2,Ａライブリフライト, 64,佐藤哲, 0.0, 59,  -4,*  5, 1,  3.0, ⑧⑦, 2, 4,Ｉロザリオ, 71,小牧太, 0.0, 76,*  8,   8,10, 34.3,⑫④②
 3,12,Ｉパティオ, 19,鈴来直, 1.2, 42, -26,*  3, 5, 36.0, ⑯⑭, 3, 5, テイエムメガヒット,---,松山弘, 1.0, 51, -13,  -2, 8, 29.9, ⑦⑦, 3,16,Ｉキョウワプレジャｰ, 45,川島信, 0.2, 58,   2,  -3, 9, 27.1, ④④, 3,10,Ａサバｰス, 81,福永祐, 0.1, 77,   6,* 12, 4,  6.7,⑦⑧⑥
 4,11,Ｄコウエイライト, 37,幸英明, 1.3, 40,* -6, -18, 2,  8.5, ②②, 4, 8, スリップストリｰム,---,和田竜, 1.0, 53, -10,  -4, 4,  6.3, ⑥⑥, 4, 6,Ｇクリｰルサンライズ, 47,幸英明, 0.3, 56,  -9,*  7, 8, 17.5, ⑪⑩, 4, 8,Ｆロｰドアルファｰド, 75,和田竜, 0.4, 74,   5,  10, 7, 15.0,⑧⑩⑧
 5,18,Ｃテイエムオジャンセ, 37,高井彰, 1.4, 39, -11, -14, 4, 20.3, ④④, 5, 9, ニシノフウウンジ,---,浜中俊, 1.1, 51, -13,  -3, 6, 19.5, ⑧⑧, 5,10,Ｅマイルストｰン, 53,小林慎, 0.3, 56,*  5,  -6,10, 31.6, ③③, 5,11,Ｈブラックシャンツェ, 73,浜中俊, 0.4, 74,   3,* 13, 5, 11.0,⑨⑪⑨
 6, 9,Ｐナンゴクノゴルゴ,-59,小牧太, 1.7, 34, -22,  -8,17,243.8, ⑬⑫, 6, 3, ツルマルワンピｰス,---,小牧太, 1.4, 46, -25,*  5, 5, 15.1, ⑭⑬, 6,12,Ｌハナノシンノスケ, 36,高倉稜, 0.4, 54,  -2,  -1,11, 34.3, ⑥⑥, 6, 3,Ｂリアルプリンス, 77,岩田康, 0.6, 70,   6,   2, 1,  3.2,④⑥⑤
 7, 7,Ｂカシノエイト, 43,高野容, 1.7, 34, -14, -16, 6, 37.7, ⑥⑥, 7,10, シゲルチョウカン,---,熊沢重, 1.5, 47,* -2, -18, 2,  5.8, ③③, 7, 1,Ｄヤマカツテンリュウ, 56,酒井学, 0.6, 52,  -5,  -1, 7, 16.4, ⑩⑧, 7, 5,Ｃドリｰムカトラス, 77,佐藤哲, 0.6, 71,   2,* 12, 2,  4.6,⑪⑫⑪
 8,10,Ｋカシノババロア, 16,大下智, 1.9, 31, -23, -10,18,296.0, ⑫⑪, 8,12, エメラルブライト,---,松田大, 1.6, 45, -14,  -8, 7, 19.9, ⑪⑫, 8,18, セイウンノｰブル,---,浜中俊, 0.6, 52,*  7, -13, 2,  4.8, ②②, 8, 7,Ｊティルフィング, 70,幸英明, 0.6, 70,*  9,  -2, 9, 21.1,⑩①①
 9,15,Ｏテイエムヒットンダ,-39,和田竜, 2.0, 31, -16, -18,16,241.1, ⑦⑨, 9, 1, ヒビキライト,---,田中健, 1.7, 43,  -8, -16, 9, 36.0, ⑤⑤, 9, 8,Ｃレイニブルｰ, 58,松山弘, 0.7, 51,  -7,   0, 4,  7.1, ⑫⑫, 9, 2,Ｅグッドバニヤン, 76,松田大, 0.7, 70,   7,   1, 3,  5.3,③⑤③
