10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 小倉記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄシゲルシャチョウ, 50,松山弘,, 51,  -7,*  1, 8, 48.8, ⑩⑨, 1, 9, ウインバリアシオン,---,福永祐,, 63, -19,* 15, 1,  3.5,⑤⑤④, 1, 8,Ａニホンピロワルタｰ, 74,藤岡康,, 69,* -4,* 14, 1,  2.3,①①①, 1,18,Ｃニホンピロレガｰロ, 87,酒井学,, 83,  10,  16, 9, 19.7,⑦⑦④
 2, 6,Ａカノヤキャプテン, 65,福永祐, 0.1, 52,  -4,* -3, 2,  4.1, ⑧③, 2, 8, タガノエベンヌ,---,高倉稜, 0.5, 57, -19,  10, 4,  6.4,⑩⑦⑤, 2, 3,Ｂリリｰストライカｰ, 71,浜中俊, 0.2, 68,* -5,* 14, 2,  2.8,②③③, 2,11,Ｆバトルバニヤン, 86,和田竜, 0.0, 84,   9,* 17, 4,  6.3,⑧⑧⑤
 3, 3,Ｇニイハオジュウクン, 45,松田大, 0.3, 52,   1,  -9, 5, 18.4, ③⑥, 3, 5, アスｰルアラテラ,---,和田竜, 0.7, 58, -20,  10, 2,  4.7,⑨⑨⑦, 3,12,Ｃツルマルヤマト, 69,和田竜, 0.7, 65,* -4,   9, 3,  7.0,③②②, 3, 1,Ｇスマｰトギア, 86,武豊  , 0.3, 83,   6,* 22, 1,  4.9,⑯⑯⑫
 4,14,Ｊレｰガン, 39,石橋守, 0.3, 53,*  3, -12,11,199.6, ②②, 4, 2, ネオザイオン,---,鮫島良, 0.7, 56, -20,  10, 5,  7.9,⑥⑩⑧, 4, 5,Ｅネオジェイズレｰヌ, 63,松岡正, 0.9, 62,  -7,* 13, 4,  9.9,⑫⑩⑨, 4, 3,Ｌナリタクリスタル, 78,幸英明, 0.3, 81,   8,  16, 2,  5.0,⑨⑩⑨
 5,13,Ｆウルル, 47,浜中俊, 0.3, 50,  -1,  -8, 1,  1.5, ⑤⑧, 5,16, レｰルスプリッタｰ,---,川田将, 0.7, 53,*-17,   4, 8, 20.1,③③③, 5, 4,Ｆメイショウテレジア, 62,佐藤哲, 1.0, 63,  -6,   9, 7, 52.7,⑥⑤④, 5, 2,Ｑステップシチｰ, 72,川田将, 0.4, 79,   8,  11,13, 62.0,⑤⑤⑥
 6, 7,Ｂチアフルアイズ, 51,川田将, 0.4, 51,  -3,  -6, 6, 19.5, ⑦⑩, 6,15, ミエノスペシャル,---,川島信, 1.0, 48,*-16,  -3, 6, 12.9,②②②, 6,13,Ｄメイショウトシイエ, 66,国分恭, 1.2, 62,  -6,   9, 5, 12.4,⑧⑦⑥, 6,15,Ｎサンレイジャスパｰ, 75,難波剛, 0.4, 79,   8,  14,12, 48.1,⑩⑪⑩
 7,12,Ｅセイプロスペリティ, 48,岩田康, 0.5, 49,   0, -12, 7, 25.3, ④⑦, 7, 4, コスモロッキｰ,---,松岡正, 1.0, 54, -23,  10,12, 77.0,⑮⑭⑩, 7, 6,Ｈサヴァラン, 60,北村友, 1.6, 57,* -5,   2, 6, 29.0,⑤④⑤, 7,16,Ｅサンライズベガ, 87,松岡正, 0.5, 76,* 11,   4, 3,  5.6,②②②
 8, 8,Ｉカシノウィンド, 40,藤岡康, 0.8, 41, -11,  -6,12,242.8, ⑫⑫, 8,13, ビｰム,---,佐藤哲, 1.0, 47, -19,   1, 3,  5.8,④④⑥, 8,11,Ｍシルクマウンテン, 41,田中健, 2.0, 59,  -5,   2,14,203.8,⑦⑥⑦, 8, 6,Ｂホワイトピルグリム, 89,福永祐, 0.5, 79,   9,  12, 5,  7.5,⑫⑨⑦
 9, 9,Ｃドリｰムガン, 50,上野翔, 0.9, 41,  -4, -14, 9, 59.1, ⑨⑤, 9,12, ピルケンハンマｰ,---,藤岡康, 1.4, 41,*-16, -10,13, 87.9,①①①, 9, 9,Ｋドニュ, 50,小牧太, 2.1, 53,  -9,   5,10, 95.0,⑪⑬⑭, 9,10,Ｈアルコセニョｰラ, 85,武士沢, 0.7, 77,   7,  13,10, 29.3,⑭⑮⑮
