10年 8月 7日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａペプチドサクシｰド, 65,四位洋,, 55,* -6,  -2, 1,  1.3, ②②, 1, 3,Ｂキュｰト, 65,藤岡佑,, 69,*  1,*  6, 1,  2.5, ①①, 1, 1,Ｅナムラアトラクト, 68,秋山真,, 76,*  2,* 11, 1,  2.7, ①①, 1, 1,Ｇマッドマックス, 72,四位洋,, 75,   6,* 12, 9, 21.5,⑤③③
 2, 4,Ｉウッドシップ, 28,横山典, 0.6, 48,  -8,  -7, 4, 11.6, ③③, 2, 4,Ｄキャニオンルナ, 57,柴山雄, 0.4, 63,*  0,   2, 6, 22.7, ②②, 2,10,Ａスニｰカｰブルｰス, 75,藤岡佑, 0.6, 71,*  1,   7, 3,  6.3, ②②, 2, 2,Ａアイソトｰプ, 76,安藤勝, 0.3, 71,*  8,   6, 1,  2.2,②②②
 3,10,Ｆロトドレッサｰ, 36,大野拓, 0.7, 48,* -3, -10, 8, 91.7, ①①, 3, 1,Ｃメグチャン, 57,池添謙, 0.8, 60,  -5,   3, 5, 13.2, ④④, 3, 6,Ｆチェアユｰアップ, 68,丸田恭, 0.6, 70,  -6,* 12, 5,  9.3, ⑦⑦, 3, 6,Ｋサルバドｰルチｰフ, 68,小野次, 0.4, 73,   5,  10, 7, 16.9,⑥⑦⑥
 4, 7,Ｄジャックボウイ, 47,藤田伸, 1.1, 45,  -8, -10, 7, 35.5, ④④, 4, 9,Ｅニジイロノホシ, 55,勝浦正, 1.0, 59,*  0,  -2, 8, 31.7, ③③, 4,12,Ｉホワイトクルｰザｰ, 67,吉田隼, 0.7, 69,  -3,   9, 2,  4.8, ⑥④, 4, 3,Ｌトキノフウジン, 67,柴原央, 0.4, 73,*  9,   4, 5, 10.9,①①①
 5, 5,Ｈテイエムミライオｰ, 30,長谷川, 1.3, 40, -34,*  4,11,147.2, ⑪⑪, 5, 8,Ａピｰスオブケイク, 65,大野拓, 1.1, 55,  -8,   1, 2,  3.5, ⑧⑨, 5, 8,Ｋワンモアグリッタｰ, 66,北村浩, 0.9, 66,  -5,   8,10, 30.4, ⑤⑥, 5, 5,Ｃマイネルアベニｰル, 75,大野拓, 0.7, 70,   3,  10, 3,  8.1,⑩⑧⑧
 6, 6,Ｂサウンドマンボ, 55,小林徹, 1.4, 42, -17,  -7, 2,  6.3, ⑦⑦, 6, 5,Ｉアロマセラピスト, 52,吉田隼, 1.1, 58, -15,*  8,10, 93.9, ⑫⑩, 6,11,Ｄハｰトフルボディ, 69,荻野琢, 1.2, 64,  -2,   3, 7, 15.0, ③③, 6,10,Ｆウインジェラルド, 73,古川吉, 0.9, 71,   3,* 11, 8, 17.2,⑬⑫⑪
 7, 8,Ｅボビｰバロｰズ, 39,柴山雄, 1.6, 37, -19,  -8, 6, 31.0, ⑨⑧, 7,10,Ｈポイントアフタｰ, 54,丸田恭, 1.2, 55,  -6,   0, 4, 12.6, ⑦⑧, 7, 2,Ｃディパｰチャｰズ, 69,木幡初, 1.3, 62,  -5,   5, 9, 27.1, ④⑤, 7,13,Ｄプレゼピオ, 75,藤田伸, 1.0, 71,   3,   8, 2,  7.0,⑫⑪⑩
 8, 3,Ｃダイワロック, 53,木幡初, 1.6, 37, -16, -10, 5, 16.0, ⑥⑥, 8, 7,Ｋスウィングベル, 46,荻野琢, 1.2, 56,  -9,   1, 9, 46.2, ⑨⑦, 8, 9,Ｇトップアテンション, 67,四位洋, 1.4, 60,  -9,   6, 6, 12.5, ⑨⑧, 8, 7,Ｊマイネルリズム, 69,木幡初, 1.3, 66,   4,   3,13,147.5,⑨⑥④
 9, 9,Ｇキングファルコン, 30,安藤勝, 1.9, 33, -14, -15, 3, 11.6, ⑤⑤, 9, 6,Ｇロｰレルソヒｰル, 54,竹之下, 2.2, 47,  -8,  -6, 7, 24.0, ⑩⑪, 9, 5,Ｌアドリｰム, 59,西村太, 1.4, 60,  -9,   6,12,268.9, ⑧⑨, 9, 4,Ｅグレイドキング, 75,丹内祐, 1.6, 66,   3,   4, 4,  8.8,⑧⑨⑨
10, 2,Ｋハコダテイチバン, 17,荻野琢, 2.0, 34, -20, -11,10,140.7, ⑧⑩,10,11,Ｊアマゾニアン, 47,小林徹, 2.3, 44, -13,  -6,12,239.5, ⑪⑫,10, 4,Ｈディアディライト, 67,藤田伸, 1.7, 58, -13,   6,11, 39.3, ⑫⑩,10,12,Ｉオレサイキョｰ, 69,藤岡佑, 1.6, 67,   2,   6, 6, 12.6,⑪⑬⑫
