10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄモアグレイス, 54,和田竜,, 57,   1,*  1, 2,  4.4, ⑥⑥, 1, 5, ムジョウ,---,ホワイ,, 48,*-12,* -3, 1,  1.3, ②②, 1,17,Ｊトロワプレジｰル, 55,ホワイ,, 73,* -1,* 10, 2,  2.7,⑤④①, 1, 6,Ｌエｰシンリジル, 73,国分恭,, 82,   9,   6, 2,  4.9, ④③
 2, 3,Ｂハピシン, 60,浜中俊, 0.0, 58,   4,* -2, 3,  5.6, ③③, 2, 3, クランチタイム,---,幸英明, 0.1, 48,*-10,* -5, 7, 30.3, ①①, 2,12,Ｂドミネｰタｰ, 70,佐藤哲, 0.8, 64,  -4,*  4, 3,  5.1,⑨⑨③, 2,10,Ｉハッピｰプレゼント, 74,北村友, 0.1, 80,   5,*  8, 3,  6.2, ⑦⑨
 3, 9,Ｅエピデンドラム, 46,ホワイ, 0.2, 56,*  5,  -6, 4, 10.7, ②②, 3, 4, ロイヤルネイチャｰ,---,川島信, 1.2, 36, -18,  -9, 2,  9.8, ⑥⑤, 3, 5,Ｋサｰベルダンス, 55,浜中俊, 1.5, 60,  -5,  -1, 6, 48.4,⑰⑫⑤, 3,15,Ｄビｰチアイドル, 75,ホワイ, 0.3, 78,   4,*  7, 1,  4.8, ⑩⑦
 4, 8,Ａキミニアエタキセキ, 66,小牧太, 0.4, 55,*  8, -11, 1,  1.7, ①①, 4, 2, ゴッドブリッジ,---,渡辺薫, 1.4, 34, -15, -14,11, 57.7, ④③, 4,14,Ｃコｰドゼット, 69,武豊  , 1.7, 55,  -5,  -6, 1,  2.5,⑪⑪⑨, 4,16,Ｎメイショウシオギリ, 71,難波剛, 0.4, 76,   5,   4,13, 71.0, ⑧⑧
 5, 5,Ｃラベンダｰカラｰ, 55,藤岡康, 0.7, 48,   2,  -8, 6, 17.5, ⑤⑤, 5, 1, エｰシンミナレット,---,和田竜, 1.7, 31, -26,  -9, 8, 34.3, ⑪⑧, 5, 7,Ｎホｰリｰロックス, 48,金折知, 1.7, 55,  -5,  -6,13,119.5,⑩⑩⑩, 5,18,Ｍスワン, 73,渡辺薫, 0.6, 75,  -6,* 12,11, 36.1, ⑰⑯
 6, 7,Ｉダイメイロｰド, 29,小林久, 0.8, 45,  -3,  -6,10,245.2, ⑧⑦, 6, 7, メモリｰ,---,高倉稜, 2.0, 27, -18, -17, 6, 21.6, ⑦⑦, 6,18,Ｍゴッドマジック, 49,福永祐, 1.7, 55,  -3, -11, 8, 56.6,⑦⑥⑥, 6,14,Ａミステリアスバイオ, 77,安藤光, 0.7, 72,   6,  -1,17,141.2, ⑥⑤
 7,10,Ｇガｰルズストｰリｰ, 43,国分恭, 0.8, 48,   4, -12, 5, 17.2, ④④, 7, 8, キタサンアマゾン,---,藤岡康, 2.1, 27, -18, -19, 5, 19.1, ⑤⑥, 7,15, ペリフェリック,---,鮫島良, 1.8, 57,  -8,   0, 7, 54.8,⑭⑮⑪, 7, 8,Ｐアグネスハッピｰ, 67,熊沢重, 0.7, 73,  -2,*  7,10, 32.0, ⑮⑭
 8, 6,Ｈプントバンコ, 38,北村友, 1.1, 40,  -7,  -6, 7, 44.9, ⑩⑧, 8, 6, ナスノアスカ,---,国分恭, 2.4, 25,*-13, -24, 4, 17.0, ③④, 8,16,Ｄタッチマイハｰト, 63,幸英明, 1.9, 52,* -1, -18, 4, 10.5,③②②, 8, 5,Ｆハリソンバロｰズ, 75,武豊  , 0.9, 69,  -1,   3, 5,  7.9, ⑬⑮
 9, 2,Ｋフェブストｰリｰ, 13,幸英明, 1.6, 34,  -7, -12, 9,160.7, ⑨⑩, 9,13, ヒカリゴｰルド,---,川須栄, 2.9, 17, -21, -25,14, 97.6, ⑨⑨, 9, 9,Ｆトップオペラ, 59,高倉稜, 1.9, 55,  -7,  -4, 9, 58.9,⑬⑬⑬, 9, 9,Ｈラヴファンタジスタ, 74,小牧太, 1.0, 68,  -1,   2,15, 73.5, ⑭⑪
