10年 8月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅメイショウトチワカ, 46,武幸四,, 59, -16,*  7, 5, 15.9,⑨⑨⑩, 1, 2,Ｆドリｰムシガｰ, 56,丸田恭,, 69,*  0,*  9, 6, 14.0,①①①, 1, 7,Ｅシルクオｰルディｰ, 70,四位洋,, 79,* 13,* -7, 1,  2.1,⑥⑥③, 1, 5,Ｍミスタｰルイス, 62,丸田恭,, 77,* 13,   0,13,187.8,②②②
 2, 5,Ｂスピｰドリッパｰ, 51,吉田隼, 0.1, 54,*-12,  -1, 2,  4.6,④⑤③, 2, 5,Ｅサトノファルコン, 57,横山典, 0.3, 67,  -2,* 11, 1,  2.2,③③③, 2, 4,Ｇマキハタセンシブル, 69,黛弘人, 0.3, 79,  13,* -5,10, 35.2,⑩⑩⑥, 2,12,Ｉメイショウシャイン, 69,古川吉, 0.3, 76,   4,* 13, 9, 56.0,⑪⑩⑨
 3, 1,Ｄテンベアハｰト, 46,木幡初, 0.2, 52,*-11,  -5, 4,  9.5,⑫②②, 3,11,Ｂエイダイボルト, 61,秋山真, 0.5, 69,  -2,* 12, 7, 17.0,⑩⑤④, 3,12,Ｉメジロジョン, 68,小野次, 0.4, 76,* 13, -10, 3,  7.1,⑧⑦⑧, 3, 3,Ｇモエレジンダイコ, 69,丹内祐, 0.5, 74,  11,  -1, 7, 32.8,③③③
 4, 4,Ｈトｰアウィンザｰ, 44,勝浦正, 0.2, 53, -14,  -1, 9, 52.8,③③④, 4, 4,Ａエンジェルブレス, 67,藤田伸, 0.7, 66,*  0,   5, 3,  6.2,②②②, 4, 6,Ｈピエナファンタスト, 68,武幸四, 0.8, 75,  12, -10, 8, 21.4,⑪⑪⑨, 4,11,Ｆリンガスアクタｰ, 70,上村洋, 0.9, 74,   7,   2, 8, 46.6,⑦⑦⑥
 5, 6,Ｉフォｰカルシャイン, 40,池添謙, 0.3, 51,*-11,  -8,10, 72.8,①①①, 5,10,Ｉケイアイブル, 52,勝浦正, 1.1, 63,  -2,   8, 8, 62.9,⑦⑧⑥, 5,10,Ａマルラニビスティｰ, 78,勝浦正, 0.9, 72,* 14, -19, 2,  5.2,④⑤⑦, 5, 2,Ａオｰスミレジスタ, 82,和田竜, 1.0, 72,* 13,  -9, 2,  2.8,①①①
 6,13,Ｃスズカホｰプ, 47,安藤勝, 0.5, 51, -14,  -4, 3,  7.1,⑧⑦⑤, 6, 6,Ｊクリｰルアジン, 50,古川吉, 1.2, 60,  -2,   4, 9,112.6,④④⑤, 6, 1,Ｂウェザｰサイド, 74,秋山真, 1.1, 72,* 14, -22, 4,  9.1,⑤④⑤, 6, 6,Ｈキｰネプチュｰン, 69,長谷川, 1.0, 71,   6,   5,11,156.4,⑨⑨⑧
 7, 3,Ｇマイネルシュベルト, 44,大野拓, 0.7, 49, -15,  -5, 6, 32.7,⑤⑧⑨, 7, 1,Ｄシルキｰバロン, 58,池添謙, 1.4, 61,  -3,   5, 2,  4.2,⑪⑨⑦, 7, 8,Ｊスマｰトスペンサｰ, 67,安藤勝, 1.1, 72,* 15, -25, 7, 20.7,②②②, 7, 1,Ｄイマカツタイガｰ, 74,柴原央, 1.2, 70,   9,  -4, 6, 31.0,⑥⑤④
 8,11,Ａマギストラ, 59,藤田伸, 0.7, 48, -13,  -6, 1,  1.7,⑥⑥⑦, 8, 8,Ｈデルマアウレリア, 53,田中博, 2.7, 54,  -4,  -3,13,293.1,⑫⑩⑨, 8,11,Ｄブラボｰジャングル, 70,荻野琢, 1.1, 71,* 15, -25, 9, 21.6,①①①, 8, 4,Ｂプロヴィデンス, 80,四位洋, 1.2, 69,   6,   1, 1,  2.7,⑫⑧⑦
 9, 7,Ｋレベルスピリット, 35,西村太, 0.7, 53, -19,*  5,12,206.7,⑪⑬⑬, 9, 7,Ｃリヴァプｰルシチｰ, 59,和田竜, 2.8, 53,  -3,  -7, 4,  7.6,⑤⑦⑧, 9, 9,Ｃマｰチインパクト, 71,古川吉, 1.7, 68,  12, -27, 6, 16.1,⑨⑧⑩, 9, 8,Ｃキングスリｰジョン, 75,藤田伸, 1.3, 71,   4,   5, 4,  9.3,⑩⑫⑪
10, 9,Ｆマリア, 44,四位洋, 1.2, 44, -16,  -9, 7, 36.0,⑩⑩⑧,10,13,Ｇグランディソニアン, 56,大野拓, 3.4, 44,  -6,  -9, 5, 11.1,⑧⑪⑪,10, 2,Ｌマイネヴィント, 64,和田竜, 1.8, 67,* 13, -32, 5, 14.3,③③④,10,13,Ｅコスモフォｰス, 73,木幡初, 1.9, 63,  10, -11, 3,  4.0,⑤④⑤
