10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂフレイムヘイロｰ, 53,福永祐,, 58,   0,  -3, 3,  6.1, ②③, 1, 7, スカラブレイ,---,福永祐,, 63,* -6,*  2, 2,  3.5, ②②, 1, 7,Ｂトウショウフリｰク, 67,小牧太,, 71,*  4,  -1, 2,  4.5,②②①, 1, 1,Ｂインバルコ, 89,ホワイ,, 90,   8,* 24, 1,  2.5,③④④
 2, 5,Ｅマスタｰグレイマン, 43,浜中俊, 0.1, 57,   0,  -4, 6, 19.4, ③④, 2,11, メイショウナルト,---,幸英明, 0.4, 58,* -7,* -2, 1,  2.1, ③③, 2, 5,Ｃゴｰゲッタｰ, 66,ホワイ, 0.2, 69,*  2,*  1, 3,  5.5,④④③, 2,13,Ａゴｰルデンチケット, 90,武豊  , 0.0, 89,*  9,* 22, 2,  2.5,④③③
 3,10,Ａエｰティｰガンダム, 57,幸英明, 0.3, 54,*  2, -10, 1,  1.4, ①①, 3, 6, テイエムラブパワｰ,---,松田大, 0.5, 56,* -5,  -6, 9, 34.0, ①①, 3, 3,Ａオｰシャンキャスト, 74,福永祐, 0.4, 68,   0,*  2, 1,  2.1,⑥⑥④, 3,12,Ｆディアプリンシパル, 83,北村友, 1.0, 85,   8,  17, 6, 16.7,⑥⑦⑤
 4, 2,Ｃエｰシンチャｰジ, 50,北村友, 0.3, 54,  -2,  -6, 2,  5.8, ④②, 4, 2, エムオｰストロング,---,熊沢重, 1.0, 50, -10,  -7,11, 56.6, ⑤④, 4,13,Ｍテンシノオリジナル, 52,中村将, 0.8, 64,  -2,*  1,14,321.9,⑧⑩⑪, 4, 9,Ｇスｰサンライダｰ, 83,国分恭, 1.1, 83,* 11,  10, 7, 23.9,①①①
 5, 8,Ｄキャンベル, 44,高橋亮, 0.4, 53,  -7,* -2, 5, 16.2, ⑥⑤, 5, 3, カレンデイムｰン,---,北村友, 1.2, 47, -10, -10, 3,  7.0, ⑥⑦, 5, 8,Ｅメジロチェスタｰ, 60,高橋智, 0.8, 65,  -1,   0, 8, 47.4,⑨⑨⑨, 5, 5,Ｃピｰスキｰパｰ, 86,藤岡康, 1.2, 84,   6,  18, 5, 15.2,⑧⑨⑧
 6, 6,Ｆアサヒチェリｰ, 42,高倉稜, 0.6, 50,  -8,  -3, 4, 15.2, ⑦⑥, 6, 8, シゲルリジチョウ,---,松山弘, 1.6, 41, -22,  -3,10, 36.1, ⑬⑬, 6,15,Ｇサトノサウザｰ, 60,武豊  , 1.1, 60,   0,  -8, 4,  7.5,⑩⑧⑧, 6,10,Ｋコウジンアルス, 81,太宰啓, 1.4, 79,* 10,   9, 9, 31.2,②②②
 7, 4,Ｈスプリングディナン, 32,鷹野宏, 1.1, 43, -18,*  0, 9,146.0, ⑨⑧, 7, 9, マイネルハミルトン,---,国分恭, 1.6, 42, -14, -11, 8, 30.3, ⑪⑩, 7,14,Ｎテｰオｰケンシン, 47,藤岡康, 1.1, 62,  -6,*  4,12,177.8,⑮⑭⑭, 7,15,Ｎリリｰハｰバｰ, 78,野元昭, 1.4, 80,   7,  13,16,293.8,⑦⑤⑥
 8, 9,Ｇメイショウツルギ, 38,飯田祐, 2.1, 30,  -3, -28, 7, 59.1, ⑤⑦, 8,13, シゲルヒラシャイン,---,高倉稜, 1.7, 41, -18,  -8,12, 63.3, ⑫⑫, 8, 9,Ｉシルクエロｰジュ, 59,金折知, 1.3, 58,*  4, -17,13,296.9,③③⑤, 8, 4,Ｈマイエンブレム, 83,松田大, 1.5, 83,   6,  15, 3, 12.0,⑬⑪⑪
 9, 3,Ｉコウトクリュウ, 24,国分恭, 4.3,  2, -18, -42, 8, 91.6, ⑧⑨, 9, 5, ゲッカビジン,---,太宰啓, 1.7, 41, -14, -12, 4, 16.8, ⑩⑧, 9, 4,Ｆブレｰドランナｰ, 60,松山弘, 1.4, 56,  -3,  -6,11,127.0,⑫⑫⑬, 9,16,Ｉシルクダイナスティ, 83,赤木高, 1.5, 80,   7,  15, 8, 26.9,⑨⑩⑨
