10年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂパティオ, 42,鈴来直,, 46, -17,*  4, 1,  2.8, ⑩⑨, 1, 5, スギノエンデバｰ,---,福永祐,, 72,   2,*  4, 1,  1.6, ③③, 1,14,Ａドミネｰタｰ, 67,佐藤哲,, 61,   4,* -3, 1,  2.6,⑪⑦⑥, 1, 2,Ａミキノバンジョｰ, 81,太宰啓,, 75,   9,*  7, 1,  2.5,⑤⑤⑤
 2,15,Ｄコウエイライト, 39,幸英明, 0.2, 44, -14,  -1, 3,  5.2, ⑦⑥, 2, 7, グレｰトヴァリュｰ,---,和田竜, 0.3, 68,  -9,* 10, 2,  5.5, ⑥⑤, 2,12,Ｄマイネルタイクｰン, 61,和田竜, 0.1, 62,*  9, -11, 4, 10.1,③③③, 2, 9,Ｇキクカタキシｰド, 69,幸英明, 0.0, 76,   8,* 10, 6, 17.5,⑥⑧⑧
 3, 1,Ｇクリノマキバオｰ, 33,山口勲, 0.2, 43, -12,  -4, 7, 43.6, ③③, 3, 3, エｰティｰランボｰ,---,幸英明, 0.5, 65,   0,  -1, 3,  6.8, ④④, 3, 7,Ｂサトノケンオｰ, 63,松山弘, 0.2, 59,* 10, -16, 6, 12.5,②②②, 3, 8,Ｉハｰマジェスティ, 65,小林慎, 0.6, 69,* 10,  -4, 8, 48.7,④③④
 4,16,Ａテイエムオイチ, 42,佐久間, 0.3, 43,* -7,  -8, 5,  8.7, ②②, 4, 1, ナムラエバｰグリン,---,太宰啓, 1.1, 57,*  4, -13, 5, 13.4, ①①, 4, 3,Ｅダノンゲットウィン, 61,福永祐, 0.3, 61,   6,  -8, 2,  3.4,⑥⑥⑤, 4, 4,Ｆウィッシングデュｰ, 71,高倉稜, 0.6, 68,* 12,  -7, 5, 16.2,①①①
 5,12,Ｃマサシ, 41,高倉稜, 0.4, 40, -12,  -7, 2,  3.1, ⑤④, 5, 9, ビップセンノセン,---,国分恭, 1.4, 54,*  3, -16, 6, 26.2, ②②, 5,13,Ｋドントキリシマ, 53,川島信, 0.4, 60,   4,  -7,15,233.8,⑨⑨⑦, 5, 3,Ｅトムウィンズ, 72,浜中俊, 0.7, 69,   8,   0, 7, 22.2,⑦⑦⑦
 6, 8,Ｊテイエムタマゲタ, 29,赤木高, 0.7, 37, -26,*  2, 8, 45.4, ⑬⑬, 6, 2, キクノルナ,---,野元昭, 2.3, 42, -12, -13,10,147.0, ⑦⑦, 6, 9,Ｃメイショウアカギ, 63,高橋亮, 0.4, 59,   3,* -6, 8, 21.2,⑧⑩⑧, 6, 1,Ｃロｰドアルファｰド, 76,福永祐, 0.9, 67,   9,  -5, 4,  5.9,②④③
 7, 3,Ｐホワイトシャｰク,  9,高橋亮, 0.7, 38, -17,  -5,10,100.2, ⑨⑧, 7, 8, ドンウイング,---,北村友, 2.5, 40, -12, -15, 8, 62.8, ⑧⑧, 7,16,Ｊファンドリアスカ, 55,幸英明, 0.7, 57,   3,  -8, 3,  6.9,⑬⑫⑬, 7, 6,Ｂロザリオ, 77,小牧太, 1.0, 66,  10,  -6, 3,  4.6,⑧⑥⑥
 8, 6,Ｋテイエムヒットンダ, 29,和田竜, 0.8, 36, -15,  -9,11,123.6, ⑥⑦, 8, 4, シゲルチョウサヤク,---,高倉稜, 2.9, 35, -31,  -1, 7, 47.8, ⑩⑩, 8, 5,Ｌトキノイタダキ, 49,荻野要, 0.8, 55,   1,  -8,11,146.1,⑩⑪⑫, 8, 7,Ｈトウカイオｰロラ, 68,和田竜, 1.0, 66,* 11,  -9, 2,  3.6,③②②
 9, 4,Ｌキリシマガｰル, 26,渡辺薫, 0.8, 36,* -6, -17,12,134.2, ①①, 9,10, ミスタｰガラメキ,---,川田将, 3.0, 34,  -1, -32, 4,  8.9, ⑤⑥, 9, 8,Ｆタガノタッセル, 60,太宰啓, 0.8, 56,   2,  -8, 7, 18.9,⑮⑬⑨, 9, 5,Ｄビｰドラスティック, 72,石橋守, 4.7, 34,   2, -41, 9, 95.8,⑨⑨⑨
10,11,Ｍテイエムヤチャボｰ, 25,太宰啓, 1.2, 30, -21,  -8,15,227.8, ⑫⑪,10, 6, ナムラダッシュ,---,山口勲, 4.3, 16, -30, -22, 9, 68.6, ⑨⑨,10,10,Ｈファコンドｰ, 58,小牧太, 0.8, 56,   2,  -7, 9, 46.5,⑫⑭⑭,,,,,,,,,,,,
11,10,Ｈカシノババロア, 30,大下智, 1.5, 26, -20, -13,13,192.1, ⑪⑩,,,,,,,,,,,,,11, 1,Ｎトップスマイル, 47,川田将, 1.1, 54,   8, -22,13,179.5,④④④,,,,,,,,,,,,
12, 5,Ｆナンゴクノゴルゴ, 34,小牧太, 1.5, 28, -33,*  0, 6, 22.9, ⑯⑮,,,,,,,,,,,,,12, 4,Ｍシｰセラピス, 47,大下智, 1.3, 50,   4, -19,16,240.4,⑦⑧⑪,,,,,,,,,,,,
13, 7,Ｅテイエムオジャンセ, 38,高井彰, 1.7, 24, -10, -24, 4,  8.2, ④⑤,,,,,,,,,,,,,13,15,Ｉブラウンビリオン, 58,高倉稜, 1.4, 49,   6, -24,10, 59.6,⑤⑤⑩,,,,,,,,,,,,
14,14,Ｎカシノラム, 22,国分恭, 1.7, 25, -33,  -3,14,207.2, ⑮⑭,,,,,,,,,,,,,14, 6,Ｏアインファルケ, 41,鷹野宏, 1.5, 48,   0, -14,14,211.1,⑭⑮⑮,,,,,,,,,,,,
15,13,Ｏダンツグリｰ, 20,北村友, 1.8, 23, -31,  -6,16,260.5, ⑭⑯,,,,,,,,,,,,,15,11,Ｐヤマカツダイリュウ, 40,山口勲, 1.7, 46,  -7,* -4,12,176.5,⑯⑯⑯,,,,,,,,,,,,
16, 2,Ｉテイエムライチョウ, 29,田中健, 1.8, 23, -17, -19, 9, 53.4, ⑧⑫,,,,,,,,,,,,,16, 2,Ｇヤサワ, 59,藤岡康, 2.0, 42,* 10, -41, 5, 11.8,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,
単勝:280円 複勝:09=130円 15=160円 01=700円 枠連:530円,,,,,,,,,,,,単勝:160円 複勝:05=110円 07=130円 03=150円 枠連:440円,,,,,,,,,,,,"単勝:260円 複勝:14=130円 12=280円 07=320円 枠連:1,750円",,,,,,,,,,,,"単勝:250円 複勝:02=140円 09=370円 08=690円 枠連:1,570円",,,,,,,,,,,
"馬連:800円 ワイド:09-15=400円 01-09=1,660円 01-15=2,230円",,,,,,,,,,,,馬連:410円 ワイド:05-07=180円 03-05=220円 03-07=380円,,,,,,,,,,,,"馬連:1,690円 ワイド:12-14=650円 07-14=570円 07-12=1,500円",,,,,,,,,,,,"馬連:2,050円 ワイド:02-09=750円 02-08=1,870円 08-09=3,650円",,,,,,,,,,,
"馬単:1,260円 3連複:7,260円 3連単:25,740円",,,,,,,,,,,,"馬単:550円 3連複:610円 3連単:1,650円",,,,,,,,,,,,"馬単:2,560円 3連複:4,450円 3連単:20,630円",,,,,,,,,,,,"馬単:2,960円 3連複:20,240円 3連単:79,470円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,久留米特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａグランスカイ, 62,和田竜,, 72,*  4,*  5, 4,  7.4, ①①, 1, 5,Ｇサマｰベニング, 58,藤岡康,, 61,* -3,   2, 4, 10.0,①①①, 1,14,Ｆベネラ, 67,熊沢重,, 75,*  8,*  8, 2,  6.1, ②②, 1, 8,Ａゴｰルドスミス, 80,和田竜,, 75,   3,   9, 1,  3.5,④④③
 2,11,Ｇルｰニｰ, 55,渡辺薫, 0.8, 63,*  2,  -1, 9, 15.2, ③③, 2, 8,Ｂキモンピンキｰ, 63,和田竜, 0.3, 60,  -5,*  3, 8, 18.7,⑤⑤④, 2,10,Ｄウインライラ, 70,浜中俊, 0.6, 67,   4,   6, 3,  6.1, ③④, 2, 5,Ｅエｰシンカハナモク, 73,川田将, 0.0, 75,   4,* 11, 5,  6.5,⑥⑤⑤
 3, 7,Ｅホッコｰイェｰガｰ, 59,国分恭, 1.0, 61,*  2,  -3, 7, 11.6, ②②, 3,11,Ｄオｰパスクイｰン, 62,北村友, 0.3, 58,* -4,   1, 1,  2.8,②②②, 3, 3,Ａエイシンマロニエ, 78,福永祐, 0.6, 66,*  8,   3, 1,  1.7, ①①, 3, 9,Ｄファイナルパンチ, 73,小牧太, 0.0, 73,   2,* 13, 6, 10.7,⑨⑨⑧
 4,13,Ｆカシノハクリュウ, 55,幸英明, 1.0, 59,  -1,  -1, 3,  5.6, ⑤⑤, 4,12,Ｈビップピュアレディ, 56,幸英明, 0.4, 59,  -4,   3, 5, 11.2,⑨⑥⑦, 4, 2,Ｇペプチドルパン, 67,佐藤哲, 0.6, 67,   2,   6, 4, 10.8, ④③, 4, 4,Ｊメイショウシンドウ, 69,浜中俊, 0.3, 72,   3,   7,12, 85.6,③③④
 5,10,Ｂサマｰアイ, 62,浜中俊, 1.0, 60,  -7,   4, 6,  8.4, ⑧⑧, 5, 9,Ｍトロピカルスイｰツ, 42,杉村一, 0.5, 58,  -6,*  5,15,316.7,⑬⑪⑩, 5, 8,Ｌブルｰデライト, 62,国分恭, 1.1, 62,   1,   3,11, 87.4, ⑤⑤, 5, 2,Ｃアキノグロｰブ, 74,福永祐, 0.6, 69,   2,   6, 2,  4.5,⑤⑥⑦
 6, 9,Ｄマリンバラッド, 60,川島信, 1.2, 55, -15,*  7, 5,  7.6, ⑪⑫, 6,15,Ａマルヨシャトル, 66,浜中俊, 0.6, 56,* -4,  -1, 3,  5.7,④③③, 6, 4,Ｊエｰティｰショパン, 66,田中健, 1.1, 62,  -5,   6,10, 61.1, ⑨⑩, 6, 6,Ｆダンツブラボｰ, 71,松山弘, 0.6, 69,*  4,   3, 3,  5.7,②②②
 7,14,Ｈラメラメ, 55,藤岡康, 1.3, 57,  -5,  -1, 8, 12.7, ⑦⑦, 7,14,Ｅカワカミショコラ, 62,川島信, 0.7, 55,  -7,   2, 9, 34.0,⑩⑩⑨, 7,13,Ｋアスタｰクリス, 63,石橋守, 1.3, 60,  -3,   4,14,200.5, ⑧⑧, 7,12,Ｈオウケンマジック, 70,高倉稜, 0.6, 70,   1,   9, 4,  5.9,⑦⑩⑩
 8, 3,Ｋカレンマｰガレット, 40,北村友, 1.3, 58,   0,  -3,11, 56.1, ④④, 8,13,Ｃダノンボンジュｰル, 63,国分恭, 0.8, 55,  -5,  -1, 6, 11.7,⑦⑦⑤, 8, 7,Ｃメイショウタカチホ, 70,高橋亮, 1.4, 57,  -7,   6, 5, 14.9, ⑫⑨, 8,13,Ｋムｰンテンダｰ, 68,上野翔, 0.9, 67,   2,   3, 7, 18.8,⑩⑦⑥
 9, 2,Ｃエイチケイパレス, 61,小牧太, 1.6, 50, -16,   3, 1,  4.6, ⑫⑪, 9, 1,Ｋウィステリアアｰチ, 47,鮫島良, 1.2, 53,  -5,  -5, 2,  4.4,③④⑥, 9, 5,Ｈエｰシンテュポｰン, 66,和田竜, 1.5, 56, -13,*  8, 9, 45.1, ⑭⑬, 9, 1,Ｌセフティファントム, 67,幸英明, 1.0, 67,   2,   4,11, 80.5,⑧⑧⑨
