10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａカノヤキャプテン, 61,福永祐,, 57, -11,*  8, 1,  1.4, ④③, 1, 7, ジンクアッシュ,---,和田竜,, 57, -18,*  7, 1,  1.9, ③③, 1,15,Ｏスマｰトグリッド, 46,小牧太,, 71,* -7,* 14, 7, 17.2,⑭⑥④, 1,13,Ｄキャトルキャｰル, 79,浜中俊,, 78,  -3,* 25, 4,  6.3,⑭⑬⑫
 2, 4,Ｅシゲルチョウカン, 45,熊沢重, 0.3, 53,* -8,   2, 5, 20.9, ①①, 2, 4, カラフルデイズ,---,福永祐, 0.6, 49,*-16,  -2, 2,  3.0, ②②, 2, 9,Ｂマグニフィセント, 69,幸英明, 0.1, 74,  -7,* 17, 1,  2.1,⑪⑨⑥, 2,11,Ａタガノアッシュ, 82,赤木高, 0.2, 74,   2,  15, 3,  6.0,③③③
 3, 5,Ｃツルマルワンピｰス, 48,高倉稜, 0.3, 52, -13,*  5, 3,  6.4, ③⑤, 3, 2, ブロンドスキｰ,---,高倉稜, 0.9, 44,*-17,  -6, 6, 25.4, ①①, 3,13,Ａモｰガンルフェイ, 72,鮫島良, 0.1, 73,  -8,* 17, 2,  3.6,⑩⑩⑨, 3, 2,Ｊミコノス, 76,国分恭, 0.5, 73,   0,  15, 6, 10.4,⑤⑥⑤
 4, 2,Ｉエｰシンギムレット, 29,川田将, 0.8, 47, -15,   2, 6, 30.9, ⑧⑧, 4, 5, エｰシンヒットマン,---,藤岡康, 0.9, 44, -22,  -1, 3,  5.8, ⑤⑤, 4,17,Ｊサｰベルダンス, 55,浜中俊, 0.4, 72,  -9,* 16, 4, 15.0,⑰⑬⑧, 4, 8,Ｂキアｰロ, 82,田中克, 0.5, 73,  -2,  18, 7, 39.7,⑨⑨⑧
 5, 9,Ｂテイエムラブパワｰ, 57,松田大, 0.8, 46,*-10,  -4, 2,  6.1, ②②, 5, 8, サカジロキング,---,野元昭, 1.3, 40, -19,  -8, 7, 53.7, ④④, 5,16,Ｆメイショウブソン, 61,高橋亮, 0.5, 70,  -9,* 14, 8, 21.1,⑫⑭⑫, 5, 6,Ｋビッグロｰズ, 74,高倉稜, 0.6, 70,   0,  13,10, 79.3,⑥⑤④
 6, 1,Ｇユメハナ, 39,和田竜, 1.3, 40, -14,  -6, 7, 49.1, ⑥④, 6, 6, シゲルソウトク,---,北村友, 2.1, 29, -28, -10, 5, 17.1, ⑦⑦, 6,18,Ｄアグネスジルバ, 66,国分恭, 0.7, 60,* -4,  -2, 5, 15.1,①①①, 6,12,Ｃレッドサｰパス, 79,小牧太, 0.8, 69,  -2,  16, 1,  3.3,⑩⑩⑩
 7, 3,Ｄミスチフキッツ, 45,太宰啓, 1.4, 38, -16,  -5, 4, 16.5, ⑨⑨, 7, 1, プレジデントペスカ,---,石橋守, 2.3, 26, -31, -10, 4, 13.5, ⑧⑥, 7,14,Ｃイカイカブラウン, 67,川田将, 1.0, 59,* -7,  -2, 3,  8.9,②②②, 7,10,Ｇヒカリアスティル, 77,北村友, 0.8, 72,  -3,  18, 5,  7.2,⑪⑫⑪
 8, 6,Ｆダイメイロｰド, 43,小林久, 1.6, 36, -14, -10, 8, 78.9, ⑦⑥, 8, 9, テイエムシェイク,---,太宰啓, 3.3, 13, -27, -27, 8,102.9, ⑥⑧, 8,12,Ｈメイケイオｰシャン, 56,中村将, 1.1, 64, -10,  10,17,353.0,⑮⑰⑯, 7, 3,Ｆプリンセスペスカ, 78,幸英明, 0.8, 69,   1,  10, 2,  3.7,④④⑥
 9, 8,Ｈミヤマキリシマ, 34,幸英明, 1.8, 33, -12, -14, 9,142.9, ⑤⑦, 9, 3, カシノエイカン,---,大下智, 3.6, 12, -48, -11, 9,127.0, ⑨⑨, 9, 6,Ｒミスズアムｰル, 43,安藤光, 1.2, 56,* -6,  -3,15,307.1,⑤④③, 9, 7,Ｉウォｰタｰダッシュ, 76,渡辺薫, 0.9, 68,*  3,   5, 8, 40.0,②②②
,,,,,,,,,,,,,,,,,,,,,,,,10, 5,Ｋスノｰボｰル, 50,川島信, 1.3, 57,* -6,  -3,13,195.5,③⑦⑤,10, 4,Ｍリバｰキャッスル, 71,田村太, 1.0, 70,  -3,  16,12, 98.2,⑬⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ｑニシノサンダｰ, 46,和田竜, 1.4, 56,* -5,  -5,14,199.1,⑦⑤⑦,11,14,Ｌアピｰル, 73,酒井学, 1.2, 71,  -5,  17,14,139.1,⑫⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｎエｰティｰボストン, 47,渡辺薫, 1.4, 58,  -9,   1,18,407.7,⑧⑫⑭,12, 9,Ｈブチカマシ, 76,太宰啓, 1.3, 65,  -1,   9,11, 92.0,⑧⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｇエイシンラッシャｰ, 57,今村康, 1.5, 58, -11,   4,10, 58.1,⑯⑯⑮,13, 5,Ｅウォｰタｰリング, 79,安藤光, 1.9, 59,  -2,   6,13,135.5,⑦⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｐテイエムフジスタｰ, 46,熊沢重, 1.8, 51,  -8,  -9,12,133.6,⑥⑧⑩,14, 1,Ｎトランプ, 70,中村将, 2.0, 59,*  4,  -5, 9, 45.1,①①①
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｍアドマイヤアｰチ, 47,藤岡康, 1.8, 54, -12,   1,11, 92.8,⑱⑱⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｌワンダｰソング, 49,野元昭, 1.8, 52, -10,  -3,16,321.3,⑨⑮⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｅカネトシジェラｰチ, 62,太宰啓, 2.1, 48,  -9,  -9, 6, 16.8,⑬⑪⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｉゴッドマジック, 56,福永祐, 3.0, 37,* -7, -29, 9, 42.4,④③⑪,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,
単勝:140円 複勝:07=110円 04=310円 05=170円 枠連:910円,,,,,,,,,,,,単勝:190円 複勝:07=110円 04=110円 02=290円 枠連:220円,,,,,,,,,,,,"単勝:1,720円 複勝:15=310円 09=110円 13=140円 枠連:280円",,,,,,,,,,,,単勝:630円 複勝:13=210円 11=210円 02=310円 枠連:690円,,,,,,,,,,,
"馬連:1,000円 ワイド:04-07=370円 05-07=210円 04-05=880円",,,,,,,,,,,,馬連:230円 ワイド:04-07=140円 02-07=650円 02-04=570円,,,,,,,,,,,,"馬連:1,590円 ワイド:09-15=660円 13-15=940円 09-13=210円",,,,,,,,,,,,"馬連:1,920円 ワイド:11-13=720円 02-13=950円 02-11=920円",,,,,,,,,,,
"馬単:1,370円 3連複:1,590円 3連単:5,830円",,,,,,,,,,,,"馬単:390円 3連複:1,320円 3連単:3,600円",,,,,,,,,,,,"馬単:5,400円 3連複:2,210円 3連単:21,790円",,,,,,,,,,,,"馬単:3,850円 3連複:6,260円 3連単:35,530円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■11R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳥栖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
