10年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂニシノフウウンジ, 50,浜中俊,, 50, -13,*  2, 2,  3.5, ③③, 1, 9, トｰホウペッグ,---,福永祐,, 43, -27,*  1, 1,  1.3, ④③, 1,15,Ａニホンピロエリナ, 68,酒井学,, 67,*  2,   3, 5,  8.2, ③③, 1, 5,Ｇアンノルｰチェ, 79,浜中俊,, 90,* -8,* 32, 5,  7.7,①①①
 2, 7,Ｄオウエイロブロイ, 41,幸英明, 0.0, 50,*-12,   1, 4, 14.1, ②②, 2, 8, レディダイヤ,---,高倉稜, 0.2, 40,*-24,  -4, 7, 40.9, ②①, 2, 8,Ｄユメノカケハシ, 61,浜中俊, 0.1, 66,  -3,*  7, 4,  7.6, ⑦⑧, 2, 4,Ｃダイシンプラン, 81,川田将, 0.1, 90, -10,* 32, 3,  6.0,⑦⑤③
 3, 2,Ａアマノレインジャｰ, 53,国分恭, 0.1, 49,*-11,  -2, 1,  1.5, ①①, 3, 7, アランロド,---,和田竜, 0.3, 40, -30,*  1, 4, 12.0, ⑦⑦, 3, 2,Ｂスナｰクトマホｰク, 66,太宰啓, 0.1, 66,  -6,*  9, 1,  2.4, ⑩⑥, 3, 9,Ｂキングストリｰト, 85,和田竜, 0.6, 84, -11,  28, 1,  2.4,⑨⑧⑦
 4, 3,Ｇスズカアクシオ, 38,川田将, 0.6, 44, -17,  -1, 5, 21.1, ④④, 4, 5, ブルｰライトマリｰ,---,小牧太, 0.4, 38, -26,  -4, 6, 21.8, ⑤⑤, 4,11,Ｆタマモピアス, 58,藤岡康, 0.3, 63,  -6,*  6, 8, 20.2, ⑪⑨, 4, 3,Ａキャプテンベガ, 86,福永祐, 0.7, 83,  -9,  26, 2,  4.4,⑥⑥⑥
 5,10,Ｃスプリングディナン, 43,鷹野宏, 0.9, 40, -25,*  3, 6, 37.0, ⑧⑦, 5, 6, プリティスカイ,---,太宰啓, 0.5, 36, -31,  -1, 9,102.4, ⑥⑥, 5,12,Ｇチャツミムスメ, 56,田中克, 0.3, 63,*  5,  -4,10, 32.3, ①①, 5, 7,Ｉホｰマンアラシ, 74,国分恭, 0.7, 84, -12,  30, 9, 81.5,⑧⑨⑨
 6, 9,Ｅシゲルリジチョウ, 41,田嶋翔, 0.9, 38, -23,   0, 3, 12.0, ⑦⑧, 6, 3, シゲルカカリチョウ,---,川島信, 0.6, 37, -34,*  1, 3, 10.1, ⑧⑧, 6, 4,Ｅファンドリノチカラ, 61,幸英明, 0.3, 63,  -3,   4, 3,  7.4, ⑥④, 6, 1,Ｄニルヴァｰナ, 81,幸英明, 0.8, 80, -10,  23, 4,  6.9,③③④
 7, 1,Ｆドンウイング, 38,北村友, 1.4, 33, -21,  -8, 8, 63.6, ⑥⑥, 7, 4, テイエムキラｰズ,---,国分恭, 0.8, 33, -24, -10, 8, 40.9, ③④, 7, 9,Ｃテイエムゴッド, 66,赤木高, 0.3, 62,*  1,   0, 2,  7.2, ⑤⑦, 7, 2,Ｈシルクネクサス, 75,北村友, 0.8, 81, -11,  26, 7, 37.9,⑤⑦⑧
 8, 8,Ｋシゲルホンブチョウ, -3,松山弘, 1.6, 30, -29,  -3, 7, 59.2, ⑩⑩, 8, 1, ハイフリｰト,---,熊沢重, 2.0, 17, -40, -12, 5, 15.0, ⑨⑨, 8,13,Ｊハナノシンノスケ, 55,高倉稜, 0.5, 60, -13,* 10, 7, 19.5, ⑮⑮, 8, 8,Ｅラインプレアｰ, 80,小牧太, 1.0, 75,* -8,  17, 6, 10.3,④②②
 9, 4,Ｊフェスタワｰルド,  1,太宰啓, 1.9, 28, -37,   1,11,214.6, ⑪⑪, 9, 2, ヒロガｰデン,---,幸英明, 2.5, 10,*-23, -35, 2,  7.3, ①②, 9,18,Ｈノｰブルエｰス, 56,小林久, 0.8, 57,  -8,   3,12, 92.1, ⑬⑫, 9, 6,Ｆエｰティｰボス, 80,藤岡康, 1.0, 77, -10,  20, 8, 41.5,②④⑤
10, 5,Ｉスズノウルフ,  1,熊沢重, 1.9, 26, -16, -20,10,141.5, ⑤⑤,,,,,,,,,,,,,10, 3,Ｋフラワｰストｰム, 53,福永祐, 1.0, 55,*  3, -10, 9, 20.7, ②②,,,,,,,,,,,,
11,11,Ｈシゲルフクサンジ, 10,酒井学, 2.0, 25, -23, -13, 9,116.3, ⑨⑨,,,,,,,,,,,,,11,16,Ｒカンファｰリニア, 35,北村友, 1.1, 53, -14,   4,16,330.2, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｍスタｰマｰチ, 47,川田将, 1.2, 52,*  1, -12, 6, 11.7, ④⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｉオｰゴンキップ, 55,和田竜, 1.2, 51,  -5,  -7,11, 66.5, ⑨⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｌコイハテサグリ, 48,渡辺薫, 1.2, 52,  -9,  -3,14,198.1, ⑫⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｎロングチャイム, 45,鷹野宏, 1.4, 49,  -2, -12,17,550.3, ⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｑシｰラプソディｰ, 38,安藤光, 1.8, 42, -20,   0,18,603.1, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｏキョウワサムライ, 43,国分恭, 3.0, 27, -28,  -8,15,319.2, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｐワキノレジｰナ, 40,松山弘, 3.4, 22, -35,  -7,13,150.7, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,
"単勝:350円 複勝:06=110円 07=220円 02=100円 枠連:2,340円",,,,,,,,,,,,"単勝:130円 複勝:09=110円 08=640円 07=200円 枠連:1,360円",,,,,,,,,,,,"単勝:820円 複勝:15=220円 08=180円 02=120円 枠連:1,310円",,,,,,,,,,,,"単勝:770円 複勝:05=200円 04=180円 09=130円 枠連:2,290円",,,,,,,,,,,
"馬連:2,440円 ワイド:06-07=370円 02-06=120円 02-07=330円",,,,,,,,,,,,"馬連:1,980円 ワイド:08-09=740円 07-09=250円 07-08=1,850円",,,,,,,,,,,,"馬連:2,500円 ワイド:08-15=650円 02-15=450円 02-08=320円",,,,,,,,,,,,"馬連:1,990円 ワイド:04-05=590円 05-09=380円 04-09=350円",,,,,,,,,,,
"馬単:4,200円 3連複:530円 3連単:7,560円",,,,,,,,,,,,"馬単:2,380円 3連複:2,760円 3連単:11,730円",,,,,,,,,,,,"馬単:5,500円 3連複:1,760円 3連単:16,560円",,,,,,,,,,,,"馬単:4,410円 3連複:1,780円 3連単:13,700円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,筑後川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａラガｰラブリン, 71,幸英明,, 63,  -2,   3, 1,  3.7,⑥⑨⑦, 1, 6, マイネジャンヌ,---,和田竜,, 47, -27,*  7, 3,  5.5,③④④, 1, 5,Ｍメイショウシェイク, 54,飯田祐,, 72,*  2,*  7, 2,  4.3, ①①, 1,11,Ｂラインドリｰム, 77,幸英明,, 83,   3,* 23, 1,  2.1,⑨⑨④
 2, 5, センタｰバｰジニｰ,---,福永祐, 0.0, 62,  -3,*  5, 9, 30.1,⑩⑪⑪, 2, 9, サチノパｰトナｰ,---,小牧太, 0.1, 44, -28,   5, 1,  3.3,⑥⑤⑤, 2, 7,Ｄシゲルソウウン, 67,田嶋翔, 0.0, 72,*  1,*  8, 4,  8.2, ②②, 2,10,Ｃテイエムシバスキｰ, 72,赤木高, 0.4, 74,*  7,   8, 4,  7.9,②①①
 3,14,Ｋスｰパｰレディｰ, 51,藤岡康, 0.1, 62,*  0,   0,11, 45.7,④③③, 3,11, リリｰファイアｰ,---,松山弘, 0.1, 43,*-26,   3, 6,  8.2,④③③, 3, 8,Ｂサマｰラグｰン, 68,上野翔, 0.2, 70,*  1,   6, 3,  5.1, ③③, 3, 3,Ａタムロスカイ, 78,福永祐, 0.6, 75,   2,  14, 2,  3.5,⑦⑧⑤
 4, 2,Ｃピサノアウロｰラ, 66,小牧太, 0.4, 58,  -3,   2, 2,  3.7,⑨⑩⑩, 4, 7, ヒットザタｰゲット,---,福永祐, 0.3, 47, -32,* 11, 2,  4.7,⑪⑫⑪, 4, 1,Ｃペプチドルパン, 68,川田将, 0.3, 69,  -2,*  7, 1,  3.5, ⑦④, 4, 4,Ｄロｰズリパブリック, 70,小牧太, 1.0, 71,   4,   8, 5, 11.9,⑥⑥⑦
 5, 1,Ｍミヤビリｰティｰ, 42,安藤光, 0.4, 57,  -4,   4,16,306.4,⑫⑬⑬, 5, 5, インペリアルピサ,---,川田将, 0.4, 43, -29,   4, 5,  7.7,⑩⑥⑦, 5, 9,Ｇインタレスティング, 60,浜中俊, 0.9, 62,  -7,   5, 7, 18.5, ⑪⑪, 5, 9,Ｈマルカゴクウ, 66,浜中俊, 1.0, 72,   0,  14, 7, 39.7,⑬⑫⑨
 6,16, レインボｰロｰズ,---,北村友, 0.5, 61,  -5,*  5,13,103.6,⑮⑮⑭, 6,12, マｰティンジｰン,---,渡辺薫, 0.6, 37,*-26,  -4,12,116.7,②②②, 6, 6,Ｉオｰミフォレスト, 59,幸英明, 1.0, 60, -13,*  8,12, 83.3, ⑫⑫, 6, 8,Ｅカネトシスラｰヴァ, 70,藤岡康, 1.1, 71,   3,   9, 3,  6.8,⑧⑩⑧
 7, 8,Ｌメイショウフント, 47,飯田祐, 0.5, 61,  -7,*  9,15,215.6,⑯⑯⑯, 7,13, シゲルシュジ,---,国分恭, 0.7, 39, -29,   1, 9, 47.4,⑤⑦⑥, 7,12,Ｊチタニウムヘッド, 57,鮫島良, 1.2, 60,  -5,   1,10, 41.1, ⑩⑩, 7,12,Ｊアｰスコンシャス, 62,渡辺薫, 1.2, 71,   0,  12,13,157.6,⑪⑪⑪
 8, 4,Ｅナムラジョイ, 64,渡辺薫, 0.5, 59,  -1,  -2, 4,  6.5,⑦⑦⑧, 8, 3, コウエイニコニコ,---,幸英明, 1.2, 32, -29,  -6, 4,  7.0,⑧⑧⑧, 8,13,Ａオｰミレイライン, 69,太宰啓, 1.3, 58,  -1,  -3, 6,  9.1, ⑥⑤, 8, 7,Ｉヴィジレ, 65,和田竜, 1.3, 67,   4,   0, 6, 19.0,⑤⑤⑥
 9,13,Ｈラガｰチェイス, 57,国分恭, 0.5, 60,  -1,  -2, 6, 10.7,⑪⑧⑨, 9, 8, ハｰドピｰニャ,---,北村友, 1.6, 26, -29, -11,13,179.8,⑫⑨⑨, 9, 3,Ｎスタｰペスレイコ, 45,和田竜, 1.3, 60,  -3,  -1,11, 65.8, ⑨⑨, 9, 1,Ｆサンダｰセブン, 68,川田将, 1.5, 65,*  6,  -5, 8, 64.9,③②②
10,10,Ｇスクルｰド, 61,太宰啓, 0.5, 57,  -1,  -3, 7, 16.1,⑧⑤④,10,10, ゼンノパｰシヴァル,---,松田大, 1.7, 20,*-25, -21,11, 69.4,①①①,10,10,Ｆキンシニュｰストン, 64,赤木高, 1.5, 55, -13,   4,13, 89.7, ⑬⑭,10,13,Ｋメイショウケンロク, 61,高橋亮, 1.5, 67,   0,  10,10,111.9,⑫⑬⑫
11,11,Ｂパキッシュ, 69,和田竜, 0.8, 58,*  1,  -7, 3,  6.4,③②②,11, 2, シゲルシテンチョウ,---,飯田祐, 2.0, 22, -31, -15,10, 65.4,⑨⑪⑩,11,14,Ｋシゲルヤリガタケ, 56,酒井学, 1.7, 59,   0,  -4, 8, 23.6, ⑧⑧,11, 2,Ｌオｰシャンロｰド, 60,小林久, 2.4, 55,   3, -11,14,180.0,⑩⑦⑩
12, 7,Ｉナリタレジｰナ, 54,松山弘, 0.9, 57,  -4,   0,14,183.9,⑬⑭⑮,12, 1, トラストロック,---,熊沢重, 2.0, 23, -32, -13, 8, 23.8,⑦⑩⑫,12, 4,Ｅシゲルスペランツァ, 64,国分恭, 1.9, 53,  -1,  -8, 9, 30.2, ④⑥,12, 6,Ｇオウハ, 66,熊沢重, 2.7, 52,*  5, -22, 9,101.6,④③③
13, 6,Ｄキモンピンキｰ, 66,高倉稜, 0.9, 55,  -1,  -6, 5, 10.5,②④⑤,13, 4, ピエナノテツジン,---,浜中俊,11.9,-82, -64, -88, 7, 16.2,⑬⑬⑬,13, 2,Ｌアイファｰスペイン, 55,北村友, 1.9, 53, -15,   3,14,284.7, ⑭⑬,13,14,Ｍゲイリｰライアン, 52,北村友, 6.6,  7,*  5, -75,12,147.3,①④⑬
14, 9,Ｊシゲルゴウヒメ, 51,松田大, 1.2, 55,*  1, -11,10, 43.3,①①①,,,,,,,,,,,,,14,11,Ｈタムロガッツ, 59,福永祐, 2.6, 45,  -1, -14, 5,  9.0, ⑤⑦,14, 5,Ｎホッコｰバリキ, 37,飯田祐, 6.8, 21, -10, -43,11,136.1,⑭⑭⑭
15,15,Ｆシェルバレッタ, 62,熊沢重, 2.0, 51,  -3, -12, 8, 23.0,⑭⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12, ピシｰズクイｰン,---,浜中俊, 2.5, 44,  -1, -19,12,100.7,⑤⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
