10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａマスタｰグレイマン, 55,浜中俊,, 70,  -8,* 11, 1,  2.2, ⑥⑥, 1,10, オウケンウッド,---,福永祐,, 46,*-24,   2, 1,  1.6, ②②, 1, 4,Ａシエラネヴァダ, 70,福永祐,, 67,  -2,*  5, 1,  1.7,⑤⑤③, 1, 9,Ｄクリｰン, 88,北村友,, 83,   8,* 21, 2,  7.1,⑥⑥④
 2, 7,Ｂレｰガン, 53,石橋守, 0.2, 67,* -3,   3, 4,  6.2, ②②, 2, 4, シンボリストｰム,---,川田将, 0.1, 45, -29,*  4, 3,  6.9, ⑦⑤, 2,15,Ｃダノンゲットウィン, 64,佐藤哲, 0.1, 62,*  0,  -1, 3,  8.4,②②②, 2, 8,Ｉダイナミックグロウ, 86,熊沢重, 0.1, 84,* 10,  17,13, 91.0,③③②
 3, 2,Ｃピルケンハンマｰ, 52,藤岡康, 0.5, 63,* -2,  -2, 3,  4.8, ①①, 3, 9, ガルネリ,---,藤岡康, 0.1, 45, -27,   3, 8, 35.5, ④⑥, 3, 7,Ｆメイショウオルフェ, 57,太宰啓, 0.2, 63,  -2,   0, 4,  9.9,⑥④⑤, 3, 4,Ａインバルコ, 94,藤岡康, 0.2, 83,   8,  19, 1,  1.7,⑪⑦⑧
 4, 8,Ｄニイハオジュウクン, 52,松田大, 0.7, 61,  -6,  -1, 2,  4.5, ③③, 4,12, シゲルヒラトリ,---,酒井学, 0.2, 41,*-22,  -4, 4,  8.5, ①①, 4, 2,Ｇタッチマイハｰト, 56,酒井学, 0.4, 63,  -7,*  9, 6, 17.3,⑫⑫⑩, 4,14,Ｂスｰサンライダｰ, 91,野元昭, 0.3, 79,* 10,  14, 6, 17.9,①①①
 5, 9,Ｆプレストリガｰ, 47,太宰啓, 0.7, 62,  -9,   4, 5, 13.8, ⑦⑦, 5,11, ノヴェッロ,---,北村友, 0.3, 43, -32,*  6, 5, 28.6, ⑧⑧, 5,10,Ｄカレンパッキャオ, 64,藤岡康, 0.4, 62,  -3,   2, 5, 14.3,⑨⑧⑦, 5, 7,Ｇアドマイヤマジン, 87,福永祐, 0.4, 80,   6,* 20, 3,  8.4,⑧⑩⑦
 6, 4,Ｉロッキｰラクｰン, 33,安藤光, 1.5, 50, -14,  -3, 8, 56.6, ⑨⑨, 6, 3, ユウキオジョウｰ,---,太宰啓, 0.8, 37, -36,   3,10, 66.4, ⑩⑨, 6,16,Ｂマイネルタイクｰン, 65,浜中俊, 0.5, 60,*  1,  -8, 2,  5.9,①①①, 6, 5,Ｎメイショウシャフト, 83,石橋守, 0.8, 78,   9,  13,12, 72.5,⑤⑤⑥
 7, 3,Ｅフェブストｰリｰ, 47,野元昭, 1.9, 45,  -7, -15, 9, 69.3, ④⑤, 7, 6, パｰプルテンリュ,---,荻野要, 0.9, 33, -29,  -6,11, 85.6, ⑤④, 7, 3,Ｉトｰワランマル, 54,松田大, 0.5, 61,  -3,   0,10, 90.9,⑧⑦⑥, 7, 6,Ｌマイプリティワン, 84,小牧太, 0.9, 76,   4,* 20, 5, 12.4,⑭⑭⑭
 8, 5,Ｈメイショウツルギ, 33,飯田祐, 1.9, 45, -11, -11,10, 74.9, ⑧⑧, 8,13, シッポナ,---,高倉稜, 0.9, 32, -26,  -9, 7, 35.1, ③③, 8,13,Ｍエｰケｰコンコルド, 40,北村友, 0.6, 61,  -4,   1,11,137.9,⑩⑨⑨, 8,13,Ｊマルブツリｰド, 85,浜中俊, 0.9, 77,   6,  16, 4, 12.0,⑩⑫⑪
 9, 1,Ｇカシノダンガン, 39,加藤士, 2.2, 40,  -9, -18, 7, 36.0, ⑤④, 9, 2, シゲルリジ,---,川島信, 1.1, 32, -35,  -2, 6, 35.0, ⑨⑩, 9,12,Ｈウインドプレンティ, 56,中村将, 0.6, 59,*  0,  -6,15,311.9,④③④, 9, 3,Ｆエプソムアｰロン, 87,安藤光, 1.1, 71,   8,  11,10, 46.8,④④⑤
