10年 9月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂエｰティｰランボｰ, 65,幸英明,, 61,   5,  -1, 4,  9.5, ④④, 1, 1, オｰスミイｰジｰ,---,渡辺薫,, 63,*  1,  -6, 1,  1.9, ①①, 1, 8,Ｃアヤナルベルス, 75,熊沢重,, 84,* 13,*  8, 1,  3.1, ①①, 1, 8,Ｂブラウンワイルド, 70,浜中俊,, 70,   0,*  5, 1,  3.6, ⑩⑨
 2,13,Ａグレｰトヴァリュｰ, 67,和田竜, 0.1, 59,   4,  -1, 1,  1.8, ⑤⑤, 2, 7, パワフルキリシマ,---,高倉稜, 0.2, 56,  -7,* -1, 5, 11.3, ⑨⑧, 2, 6,Ａグランスカイ, 76,和田竜, 0.6, 74,   7,   6, 2,  4.4, ⑦⑤, 2,14,Ｅシゲルキョクチョウ, 66,幸英明, 0.0, 74,* 10,  -5, 2,  4.2, ①①
 3, 8,Ｈサカジロキング, 40,野元昭, 0.4, 52,  -7,*  6, 6, 48.4, ⑨⑧, 3, 5, シゲルジョウム,---,川島信, 0.5, 53,  -6,  -6, 6, 15.0, ⑦④, 3, 1,Ｄサマｰラグｰン, 73,上野翔, 0.7, 73,   8,   4, 7, 14.9, ⑤②, 3, 7,Ａスギノエンデバｰ, 73,藤岡康, 0.1, 69,   2,   2, 9, 30.0, ⑧⑦
 4, 9,Ｃリバｰロイヤル, 53,藤岡康, 0.7, 50,   1,  -6, 3,  5.7, ⑥⑥, 4,10, ペプチドサファイア,---,荻野要, 0.5, 55,* -1, -12,10, 30.9, ③②, 4,11,Ｇペプチドルパン, 69,佐藤哲, 0.8, 70,   2,*  7, 6, 10.8, ⑧⑧, 4, 2,Ｊトキノゲンジ, 55,安藤光, 0.5, 60,  -7,*  5,11, 37.2, ⑯⑭
 5,14,Ｇシゲルヒラシャイン, 40,酒井学, 0.7, 54,*  9, -14, 7, 72.2, ③②, 5, 8, ミッキｰマスカット,---,小牧太, 0.9, 47,  -6, -12, 3,  8.2, ⑥⑨, 5,12,Ｉウインルナ, 63,高倉稜, 0.8, 72,  10,   2, 8, 19.3, ④④, 5, 5,Ｄテイエムタｰゲット, 66,田嶋翔, 0.6, 64,   6,  -9, 5, 11.1, ④⑤
 6, 5,Ｎリッシンカッポレ,-16,熊沢重, 0.8, 48,  -3,  -4,12,215.8, ⑦⑦, 6, 3, ヴァｰチュスタｰ,---,鮫島良, 1.0, 44, -13,  -6, 4,  9.5, ⑪⑫, 6, 5,Ｂシゲルソウウン, 75,国分恭, 0.9, 71,   8,   2, 4,  7.7, ⑥⑥, 6,17,Ｏバラｰドソング, 47,小牧太, 0.7, 64,*  8, -11, 7, 18.8, ⑤③
 7,10,Ｆスプリングディナン, 41,鷹野宏, 1.3, 40, -19,*  5, 9,117.3, ⑭⑭, 7,12, エンジョイタイム,---,浜中俊, 1.0, 46,  -6, -13, 2,  7.9, ⑧⑥, 7, 2,Ｌインタレスティング, 62,酒井学, 1.4, 62,  -4,   6,11, 71.1, ⑬⑫, 7, 9,Ｋシゲルシャチョウ, 53,松山弘, 0.7, 58, -10,*  5,12, 41.7, ⑰⑰
 7, 2,Ｍダイゴテンリュウ, 21,太宰啓, 1.3, 39, -17,*  3,13,309.8, ⑬⑫, 8, 9, テイエムシルエット,---,和田竜, 1.0, 48,  -2, -17, 8, 22.9, ④⑤, 8, 7,Ｈブルｰデライト, 64,幸英明, 1.5, 62,  -1,   3,10, 69.4, ⑩⑨, 8, 3,Ｉモアグレイス, 56,和田竜, 0.7, 64,*  8, -11, 6, 13.5, ③④
 9, 3,Ｋシゲルソウトク, 28,北村友, 1.5, 38, -15,  -1,10,117.4, ⑫⑬, 9, 6, キンシゴｰルド,---,松山弘, 1.4, 43,* -1, -23, 7, 15.8, ②③, 9, 4,Ｋケイティマイヒメ, 62,太宰啓, 1.6, 60,  -1,   3,13,240.4, ⑪⑩, 9, 4,Ｇカノヤキャプテン, 57,太宰啓, 0.7, 60,   0,  -4, 8, 25.1, ⑨⑩
10, 1,Ｄオウエイロブロイ, 50,浜中俊, 1.6, 41,*  8, -25, 2,  4.0, ①③,10, 4, ドクタｰコジロウ,---,幸英明, 1.6, 38, -12, -14,11, 76.0, ⑫⑩,10,10,Ｅウインライラ, 72,浜中俊, 1.7, 65,  10,  -6, 3,  5.1, ③③,10, 1,Ｆタガノロックオン, 59,松田大, 0.9, 56,  -3,  -4,16,166.1, ⑬⑪
11, 4,Ｅカリスマサンスカイ, 46,高倉稜, 1.6, 41,*  9, -26, 5, 11.9, ②①,11, 2, スカイホｰク,---,川田将, 1.7, 37, -10, -18, 9, 24.7, ⑩⑪,11, 9,Ｊヤマニンフリアンド, 63,田中健, 1.7, 66,  10,  -6,12,137.4, ②⑦,11,16,Ｌラバｰフロｰ, 52,酒井学, 1.1, 57,   2,  -9,15, 84.3, ⑫⑫
12,12,Ｌシゲルマドギワゾク, 22,国分恭, 1.6, 37,  -8,  -9,11,151.8, ⑪⑩,12,14, ハクユウサンサン,---,熊沢重, 1.9, 36,  -3, -27,13,199.4, ⑤⑦,12,13,Ｎシンボリルマン, 53,川田将, 1.8, 59,   2,  -2, 5,  9.7, ⑨⑪,12,15,Ｑトｰホウペッグ, 42,熊沢重, 1.1, 57,   5, -14,13, 49.3, ⑦⑥
13, 7,Ｉカシノテンザン, 34,川島信, 1.9, 34,  -8, -12,14,349.5, ⑩⑪,13,11, カシノマイラヴ,---,中村将, 2.3, 32, -26, -10,14,230.1, ⑬⑬,13,14,Ｍシゲカツワンダフル, 58,金折知, 2.3, 53,  -1,  -5,14,314.6, ⑫⑬,13,13,Ｍホｰマンルッツ, 52,北村友, 1.2, 53,  -6,  -5,14, 49.6, ⑮⑯
14,11,Ｊミッキｰソング, 33,赤木高, 2.4, 26,  -3, -25, 8,106.7, ⑧⑨,14,13, サクラミナクル,---,国分恭, 3.9,-15, -49,  -9,12,133.6, ⑭⑭,14, 3,Ｆマルシゲヨカニセ, 71,松山弘, 5.1, 26, -19, -19, 9, 57.1, ⑭⑭,14,10,Ｎニシノフウウンジ, 50,国分恭, 1.2, 53,  -3,  -8,17,195.9, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｃドレッドノｰト, 68,佐藤哲, 1.3, 55,*  9, -21, 3,  5.9, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｐムジョウ, 45,丹内祐, 1.3, 55,   5, -17,10, 36.8, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｈジンクアッシュ, 56,川田将, 1.3, 53,   1, -13, 4,  7.0, ⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
単勝:950円 複勝:06=200円 13=110円 08=590円 枠連:590円,,,,,,,,,,,,単勝:190円 複勝:01=110円 07=220円 05=310円 枠連:500円,,,,,,,,,,,,単勝:310円 複勝:08=140円 06=190円 01=310円 枠連:410円,,,,,,,,,,,,単勝:360円 複勝:08=140円 14=160円 07=540円 枠連:670円,,,,,,,,,,,
"馬連:590円 ワイド:06-13=240円 06-08=1,930円 08-13=1,020円",,,,,,,,,,,,"馬連:1,070円 ワイド:01-07=420円 01-05=620円 05-07=1,420円",,,,,,,,,,,,"馬連:800円 ワイド:06-08=370円 01-08=640円 01-06=1,290円",,,,,,,,,,,,"馬連:790円 ワイド:08-14=310円 07-08=1,240円 07-14=1,860円",,,,,,,,,,,
