10年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａアドマイヤサガス, 58,川田将,, 60,  -3,* -8, 1,  2.6, ⑧⑧, 1,11, ラプタｰセイハｰト,---,国分恭,, 53,  -3,* -9, 4, 11.9, ⑧⑤, 1,11,Ｂヒシロイヤル, 70,松田大,, 76,   3,*  7, 6, 11.3, ⑧⑦, 1, 6,Ａキャプテントゥｰレ, 90,小牧太,, 86,* 12,  10, 2,  3.1,①①①
 2, 1,Ｆシンボリストｰム, 46,浜中俊, 0.2, 57,*  2, -18, 4,  6.3, ①①, 2, 8, ハネムｰンゴシップ,---,幸英明, 0.3, 51,  -3,*-11, 2,  3.7, ⑦⑥, 2, 3,Ｊアイファｰハイカラ, 59,幸英明, 0.1, 74,*  6,   0,11,132.0, ③②, 2, 9,Ｃプロヴィナｰジュ, 86,佐藤哲, 0.3, 82,  10,   9, 3,  5.2,②③③
 3, 4,Ｄキングフィッシャｰ, 52,福永祐, 0.3, 56,  -1, -15, 2,  3.3, ④④, 3, 5, ビットプレスト,---,佐藤哲, 0.3, 52,*  0, -14, 7, 32.0, ①①, 3, 1,Ｄファミリズム, 69,藤岡康, 0.3, 72,   2,   4, 4,  6.6, ⑥⑧, 3, 3,Ｂアドマイヤメジャｰ, 87,川田将, 0.4, 86,   7,* 17, 1,  1.7,⑧⑦⑦
 4, 3,Ｃアルバ, 55,和田竜, 0.7, 51,*  0, -23, 3,  5.6, ③③, 4, 3, マルコフジ,---,和田竜, 1.2, 43,  -4, -18, 6, 25.2, ⑥⑦, 4, 5,Ｇサイキョウアサカゼ, 62,浜中俊, 0.3, 74,   1,   6, 9, 35.4, ⑨⑨, 4, 5,Ｆベストメンバｰ, 80,福永祐, 0.6, 82,   8,  11, 4, 10.9,⑤⑥⑥
 5,11,Ｅカガタイキ, 51,幸英明, 0.8, 51,  -4, -17, 5, 13.0, ⑨⑨, 5, 6, ダブルエッグ,---,松山弘, 2.1, 36,  -3, -27,10, 95.3, ③⑧, 5, 9,Ｌエｰシンフォｰサン, 51,酒井学, 0.5, 71,  -1,*  7,10, 93.8, ⑫⑫, 5, 7,Ｅニルヴァｰナ, 81,幸英明, 0.6, 82,  11,   7, 5, 61.1,④④④
 6, 6,Ｂタフ, 57,小牧太, 0.8, 50,  -5,*-14, 6, 14.2, ⑪⑩, 6,10, シゲルカイチョウ,---,小牧太, 2.6, 31,* -1, -33, 3,  5.1, ⑤③, 6, 6,Ａロｰズリパブリック, 73,高倉稜, 0.6, 68,   3,  -3, 1,  3.1, ⑦⑥, 6, 8,Ｇホｰマンアラシ, 79,北村友, 0.8, 81,   7,  11, 9,141.4,⑥⑨⑨
 7, 9,Ｇカシノウィンド, 44,松山弘, 0.9, 48,  -3, -21, 7, 40.6, ⑦⑦, 7, 1, カリスマミッキｰ,---,浜中俊, 2.8, 31,  -2, -34, 1,  2.0, ②④, 7, 7,Ｃキンセイポラリス, 70,川島信, 0.6, 74,  -1,*  9, 7, 12.8, ⑭⑬, 7, 1,Ｈエムエスワｰルド, 72,松田大, 1.0, 78,   8,   5, 8,140.7,⑦⑤⑤
 8, 5,Ｊミスチフキッツ, 37,太宰啓, 1.3, 45,  -1, -28, 8, 96.0, ⑤⑤, 8, 7, レッドマロン,---,川田将, 2.8, 31,* -1, -35, 5, 11.9, ④②, 8, 4,Ｅビｰビｰスカット, 68,川田将, 0.7, 67,   4,  -6, 3,  5.5, ⑤⑤, 8, 2,Ｉベンチャｰナイン, 68,渡辺薫, 1.3, 76,   6,   4, 7, 78.6,⑨⑧⑧
 9, 7,Ｌキラウェアミスト, 24,北村友, 1.5, 44,  -9, -17,13,268.1, ⑫⑫, 9, 4, テイエムリニア,---,田中健, 3.5, 29, -20, -17, 8, 72.2, ⑩⑩, 9,13,Ｆアスタｰロｰズ, 63,国分恭, 0.7, 68,   2,  -2, 5, 10.3, ⑩⑩, 9, 4,Ｄドリｰムフライト, 83,酒井学, 1.5, 69,* 12, -11, 6, 69.0,③②②
10,10,Ｈマイネルハミルトン, 43,国分恭, 1.7, 40,  -3, -33,10,100.0, ⑥⑥,10, 2, ロｰドスラッガｰ,---,藤岡康, 3.6, 26,  -7, -34, 9, 74.0, ⑨⑨,10,10,Ｈエリモシｰド, 61,福永祐, 0.8, 66,   4,  -9, 8, 13.7, ④④,,,,,,,,,,,,
11,12,Ｋアサヒチェリｰ, 37,高倉稜, 2.0, 37, -11, -22, 9, 97.8, ⑬⑭,,,,,,,,,,,,,11,12,Ｋメイショウシｰマ, 57,上野翔, 1.3, 61,   1,  -7,12,143.3, ⑪⑪,,,,,,,,,,,,
12,14,Ｍゼンノパｰシヴァル, 21,松田大, 2.1, 36,  -5, -34,11,138.0, ⑩⑪,,,,,,,,,,,,,12, 2,Ｉデパｰル, 60,和田竜, 1.6, 57,*  8, -24, 2,  4.8, ①①,,,,,,,,,,,,
13, 8,Ｎストレｰト, 20,田中克, 3.9, 11, -13, -49,14,299.2, ⑭⑬,,,,,,,,,,,,,13, 8,Ｍクレバｰアグネス, 48,北村友, 2.5, 46,*  6, -35,13,177.5, ②③,,,,,,,,,,,,
14, 2,Ｉキクノルナ, 40,野元昭, 5.5,-11,*  0, -93,12,234.5, ②②,,,,,,,,,,,,,14,14,Ｎシｰラプソディｰ, 41,安藤光, 2.9, 42,  -5, -21,14,602.4, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,
単勝:260円 複勝:13=110円 01=160円 04=130円 枠連:960円,,,,,,,,,,,,"単勝:1,190円 複勝:11=300円 08=170円 05=820円 枠連:560円",,,,,,,,,,,,"単勝:1,130円 複勝:11=360円 03=1,990円 01=310円 枠連:3,120円",,,,,,,,,,,,単勝:310円 複勝:06=110円 09=110円 03=110円 枠連:710円,,,,,,,,,,,
馬連:810円 ワイド:01-13=300円 04-13=200円 01-04=350円,,,,,,,,,,,,"馬連:1,400円 ワイド:08-11=450円 05-11=3,720円 05-08=1,550円",,,,,,,,,,,,"馬連:28,680円 ワイド:03-11=8,810円 01-11=1,280円 01-03=7,540円",,,,,,,,,,,,馬連:700円 ワイド:06-09=170円 03-06=120円 03-09=140円,,,,,,,,,,,
"馬単:1,190円 3連複:900円 3連単:4,480円",,,,,,,,,,,,"馬単:4,100円 3連複:10,520円 3連単:72,180円",,,,,,,,,,,,"馬単:56,600円 3連複:94,170円 3連単:498,330円",,,,,,,,,,,,"馬単:1,180円 3連複:240円 3連単:1,930円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■11R  ダ2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａサマｰアイ, 60,浜中俊,, 61,* -4,*  3, 2,  3.5, ③③, 1,15,Ｂグランドチャペル, 68,川田将,, 64,  -6,* 10, 1,  2.4,⑩⑦⑥, 1,11,Ａツルマルスピリット, 76,小牧太,, 73,* 12,  -3, 1,  1.5,②②②, 1, 7,Ａアドマイヤシャトル, 86,小牧太,, 84,*  8,* 16, 1,  1.5,⑧⑥④
 2, 3,Ｄスタｰマｰチ, 52,川田将, 0.7, 55,* -3,  -5, 4, 10.1, ①①, 2, 3,Ａサクセスシェｰバｰ, 68,飯田祐, 0.4, 60,  -7,*  9, 2,  3.3,⑨⑫⑫, 2, 8,Ｉグッドカレラ, 63,藤岡康, 0.1, 75,  11,  -3,10,173.9,③③③, 2, 8,Ｂトｰセンスタｰン, 82,浜中俊, 0.7, 81,*  8,   9, 2,  4.9,⑤⑤③
 3, 2,Ｈグラスフルｰル, 46,中村将, 0.9, 53,  -6,  -4, 8,107.8, ④⑤, 3, 5,Ｅアドマイヤカグラ, 63,福永祐, 0.6, 56,* -5,   1, 4, 13.1,②②②, 3, 2,Ｄメイショウシャイン, 72,福永祐, 0.1, 75,   7,*  5, 2,  6.4,⑨⑨⑧, 3, 6,Ｄヒカリアスティル, 76,北村友, 1.1, 79,   6,   9, 6, 21.5,⑦⑧⑧
