10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａツルマルワンピｰス, 53,高倉稜,, 63,* 10, -13, 3,  3.6, ①①, 1, 3, トウシンイｰグル,---,柴田善,, 36,*-49,* 13, 1,  3.1, ②②, 1, 5,Ｅサンマルボス, 71,和田竜,, 82,  12,*  3, 1,  3.6,⑤⑤④, 1,11,Ｍダッシャｰゴｰゴｰ, 77,川田将,, 87,   2,* 12, 4,  9.6, ⑧⑥
 2, 4,Ｄガｰルズストｰリｰ, 47,酒井学, 0.0, 63,*  8,  -9, 9, 27.5, ④③, 2,10, セイカプリコｰン,---,和田竜, 0.2, 36,*-49,  11, 2,  4.3, ⑥④, 2, 3,Ｇドンドドｰン, 70,デュプ, 0.1, 78,* 14,  -3, 9, 27.1,②②②, 2, 1, グリｰンバｰディｰ,---,デュプ, 0.0, 88,  -1,* 16, 2,  6.2, ⑨⑫
 3, 9,Ｂクロｰバｰリｰフ, 51,福永祐, 0.3, 58,   3,* -8, 2,  3.4, ⑦⑧, 3, 7, ノヴァグロリア,---,佐藤哲, 0.4, 32, -52,  11, 3,  4.4, ⑦⑦, 3, 2,Ｆヤマニンシャスｰル, 71,田中健, 0.6, 80,  11,   1, 5,  9.3,⑥⑥⑥, 3, 6,Ｈメリッサ, 81,福永祐, 0.2, 84,   0,* 12, 5, 10.2, ⑦⑨
 4, 8,Ｃビッグスマイル, 49,川田将, 0.5, 56,   1,* -6, 1,  3.2, ⑩⑩, 4, 8, ナリタデリゲｰト,---,福永祐, 0.5, 32,*-49,   7, 4,  6.9, ④③, 4,10,Ｂバイオレントナイト, 73,松山弘, 0.8, 77,  12,  -1, 3,  5.1,⑧⑧⑤, 4,13,Ｃヘッドライナｰ, 85,幸英明, 0.4, 80,*  6,   3, 3,  8.2, ②②
 5,15,Ｇマイネプルメリア, 41,幸英明, 0.8, 53,   4, -14, 4, 11.6, ⑧⑥, 5, 4, トップシャイン,---,幸英明, 0.5, 35, -54,* 13, 8, 18.1, ⑩⑩, 5,11,Ｉブリリアントシチｰ, 66,佐藤哲, 1.2, 72,  14, -10, 8, 20.7,③③③, 5, 8,Ｉタマモナイスプレイ, 81,渡辺薫, 0.4, 81,*  5,   4,10, 15.0, ③④
 6,11,Ｈビュｰワｰルド, 40,浜中俊, 0.9, 50,  -2,  -9, 5, 12.1, ⑬⑫, 6, 9, ピｰスフルアｰス,---,太宰啓, 0.6, 31, -52,   8, 9, 22.0, ⑨⑧, 6, 8,Ａシｰクレバｰ, 76,高倉稜, 1.2, 73,   8,*  2, 7, 14.1,⑪⑩⑨, 6,16,Ｂスカイノダン, 85,国分恭, 0.5, 79,*  5,   3, 1,  4.3, ④③
 7, 7,Ｋダンスインザスカイ, 39,北村友, 0.9, 49,  -5,* -5,11,141.2, ⑭⑭, 7, 5, トムコウクン,---,藤岡康, 0.7, 29, -52,   7, 6, 15.3, ⑤⑥, 7, 1,Ｈナリタシルクロｰド, 69,熊沢重, 1.6, 71,* 15, -15, 2,  4.3,①①①, 7, 7,Ｌストリｰトスタイル, 77,浜中俊, 0.5, 82,  -2,  11,11, 22.2, ⑫⑬
 8, 2,Ｅエｰシンギムレット, 46,デュプ, 1.3, 49,* 10, -28, 6, 22.1, ②②, 8, 6, ダンスラナキラ,---,小牧太, 1.1, 25, -54,   4,10, 40.1, ⑧⑨, 8, 4,Ｃメイショウシンドウ, 72,浜中俊, 2.5, 65,  11, -15, 6, 13.6,④④⑦, 8, 9,Ｅサンダルフォン, 84,酒井学, 0.5, 79,  -2,   9, 7, 11.3, ⑩⑪
 9, 3,Ｍユウキオジョウｰ, 36,藤岡佑, 1.5, 44,   2, -22,12,153.9, ⑨⑦, 9, 2, ウエストエンド,---,浜中俊, 1.1, 24, -52,   1, 7, 16.6, ③⑤, 9, 6,Ｄツルマルシルバｰ, 72,幸英明, 2.6, 65,   6,  -6,10, 53.4,⑩⑪⑩, 9,15,Ｋレディルｰジュ, 80,鮫島良, 0.5, 80,   1,   7, 6, 10.8, ⑪⑧
