10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ゆめ半島千葉国体･千葉大会開催記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃフレンドサンポウ, 47,小林淳,, 50,  -8,* -9, 4, 16.5,⑤④③, 1, 5, バルデュソワｰル,---,松岡正,, 51,* -2, -10, 1,  2.5, ①①, 1, 1,Ｂコウヨウサンデｰ, 75,横山典,, 76,   8,*  9, 1,  2.1, ③③, 1, 3,Ｇブルｰミンバｰ, 73,藤田伸,, 82,* -7,* 18, 2,  4.3, ①①
 2,12,Ｂスノｰドラゴン, 51,北村宏, 0.2, 48,* -6, -17, 2,  3.9,②②②, 2,13, フェアユｰス,---,戸崎圭, 0.3, 49,* -4, -11, 2,  2.9, ②②, 2, 7,Ｄトロンプルイユ, 69,藤田伸, 0.0, 77,* 10,*  7, 3,  4.8, ②②, 2, 5,Ｋオモイデサクラ, 71,丸山元, 0.7, 71,* -8,  10, 4,  7.2, ②②
 3,10,Ｇテイエムオオタカ, 39,大庭和, 0.3, 46,* -5, -18, 5, 22.2,①①①, 3,15, ネセサリｰ,---,田辺裕, 0.4, 48, -10,  -5, 3,  8.1, ⑥③, 3,12,Ａレッドハイヒｰル, 79,吉田豊, 0.4, 71,* 17,  -6, 2,  3.6, ①①, 3, 2,Ｅタｰニングポイント, 76,松岡正, 0.7, 73,  -9,  11, 1,  3.9, ③③
 4, 5,Ｋナンヨｰオウトｰ, 29,木幡初, 0.4, 48, -14,* -5,12,195.5,⑩⑬⑫, 4, 4, ベニノダイヤ,---,柴田大, 0.6, 46, -14,  -4, 8, 34.6, ⑧⑦, 4, 5,Ｌトレモロ, 59,平野優, 0.7, 67,   1,   6,11,124.5, ⑧⑧, 4,13,Ｈレイクエルフ, 73,武士沢, 0.7, 73, -13,  15,11, 83.3, ⑥⑦
 5,13,Ａコンプリｰト, 60,吉田豊, 0.4, 45,* -7, -16, 1,  1.8,③③④, 5, 8, アンジュヴォレ,---,丸山元, 0.6, 47, -20,*  2, 6, 15.3, ⑪⑪, 5, 4,Ｆウエスタンディオ, 67,石橋脩, 0.9, 65,  -1,   6, 4, 10.0, ⑫⑫, 5, 9,Ｂホシシャトル, 80,安藤光, 0.8, 72, -19,* 19, 7, 11.1, ⑩⑩
 6,14,Ｆカネコメスキｰ, 42,三浦皇, 0.7, 44, -11, -13,10, 89.1,⑪⑨⑬, 6,14, パライバトルマリン,---,宮崎北, 0.8, 43, -25,*  4,13,137.3, ⑬⑫, 6,13,Ｐシンボリアニマｰト, 30,江田照, 0.9, 65,   4,   1,10,103.5, ⑥⑤, 6,12,Ｉナチュラルウィン, 73,北村宏, 0.8, 72, -17,  16, 9, 43.4, ⑧⑧
 7, 3,Ｈシャンドゥリエ, 37,田中勝, 0.7, 44, -12, -12, 6, 23.8,⑬⑪⑨, 7, 2, キンショｰユウジャ,---,勝浦正, 0.9, 43, -11, -10, 5, 14.8, ④⑤, 7, 3,Ｊハッシャバイ, 61,丸田恭, 1.0, 63,   3,   1, 9, 93.9, ⑦⑥, 7, 4,Ｌドリｰムシャドウ, 64,丹内祐, 0.9, 71, -11,  10,10, 82.8, ⑤⑤
 8,15,Ｄシャイニングカラｰ, 44,松岡正, 0.7, 42, -10, -18, 3,  5.3,④⑥⑤, 8,11, ナツノツキ,---,田中博, 1.5, 39, -18,  -9, 9, 50.1, ⑩⑩, 8, 2,Ｍエフティファラオ, 58,柴山雄, 1.1, 62,   0,   2,12,142.6, ⑩⑪, 8, 8,Ｆアポロラムセス, 74,田中勝, 1.0, 69, -15,  12, 8, 15.1, ⑦⑥
 9, 7,Ｉシャｰデンフロイデ, 32,小野寺, 0.9, 41, -11, -16,13,387.6,⑦⑩⑪, 9, 3, エフテｰサイレン,---,三浦皇, 1.5, 38, -17, -10,10, 53.5, ⑨⑥, 9,10,Ｇアグネスクイック, 64,丸山元, 1.3, 59,  -4,   3,15,252.8, ⑬⑬, 9, 6,Ｃアイスカｰビング, 77,吉田豊, 1.0, 70, -21,* 18, 5,  8.5, ⑪⑪
