10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａヴィクトリｰスタｰ, 65,小牧太,, 66, -18,* 15, 1,  2.7, ④⑥, 1, 9, サンライズポパイ,---,藤岡佑,, 67,*  2,  -4, 4,  5.8, ②②, 1,13,Ｆトｰホウチェイサｰ, 67,和田竜,, 77,  10,*  4, 1,  3.9, ⑥⑤, 1,10,Ａケイアイガｰベラ, 95,秋山真,, 95,*  9,* 23, 1,  1.3, ②②
 2, 3,Ｉヒットザタｰゲット, 44,福永祐, 0.0, 66, -19,  13, 3,  5.4, ③④, 2, 3, ダノンハロｰ,---,福永祐, 0.2, 61, -10,*  8, 2,  4.7, ⑪⑪, 2, 8,Ｋシュテルンタｰラｰ, 63,浜中俊, 0.0, 78,  12,   2, 3,  4.8, ⑤③, 2,11,Ｄトｰホウドルチェ, 87,川田将, 0.9, 90,* 10,  17, 3,  9.2, ③③
 3, 8,Ｅビｰム, 48,佐藤哲, 0.5, 55,*-16,   2, 7, 20.4, ①①, 3, 4, ボウシュウロｰズ,---,後藤浩, 0.2, 62,  -2,  -3, 8, 21.7, ③④, 3, 6,Ｏエｰシンビッグシｰ, 51,藤岡佑, 0.3, 70,   1,* 10,10, 57.7, ⑮⑭, 3, 8,Ｂセイクリムズン, 91,幸英明, 0.9, 89,   8,  17, 2,  7.6, ④⑤
 4, 6,Ｊインペリアルピサ, 44,川田将, 0.6, 64, -24,* 16, 6, 18.6, ⑪⑪, 4,11, アルトゥバン,---,和田竜, 0.3, 62,  -1,  -6, 9, 38.6, ④③, 4,11,Ｄタマモコントラバス, 68,高倉稜, 0.5, 69,   8,   1, 4,  6.2, ⑦⑨, 4, 4,Ｇエプソムアｰロン, 85,安藤光, 1.2, 85,   2,* 22,11,332.7, ⑪⑪
 5, 7,Ｂバンブｰチェルシｰ, 57,和田竜, 0.6, 57,*-17,   3, 4, 10.1, ⑤③, 5, 5, アルドワｰズ,---,幸英明, 0.3, 61,  -5,*  0, 5,  7.2, ⑩⑧, 5, 3,Ｌアスタｰクリス, 62,小牧太, 1.0, 65,   4,   2,12,116.5, ⑫⑪, 5, 7,Ｊマイプリティワン, 82,小牧太, 1.3, 85,   4,  19, 8, 46.1, ⑨⑩
 6, 5,Ｈジョウショｰドン, 45,岩崎祐, 0.8, 57, -20,   6, 9,125.5, ⑥⑧, 6, 6, ウォｰタｰルルド,---,酒井学, 0.7, 55,  -7,  -5,12,164.5, ⑧⑨, 6,12,Ａレッドジｰル, 78,川田将, 1.1, 67,   9,  -5, 2,  4.2, ⑧④, 6, 1,Ｉエノク, 83,和田竜, 1.5, 84,   7,  14, 5, 20.5, ⑥⑧
 7, 1,Ｃカルドブレッサ, 56,後藤浩, 0.9, 55, -21,   6, 2,  2.7, ⑩⑩, 7,10, レッドシェリフ,---,小牧太, 0.8, 55,  -3, -10, 1,  3.3, ⑥⑤, 7, 7,Ｃマイディスカバリｰ, 74,渡辺薫, 1.2, 70,* 16, -13, 6, 11.6, ①①, 7, 2,Ｅアウトクラトｰル, 85,藤岡康, 1.8, 82,* 10,   7, 7, 41.4, ①①
 8, 4,Ｆコスモロッキｰ, 46,幸英明, 1.0, 53, -18,   1,10,142.6, ⑦⑦, 8, 2, ピエナクリスタル,---,武豊  , 0.8, 57,*  5, -21, 3,  5.2, ①①, 8, 2,Ｂウインルナ, 75,蛯名正, 1.2, 69,* 16, -13, 7, 13.1, ②②, 8, 6,Ｃワｰルドハンタｰ, 89,後藤浩, 2.2, 77,   8,   6, 4, 11.7, ⑤④
 9, 9,Ｄプレミアムカｰド, 50,秋山真, 1.5, 43,*-17, -11, 5, 15.2, ②②, 9, 8, ウィズイングレｰス,---,高倉稜, 1.1, 51,  -3, -14,10, 54.2, ⑦⑥, 9, 1,Ｉインタレスティング, 64,秋山真, 1.5, 62,   6,  -4,11, 71.4, ⑪⑩, 9, 3,Ｆダイナミックグロウ, 85,熊沢重, 2.3, 79,   7,   7, 6, 37.9, ⑦⑥
