10年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,大阪ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｇマルコフジ, 44,和田竜,, 59,  -3,* -1, 7, 16.4, ④④, 1,12, キョウワジャンヌ,---,飯田祐,, 59, -10,  -1, 2,  4.4, ⑤⑤, 1, 9,Ａドレスアフェアｰ, 74,小牧太,, 80,   6,* 14, 2,  6.1, ⑮⑭, 1,13,Ａダノンカモン, 92,武豊  ,, 83,   8,* 17, 2,  3.8, ⑤④
 2, 4,Ｂビットプレスト, 55,佐藤哲, 0.1, 59,* -2,  -2, 2,  5.1, ③③, 2, 6, メイショウマオ,---,池添謙, 0.2, 57,  -8,  -4,10, 59.7, ③③, 2, 5,Ｋサイキョウアサカゼ, 67,浜中俊, 0.4, 76,  12,  -1, 6, 16.7, ⑨⑨, 2, 9,Ｂエｰシンクｰルディ, 88,福永祐, 0.0, 83,* 10,* 16, 1,  3.3, ②②
 3,13,Ｊマウシャｰレ, 33,渡辺薫, 0.2, 59,*  2,  -7,16,234.9, ①①, 3, 7, ツナミ,---,北村友, 0.5, 53, -13,  -3, 7, 22.8, ⑨⑨, 3,11,Ｈファミリズム, 70,藤岡康, 0.4, 75,   9,   1, 9, 27.5, ⑩⑪, 3, 1,Ｐコンティネント, 76,川田将, 0.7, 78,   8,  11, 8, 35.7, ③③
 4, 2,Ｄユウキマリアッチ, 52,幸英明, 0.4, 54,  -6,* -1, 5,  6.7, ⑨⑨, 4, 1, サイクロニスト,---,福永祐, 0.5, 52, -11,  -6, 4,  8.2, ⑥⑥, 4, 4,Ｏオペラセリア, 59,国分恭, 0.4, 76,   8,*  3,15,326.8, ⑫⑫, 4, 2,Ｃマルカベンチャｰ, 85,安藤勝, 0.7, 78,   3,* 19, 3,  4.6, ⑭⑭
 5,14,Ｃニイハオジュウクン, 54,松田大, 0.5, 56,  -4,  -3, 1,  4.8, ⑧⑧, 5,13, トップルビｰ,---,小牧太, 0.5, 52, -20,*  3, 9, 41.0, ⑪⑪, 5,13,Ｊメイショウサミット, 67,難波剛, 0.4, 74,  13,  -6,11,141.4, ⑧⑦, 5, 8,Ｇスマｰトブレｰド, 82,太宰啓, 0.7, 77,   6,  14,15,155.8, ⑧⑧
 6, 8,Ｅシゲルカンサヤク, 51,北村友, 0.6, 54,  -4,  -4, 3,  5.3, ⑤⑦, 6, 4, エリｰトバイオ,---,幸英明, 0.6, 51, -23,*  5, 8, 34.5, ⑫⑬, 6, 6,Ｃソラヲカケル, 74,池添謙, 0.5, 73,  14,  -7, 4, 11.3, ④⑤, 6, 3,Ｄネオフリｰダム, 84,国分恭, 0.9, 77,* 11,   7, 4,  7.5, ①①
 7,16,Ｉケｰジｰヨシツネ, 33,国分恭, 0.8, 52,  -3,  -7, 8, 26.3, ⑥⑤, 7, 5, アグネスクロｰバｰ,---,浜中俊, 0.8, 48, -14,  -7, 5,  9.3, ⑧⑧, 7, 2,Ｅアイファｰハイカラ, 72,幸英明, 0.5, 73,* 18, -14, 7, 17.9, ①②, 7, 6,Ｋスペｰスフライト, 81,佐藤哲, 0.9, 77,   7,  11,14, 82.7, ⑥⑦
 8, 1,Ａナムラエバｰグリン, 57,福永祐, 1.4, 45,  -4, -11, 4,  5.9, ⑦⑥, 8, 3, シシャモクイｰン,---,田中克, 0.9, 48, -10, -10,13,129.9, ⑦⑦, 8,12,Ｌリバｰインバウンド, 66,熊沢重, 0.6, 74,   8,   0,13,227.8, ⑬⑬, 8, 5,Ｏブラックシャドウ, 79,熊沢重, 0.9, 78,   8,  10,11, 49.5, ④⑤
 9, 6,Ｆマルサンライナｰ, 49,太宰啓, 1.5, 45,* -1, -16, 9, 26.3, ②②, 9,11, レッドマｰベル,---,武豊  , 0.9, 46,  -9, -14, 1,  2.4, ④④, 9,14,Ｉエｰシンフォｰサン, 70,酒井学, 0.7, 71,  11,  -6,10, 46.1, ⑪⑩, 9, 7,Ｆアズライト, 82,藤岡康, 1.1, 76,   5,  12,13, 75.3, ⑩⑪
10, 3,Ｈマキハタファントム, 44,小牧太, 1.8, 39, -18,* -2, 6,  8.6, ⑮⑬,10, 2, ビッグドラゴン,---,高倉稜, 1.0, 46, -18,  -4,12, 90.3, ⑩⑩,10,10,Ｆメイショウバｰモス, 71,武豊  , 0.7, 70,  15, -13, 5, 11.7, ③③,10, 4,Ｅリリｰハｰバｰ, 82,池添謙, 1.2, 74,   5,  11,10, 47.0, ⑨⑩
11, 9,Ｐヒロガｰデン, 10,浜中俊, 2.8, 32, -11, -17,11, 36.6, ⑫⑩,11, 8, シゲルシュサ,---,熊沢重, 1.2, 44,* -6, -20,11, 73.2, ①①,11, 8,Ｄミヤジシェンロン, 73,和田竜, 0.7, 72,  14, -10, 8, 18.6, ⑤⑥,11,15,Ｎテイエムクレナイ, 79,幸英明, 1.4, 73,   8,   6,12, 51.7, ⑦⑥
12, 5,Ｏナムラダッシュ, 11,石橋守, 2.9, 32, -20,  -9,15,198.9, ⑯⑭,12, 9, ジュエリｰキッス,---,藤岡佑, 1.4, 40, -23,  -6, 6, 12.1, ⑬⑫,12,15,Ｂインペリアルマｰチ, 74,福永祐, 0.8, 69,  15, -15, 1,  2.0, ⑥④,12,16,Ｉシルクダイナスティ, 81,鮫島良, 1.5, 73,   5,   8, 9, 43.8, ⑪⑨
13,12,Ｌミッキｰソング, 31,安藤光, 3.6, 24, -10, -25,12, 82.9, ⑩⑪,13,10, マイネエレｰナ,---,和田竜, 1.8, 36,* -5, -28, 3,  6.6, ②②,13, 3,Ｐグリｰムバイオ, 57,川田将, 1.0, 69,  11, -10,14,320.6, ⑦⑧,13,11,Ｍミゼリコルデ, 79,北村友, 1.6, 72,   4,   9, 5,  8.9, ⑫⑬
14,15,Ｋカシノリッチ, 31,高野容, 3.6, 25, -19, -16,14,177.5, ⑭⑯,,,,,,,,,,,,,14,16,Ｇロｰドセイバｰ, 70,藤岡佑, 1.2, 65,* 18, -26, 3,  6.8, ②①,14,10,Ｌメイショウイッキ, 81,石橋守, 1.6, 73,   0,  14, 7, 29.1, ⑯⑮
15, 7,Ｎハイフリｰト, 13,熊沢重, 3.7, 26, -14, -22,10, 33.8, ⑪⑮,,,,,,,,,,,,,15, 7,Ｍタマモビｰト, 65,高倉稜, 1.8, 58,   5, -12,12,171.8, ⑭⑮,15,14,Ｊオシャレキング, 81,高倉稜, 1.8, 68,   4,   7, 6, 20.8, ⑬⑫
16,11,Ｍエメラルスカイ, 26,藤岡康, 5.7, 10, -13, -40,13,131.5, ⑬⑫,,,,,,,,,,,,,16, 1,Ｎラガｰチェイス, 64,北村友, 3.1, 45,  -3, -16,16,467.5, ⑯⑯,16,12,Ｈゼンノトレヴィ, 81,安藤光, 4.4, 47,   0, -10,16,490.9, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,640円 複勝:10=420円 04=190円 13=7,710円 枠連:1,650円",,,,,,,,,,,,"単勝:440円 複勝:12=190円 06=1,190円 07=560円 枠連:3,280円",,,,,,,,,,,,"単勝:610円 複勝:09=230円 05=410円 11=550円 枠連:1,370円",,,,,,,,,,,,単勝:380円 複勝:13=160円 09=160円 01=560円 枠連:530円,,,,,,,,,,,
"馬連:3,360円 ワイド:04-10=1,150円 10-13=30,430円 04-13=22,930円",,,,,,,,,,,,"馬連:12,120円 ワイド:06-12=3,320円 07-12=1,700円 06-07=5,690円",,,,,,,,,,,,"馬連:5,620円 ワイド:05-09=1,480円 09-11=1,820円 05-11=2,660円",,,,,,,,,,,,"馬連:670円 ワイド:09-13=320円 01-13=1,820円 01-09=1,670円",,,,,,,,,,,
"馬単:8,750円 3連複:249,250円 3連単:1,851,500円",,,,,,,,,,,,"馬単:20,450円 3連複:57,050円 3連単:273,750円",,,,,,,,,,,,"馬単:9,740円 3連複:22,330円 3連単:96,940円",,,,,,,,,,,,"馬単:1,250円 3連複:7,270円 3連単:27,320円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 5R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甲東特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆミッキｰマスカット, 49,小牧太,, 60,  -7,* -2, 5, 11.4, ③⑤, 1,10,Ｂルｰニｰ, 71,渡辺薫,, 76,*  5,*  4, 3,  5.0, ②②, 1, 4,Ｂメイショウジンム, 80,武豊  ,, 77,*-14,  21, 2,  4.0,②②②, 1,10,Ｂラインブラッド, 78,福永祐,, 80,   8,  10, 1,  3.0, ④④
