10年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2400m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,神戸新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａキミニアエタキセキ, 65,福永祐,, 67, -17,* 11, 1,  2.2, ⑩⑨, 1, 7, キタサンカムイデン,---,福永祐,, 40,*-53,  18, 4,  9.6, ②②, 1, 3,Ｂシｰクレバｰ, 74,太宰啓,, 76,   8,* 11, 9, 23.0,⑫⑪⑩, 1, 3,Ｂロｰズキングダム,106,武豊  ,, 96,   8,* 26, 2,  3.0,④⑤⑥
 2, 3,Ｄビッグスマイル, 53,川田将, 0.1, 65, -16,*  8, 2,  3.4, ⑧⑧, 2,10, スマｰトロビン,---,内田博, 0.0, 44, -58,* 24, 1,  1.7, ⑦⑥, 2, 9,Ｃナリタチャレンジ, 73,浜中俊, 0.3, 74,  10,   3, 5, 10.2,⑨⑨⑥, 2, 5,Ａエイシンフラッシュ,108,内田博, 0.0, 97,   7,* 26, 1,  1.9,⑥⑥⑦
 3,10,Ｃノｰザンソング, 53,幸英明, 0.3, 60,*-11,   0, 4,  7.1, ②②, 3, 3, ゼンノルジェロ,---,武豊  , 0.2, 37, -55,  17, 2,  4.6, ③③, 3,11,Ｅドリｰムアライブ, 72,福永祐, 0.4, 72,  10,   2, 6, 12.1,⑤⑥⑤, 3, 1,Ｅビッグウィｰク, 84,川田将, 0.5, 90,*  9,  15, 5, 12.7,①③③
 4,11,Ｆロイヤルネイチャｰ, 45,川島信, 0.5, 58,*-10,  -2, 7, 36.6, ③③, 4, 4, グランプリワイルド,---,藤岡佑, 0.3, 34,*-52,  11, 5, 15.7, ①①, 4, 1,Ｉピサノユリシｰズ, 68,川田将, 0.5, 73,  10,   1, 1,  3.2,⑧⑤⑦, 4, 4,Ｇタニノエポレット, 79,松田大, 0.6, 90,   6,  20,10,119.2,⑨⑧⑨
 5, 5,Ｅシゲルチョウカン, 51,熊沢重, 0.7, 55, -13,  -3, 3,  5.6, ⑤⑦, 5, 6, ゴｰルドブライアン,---,北村友, 0.4, 40, -59,* 21, 7, 66.7, ⑧⑧, 5, 5,Ｄシゲルアサマヤマ, 72,幸英明, 0.9, 71,  10,  -2, 7, 15.0,⑪⑧⑧, 5,10,Ｄレｰヴドリアン, 91,福永祐, 0.8, 88,   7,  14, 3,  8.7,⑩⑪⑧
 6, 7,Ｂシゲルヒラシャイン, 54,酒井学, 0.8, 52,* -9,  -8, 6, 26.3, ①①, 6, 9, タガノラガマフィン,---,田中健, 0.7, 32, -54,  11,10,216.5, ⑤⑤, 6,10,Ｇエｰスインザホｰル, 70,高倉稜, 1.0, 65,* 12, -10, 2,  4.3,②②②, 6,12,Ｆマイネルゴルト, 82,幸英明, 0.9, 85,   8,  10, 8, 41.2,⑧⑦⑤
 7, 4,Ｇナンゴクチョウチョ, 43,小牧太, 1.0, 53, -19,   0, 5, 22.5, ⑪⑩, 7, 5, コスモウィッシュ,---,幸英明, 0.8, 32, -54,  10, 6, 52.0, ④④, 7, 4,Ｆウイントランザム, 71,和田竜, 1.0, 70,  11,  -6, 4,  9.7,③④③, 7, 7,Ｊマストハブ, 74,鮫島良, 0.9, 87,   6,  16,11,159.1,⑪⑩⑪
 8, 6,Ｊシゲルカンリカン, 39,渡辺薫, 1.1, 50, -13,  -8,11,116.9, ④⑥, 8, 1, ジャマイカジョｰ,---,酒井学, 0.8, 33, -57,  14, 8,122.1, ⑥⑦, 8,12,Ａブリリアントシチｰ, 74,佐藤哲, 1.4, 67,  12, -10, 8, 16.4,④③④, 8, 9,Ｋネオヴァンドｰム, 70,藤岡佑, 1.1, 82,*  9,   3, 7, 31.0,②①①
 9, 2,Ｋシゲルカカリチョウ, 36,浜中俊, 1.1, 52, -22,   1, 8, 54.1, ⑬⑭, 9, 2, ヴァニラシャンティ,---,小牧太, 1.2, 32, -61,  15, 3,  4.6, ⑩⑩, 9, 2,Ｈブルｰライトニング, 70,松田大, 1.6, 65,* 12, -16,11,122.7,①①①, 9, 6,Ｃサンディエゴシチｰ,102,浜中俊, 1.1, 82,*  9,   4, 6, 27.9,③②②
