10年10月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃグレｰプブランデｰ, 55,福永祐,, 58,* -1,*  3, 1,  1.9,①①①, 1, 7, リベルタス,---,福永祐,, 61,*-25,* 15, 1,  1.8, ⑧④, 1,13,Ｆネオギャラクシｰ, 72,北村友,, 78,* 10,*  6, 3,  6.0,②②②, 1, 9,Ｅキングスエンブレム, 90,福永祐,, 89,  11,* 16, 1,  3.5,⑦⑥④
 2,12,Ａダｰトムｰア, 61,川田将, 0.2, 59,  -3,*  4, 2,  3.9,③⑤⑤, 2, 9, ダノンシャｰク,---,松岡正, 0.0, 62,*-24,* 16, 2,  3.3, ②②, 2,10,Ａジャングルストｰン, 77,国分恭, 0.3, 76,* 10,   2, 2,  4.4,①①①, 2,10,Ａラヴェリｰタ, 92,和田竜, 0.1, 88,* 12,  12, 4,  6.1,②②②
 3, 6,Ｎナムラカンタベリｰ, 36,酒井学, 1.0, 53,  -4,* -1,15,223.8,⑭⑨⑧, 3, 6, デンコウジュピタｰ,---,国分恭, 0.3, 60, -26,* 15, 4, 17.9, ⑨⑧, 3, 1,Ｈカリズマクレスト, 70,幸英明, 0.3, 76,   8,*  7, 7, 22.8,③③③, 3, 2,Ｊチョイワルグランパ, 86,浜中俊, 0.2, 87,  11,  14, 9, 30.7,⑥⑤⑦
 4, 1,Ｅヒデノオｰカン, 47,渡辺薫, 1.6, 49,* -2,  -9, 6, 30.1,⑤④④, 4,10, ダイヤノゲンセキ,---,高倉稜, 0.7, 49,*-25,   5, 3,  6.2, ⑤③, 4, 7,Ｂバイオレントナイト, 77,吉田稔, 1.0, 71,   7,   4, 4,  6.4,⑦⑥⑤, 4, 4,Ｄサクラロミオ, 91,藤岡佑, 0.3, 87,   9,* 15,10, 34.9,⑫⑩⑩
 5,14,Ｂトｰホウジャパン, 58,太宰啓, 1.9, 45,  -3, -11, 4,  8.8,⑦⑩⑦, 5, 1, コスモアジル,---,和田竜, 1.0, 48,*-25,   2, 9, 67.7, ③⑤, 5, 5,Ｇエアリアルショット, 70,浜中俊, 1.2, 70,   6,   4, 9, 33.6,⑨⑦⑦, 5, 6,Ｂマイネルアワグラス, 92,松岡正, 0.4, 86,  10,  14, 3,  5.7,⑧⑧⑥
 6, 9,Ｆカシノウィンド, 47,赤木高, 1.9, 47,  -4,  -6,11, 67.6,⑪⑫⑪, 6, 2, エｰシンミラｰジュ,---,浜中俊, 1.0, 48, -26,   4, 7, 30.6, ④⑥, 6,14,Ｄマｰリンシチｰ, 74,佐藤哲, 1.3, 71,   4,*  8, 6, 14.3,⑩⑩⑧, 6, 8,Ｋグリッタｰウイング, 84,鮫島良, 0.4, 86,* 11,  10, 5,  6.8,③③⑤
 7,11,Ｇチｰフミッチｰ, 46,松田大, 1.9, 47,* -1, -13,10, 67.4,②②②, 7, 5, エクスプライド,---,石橋守, 1.1, 50, -29,   8, 6, 27.6, ⑩⑩, 7,12,Ｃメイショウシャイン, 76,福永祐, 1.9, 66,   3,   4, 1,  3.0,⑬⑫⑩, 7,11,Ｃモンテクリスエス, 91,川田将, 0.5, 85,* 11,   9, 2,  4.9,④④③
 8, 2,Ｄキョウワオリオン, 50,佐藤哲, 2.3, 44,  -4, -12, 3,  7.3,⑧⑦⑩, 8, 8, ファイアアロｰ,---,藤岡佑, 1.7, 38,*-23, -11, 8, 37.7, ①①, 8, 9,Ｍリシアンサス, 40,鮫島良, 2.2, 65,   2,   2,10, 65.4,⑪⑪⑪, 8, 3,Ｈアドマイヤスワット, 88,藤岡康, 0.5, 86,  10,  12, 8, 25.9,⑤⑦⑧
 9,13,Ｍフレンドハｰバｰ, 36,幸英明, 2.4, 42,* -2, -17,16,238.7,④③③, 9, 3, バロンルｰジュ,---,藤岡康, 1.9, 36, -26,  -8, 5, 23.7, ⑦⑦, 9, 8,Ｅスピルオｰバｰ, 74,和田竜, 2.2, 63,   7,  -9, 5,  6.8,④④④, 9, 1,Ｉアドマイヤマジン, 87,吉田稔, 0.6, 85,   9,  13,11, 45.9,⑩⑨⑨
10, 5,Ｐキンショｰノドン, 18,北村友, 2.7, 42,  -4, -13,13, 90.9,⑩⑪⑫,10, 4, シンワカントリｰ,---,川田将, 2.3, 32, -28, -12,10,134.2, ⑥⑨,10,15,Ｋアンクルガンバレ, 56,川島信, 2.6, 62,   0,   5,14,332.6,⑮⑭⑭,10, 5,Ｇクリｰン, 89,北村友, 0.8, 84,   9,  11, 6, 12.3,⑪⑫⑪
11, 4,Ｌアランロド, 36,和田竜, 2.8, 43,  -6,  -8, 9, 51.8,⑮⑯⑯,,,,,,,,,,,,,11,11,Ｊゼットチャンプ, 65,小牧太, 2.6, 59,   1,   1, 8, 23.3,⑭⑬⑬,11, 7,Ｆワンダｰスピｰド, 90,小牧太, 1.0, 79,* 12,   4, 7, 13.5,①①①
12,15,Ｈタイセイソルジャｰ, 46,小牧太, 2.9, 38,* -1, -20, 8, 48.8,⑥⑥⑥,,,,,,,,,,,,,12, 4,Ｌシェヴァルフォルテ, 49,熊沢重, 3.6, 57,   7, -19,12,176.1,⑤⑤⑥,12,12,Ｌユウキタイティ, 83,酒井学, 1.4, 80,   9,   7,12,246.8,⑨⑪⑫
13, 3,Ｉクリノダイヤモンド, 42,高倉稜, 3.1, 35,  -7, -12, 5, 21.7,⑯⑮⑮,,,,,,,,,,,,,13, 2,Ｉメイショウタイシャ, 68,高倉稜, 4.5, 45,   3, -19,11,138.5,⑧⑨⑨,,,,,,,,,,,,
14, 8,Ｏアルマニャック, 32,松岡正, 3.1, 38,  -5, -15,12, 68.0,⑬⑭⑭,,,,,,,,,,,,,14, 6,Ｏテイエムシｰザｰ, 33,佐久間, 5.5, 42,   4, -28,15,370.8,⑥⑧⑫,,,,,,,,,,,,
15,10,Ｋマイネルムジカ, 37,浜中俊, 3.4, 37,  -4, -21, 7, 35.4,⑫⑬⑨,,,,,,,,,,,,,15, 3,Ｎノｰチラスリング, 37,高野容, 9.7, 22,  -5, -47,13,260.1,⑫⑮⑮,,,,,,,,,,,,
16,16,Ｊマイネルハミルトン, 41,国分恭, 3.6, 36,  -3, -23,14,140.3,⑨⑧⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:190円 複勝:07=110円 12=140円 06=2,430円 枠連:390円",,,,,,,,,,,,単勝:180円 複勝:07=110円 09=120円 06=240円 枠連:150円,,,,,,,,,,,,単勝:600円 複勝:13=210円 10=210円 01=520円 枠連:410円,,,,,,,,,,,,"単勝:350円 複勝:09=180円 10=270円 02=730円 枠連:1,450円",,,,,,,,,,,
"馬連:400円 ワイド:07-12=180円 06-07=6,730円 06-12=7,340円",,,,,,,,,,,,馬連:260円 ワイド:07-09=150円 06-07=370円 06-09=430円,,,,,,,,,,,,"馬連:1,690円 ワイド:10-13=700円 01-13=1,840円 01-10=1,700円",,,,,,,,,,,,"馬連:1,480円 ワイド:09-10=690円 02-09=2,100円 02-10=2,690円",,,,,,,,,,,
"馬単:570円 3連複:17,540円 3連単:37,630円",,,,,,,,,,,,"馬単:370円 3連複:870円 3連単:2,090円",,,,,,,,,,,,"馬単:3,580円 3連複:12,360円 3連単:51,420円",,,,,,,,,,,,"馬単:2,390円 3連複:18,620円 3連単:70,450円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅口特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂエｰシンチャｰジ, 60,和田竜,, 66,*  3,  -3, 1,  2.1, ③③, 1, 8,Ｃスマｰトアｰサイト, 74,小牧太,, 74,   7,*  7, 4,  8.4, ⑨⑨, 1, 4,Ｃマイウエイ, 77,福永祐,, 83,*  3,* 14, 1,  2.4, ③④, 1, 1,Ｋリｰチコンセンサス, 71,浜中俊,, 86,   1,* 15, 5,  7.8, ⑥⑥
 2, 4,Ｄアマノレインジャｰ, 54,福永祐, 0.2, 63,*  3,  -5, 4, 10.8, ④④, 2,10,Ｄアンヴァルト, 73,福永祐, 0.0, 75,  10,   2, 1,  2.9, ④④, 2, 1,Ｂセキサンダンスイン, 78,高倉稜, 0.3, 78,   0,* 14, 3,  5.9, ⑧⑨, 2,14,Ｂオレンジティアラ, 80,小牧太, 0.1, 83,* 10,   5, 2,  4.3, ①①
 3, 5,Ｇエンジョイタイム, 46,浜中俊, 0.2, 64,*  5,  -7, 7, 27.4, ②②, 3,11,Ｆトイボックス, 72,太宰啓, 0.1, 73,   4,*  9, 6, 13.1, ⑪⑩, 3,14,Ｄティキマハロ, 75,佐藤哲, 0.7, 72,   2,   5, 5, 16.2, ⑨⑧, 3,16,Ｈビｰチアイドル, 74,和田竜, 0.4, 80,   3,   9, 7, 18.4, ⑤⑤
 4, 1,Ｃシゲルジュウヤク, 55,国分恭, 0.3, 62,*  5,  -9, 5, 15.4, ①①, 4, 7,Ｇハナノシンノスケ, 70,酒井学, 0.4, 73,  10,   0,11, 67.4, ⑤⑥, 4, 6,Ｋラブキｰセキ, 67,酒井学, 0.9, 70,   2,   2, 7, 27.6, ⑥⑥, 4, 8,Ｎキヲウエタオトコ, 69,佐藤哲, 0.4, 79,   4,   8,14,118.5, ③③
 5, 9,Ｅエｰシンギムレット, 50,吉田稔, 0.5, 57,  -6,*  3, 8, 28.1, ⑩⑩, 5, 4,Ｋペプチドルパン, 66,佐藤哲, 0.7, 71,  10,  -3, 9, 29.3, ⑦⑤, 5, 5,Ｉポｰラシｰクエンス, 69,安藤光, 0.9, 70,  -1,   8,14,131.9, ⑬⑬, 5, 4,Ａトｰホウシンバル, 80,松岡正, 0.5, 79,   1,   9, 4,  7.6, ⑦⑦
 6, 7,Ｆダンスインザスカイ, 47,北村友, 1.0, 51,  -8,*  0, 6, 17.7, ⑫⑫, 6,13,Ｈスタｰサイクル, 70,渡辺薫, 0.7, 69,   4,   3,12, 80.5, ⑫⑫, 6,15,Ｅソラヲカケル, 75,松岡正, 0.9, 72,   0,   5, 2,  3.7, ⑫⑫, 6, 3,Ｇリッピアピンク, 74,鮫島良, 0.5, 81,  -7,* 17,10, 29.3, ⑫⑭
 7, 8,Ａアルドワｰズ, 61,幸英明, 1.1, 52,   1, -14, 2,  3.8, ⑤⑤, 7,15,Ｅトウカイブラスト, 72,熊沢重, 0.7, 72,   9,  -3, 5, 10.8, ⑧⑦, 7,10,Ｏログ, 61,浜中俊, 1.1, 69,   0,   2,15,135.1, ⑪⑪, 7,10,Ｃニホンピロシェリｰ, 76,酒井学, 0.6, 79,  -9,* 18,12, 49.7, ⑭⑮
 8, 2,Ｊユウキオジョウｰ, 42,藤岡佑, 1.5, 47,  -8,  -6, 9, 37.2, ⑪⑪, 8, 6,Ｊオｰミフォレスト, 67,田島裕, 0.9, 70,* 13,  -8,14,127.3, ③③, 8, 7,Ｇホｰクウィンザｰ, 71,北村友, 1.1, 71,  -1,   6,12,107.8, ⑮⑭, 8, 5,Ｌシャトルタテヤマ, 71,安藤光, 0.6, 75,*  8,   1,15,172.5, ②②
 9, 6,Ｋダブルエッグ, 40,高倉稜, 1.7, 43,  -5, -14,10, 66.6, ⑨⑧, 9, 5,Ａトウショウカズン, 76,和田竜, 0.9, 70,* 12,  -8, 3,  7.9, ②②, 9,12,Ａフラムドｰル, 79,国分恭, 1.1, 68,*  4,  -5, 4,  8.2, ④③, 9,12,Ｅビンチェロ, 75,福永祐, 0.7, 77,  -1,   9, 3,  6.8, ⑨⑧
10,12,Ｍダイナミックワルツ,-16,熊沢重, 2.2, 40, -11, -11,12,344.3, ⑬⑬,10,12,Ｂメイショウモネ, 75,幸英明, 0.9, 68,   4,   4, 2,  3.2, ⑯⑭,10,13,Ｊヴィジレ, 68,川田将, 1.2, 68,*  3,  -5, 9, 55.2, ⑤⑤,10, 2,Ｐパラダイスラビｰダ, 59,吉田稔, 0.8, 78, -15,* 21,16,233.5, ⑯⑯
