10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,江戸川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃコスモティカル, 48,津村明,, 60,* -4,  -2, 3,  5.1, ①①, 1, 3, コｰンドリｰ,---,田中勝,, 65,   0,*  3, 2,  4.6, ⑥⑤, 1, 1,Ｂリバティバランス, 76,内田博,, 72,   4,* 10, 1,  2.5,⑪⑩⑩, 1, 9,Ａマエストラｰレ, 82,松岡正,, 83,   9,* 14, 1,  2.2,⑩⑩⑥
 2, 7,Ａインプレッシヴ, 51,江田照, 0.2, 57,  -8,* -1, 2,  3.2, ④④, 2, 7, パシオンルｰジュ,---,内田博, 0.1, 66,*  4,  -2, 1,  3.2, ①①, 2, 5,Ａドンドドｰン, 79,デュプ, 0.0, 71,   6,   5, 2,  4.3,④③④, 2, 8,Ｈダノンエリモトップ, 75,内田博, 0.4, 79,* 12,   4, 2,  4.5,①①①
 3,11,Ｂメイショウエデン, 50,小島太, 0.3, 56, -13,*  4, 1,  2.8, ⑪⑪, 3,12, リックムファサ,---,吉田豊, 0.7, 55, -14,*  9,12, 49.8, ⑫⑩, 3, 4,Ｋサンワｰドハｰレｰ, 68,田中勝, 0.5, 69,   5,   4,14,170.4,⑧⑥⑦, 3, 6,Ｇホワイトショウフク, 77,後藤浩, 0.5, 80,   8,* 14, 7, 32.5,⑪⑪⑩
 4, 3,Ｇステラビスティｰ, 39,田中勝, 0.6, 53, -14,*  1, 8, 36.0, ⑫⑫, 4,16, マックスファイヤｰ,---,木幡初, 1.0, 55,  -1,  -5, 5, 13.2, ⑧⑦, 4,16,Ｄヴァルナ, 75,小野寺, 0.5, 70,   2,* 10, 5, 13.6,⑯⑮⑬, 4, 4,Ｃフェイマステイル, 78,北村宏, 0.6, 77,* 12,   5, 4,  7.0,②②②
 5, 5,Ｍフォルスユキ, 35,後藤浩, 0.8, 50, -13,  -2, 4, 10.9, ⑩⑩, 5, 1, オｰパルス,---,後藤浩, 1.1, 54,  -1,  -6, 3,  4.6, ⑦⑥, 5, 9,Ｌスイングエンジン, 67,西田雄, 0.6, 69,   7,   0,15,177.5,③④③, 5, 7,Ｂサダムマンテン, 80,吉田豊, 0.6, 77,  11,   7, 9, 40.5,⑧⑥③
 6,14,Ｋセラｰナ, 37,吉田豊, 0.8, 48,  -7, -10,12, 63.3, ⑥⑥, 6,10, ミキノコモコ,---,武士沢, 1.7, 50,   2, -14, 7, 16.8, ⑤②, 6, 2,Ｃジャストザシｰズン, 76,藤岡佑, 0.8, 68,   1,*  8, 4,  7.5,⑮⑯⑮, 6,11,Ｄアルダントヌイ, 78,川田将, 0.7, 80,  10,   7, 8, 32.6,⑦⑧⑤
 7,10,Ｅエクスペクト, 42,松岡正, 0.9, 49, -10,  -7, 6, 15.6, ⑨⑨, 7, 5, アルテリｰベ,---,柴田善, 1.8, 47,  -8,  -6, 9, 27.2, ⑨⑨, 7,14,Ｅヤマニンワｰシップ, 73,伊藤工, 0.8, 66,   2,   6,16,555.4,⑭⑫⑫, 7, 2,Ｆアイアムイチバン, 77,デュプ, 1.4, 74,  11,   0, 3,  5.3,⑥⑦⑦
 8, 2,Ｈコスモサンドリヨン, 38,伊藤工, 1.0, 46, -11,  -8, 7, 31.1, ⑦⑦, 8,13, ビレッジタイム,---,江田照, 2.3, 43, -13,  -6,11, 34.1, ⑪⑫, 8, 6,Ｈトウショウレリｰフ, 71,勝浦正, 0.9, 65,   5,   0, 3,  6.0,⑨⑦⑥, 8, 3,Ｋヤマニンノベリスト, 72,伊藤工, 2.3, 66,   9,  -4,11,186.3,⑨⑨⑧
 9, 4,Ｆトミケンアマｰト, 42,デュプ, 1.0, 48, -10,  -8, 5, 12.5, ⑧⑧, 9,14, プレチェス,---,幸英明, 2.6, 44,*  3, -23, 8, 18.6, ②③, 9,15,Ｇメイショウデジレ, 72,小島太, 0.9, 66,   2,   5,10, 60.1,⑬⑪⑪, 9, 5,Ｅシルクスタｰシップ, 77,田辺裕, 2.3, 66,* 12, -10, 6, 15.0,④④④
10, 8,Ｊシルバｰトップ, 37,二本柳, 1.2, 44,* -5, -16,11, 63.0, ②②,10,15, ヴィゴラスブレイン,---,デュプ, 2.9, 41,*  4, -26,10, 27.7, ③⑧,10,12,Ｆラピッドボｰイ, 72,松岡正, 0.9, 65,   6,  -2, 7, 16.8,⑤⑤⑤,10,10,Ｊレオソリスト, 74,江田照, 4.1, 56,  11, -23,10,102.6,⑤⑤⑪
11,12,Ｉエムエフコンコルド, 37,田辺裕, 1.5, 39,* -5, -20,10, 46.7, ③③,11,11, トミケンデアムｰト,---,勝浦正, 3.4, 33, -18, -11, 4, 10.3, ⑭⑬,11, 8,Ｍティグフォルテ, 67,江田照, 1.1, 63,*  8,  -8,11,121.1,①①①,11, 1,Ｉマルタｰズカイト, 75,木幡初, 4.3, 53,* 12, -26, 5, 12.3,③③⑨
12, 9,Ｄダイメイネオ, 44,小林淳, 1.5, 40,  -8, -17, 9, 38.5, ⑤⑤,12, 6, テンクウ,---,西田雄, 3.5, 34, -24,  -6,15,190.7, ⑮⑭,12,10,Ｏアサクサマリンバ, 61,川田将, 1.3, 64,   6,  -4, 8, 18.7,⑥⑧⑧,,,,,,,,,,,,
13,13,Ｏサンキュｰレット, 27,西田雄, 1.8, 35, -18, -12,15,411.8, ⑬⑬,13, 4, コマンドアゲン,---,田辺裕, 3.7, 31,  -9, -20,13, 65.8, ⑩⑪,13,11,Ｎキタサンブユｰデン, 65,南田雅, 1.6, 61,   5,  -5,12,140.7,⑩⑨⑨,,,,,,,,,,,,
14,16,Ｌクリノナイトヤナギ, 35,武士沢, 2.0, 34, -21, -10,14,389.8, ⑭⑭,14, 9, アクビサテルバン,---,松岡正, 3.9, 32,   2, -33, 6, 13.6, ④④,14, 7,Ｉニシノウズマサ, 71,藤田伸, 1.9, 61,   3,  -4, 9, 37.3,⑫⑭⑭,,,,,,,,,,,,
