10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｰﾄｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅシルクマイベスト, 45,石橋脩,, 58,* -4,*  6, 5, 10.7, ②②, 1, 3, ビットスタｰダム,---,国分恭,, 68,*-13,   9, 7, 27.2, ①①, 1, 9,Ｅサワノパンサｰ, 76,安藤光,, 81,  11,  10, 6, 10.4, ⑫⑧, 1, 1,Ｂダノンヨｰヨｰ, 90,北村友,, 88,  -5,* 20, 1,  3.5, ⑤⑦
 2, 2,Ａレｰガン, 64,石橋守, 0.3, 54,  -6,   5, 1,  1.8, ④④, 2, 1, ニジブルｰム,---,石橋脩, 0.2, 67, -20,* 13, 2,  3.4, ③③, 2, 6,Ｄアルｰリングムｰン, 77,村田一, 0.0, 83,  11,* 12, 1,  3.0, ⑪⑩, 2,10,Ｃフライングアップル, 87,佐藤哲, 0.4, 78,  -1,   8, 5,  9.4, ④④
 3, 8,Ｈメトログリペン, 32,福永祐, 0.5, 53, -13,*  9, 3,  8.0, ⑥⑥, 3, 7, オペラモｰヴ,---,佐藤哲, 0.2, 65,*-16,   9, 1,  1.9, ②②, 3, 3,Ａクロワラモｰ, 81,太宰啓, 0.1, 83,* 17,   2, 3,  7.7, ③②, 3, 3,Ｇタマモナイスプレイ, 82,渡辺薫, 0.4, 79,   2,   3, 3,  4.4, ②②
 4, 7,Ｂマイネタバサ, 52,和田竜, 0.7, 51,  -9,   3, 2,  3.5, ⑤⑤, 4, 4, ソングアンドダンス,---,熊沢重, 0.7, 61, -22,   9, 6, 21.0, ⑤⑥, 4, 8,Ｉインプレッシヴデイ, 71,福永祐, 0.1, 80,   7,* 13,10, 22.5, ⑬⑪, 4, 6,Ｉアｰバンストリｰト, 78,村田一, 0.5, 80,  -2,   9,10,143.5, ③③
 5, 1,Ｃシゲルホンブチョウ, 50,国分恭, 0.7, 49,  -8,   1, 7, 45.4, ③③, 5, 9, ドリｰムガイド,---,和田竜, 1.3, 52, -22,   1, 5, 11.6, ⑦⑤, 5,15,Ｂクレバｰサンデｰ, 78,高倉稜, 0.1, 82,* 15,   3, 9, 19.7, ⑤③, 5, 9,Ｊマイネルレｰニア, 73,和田竜, 0.5, 73,*  9, -11, 8, 22.5, ①①
 6, 3,Ｄマキハタファントム, 46,小牧太, 0.9, 45,* -2,  -7, 4,  8.9, ①①, 6, 8, ヴァｰル,---,高倉稜, 1.5, 49, -26,   3, 4, 10.2, ⑨⑧, 6,13,Ｇディアエンデバｰ, 75,松田大, 0.5, 74,   4,* 13, 2,  7.1, ⑯⑭, 6, 2,Ａキョウエイアシュラ, 90,小牧太, 1.1, 73,  -8,   8, 2,  4.3, ⑧⑩
 7, 6,Ｇスプリングディナン, 40,鷹野宏, 1.1, 46, -17,   5, 6, 34.1, ⑧⑧, 7, 2, ケンブリッジブイ,---,福永祐, 1.8, 46, -26,  -1, 3,  7.8, ⑧⑨, 7, 5,Ｏマイネルパシュクル, 63,川島信, 0.7, 76,* 15,  -4,13, 68.4, ④⑤, 7, 7,Ｅテイエムアタック, 85,太宰啓, 1.1, 72,  -5,   5, 7, 15.7, ⑩⑧
 8, 4,Ｆメイショウハウンド, 42,田中克, 1.6, 40, -20,   3,10,226.3, ⑩⑩, 8, 5, マンテンマックス,---,佐久間, 1.9, 43, -22,  -6, 9,162.4, ⑥⑦, 8,10,Ｈディアブラｰダ, 74,鮫島良, 0.7, 75,  14,  -2, 4,  8.9, ⑧⑥, 8, 4,Ｄバトルバニヤン, 86,藤岡康, 1.2, 72,  -6,   5, 6, 11.4, ⑨⑨
 9, 5,Ｊレッドジュバ, 14,高橋亮, 2.2, 28, -13, -13, 9,180.9, ⑦⑦, 9, 6, デンコウマオ,---,浜中俊, 2.9, 28, -19, -22, 8, 39.3, ④④, 9, 2,Ｎヒダカタイザン, 64,飯田祐, 0.7, 75,   8,   6,12, 48.5, ⑩⑬, 9, 8,Ｆキングストリｰト, 85,浜中俊, 1.2, 71,  -4,   1, 4,  5.3, ⑥⑤
