10年10月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｸﾄｰﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａタビト, 55,田中勝,, 65,   4,*  0, 1,  2.9, ⑥⑤, 1, 2, ガムラン,---,蛯名正,, 68,*  1,*  4, 2,  3.5, ②②, 1, 5,Ｄジｰガｰトップ, 73,松岡正,, 76,  -7,* 24, 4, 10.3,⑨⑧⑩, 1,11,Ｃアｰスシンボル, 88,田中勝,, 93,  -5,* 27, 4,  7.5,⑩⑨⑩
 2,16,Ｇトｰアクリスタル, 45,小林淳, 1.0, 55,   2,* -8, 3,  8.6, ⑩⑩, 2, 3, トルバドゥｰル,---,柴田善, 0.1, 69,  -4,* 13, 3,  6.4, ⑫⑫, 2,10,Ｂクラブトゥギャザｰ, 79,三浦皇, 0.0, 76,  -6,* 22, 1,  2.3,⑦⑥⑤, 2,10,Ｈスノｰクラッシャｰ, 82,松岡正, 0.2, 94,  -6,* 29, 2,  3.9,⑪⑪⑪
 3, 5,Ｂリアライズペガサス, 53,中舘英, 1.0, 57,*  5, -11, 4,  8.9, ②②, 3, 7, トウカイシャンテ,---,内田博, 0.7, 64,*  2,  -3, 1,  2.2, ①①, 3, 6,Ｅスペシャルロｰド, 72,内田博, 0.1, 74,  -6,  19, 3,  5.8,⑤③③, 3, 6,Ｊイチブン, 78,武豊  , 0.4, 87,  -4,  20, 1,  3.2,⑤⑥⑥
 4, 8,Ｋストロングレグナム, 39,田辺裕, 1.2, 54,   2,  -9,10, 65.8, ⑨⑨, 4,14, ブラウブリッツ,---,松岡正, 1.6, 57,  -1,  -5, 6, 21.6, ⑥⑥, 4, 2,Ｆニシノヴァンクｰル, 70,村田一, 0.7, 68,* -5,  11, 8, 31.6,①①①, 4, 8,Ｂマッハヴェロシティ, 90,柴田善, 0.4, 84,  -4,  17, 3,  5.7,④④③
 5,15,Ｉミスモトヒメサン, 41,石橋脩, 1.4, 53,  -1,* -7, 6, 17.1, ⑬⑪, 5, 4, メディテｰション,---,石橋脩, 1.7, 58,  -7,   2,12, 99.4, ⑭⑬, 5, 4,Ｈモンピュア, 69,西村太, 0.8, 71,  -7,  17,10, 72.1,④⑤⑦, 5, 4,Ａグラスゴッド, 91,伊藤工, 0.5, 84,  -4,  17, 8, 15.7,③③④
 6, 9,Ｐエｰシンボダイジュ, 24,吉田隼, 1.7, 52,*  4, -16,15,185.1, ④④, 6, 9, ヒズラストノｰト,---,田辺裕, 1.9, 54,   1, -10, 4,  7.6, ④④, 6, 1,Ｃバリアントバイオ, 73,後藤浩, 1.0, 67,  -6,  13, 7, 22.5,③④④, 6, 7,Ｇエフティイカロス, 83,柴山雄, 0.6, 84,  -4,  18,10, 54.9,⑧⑦⑦
 7,12,Ｆコスモオルバｰス, 47,中谷雄, 2.5, 44,  -3, -13, 8, 26.8, ⑭⑭, 7,15, ホッカイナシュア,---,伊藤工, 2.0, 53,  -4,  -4,11, 59.5, ⑪⑪, 7, 3,Ａトｰセンルｰチェ, 80,伊藤工, 1.0, 68,  -8,  17, 2,  3.0,⑪⑩⑨, 7, 2,Ｆニュｰビギニング, 83,吉田豊, 0.6, 86,  -5,  20, 9, 43.0,⑦⑧⑧
 8,11,Ｍフジマサフロｰラ, 30,菅原隆, 2.5, 43,  -1, -16,14,100.8, ⑪⑬, 8, 5, ギヴンザウイング,---,後藤浩, 2.4, 51,  -7,  -1, 5, 17.5, ⑮⑭, 8, 7,Ｉリヴィアロｰズ, 67,吉田隼, 1.7, 65,  -7,   9, 6, 20.0,⑥⑦⑥, 8, 3,Ｄシグナリオ, 86,津村明, 0.6, 86,  -5,  20, 6, 15.0,⑨⑩⑨
 9, 6,Ｄジャｰグラット, 50,丸山元, 2.7, 45,*  5, -24, 5,  9.5, ③③, 9,13, ケイジｰウィンザｰ,---,岩部純, 2.4, 52,   0, -14,13,166.2, ⑤⑤, 9, 9,Ｇリリｰスバｰジョン, 69,丸田恭, 2.0, 59,* -5,   1, 9, 66.2,②②②, 9, 5,Ｅザサンデｰフサイチ, 84,内田博, 0.9, 79,* -2,   9, 5,  7.6,②②②
10, 4,Ｏタケデンブラック, 26,宮崎北, 2.7, 41,  -6, -11,16,186.1, ⑯⑮,10,12, オメガドｰヴィル,---,三浦皇, 2.5, 51,  -2, -10,10, 56.7, ⑩⑨,10, 8,Ｊエアキリヤン, 66,小野寺, 2.5, 59,  -9,   6, 5, 15.6,⑩⑪⑪,10, 9,Ｉミヤビベガ, 82,蛯名正, 0.9, 80,  -3,  12, 7, 15.6,⑥⑤⑤
11, 1,Ｅベニノダイヤ, 48,柴田大, 2.9, 41,   2, -23, 9, 27.2, ⑤⑥,11,10, エドノフレｰザ,---,小野次, 3.3, 45,  -4, -15,16,314.0, ⑨⑩,11,11,Ｋダイワハンタｰ, 58,武士沢, 3.1, 52,  -7,  -3,11,255.5,⑧⑨⑧,11, 1,Ｋフサイチアソｰト, 77,丹内祐, 3.1, 55,* -2, -22,11, 64.3,①①①
12,13,Ｊラショウモン, 41,津村明, 3.2, 38,  -1, -22,12, 92.5, ⑫⑫,12,11, ディアプライズ,---,丸田恭, 3.6, 43,  -2, -20,15,188.8, ⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
13, 2,Ｌヘラルドリｰ, 34,三浦皇, 3.4, 38,*  5, -32, 7, 18.4, ①①,13, 1, オウエイミステリｰ,---,吉田豊, 5.3, 31,   1, -39, 8, 46.1, ③③,,,,,,,,,,,,,,,,,,,,,,,,
14, 3,Ｈマルタｰズグロウヴ, 45,吉田豊, 3.5, 35,   2, -29,13, 93.9, ⑦⑦,14, 8, オリンピアシチｰ,---,武士沢, 5.7, 27,  -2, -38,14,167.5, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,
15, 7,Ｃフェアユｰス, 51,内田博, 3.6, 35,   2, -30, 2,  3.2, ⑧⑧,15,16, サマｰベネフィット,---,田中勝, 8.2, 17,  -8, -52, 7, 43.9, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Ｎモエレフォルテ, 28,後藤浩, 5.0, 26, -11, -25,11, 72.3, ⑮⑯,16, 6, ハｰベストガｰデン,---,丸山元, 8.9,  4, -13, -49, 9, 46.7, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:4),,,,,,,,,,,
単勝:290円 複勝:10=140円 16=280円 05=240円 枠連:850円,,,,,,,,,,,,単勝:350円 複勝:02=130円 03=150円 07=120円 枠連:890円,,,,,,,,,,,,"単勝:1,030円 複勝:05=200円 10=110円 06=180円 枠連:1,000円",,,,,,,,,,,,"単勝:750円 複勝:11=230円 10=140円 06=150円 枠連:1,320円",,,,,,,,,,,
"馬連:1,390円 ワイド:10-16=440円 05-10=490円 05-16=1,160円",,,,,,,,,,,,馬連:970円 ワイド:02-03=340円 02-07=210円 03-07=280円,,,,,,,,,,,,"馬連:1,100円 ワイド:05-10=330円 05-06=750円 06-10=270円",,,,,,,,,,,,"馬連:1,420円 ワイド:10-11=500円 06-11=530円 06-10=280円",,,,,,,,,,,
"馬単:2,030円 3連複:3,300円 3連単:15,880円",,,,,,,,,,,,"馬単:1,770円 3連複:700円 3連単:4,920円",,,,,,,,,,,,"馬単:3,040円 3連複:2,060円 3連単:18,140円",,,,,,,,,,,,"馬単:3,430円 3連複:1,800円 3連単:13,580円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾍﾟﾙｾｳｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａコンプリｰト, 57,吉田豊,, 62,* 14,* -1, 1,  3.5, ②②, 1, 3, ゴシック,---,内田博,, 63, -13,*  9, 1,  3.4, ⑨⑦, 1, 2,Ｇフラガラッハ, 75,柴田善,, 90,   8,* 24, 3,  5.7, ⑧⑧, 1, 2,Ａダノンカモン, 93,三浦皇,, 88,  15,  15, 1,  3.6, ③③
 2,11,Ｃツインエンジェルズ, 51,蛯名正, 0.4, 55,   8,*  2, 3,  4.7, ⑨⑨, 2, 2, エｰブポセイドｰン,---,田中勝, 0.0, 62, -12,*  7, 3,  5.7, ⑥⑤, 2, 8,Ｅベルベットロｰド, 79,内田博, 0.1, 91,  11,  18, 2,  5.3, ⑦⑦, 2,12,Ｆタガノクリスエス, 89,田辺裕, 0.2, 87,  12,* 19, 6, 18.1, ⑫⑪
 3,17,Ｅオメガロｰズマリｰ, 47,三浦皇, 0.5, 55,  10,  -2, 7, 17.2, ⑧⑧, 3, 7, ヒカルシンセイ,---,吉田豊, 0.1, 60,* -5,  -3, 2,  3.4, ①①, 3, 6,Ｂチュウワプリンス, 82,蛯名正, 0.3, 86,  14,  10, 6, 11.9, ③③, 3, 3,Ｇエノク, 88,木幡初, 0.2, 87,  13,  16, 7, 19.7, ⑦⑦
 4,14,Ｆビュｰワｰルド, 47,内田博, 0.7, 52,   6,*  1, 5, 11.0, ⑩⑩, 4, 8, リンガスゲｰト,---,蛯名正, 0.2, 59,* -5,  -3, 5,  7.8, ②②, 4, 5,Ａワｰルドコンパス, 87,田中勝, 0.5, 83,* 15,   5, 1,  2.1, ②②, 4, 1,Ｋグランドラッチ, 84,柴田善, 0.6, 83,  10,* 17,11, 35.1, ⑬⑬
 5, 7,Ｋイトククリ, 37,後藤浩, 1.2, 48,* 16, -20, 2,  4.2, ①①, 5,10, ショウナンマイケル,---,柴田善, 0.4, 58,  -9,   0, 4,  7.1, ④④, 5, 3,Ｃサクラネクスト, 82,松岡正, 0.6, 83,  12,   8, 4,  5.9, ④④, 5, 9,Ｂケイアイテンジン, 92,蛯名正, 0.7, 83,* 17,   7, 4,  6.8, ②②
 6,12,Ｎヴィｰヴァタキオン, 31,松岡正, 1.3, 43,   2,  -3, 8, 29.5, ⑪⑫, 6, 5, シャビイシック,---,石橋脩, 0.5, 58, -10,   0, 7, 34.0, ⑤⑥, 6, 4,Ｄリアルハヤテ, 82,勝浦正, 1.1, 78,  11,   3, 7, 36.5, ⑥⑥, 6, 5,Ｃトｰホウドルチェ, 92,津村明, 0.8, 82,* 18,   6, 2,  4.7, ①①
 7, 6,Ｊミラソル, 38,柴田善, 1.3, 43,   4,  -4, 9, 54.3, ⑫⑪, 7, 9, アポロノカンザシ,---,後藤浩, 0.5, 56,  -9,  -3, 6,  8.0, ③③, 7, 7,Ｆレットイットライド, 78,江田照, 1.1, 78,  12,   1, 8, 43.5, ⑤⑤, 7,11,Ｐスズカコｰズウェイ, 80,武豊  , 0.8, 83,   8,* 18, 5,  8.3, ⑯⑯
 8, 4,Ｉキチロクアユ, 38,二本柳, 1.4, 43,   2,  -2,15,351.2, ⑭⑬, 8, 1, ケイツｰチャスカ,---,丸田恭, 0.7, 55, -14,   2, 8, 42.8, ⑧⑨, 8, 1,Ｈタイキブリリアント, 72,吉田豊, 1.4, 71,* 16, -11, 5,  8.5, ①①, 8,10,Ｅワンダｰポデリオ, 89,松岡正, 0.9, 81,  13,  11, 3,  4.9, ⑨⑧
 9,15,Ｈアカシサフィア, 41,丸山元, 1.4, 42,   2,  -3,14,281.7, ⑬⑭, 9, 6, クリスタルステｰジ,---,草野太, 1.0, 51, -14,  -2,10, 49.6, ⑩⑩,,,,,,,,,,,,, 9, 4,Ｌカルナバリｰト, 84,中舘英, 1.3, 78,  12,   9,15,151.0, ⑪⑩
10,18,Ｂエミリアビスティｰ, 52,勝浦正, 1.8, 39,  11, -22, 6, 11.8, ⑤⑤,10, 4, ミヤビルｰミナス,---,伊藤工, 2.2, 37, -13, -19, 9, 48.0, ⑦⑧,,,,,,,,,,,,,10,13,Ｍラストアロｰ, 84,丸山元, 1.4, 78,   9,  12,16,189.1, ⑭⑮
11, 3,Ｄピユカンタｰビレ, 48,田中勝, 1.8, 40,* 13, -24, 4,  5.3, ③③,,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｎプロセッション, 82,内田博, 1.5, 77,   8,  12, 9, 28.1, ⑮⑭
12, 9,Ｏアフリｰトギャル, 30,伊藤工, 2.0, 37,  10, -22,13,237.4, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,12,15,Ｉマイディアサン, 87,後藤浩, 1.6, 75,  12,   6,14,145.2, ⑩⑫
13, 8,Ｍロｰズオブメイ, 33,武士沢, 2.1, 34,  -1,  -8,11,157.6, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｈクイックリｰプ, 87,田中勝, 2.0, 73,  13,   1,10, 30.3, ⑧⑨
14,16,Ｇフレンチサマｰ, 41,津村明, 2.5, 32,  11, -31,10, 58.7, ④④,,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｄコロナグラフ, 92,伊藤工, 2.2, 70,  14,  -2,12, 50.3, ⑥⑥
15, 1,Ｌリネンムｰド, 34,田辺裕, 2.7, 28,  10, -32,12,186.1, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｏメイショウセンゴク, 81,吉田豊, 2.4, 68,  15,  -6,13,142.8, ④④
16,13,Ｒザロｰテｰション,  7,南田雅, 2.9, 27,   1, -22,17,416.4, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｊフミノパシフィック, 84,石橋脩, 2.8, 66,  15,  -8, 8, 21.2, ⑤⑤
17, 5,Ｑパセリ, 16,柴田大, 4.1, 18,  -6, -27,16,374.5, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,Ｐバウヒニア, 25,柴山雄, 4.4, 16,  -8, -29,18,419.8, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:2),,,,,,,,,,,
